season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,goalAssist,goals,minutesPlayed,ownGoals,substitute.1,totalShots
2011-12,2155438,1,11,Everton,Away,746,1821,Phil Neville,phil-neville,M,False,0.0,0.0,90.0,0.0,,0.0
2011-12,2155438,1,11,Everton,Away,10932,17891,Diniyar Bilyaletdinov,diniyar-bilyaletdinov,M,False,0.0,0.0,82.0,0.0,,0.0
2011-12,2155438,1,11,Everton,Away,14348,39202,Royston Drenthe,royston-drenthe,M,True,0.0,0.0,22.0,0.0,,0.0
2011-12,1768343,2,11,Everton,Home,746,1821,Phil Neville,phil-neville,M,False,0.0,0.0,90.0,0.0,,0.0
2011-12,1768343,2,11,Everton,Home,1152,8758,Mikel Arteta,mikel-arteta,M,True,0.0,0.0,36.0,0.0,,0.0
2011-12,1768343,2,11,Everton,Home,1161,8378,Leon Osman,leon-osman,M,False,0.0,0.0,90.0,0.0,,0.0
2011-12,1768343,2,11,Everton,Home,98435,88894,Ross Barkley,ross-barkley,M,False,0.0,0.0,90.0,0.0,,0.0
2011-12,1768350,3,11,Everton,Away,746,1821,Phil Neville,phil-neville,M,False,0.0,0.0,90.0,0.0,,0.0
2011-12,1768350,3,11,Everton,Away,1152,8758,Mikel Arteta,mikel-arteta,M,False,0.0,1.0,90.0,0.0,,0.0
2011-12,1768350,3,11,Everton,Away,1161,8378,Leon Osman,leon-osman,M,False,0.0,0.0,62.0,0.0,,0.0
2011-12,1768350,3,11,Everton,Away,10932,17891,Diniyar Bilyaletdinov,diniyar-bilyaletdinov,M,True,0.0,0.0,28.0,0.0,,0.0
2011-12,1768350,3,11,Everton,Away,98435,88894,Ross Barkley,ross-barkley,M,False,0.0,0.0,53.0,0.0,,0.0
2011-12,1768974,4,11,Everton,Home,746,1821,Phil Neville,phil-neville,M,True,,,,,,
2011-12,1768974,4,11,Everton,Home,1161,8378,Leon Osman,leon-osman,M,False,0.0,1.0,90.0,0.0,,0.0
2011-12,1768974,4,11,Everton,Home,10932,17891,Diniyar Bilyaletdinov,diniyar-bilyaletdinov,M,False,0.0,0.0,72.0,0.0,,0.0
2011-12,1768974,4,11,Everton,Home,14348,39202,Royston Drenthe,royston-drenthe,M,True,0.0,0.0,18.0,0.0,,0.0
2011-12,1768974,4,11,Everton,Home,98435,88894,Ross Barkley,ross-barkley,M,True,0.0,0.0,9.0,0.0,,0.0
2011-12,1768986,5,11,Everton,Home,746,1821,Phil Neville,phil-neville,M,True,,,,,,
2011-12,1768986,5,11,Everton,Home,1161,8378,Leon Osman,leon-osman,M,False,0.0,0.0,90.0,0.0,,0.0
2011-12,1768986,5,11,Everton,Home,10932,17891,Diniyar Bilyaletdinov,diniyar-bilyaletdinov,M,False,0.0,0.0,58.0,0.0,,0.0
2011-12,1768986,5,11,Everton,Home,14348,39202,Royston Drenthe,royston-drenthe,M,True,0.0,1.0,32.0,0.0,,0.0
2011-12,1768986,5,11,Everton,Home,98435,88894,Ross Barkley,ross-barkley,M,True,,,,,,
2011-12,1768997,6,11,Everton,Away,746,1821,Phil Neville,phil-neville,M,False,0.0,0.0,73.0,0.0,,0.0
2011-12,1768997,6,11,Everton,Away,1161,8378,Leon Osman,leon-osman,M,False,0.0,0.0,90.0,0.0,,0.0
2011-12,1768997,6,11,Everton,Away,10932,17891,Diniyar Bilyaletdinov,diniyar-bilyaletdinov,M,True,,,,,,
2011-12,1768997,6,11,Everton,Away,14348,39202,Royston Drenthe,royston-drenthe,M,True,0.0,0.0,17.0,0.0,,0.0
