playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,blockedShots,totalTackles,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,substituteOn,aerialDuels,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,ownGoalScored,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,cornersWon,totalLossesOfPossession,tacklesWon,blocks,leftsidePasses,totalFoulsConceded,interceptions,clearancesOffTheLine,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalShots,throughBalls,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,goals,offsides,awayGoals,oboxBlocked,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,unsuccessfulLayoffs,penaltyGoalsConceded,homeGoals,oboxTarget,rightFootGoals,leftFootGoals,unsuccessfulDribbles,headedGoals,unsuccessfulCrossesAndCorners,timesTackled,shotsOffTargetIncWoodwork,successfulDribbles,substituteOff,hitWoodwork,shotsBlockedOutsideBox,secondGoalAssists,successfulCornersIntoBox,freekickTotal,gkSuccessfulDistribution,attemptsFromSetPieces,unsuccessfulCornersIntoBox,expectedGoalsFreekick,foulWonPenalty,goalKicks,cornersTakenInclShortCorners,handballsConceded,penaltiesConceded,throwInsToOppositionPlayer,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,penaltiesTaken,penaltyGoals,redCards2ndYellow,otherGoals,lastPlayerTackle
466404,Andrew Omobamidele,Defender,Nott'm Forest,17,Ireland,2023-24,19.0,0.0303,0.0,1.0,10.0,26.0,11.0,8.0,39.0,309.0,3.0,18.0,782.0,10.0,20.0,1.0,5.0,12.0,257.0,5.0,8.5722,1.0,2.0,4.0,42.0,15.0,1.0,9.0,60.0,3.0,0.0,39.0,4.0,92.0,21.0,11.0,7.0,71.0,14.0,1.0,21.0,8.0,0.0,304.0,2.0,42.0,3.0,8.0,129.0,6.0,13.0,1.0,13.0,28.0,402.0,1.0,9.0,199.0,5.0,0.1365,2.0,13.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116404,Felipe,Defender,Nott'm Forest,17,Brazil,2023-24,21.0,0.0399,0.0,2.0,12.0,17.0,7.0,4.0,31.0,213.0,3.0,20.0,373.0,6.0,29.0,,4.0,15.0,169.0,4.0,7.1432,,2.0,4.0,11.0,10.0,1.0,15.0,54.0,2.0,0.0,50.0,3.0,78.0,20.0,7.0,3.0,57.0,10.0,1.0,30.0,14.0,0.0,206.0,1.0,37.0,9.0,1.0,67.0,10.0,4.0,,13.0,14.0,264.0,1.0,9.0,125.0,8.0,0.1288,4.0,14.0,18.0,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218430,Gonzalo Montiel,Defender,Nott'm Forest,17,Argentina,2023-24,30.0,0.8611,0.0,2.0,22.0,38.0,14.0,8.0,67.0,318.0,6.0,21.0,802.0,9.0,36.0,3.0,14.0,24.0,237.0,13.0,8.6902,,7.0,6.0,30.0,11.0,1.0,21.0,10.0,1.0,0.0,66.0,5.0,144.0,42.0,14.0,3.0,129.0,8.0,1.0,45.0,12.0,0.0,312.0,8.0,105.0,19.0,3.0,113.0,6.0,9.0,,14.0,51.0,487.0,40.0,20.0,123.0,5.0,0.1284,5.0,29.0,18.0,1.0,,1.0,,1.0,1.0,2.0,,15.0,,2.0,,1.0,,,1.0,,,,2.0,,,,,,,15.0,3.0,1.0,1.0,6.0,,1.0,,,,,,,,,,,,1.0,11.0,,,,,,,,,,,,,,,,
114241,Harry Toffolo,Defender,Nott'm Forest,17,England,2023-24,48.0,1.1564,0.0,1.0,26.0,57.0,23.0,15.0,106.0,446.0,8.0,40.0,1455.0,15.0,54.0,3.0,36.0,29.0,323.0,12.0,17.6318,,15.0,6.0,44.0,29.0,1.0,33.0,142.0,2.0,0.0,102.0,21.0,219.0,57.0,23.0,12.0,185.0,26.0,1.0,62.0,25.0,0.0,432.0,6.0,180.0,14.0,13.0,23.0,17.0,14.0,,17.0,62.0,763.0,68.0,28.0,171.0,12.0,1.6427,3.0,49.0,35.0,10.0,5.0,,0.625,7.0,,3.0,1.0,23.0,1.0,,1.0,,1.0,2.0,16.0,2.0,2.0,,1.0,0.0,2.0,,,2.0,1.0,31.0,7.0,2.0,1.0,3.0,,,,5.0,,,,7.0,,,,13.0,,,29.0,,,,,,,,,,,,,,,,
208912,Joe Worrall,Defender,Nott'm Forest,17,England,2023-24,16.0,0.3124,1.0,,7.0,12.0,7.0,5.0,25.0,161.0,2.0,22.0,439.0,10.0,21.0,3.0,2.0,9.0,124.0,7.0,8.268,,2.0,3.0,31.0,8.0,,6.0,44.0,2.0,0.0,37.0,1.0,60.0,18.0,7.0,2.0,35.0,5.0,,15.0,12.0,1.0,157.0,,26.0,5.0,4.0,46.0,3.0,3.0,,12.0,11.0,220.0,2.0,2.0,101.0,1.0,0.1178,0.0,13.0,6.0,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
199170,Moussa Niakhaté,Defender,Nott'm Forest,17,Senegal,2023-24,24.0,0.2613,1.0,2.0,42.0,50.0,21.0,15.0,100.0,689.0,6.0,21.0,1458.0,5.0,64.0,5.0,14.0,48.0,558.0,7.0,24.1753,,3.0,8.0,49.0,35.0,2.0,19.0,147.0,4.0,0.0,88.0,7.0,264.0,98.0,21.0,17.0,168.0,30.0,2.0,67.0,16.0,0.0,676.0,,164.0,25.0,12.0,216.0,11.0,14.0,1.0,31.0,62.0,945.0,28.0,33.0,422.0,6.0,1.0796,3.0,50.0,40.0,1.0,1.0,,0.9683,3.0,,,,10.0,1.0,,1.0,,1.0,,1.0,,,,3.0,0.0,,,,,,10.0,3.0,2.0,3.0,1.0,,,,,,1.0,,,,,1.0,,,,46.0,,,,,,,,,,,,,,1.0,1.0,
575476,Murillo,Defender,Nott'm Forest,17,Brazil,2023-24,121.0,0.6388,0.0,1.0,50.0,139.0,32.0,32.0,324.0,1444.0,,78.0,2792.0,40.0,115.0,7.0,29.0,77.0,1003.0,35.0,38.4531,1.0,5.0,25.0,185.0,56.0,,81.0,499.0,7.0,0.0,236.0,17.0,693.0,146.0,32.0,19.0,382.0,49.0,,158.0,38.0,0.0,1374.0,2.0,388.0,31.0,24.0,199.0,38.0,37.0,3.0,117.0,53.0,1913.0,2.0,87.0,739.0,32.0,1.802,5.0,185.0,124.0,1.0,6.0,1.0,0.8593,16.0,6.0,2.0,,3.0,,,,1.0,3.0,4.0,1.0,2.0,2.0,,3.0,,4.0,,,15.0,,3.0,30.0,10.0,20.0,4.0,1.0,1.0,,,2.0,25.0,2.0,,0.0546,,28.0,,1.0,,1.0,,,,,,,,,3.0,,,,,,,3.0
215136,Neco Williams,Defender,Nott'm Forest,17,Wales,2023-24,106.0,1.662,0.0,7.0,69.0,100.0,26.0,18.0,165.0,596.0,8.0,52.0,1634.0,21.0,149.0,4.0,65.0,118.0,410.0,32.0,22.4516,,10.0,6.0,43.0,33.0,3.0,85.0,44.0,30.0,0.0,255.0,31.0,264.0,107.0,26.0,29.0,243.0,29.0,3.0,203.0,31.0,0.0,582.0,16.0,351.0,40.0,13.0,186.0,23.0,22.0,1.0,21.0,102.0,1167.0,75.0,44.0,200.0,22.0,0.817,4.0,65.0,50.0,12.0,4.0,2.0,0.3372,8.0,,1.0,1.0,48.0,,4.0,,4.0,1.0,1.0,12.0,3.0,3.0,,,,1.0,,,18.0,,56.0,45.0,4.0,19.0,4.0,3.0,4.0,,,,,,4.0,,,,4.0,3.0,,40.0,,,,,,,,,,,,,,,,
437626,Nuno Tavares,Defender,Nott'm Forest,17,Portugal,2023-24,18.0,0.3736,0.0,,11.0,33.0,8.0,5.0,46.0,218.0,3.0,5.0,455.0,2.0,22.0,2.0,13.0,19.0,167.0,7.0,4.5226,,2.0,3.0,15.0,9.0,,16.0,81.0,2.0,0.0,40.0,6.0,86.0,33.0,8.0,4.0,105.0,7.0,,35.0,3.0,0.0,210.0,3.0,90.0,7.0,,21.0,8.0,1.0,,5.0,30.0,359.0,27.0,7.0,69.0,5.0,0.1706,2.0,13.0,25.0,2.0,1.0,,0.0237,7.0,,,2.0,13.0,,,,,1.0,1.0,2.0,,,,,,1.0,,,3.0,,14.0,7.0,6.0,6.0,1.0,,,,,,,,1.0,,,,1.0,,,12.0,,,,,,,,,,,,,,,,
159506,Ola Aina,Defender,Nott'm Forest,17,Nigeria,2023-24,65.0,1.0314,0.0,5.0,47.0,100.0,22.0,20.0,127.0,634.0,2.0,30.0,1700.0,12.0,116.0,5.0,33.0,98.0,487.0,13.0,31.174,,10.0,3.0,41.0,39.0,1.0,53.0,126.0,25.0,1.0,181.0,16.0,318.0,97.0,22.0,16.0,286.0,34.0,1.0,151.0,18.0,0.0,622.0,7.0,252.0,31.0,3.0,77.0,18.0,18.0,,20.0,113.0,1090.0,91.0,11.0,228.0,10.0,0.2721,3.0,27.0,47.0,7.0,1.0,6.0,0.4264,6.0,2.0,1.0,3.0,21.0,1.0,2.0,0.0,4.0,,,7.0,,,,4.0,1.0,,1.0,,14.0,,21.0,24.0,5.0,27.0,11.0,,4.0,,,,,,,,,,,,1.0,47.0,,,,,,,,,,,,,,,,
