matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attLgCentre,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperGoals,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,winningGoal,wonContest,wonCorners,wonTackle,yellowCard
442001,1.0,2012-08-18 15:00:00,54,Fulham,Home,282.0,22.0,3.0,6.0,3.0,,1.0,236.0,4.0,3.0,5.0,3.0,12.0,40.0,512.0,,2.0,14.0,3.0,14.0,7.0,,,,,,1.0,1.0,,2.0,12.0,1.0,,,,,4.0,5.0,,,,101.0,55.0,3.0,2.0,3.0,1.0,4.0,1.0,,,6.0,13.0,1.0,,12.0,1.0,32.0,40.0,1.0,13.0,6.0,,,55.0,12.0,11.0,2.0,5.0,3.0,1.0,148.0,4.0,1.0,3.0,3.0,1.0,,9.0,,,3.0,1.0,,,,,14.0,,16.0,15.0,,,5.0,162.0,86.0,57.0,3.0,3.0,,11.0,9.0,,,,3.0,1.0,,68.0,29.0,18.0,,,,,1.0,122.0,107.0,3.0,24.0,21.0,59.8,,,,1.0,0.0,,,,157.0,1.0,1.0,,,,2.0,,,3.0,108.0,,11.0,291.0,35.0,28.0,8.0,5.0,22.0,17.0,,138.0,,299.0,1.0,3.0,17.0,12.0,57.0,2.0,568.0,1.0,0.0,15.0,11.0,3.0,18.0,0.0,734.0,,7.0,,4.0,6.0,9.0,0.0
442012,2.0,2012-08-25 15:00:00,54,Fulham,Away,225.0,12.0,1.0,3.0,2.0,,,152.0,8.0,,3.0,6.0,9.0,39.0,374.0,,,9.0,5.0,5.0,7.0,,,,0.0,1.0,,2.0,1.0,,13.0,0.0,,,,1.0,11.0,9.0,8.0,8.0,,75.0,40.0,,2.0,,8.0,7.0,8.0,,,8.0,6.0,4.0,0.0,16.0,1.0,45.0,52.0,8.0,19.0,4.0,,,24.0,7.0,11.0,,3.0,,2.0,107.0,1.0,1.0,1.0,,1.0,,12.0,,,0.0,,,,,,13.0,1.0,16.0,14.0,4.0,0.0,3.0,117.0,65.0,45.0,8.0,1.0,,8.0,6.0,396.0,,,4.0,,0.0,41.0,32.0,19.0,,,,,,94.0,94.0,,20.0,16.0,40.1,,3.0,,1.0,0.0,,,,122.0,1.0,3.0,4.0,,,3.0,,0.0,3.0,40.0,354.0,8.0,241.0,21.0,34.0,21.0,5.0,15.0,10.0,,58.0,1.0,195.0,,,20.0,9.0,61.0,,421.0,,0.0,16.0,24.0,,12.0,1.0,618.0,12.0,7.0,0.0,12.0,8.0,20.0,0.0
442027,3.0,2012-09-01 12:45:00,54,Fulham,Away,236.0,25.0,2.0,2.0,,1.0,,236.0,6.0,1.0,6.0,5.0,9.0,29.0,470.0,,,33.0,18.0,17.0,10.0,1.0,,,,,,,,,13.0,,,,,,10.0,6.0,,,,89.0,45.0,,,,3.0,5.0,3.0,,,6.0,7.0,5.0,,19.0,1.0,52.0,57.0,3.0,6.0,,1.0,,64.0,5.0,12.0,,1.0,,,191.0,,,,,,,8.0,,,,4.0,,,,,7.0,1.0,15.0,13.0,1.0,,6.0,143.0,84.0,47.0,6.0,,1.0,10.0,9.0,,,,6.0,,,46.0,73.0,20.0,,,,,,152.0,140.0,,18.0,18.0,54.9,,,,,0.0,,,,131.0,2.0,1.0,,1.0,,1.0,,,2.0,98.0,,11.0,256.0,44.0,18.0,14.0,6.0,18.0,12.0,,130.0,5.0,316.0,4.0,1.0,23.0,10.0,52.0,2.0,554.0,,0.0,15.0,21.0,2.0,35.0,0.0,757.0,,8.0,,7.0,6.0,20.0,0.0
442032,4.0,2012-09-15 15:00:00,54,Fulham,Home,262.0,40.0,2.0,9.0,7.0,,,332.0,4.0,,11.0,1.0,3.0,60.0,585.0,,,22.0,8.0,12.0,17.0,1.0,,2.0,,,,,1.0,,20.0,1.0,1.0,,,,5.0,5.0,,,,130.0,59.0,,1.0,2.0,2.0,5.0,4.0,,,5.0,25.0,5.0,,8.0,3.0,37.0,42.0,2.0,6.0,4.0,,1.0,73.0,7.0,10.0,2.0,4.0,1.0,,162.0,1.0,,1.0,1.0,,,5.0,,,2.0,,,,,,8.0,1.0,19.0,12.0,2.0,,11.0,166.0,80.0,63.0,4.0,1.0,6.0,13.0,10.0,,,,3.0,1.0,,105.0,116.0,20.0,,,,,1.0,119.0,111.0,2.0,23.0,20.0,63.0,1.0,,,,0.0,,,,180.0,2.0,3.0,,1.0,2.0,8.0,,,2.0,182.0,,19.0,271.0,50.0,14.0,16.0,4.0,35.0,31.0,2.0,208.0,1.0,402.0,1.0,,10.0,3.0,76.0,3.0,638.0,,0.0,23.0,14.0,,23.0,0.0,847.0,,8.0,,6.0,5.0,11.0,0.0
442048,5.0,2012-09-22 15:00:00,54,Fulham,Away,123.0,7.0,1.0,3.0,2.0,1.0,,118.0,7.0,,1.0,6.0,12.0,14.0,238.0,,,11.0,15.0,20.0,3.0,1.0,,,,,1.0,1.0,,,7.0,,,,,,10.0,9.0,,,,57.0,39.0,1.0,1.0,1.0,1.0,1.0,7.0,,,7.0,9.0,1.0,,11.0,1.0,51.0,40.0,1.0,21.0,9.0,,,46.0,13.0,7.0,1.0,1.0,,1.0,130.0,2.0,,2.0,2.0,,,17.0,,,2.0,3.0,,,,,14.0,,24.0,17.0,2.0,,2.0,60.0,80.0,34.0,9.0,1.0,1.0,5.0,7.0,,,,5.0,1.0,,18.0,51.0,9.0,,,,,,150.0,137.0,,20.0,13.0,36.4,,,,2.0,0.0,,,,73.0,3.0,1.0,,1.0,,4.0,,,2.0,43.0,,6.0,138.0,15.0,34.0,9.0,7.0,17.0,10.0,,81.0,7.0,199.0,3.0,,29.0,12.0,35.0,,320.0,,0.0,12.0,9.0,1.0,17.0,3.0,509.0,,7.0,,4.0,7.0,7.0,0.0
442052,6.0,2012-09-29 15:00:00,54,Fulham,Home,119.0,13.0,,,,3.0,,83.0,8.0,,8.0,5.0,8.0,24.0,202.0,,2.0,9.0,9.0,14.0,2.0,,,1.0,,,1.0,2.0,,,3.0,1.0,,,,1.0,11.0,12.0,,,,40.0,54.0,,,1.0,4.0,1.0,7.0,,1.0,2.0,7.0,2.0,,5.0,3.0,37.0,43.0,2.0,16.0,8.0,1.0,2.0,59.0,8.0,12.0,1.0,6.0,1.0,2.0,121.0,,,,,,,13.0,,,,,,,,,13.0,,26.0,17.0,4.0,,8.0,53.0,69.0,30.0,4.0,,2.0,,3.0,,,,7.0,2.0,,30.0,42.0,5.0,,,,,1.0,136.0,122.0,,26.0,16.0,28.9,,,,1.0,0.0,,,,62.0,2.0,3.0,,2.0,1.0,3.0,,,2.0,39.0,,2.0,139.0,16.0,28.0,10.0,2.0,12.0,10.0,1.0,76.0,11.0,149.0,3.0,,35.0,12.0,51.0,1.0,276.0,1.0,0.0,7.0,15.0,2.0,9.0,0.0,466.0,,15.0,,2.0,2.0,11.0,0.0
442063,7.0,2012-10-07 13:30:00,54,Fulham,Away,267.0,25.0,3.0,7.0,4.0,3.0,,173.0,2.0,,5.0,4.0,3.0,45.0,433.0,2.0,1.0,22.0,15.0,12.0,7.0,2.0,,,,1.0,,1.0,,,7.0,,,,,2.0,9.0,5.0,,,,76.0,55.0,,1.0,,5.0,4.0,2.0,,,8.0,11.0,3.0,,13.0,,46.0,41.0,5.0,21.0,15.0,,1.0,59.0,7.0,13.0,,4.0,3.0,1.0,172.0,1.0,,1.0,1.0,,,6.0,,,1.0,,,,,,28.0,1.0,21.0,16.0,2.0,,5.0,130.0,89.0,43.0,8.0,1.0,5.0,5.0,3.0,,,,4.0,2.0,,53.0,62.0,19.0,,,,,,173.0,154.0,,26.0,24.0,58.1,,,,1.0,0.0,,,,143.0,1.0,1.0,,,,6.0,1.0,,2.0,72.0,,10.0,284.0,54.0,40.0,13.0,8.0,25.0,17.0,,112.0,11.0,262.0,,,19.0,3.0,72.0,,521.0,2.0,0.0,13.0,12.0,1.0,24.0,0.0,735.0,,18.0,,4.0,8.0,8.0,0.0
442069,8.0,2012-10-20 15:00:00,54,Fulham,Home,154.0,25.0,3.0,8.0,5.0,1.0,1.0,224.0,1.0,,7.0,4.0,6.0,41.0,370.0,1.0,,25.0,14.0,27.0,10.0,2.0,,,,,,,,,16.0,,,,,1.0,7.0,5.0,,,,76.0,63.0,,1.0,,1.0,4.0,5.0,,,6.0,18.0,7.0,1.0,12.0,1.0,44.0,51.0,1.0,21.0,14.0,,2.0,72.0,7.0,11.0,,2.0,1.0,,157.0,1.0,1.0,1.0,,1.0,,6.0,,,,3.0,,,,,23.0,,14.0,11.0,1.0,,8.0,122.0,74.0,42.0,4.0,,7.0,6.0,5.0,,,,4.0,3.0,,74.0,84.0,23.0,,,,,,169.0,154.0,5.0,25.0,20.0,50.7,,,,,0.0,,,,100.0,1.0,,,1.0,,10.0,,,3.0,110.0,,13.0,174.0,38.0,36.0,11.0,5.0,31.0,26.0,,154.0,4.0,312.0,4.0,,20.0,7.0,57.0,2.0,455.0,1.0,0.0,19.0,8.0,,32.0,1.0,678.0,,10.0,,5.0,6.0,6.0,0.0
442085,9.0,2012-10-27 15:00:00,54,Fulham,Away,231.0,15.0,3.0,7.0,4.0,3.0,,295.0,3.0,1.0,2.0,5.0,8.0,41.0,519.0,1.0,,18.0,11.0,28.0,11.0,1.0,,,,,,2.0,,,13.0,,,,,,10.0,5.0,,,,98.0,52.0,2.0,2.0,,5.0,5.0,2.0,,,8.0,11.0,5.0,1.0,6.0,4.0,40.0,53.0,5.0,23.0,17.0,,,65.0,17.0,6.0,2.0,3.0,,2.0,187.0,3.0,1.0,1.0,2.0,1.0,,8.0,,,2.0,1.0,,,,1.0,26.0,,12.0,9.0,1.0,,2.0,159.0,113.0,60.0,6.0,,6.0,9.0,6.0,,,,1.0,,,76.0,55.0,18.0,,,,,,161.0,141.0,1.0,19.0,23.0,65.9,,,,,0.0,,,,168.0,4.0,1.0,,1.0,,8.0,,,3.0,139.0,,15.0,251.0,36.0,43.0,9.0,8.0,24.0,16.0,,173.0,7.0,385.0,1.0,1.0,30.0,8.0,70.0,,612.0,1.0,0.0,19.0,15.0,,25.0,1.0,811.0,,8.0,,4.0,8.0,11.0,0.0
442089,10.0,2012-11-03 15:00:00,54,Fulham,Home,111.0,14.0,2.0,4.0,2.0,1.0,,158.0,9.0,,5.0,4.0,6.0,28.0,265.0,,1.0,13.0,10.0,11.0,6.0,,,,1.0,,,1.0,,,7.0,,,,,1.0,19.0,8.0,,,,52.0,66.0,2.0,1.0,1.0,9.0,3.0,8.0,1.0,,5.0,7.0,1.0,,8.0,4.0,55.0,51.0,9.0,21.0,9.0,,1.0,53.0,17.0,10.0,1.0,3.0,1.0,1.0,128.0,1.0,,,1.0,,,14.0,,,1.0,1.0,,,,1.0,19.0,,24.0,20.0,2.0,,5.0,84.0,84.0,42.0,9.0,1.0,2.0,5.0,4.0,,,,9.0,1.0,,30.0,61.0,13.0,,,,,,144.0,127.0,1.0,34.0,16.0,40.9,,,,2.0,0.0,,,,79.0,6.0,1.0,,,,2.0,,,3.0,54.0,,7.0,128.0,29.0,38.0,17.0,5.0,14.0,9.0,,85.0,8.0,229.0,1.0,,16.0,7.0,59.0,,343.0,,0.0,9.0,26.0,1.0,15.0,3.0,569.0,,10.0,,4.0,5.0,19.0,0.0
