season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,goalAssist,goals,minutesPlayed,ownGoals,totalShots
2009-10,1062470,1,54,Fulham,Away,563,1869.0,Aaron Hughes,aaron-hughes,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062470,1,54,Fulham,Away,637,1195.0,Andy Johnson,andy-johnson,F,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062470,1,54,Fulham,Away,803,1827.0,Mark Schwarzer,mark-schwarzer,G,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062470,1,54,Fulham,Away,870,11529.0,Diomansy Kamara,diomansy-kamara,F,True,,,,,
2009-10,1062470,1,54,Fulham,Away,889,15968.0,Chris Baird,chris-baird,D,True,,,,,
2009-10,1062470,1,54,Fulham,Away,932,9493.0,Stephen Kelly,stephen-kelly,D,True,,,,,
2009-10,1062470,1,54,Fulham,Away,1027,18430.0,Zoltán Gera,zoltan-gera,M,False,0.0,0.0,88.0,0.0,0.0
2009-10,1062470,1,54,Fulham,Away,1281,1413.0,Paul Konchesky,paul-konchesky,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062470,1,54,Fulham,Away,1298,1812.0,Danny Murphy,daniel-benjamin-murphy,M,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062470,1,54,Fulham,Away,2180,1836.0,Erik Nevland,erik-nevland,F,True,0.0,0.0,11.0,0.0,0.0
2009-10,1062470,1,54,Fulham,Away,6381,15284.0,Brede Hangeland,brede-hangeland,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062470,1,54,Fulham,Away,9746,4570.0,Bobby Zamora,bobby-zamora,F,False,0.0,1.0,79.0,0.0,0.0
2009-10,1062470,1,54,Fulham,Away,10621,,Ki Hyeon Seol,ki-hyeon-seol,F,True,0.0,0.0,2.0,0.0,0.0
2009-10,1062470,1,54,Fulham,Away,12743,20226.0,Clint Dempsey,clint-dempsey,M,False,1.0,0.0,90.0,0.0,0.0
2009-10,1062470,1,54,Fulham,Away,14112,10454.0,Dickson Etuhu,dickson-etuhu,M,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062470,1,54,Fulham,Away,14650,,John Paintsil,john-paintsil,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062470,1,54,Fulham,Away,18514,37417.0,Bjorn Helge Riise,bjorn-helge-riise,M,True,,,,,
2009-10,1062470,1,54,Fulham,Away,1422649,14471.0,Pascal Zuberbühler,pascal-zuberbuhler,G,True,,,,,
2009-10,1062477,2,54,Fulham,Home,563,1869.0,Aaron Hughes,aaron-hughes,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062477,2,54,Fulham,Home,803,1827.0,Mark Schwarzer,mark-schwarzer,G,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062477,2,54,Fulham,Home,889,15968.0,Chris Baird,chris-baird,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062477,2,54,Fulham,Home,1020,1863.0,Jonathan Greening,jonathan-greening,M,False,0.0,0.0,81.0,0.0,0.0
2009-10,1062477,2,54,Fulham,Home,1027,18430.0,Zoltán Gera,zoltan-gera,M,True,0.0,0.0,32.0,0.0,0.0
2009-10,1062477,2,54,Fulham,Home,1147,2559.0,Simon Davies,simon-davies,,True,1.0,0.0,5.0,0.0,0.0
2009-10,1062477,2,54,Fulham,Home,1281,1413.0,Paul Konchesky,paul-konchesky,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062477,2,54,Fulham,Home,2180,1836.0,Erik Nevland,erik-nevland,F,False,0.0,1.0,90.0,0.0,0.0
2009-10,1062477,2,54,Fulham,Home,6381,15284.0,Brede Hangeland,brede-hangeland,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062477,2,54,Fulham,Home,9746,4570.0,Bobby Zamora,bobby-zamora,F,False,0.0,0.0,58.0,0.0,0.0
2009-10,1062477,2,54,Fulham,Home,10621,,Ki Hyeon Seol,ki-hyeon-seol,F,True,,,,,
2009-10,1062477,2,54,Fulham,Home,12743,20226.0,Clint Dempsey,clint-dempsey,M,False,0.0,2.0,90.0,0.0,0.0
2009-10,1062477,2,54,Fulham,Home,14112,10454.0,Dickson Etuhu,dickson-etuhu,M,True,0.0,0.0,9.0,0.0,0.0
2009-10,1062477,2,54,Fulham,Home,14650,,John Paintsil,john-paintsil,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062477,2,54,Fulham,Home,32832,46967.0,Kagisho Dikgacoi,kagisho-dikgacoi,M,True,,,,,
2009-10,1062477,2,54,Fulham,Home,47741,55909.0,Chris Smalling,chris-smalling,D,True,,,,,
2009-10,1062477,2,54,Fulham,Home,1422129,1256.0,Damien Duff,damien-duff,M,False,2.0,0.0,85.0,0.0,0.0
2009-10,1062477,2,54,Fulham,Home,1422649,14471.0,Pascal Zuberbühler,pascal-zuberbuhler,G,True,,,,,
2009-10,1062487,3,54,Fulham,Home,563,1869.0,Aaron Hughes,aaron-hughes,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062487,3,54,Fulham,Home,803,1827.0,Mark Schwarzer,mark-schwarzer,G,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062487,3,54,Fulham,Home,870,11529.0,Diomansy Kamara,diomansy-kamara,F,True,0.0,0.0,28.0,0.0,0.0
2009-10,1062487,3,54,Fulham,Home,889,15968.0,Chris Baird,chris-baird,D,True,0.0,0.0,20.0,0.0,0.0
2009-10,1062487,3,54,Fulham,Home,932,9493.0,Stephen Kelly,stephen-kelly,D,True,,,,,
2009-10,1062487,3,54,Fulham,Home,1027,18430.0,Zoltán Gera,zoltan-gera,M,False,0.0,0.0,62.0,0.0,0.0
2009-10,1062487,3,54,Fulham,Home,1281,1413.0,Paul Konchesky,paul-konchesky,D,False,0.0,0.0,90.0,0.0,0.0
