season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2022-23,10385502,1,54,Fulham,Home,192144,128389,Aleksandar Mitrović,aleksandar-mitrovic,F,False,,,1.0,8.0,2.0,10.0,3.0,11.0,7.0,,,,,,,1.0,5.0,18.0,,,0.00842917,0.9479,1.1906,1.0,,2.0,,,,1.0,1.0,,90.0,2.0,1.0,,,,,,1.0,23.0,,9.4,,,1.0,,3.0,2.0,,,1.0,1.0,23.0,5.0,28.0,3,1.0,50.0,4.0,4.0,2.0,
2022-23,10385502,1,54,Fulham,Home,862223,235674,Manor Solomon,manor-solomon,F,True,,,,2.0,,2.0,,,4.0,,,,,,,1.0,3.0,2.0,,,0.0013039,0.0,0.0,,,,,,,,,,24.0,,,,,,,,,7.0,,6.2,,,,,,2.0,,,,,2.0,1.0,3.0,0,2.0,12.0,3.0,,,
2022-23,10385502,1,54,Fulham,Home,1013987,490146,Jay Stansfield,jay-stansfield,F,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385502,1,54,Fulham,Home,1015256,244042,Rodrigo Muniz,rodrigo-muniz,F,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385527,2,54,Fulham,Away,192144,128389,Aleksandar Mitrović,aleksandar-mitrovic,F,False,,,1.0,7.0,6.0,13.0,7.0,5.0,3.0,1.0,1.0,,,,,1.0,9.0,8.0,,,0.0147107,0.9531,0.9763,1.0,,,,,,,1.0,,90.0,1.0,,,,,1.0,,,11.0,,6.8,,,3.0,,2.0,,,,2.0,,12.0,7.0,19.0,4,2.0,36.0,3.0,1.0,,
2022-23,10385527,2,54,Fulham,Away,1013987,490146,Jay Stansfield,jay-stansfield,F,True,,,,,1.0,1.0,,,1.0,,,,,,,,1.0,,,,2.451e-05,0.0,0.0,1.0,,,,,,,,,17.0,,,,,,,,,3.0,,6.4,,,,,,,1.0,,1.0,,3.0,1.0,3.0,0,,4.0,,,,
2022-23,10385527,2,54,Fulham,Away,1015256,244042,Rodrigo Muniz,rodrigo-muniz,F,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385539,3,54,Fulham,Home,192144,128389,Aleksandar Mitrović,aleksandar-mitrovic,F,False,,,,6.0,8.0,14.0,7.0,6.0,4.0,,4.0,1.0,,,,4.0,11.0,7.0,,,0.219581,1.2761,1.4853,,,1.0,,,,,,,89.0,5.0,1.0,,,,,,,17.0,,6.1,,,2.0,,,,,,,4.0,11.0,10.0,21.0,8,1.0,44.0,6.0,,,1.0
2022-23,10385539,3,54,Fulham,Home,1006144,247664,Terry Ablade,terry-ablade,F,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385539,3,54,Fulham,Home,1013987,490146,Jay Stansfield,jay-stansfield,F,False,,,,5.0,3.0,8.0,1.0,,6.0,,,2.0,2.0,,,2.0,5.0,1.0,,,0.0263456,0.2509,0.0,,,,,,1.0,1.0,1.0,,77.0,,1.0,,,,,,,15.0,,6.4,,,,,1.0,,1.0,,2.0,,11.0,6.0,16.0,2,,33.0,2.0,1.0,,
2022-23,10385742,4,54,Fulham,Away,192144,128389,Aleksandar Mitrović,aleksandar-mitrovic,F,False,,,2.0,6.0,2.0,8.0,3.0,6.0,2.0,,,,1.0,,,2.0,8.0,10.0,,,0.0107343,0.2249,0.9102,1.0,,1.0,,,,,1.0,,90.0,2.0,,,,,,,,17.0,,7.7,,,2.0,,2.0,2.0,,,4.0,,14.0,4.0,18.0,4,1.0,41.0,4.0,2.0,1.0,
2022-23,10385742,4,54,Fulham,Away,1013987,490146,Jay Stansfield,jay-stansfield,F,True,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,10.0,,,,,,,,,2.0,,6.5,,,,,,,1.0,,,,2.0,,1.0,0,,3.0,,,,
2022-23,10385559,5,54,Fulham,Home,192144,128389,Aleksandar Mitrović,aleksandar-mitrovic,F,False,,,1.0,6.0,5.0,11.0,7.0,7.0,4.0,,,,,,,3.0,13.0,18.0,,,0.0757267,0.3782,0.111,,,1.0,,,,,2.0,,90.0,2.0,,,,,,,,20.0,,8.0,,,1.0,,,8.0,,,1.0,,13.0,7.0,20.0,3,2.0,49.0,4.0,4.0,5.0,2.0
2022-23,10385559,5,54,Fulham,Home,1006144,247664,Terry Ablade,terry-ablade,F,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385559,5,54,Fulham,Home,1013987,490146,Jay Stansfield,jay-stansfield,F,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385744,6,54,Fulham,Away,192144,128389,Aleksandar Mitrović,aleksandar-mitrovic,F,False,,,,5.0,1.0,6.0,7.0,2.0,1.0,,,,,,,3.0,10.0,4.0,,,0.00258762,0.4905,1.7232,,,1.0,,,,,1.0,,90.0,3.0,,,,,,,,11.0,,7.6,,,2.0,,1.0,2.0,,,2.0,,9.0,3.0,12.0,5,,27.0,2.0,,2.0,
2022-23,10385744,6,54,Fulham,Away,891920,245824,Carlos Vinícius,carlos-vinicius,F,True,,,,1.0,,1.0,1.0,,1.0,,,,,,,,1.0,,,,0.00029876,0.0,0.0,,,,,,,,,,12.0,,,,,,,,,,,6.5,,,,,,,,,,,1.0,,1.0,0,,1.0,,,,
2022-23,10913240,7,54,Fulham,Home,862223,235674,Manor Solomon,manor-solomon,F,True,,,,2.0,,2.0,,1.0,1.0,,,,,,,1.0,1.0,1.0,,,0.00030225,0.0,0.0,,,,,,,,,,15.0,,,,,,,,,3.0,,6.5,,,,,,,,,,,4.0,,4.0,0,,6.0,,,,
2022-23,10913240,7,54,Fulham,Home,891920,245824,Carlos Vinícius,carlos-vinicius,F,False,,,,5.0,1.0,6.0,1.0,2.0,1.0,,,,,,,1.0,4.0,7.0,,,0.0326323,0.7331,0.9022,2.0,,1.0,,,,,1.0,,89.0,2.0,,,,,,,,11.0,,7.8,,,1.0,,2.0,,,,,,9.0,1.0,10.0,3,2.0,32.0,6.0,3.0,,
