playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,awayGoals,substituteOn,aerialDuels,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,throughBalls,offsides,oboxBlocked,cornersTakenInclShortCorners,successfulCornersIntoBox,successfulLaunches,leftFootGoals,unsuccessfulCornersIntoBox,shotsBlockedOutsideBox,handballsConceded,freekickTotal,attemptsFromSetPieces,secondGoalAssists,expectedGoalsFreekick,cleanSheets,blocks,throwInsToOppositionPlayer,ownGoalScored,clearancesOffTheLine,foulWonPenalty,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,headedGoals,penaltiesConceded,lastPlayerTackle,redCards2ndYellow,penaltiesTaken,penaltyGoals
169528,Antonee Robinson,Defender,Fulham,54,United States,2023-24,169.0,30.0,3.7427,0.0,6.0,7.0,13.0,1.5725,93.0,10.0,278.0,37.0,6.0,,37.0,392.0,102.0,1629.0,,,,69.0,4.0,30.0,3.0,3270.0,3.0,,27.0,192.0,11.0,116.0,150.0,1136.0,67.0,8.0,55.1336,27.0,109.0,60.0,3.0,142.0,572.0,20.0,0.0,361.0,48.0,,688.0,227.0,37.0,4.0,,35.0,35.0,614.0,49.0,102.0,51.0,3.0,292.0,42.0,0.0,1604.0,3.0,31.0,651.0,58.0,37.0,94.0,34.0,80.0,101.0,275.0,2650.0,247.0,5.0,,61.0,653.0,26.0,0.682,6.0,114.0,172.0,1.0,3.0,3.0,,,20.0,,,3.0,1.0,,,1.0,,7.0,8.0,42.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
232892,Calvin Bassey,Defender,Fulham,54,Nigeria,2023-24,57.0,,0.1722,1.0,1.0,2.0,2.0,0.1322,49.0,4.0,121.0,29.0,,,25.0,230.0,3.0,1667.0,1.0,1.0,4.0,55.0,,,1.0,2302.0,1.0,,25.0,101.0,12.0,41.0,71.0,1354.0,11.0,5.0,36.2797,1.0,80.0,42.0,1.0,32.0,569.0,11.0,0.0,158.0,21.0,0.0,582.0,171.0,29.0,,1.0,20.0,2.0,373.0,30.0,3.0,10.0,1.0,103.0,30.0,0.0,1579.0,2.0,,258.0,29.0,11.0,386.0,15.0,28.0,83.0,130.0,1956.0,3.0,,1.0,45.0,1064.0,8.0,0.3452,4.0,109.0,109.0,,2.0,,,,9.0,,,,1.0,,,,,6.0,11.0,,,,,,,54.0,,,,,,,,52.0,2.0,,,,1.0,1.0,1.0,,
487693,Devan Tanton,Defender,Fulham,54,Colombia,2023-24,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225897,Fodé Ballo-Touré,Defender,Fulham,54,Senegal,2023-24,9.0,,0.0051,0.0,,,1.0,,4.0,,11.0,6.0,,,,12.0,4.0,55.0,,,6.0,2.0,,,,65.0,,,2.0,9.0,1.0,4.0,9.0,40.0,1.0,,0.8326,,2.0,1.0,,7.0,19.0,2.0,0.0,18.0,1.0,,15.0,6.0,6.0,,,2.0,2.0,10.0,,4.0,2.0,,16.0,,0.0,53.0,,3.0,26.0,2.0,3.0,5.0,4.0,3.0,3.0,16.0,98.0,13.0,,,1.0,33.0,4.0,,1.0,1.0,4.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,
219924,Issa Diop,Defender,Fulham,54,Morocco,2023-24,43.0,,0.4235,1.0,1.0,1.0,,0.265,30.0,4.0,76.0,18.0,,,16.0,128.0,,1076.0,,,2.0,42.0,,,1.0,1424.0,1.0,,17.0,60.0,1.0,22.0,35.0,911.0,7.0,4.0,26.7497,,80.0,25.0,,26.0,209.0,4.0,0.0,103.0,9.0,,411.0,65.0,18.0,,,14.0,,319.0,24.0,,5.0,,61.0,25.0,0.0,1041.0,3.0,2.0,138.0,16.0,1.0,399.0,17.0,17.0,37.0,57.0,1273.0,2.0,2.0,,18.0,629.0,9.0,0.2559,2.0,52.0,56.0,1.0,,1.0,,,6.0,,,1.0,1.0,,,,,4.0,19.0,,,3.0,,,,13.0,,,,,,,,13.0,,,,,3.0,1.0,1.0,,
167074,Kenny Tete,Defender,Fulham,54,Netherlands,2023-24,40.0,7.0,0.4557,0.0,,1.0,2.0,0.4487,27.0,4.0,71.0,14.0,,1.0,10.0,82.0,16.0,422.0,1.0,1.0,4.0,10.0,,7.0,,868.0,,,5.0,53.0,3.0,20.0,48.0,325.0,12.0,6.0,20.9443,3.0,31.0,21.0,,35.0,26.0,12.0,0.0,93.0,7.0,0.0,189.0,45.0,14.0,,1.0,10.0,10.0,201.0,18.0,16.0,13.0,,83.0,5.0,0.0,415.0,3.0,3.0,130.0,17.0,9.0,128.0,16.0,16.0,15.0,79.0,678.0,71.0,5.0,1.0,7.0,146.0,11.0,0.8513,2.0,11.0,35.0,1.0,,,,,1.0,,,,2.0,,,,,2.0,3.0,6.0,,,,,,,,,,,,,,,,,,,1.0,,,,
120721,Kevin Mbabu,Defender,Fulham,54,Switzerland,2023-24,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547686,Luc De Fougerolles,Defender,Fulham,54,Canada,2023-24,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82514,Tim Ream,Defender,Fulham,54,United States,2023-24,40.0,,0.1497,1.0,,1.0,,0.9719,20.0,1.0,79.0,18.0,,,17.0,114.0,1.0,1058.0,1.0,1.0,1.0,45.0,,,,1504.0,,,19.0,57.0,5.0,17.0,31.0,871.0,7.0,3.0,26.6754,,59.0,29.0,,21.0,424.0,6.0,0.0,97.0,8.0,0.0,391.0,79.0,18.0,,,11.0,1.0,307.0,24.0,1.0,4.0,,52.0,26.0,0.0,1009.0,,,126.0,9.0,6.0,206.0,8.0,25.0,73.0,37.0,1228.0,,1.0,,14.0,637.0,4.0,0.9563,2.0,35.0,48.0,,1.0,,,,10.0,1.0,,,,,,,,3.0,15.0,,,1.0,,,,30.0,,,,,,,,30.0,,,,,2.0,,1.0,,
166477,Timothy Castagne,Defender,Fulham,54,Belgium,2023-24,92.0,10.0,1.8433,0.0,4.0,5.0,1.0,0.8439,49.0,10.0,186.0,34.0,3.0,,29.0,252.0,40.0,1350.0,1.0,0.0,5.0,69.0,,10.0,4.0,2633.0,4.0,,34.0,111.0,9.0,83.0,76.0,1047.0,60.0,2.0,34.9109,15.0,57.0,40.0,3.0,58.0,95.0,10.0,0.0,203.0,28.0,1.0,523.0,119.0,34.0,,1.0,25.0,10.0,480.0,31.0,40.0,20.0,3.0,134.0,35.0,0.0,1323.0,5.0,25.0,358.0,24.0,17.0,509.0,22.0,38.0,51.0,223.0,1991.0,242.0,4.0,1.0,37.0,628.0,19.0,1.6155,3.0,66.0,117.0,2.0,3.0,1.0,,,9.0,,,1.0,,,,,,8.0,10.0,17.0,,,,,,,,,,,,,,,,,,,,,,,
