playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,penaltiesSaved,expectedAssists,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,goalAssists,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,expectedGoalsOnTargetConceded,ownGoalScored,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,cornersWon,totalLossesOfPossession,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,interceptions,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,throughBalls,successfulLayoffs,unsuccessfulCrossesOpenPlay,offsides,oboxBlocked,substituteOn,shotsOnTargetOutsideBox,successfulCrossesAndCorners,penaltiesConceded,totalTouchesInOppositionBox,throwInsToOppositionPlayer,putthroughBlockedDistributionWon,oboxTarget,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,shotsOffTargetIncWoodwork,tacklesWon,blocks,totalFoulsConceded,clearancesOffTheLine,backwardPasses,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,foulAttemptedTackle,handballsConceded,expectedGoals,iboxTarget,shotsOnTargetInBox,shotsBlockedInBox,iboxBlocked,expectedGoalsFreekick,cornersTakenInclShortCorners,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,redCards2ndYellow,hitWoodwork,goals,penaltiesTaken,rightFootGoals,leftFootGoals,penaltyGoals,unsuccessfulLayoffs,foulWonPenalty,headedGoals,otherGoals
192301,Jon Gorenc Stankovic,Midfielder,SK Puntigamer Sturm Graz,199,Slovenia,2017-18,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5589,Dean Whitehead,Midfielder,Huddersfield Town,38,England,2017-18,1.0,,0.0041,0.0,,,,6.0,4.0,,,8.0,50.0,,1.0,,,68.0,,1.0,,1.0,,41.0,,,1.9655,,,,,3.0,1.0,15.0,,,2.0,,14.0,5.0,4.0,,,,11.0,3.0,1.0,1.0,0.0,,49.0,,8.0,,,,15.0,2.0,1.0,54.0,1.0,31.0,,0.0,2.0,5.0,,,,,,,,,,,4.0,,,,,,1.0,,,,,,,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
79619,Jonathan Hogg,Midfielder,Huddersfield Town,38,England,2017-18,145.0,,0.8773,1.0,,93.0,,158.0,30.0,,29.0,210.0,1413.0,,65.0,6.0,,2406.0,30.0,164.0,2.0,56.0,129.0,1141.0,,,38.9086,,9.0,5.0,45.0,39.0,115.0,406.0,,30.0,309.0,,436.0,209.0,30.0,,,29.0,537.0,37.0,244.0,35.0,0.0,,1380.0,2.0,264.0,8.0,,,408.0,69.0,62.0,1815.0,21.0,667.0,,8.0,52.0,69.0,1.0,4.0,2.0,0.1953,8.0,2.0,9.0,2.0,,3.0,1.0,2.0,1.0,,4.0,,39.0,2.0,4.0,2.0,6.0,64.0,12.0,32.0,1.0,163.0,2.0,11.0,3.0,22.0,1.0,0.4837,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,
168991,Philip Billing,Midfielder,Bournemouth,91,Denmark,2017-18,49.0,,0.3638,0.0,,25.0,,66.0,16.0,,8.0,90.0,371.0,,37.0,2.0,,760.0,12.0,60.0,3.0,24.0,35.0,265.0,,,10.8297,,2.0,1.0,13.0,11.0,37.0,88.0,,6.0,109.0,,129.0,73.0,16.0,,,9.0,119.0,8.0,72.0,25.0,0.0,,365.0,3.0,127.0,4.0,,,86.0,18.0,16.0,520.0,6.0,164.0,,3.0,24.0,27.0,2.0,1.0,2.0,0.1421,6.0,1.0,13.0,10.0,1.0,1.0,8.0,2.0,2.0,1.0,,9.0,16.0,2.0,2.0,10.0,4.0,16.0,1.0,14.0,,68.0,2.0,4.0,1.0,8.0,,0.1967,,,,,,,,,,,,,,,,,,,,,
74471,Aaron Mooy,Midfielder,Celtic,61,Australia,2017-18,160.0,,4.0078,0.0,,102.0,,287.0,36.0,3.0,34.0,389.0,1902.0,,72.0,9.0,,3071.0,39.0,166.0,6.0,94.0,133.0,1411.0,,,47.473,,47.0,8.0,48.0,52.0,121.0,476.0,,16.0,326.0,,718.0,266.0,36.0,,,42.0,1000.0,46.0,254.0,33.0,0.0,,1848.0,16.0,652.0,16.0,,,453.0,38.0,102.0,2539.0,34.0,550.0,,5.0,102.0,91.0,11.0,15.0,7.0,4.2713,14.0,4.0,38.0,67.0,2.0,9.0,2.0,3.0,37.0,,29.0,,34.0,3.0,9.0,148.0,7.0,60.0,5.0,26.0,1.0,255.0,3.0,5.0,9.0,19.0,2.0,2.9693,,,6.0,6.0,0.1746,78.0,16.0,3.0,3.0,47.0,,1.0,4.0,1.0,2.0,2.0,1.0,,,,
246878,Abdelhamid Sabiri,Midfielder,Fiorentina,125,Morocco,2017-18,26.0,,0.134,0.0,,5.0,,29.0,5.0,1.0,2.0,32.0,98.0,,27.0,,,219.0,13.0,24.0,,5.0,10.0,64.0,,,3.4452,,2.0,,2.0,5.0,13.0,25.0,,4.0,50.0,,41.0,8.0,5.0,,,1.0,47.0,5.0,23.0,14.0,0.0,,94.0,,44.0,1.0,,,13.0,1.0,2.0,139.0,1.0,19.0,,1.0,3.0,2.0,,3.0,,,2.0,,3.0,1.0,1.0,1.0,3.0,,,,5.0,,4.0,,3.0,1.0,2.0,4.0,,4.0,,19.0,,2.0,1.0,2.0,,0.262,,,2.0,2.0,,,,,,,,,,,,,,,,,
80755,Danny Williams,Midfielder,Huddersfield Town,38,United States,2017-18,64.0,,0.4116,0.0,,23.0,,69.0,20.0,,11.0,95.0,414.0,,30.0,,,1116.0,21.0,58.0,2.0,21.0,49.0,301.0,,,20.1763,,4.0,,26.0,22.0,43.0,109.0,,16.0,122.0,,127.0,84.0,20.0,,,9.0,141.0,20.0,92.0,9.0,0.0,,407.0,2.0,139.0,10.0,,,115.0,26.0,18.0,605.0,14.0,180.0,,2.0,26.0,21.0,2.0,1.0,2.0,0.4802,11.0,3.0,6.0,6.0,2.0,,9.0,2.0,2.0,,8.0,1.0,10.0,2.0,3.0,6.0,9.0,14.0,2.0,17.0,,63.0,1.0,2.0,,10.0,,0.4126,,,1.0,1.0,,,,,,,,,,,,,,,,,
106450,Alex Pritchard,Midfielder,Birmingham City,41,England,2017-18,66.0,,1.2068,0.0,,18.0,,77.0,14.0,1.0,12.0,98.0,344.0,,21.0,1.0,,1002.0,19.0,57.0,1.0,19.0,55.0,234.0,,,14.4992,,20.0,1.0,8.0,12.0,47.0,78.0,,23.0,123.0,,115.0,69.0,14.0,,,10.0,197.0,11.0,102.0,2.0,0.0,,316.0,7.0,199.0,14.0,,,69.0,5.0,12.0,576.0,5.0,62.0,,1.0,21.0,15.0,3.0,11.0,4.0,1.3326,9.0,1.0,10.0,15.0,1.0,8.0,2.0,3.0,13.0,,23.0,,5.0,3.0,8.0,35.0,5.0,8.0,1.0,5.0,,82.0,,6.0,8.0,4.0,,1.2487,,,3.0,3.0,0.1954,23.0,7.0,3.0,3.0,13.0,,,1.0,,,1.0,,3.0,1.0,,
86176,Tom Ince,Midfielder,Watford,57,England,2017-18,144.0,,1.2459,0.0,,35.0,,106.0,33.0,,27.0,140.0,685.0,,61.0,5.0,,2453.0,44.0,114.0,4.0,48.0,97.0,528.0,,,32.8868,,18.0,1.0,11.0,39.0,100.0,149.0,,36.0,258.0,,174.0,136.0,33.0,,,8.0,353.0,35.0,197.0,17.0,0.0,,654.0,18.0,316.0,27.0,,,188.0,12.0,17.0,1133.0,11.0,207.0,,0.0,34.0,38.0,8.0,24.0,20.0,4.2491,46.0,2.0,19.0,19.0,10.0,11.0,6.0,8.0,15.0,,86.0,3.0,20.0,8.0,30.0,44.0,26.0,27.0,,22.0,,174.0,12.0,10.0,11.0,10.0,1.0,6.4373,10.0,10.0,13.0,13.0,0.2692,36.0,7.0,4.0,4.0,24.0,,2.0,2.0,,,2.0,,3.0,,,
84112,Collin Quaner,Midfielder,Huddersfield Town U21,8940,Germany,2017-18,109.0,,1.5035,0.0,,22.0,,93.0,26.0,4.0,13.0,109.0,422.0,,41.0,1.0,,1272.0,26.0,85.0,2.0,39.0,70.0,309.0,,,21.9016,,13.0,3.0,13.0,23.0,83.0,66.0,,26.0,194.0,,146.0,91.0,26.0,,,7.0,231.0,21.0,153.0,15.0,0.0,,420.0,12.0,229.0,23.0,,,97.0,11.0,4.0,713.0,13.0,86.0,,4.0,16.0,23.0,4.0,4.0,4.0,0.23,12.0,,24.0,18.0,3.0,1.0,13.0,1.0,4.0,,62.0,1.0,20.0,1.0,19.0,18.0,8.0,15.0,4.0,14.0,,113.0,2.0,5.0,1.0,7.0,,1.2569,3.0,3.0,3.0,3.0,,1.0,,,,,,,,,,,,4.0,,,
