playerId,playerName,position,team,nationality,season,duelsLost,penaltiesSaved,expectedAssists,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,crossesNotClaimed,lastPlayerTackle,successfulPassesOppositionHalf,goalsConcededInsideBox,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,tacklesWon,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,substituteOn,putthroughBlockedDistribution,penaltyGoalsConceded,substituteOff,successfulCrossesOpenPlay,blockedShots,overruns,totalShots,unsuccessfulShortPasses,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,oboxBlocked,successfulCrossesAndCorners,totalTouchesInOppositionBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,putthroughBlockedDistributionWon,tacklesLost,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,shotsOffTargetIncWoodwork,cornersWon,successfulDribbles,blocks,interceptions,clearancesOffTheLine,backwardPasses,throwInsToOwnPlayer,hitWoodwork,shotsBlockedOutsideBox,foulAttemptedTackle,expectedGoals,shotsOnTargetIncGoals,expectedGoalsOnTarget,offsides,shotsOnTargetOutsideBox,iboxTarget,shotsOnTargetInBox,oboxTarget,handballsConceded,penaltiesConceded,goals,awayGoals,shotsBlockedInBox,homeGoals,headedGoals,iboxBlocked,leftFootGoals,throughBalls,cornersTakenInclShortCorners,rightFootGoals,unsuccessfulLayoffs,expectedGoalsFreekick,successfulCornersIntoBox,redCards2ndYellow,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,secondGoalAssists,foulWonPenalty,penaltiesTaken,penaltyGoals
12390,Allan McGregor,Goalkeeper,Rangers,Scotland,2014-15,3.0,2.0,0.0472,0.0,21.0,1.0,25.0,26.0,26.0,368.0,636.0,197.0,8.0,4.0,5.0,2.0,2340.0,1.0,6.0,11.0,3.0,51.0,2.0,13.0,29.6479,122.0,24.0,39.0,2.0,26.0,64.0,5.0,0.0,9.0,1.0,599.0,216.0,26.0,2.0,1.0,171.0,28.0,1.0,5.0,3.0,0.0,140.0,269.0,374.0,1.0,127.0,12.0,11.0,1.0,217.0,829.0,186.0,97.0,38.0,0.0,368.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11974,Eldin Jakupovic,Goalkeeper,Everton,Switzerland,2014-15,,,0.0056,0.0,1.0,,3.0,3.0,2.0,42.0,69.0,21.0,,1.0,1.0,,227.0,,1.0,1.0,,4.0,,3.0,3.5033,14.0,9.0,2.0,,,8.0,,0.0,1.0,,67.0,20.0,3.0,,,18.0,1.0,,,1.0,0.0,10.0,31.0,42.0,,15.0,5.0,2.0,,23.0,91.0,25.0,9.0,5.0,0.0,42.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881,Steve Harper,Goalkeeper,Sunderland,England,2014-15,2.0,,0.0161,0.0,14.0,,11.0,10.0,10.0,143.0,253.0,73.0,6.0,4.0,4.0,1.0,853.0,,6.0,1.0,2.0,33.0,,7.0,12.7146,39.0,10.0,10.0,2.0,10.0,30.0,3.0,0.0,8.0,,232.0,89.0,10.0,,,66.0,9.0,,4.0,4.0,0.0,46.0,104.0,145.0,,45.0,8.0,11.0,,77.0,332.0,75.0,44.0,19.0,0.0,143.0,16.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192358,Rory Watson,Goalkeeper,Scunthorpe United,England,2014-15,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15137,Liam Rosenior,Defender,Brighton and Hove Albion U23,England,2014-15,23.0,,0.4497,0.0,,7.0,,13.0,5.0,57.0,292.0,,,11.0,,,577.0,6.0,21.0,3.0,16.0,219.0,,,8.6879,7.0,20.0,9.0,17.0,75.0,,1.0,0.0,44.0,,122.0,28.0,13.0,,,151.0,6.0,9.0,33.0,5.0,0.0,,289.0,96.0,3.0,,,54.0,4.0,16.0,450.0,21.0,87.0,,0.0,28.0,10.0,8.0,11.0,,2.0,3.0,1.0,5.0,3.0,29.0,1.0,1.0,15.0,1.0,3.0,7.0,8.0,2.0,4.0,4.0,4.0,15.0,3.0,2.0,8.0,3.0,11.0,1.0,41.0,49.0,1.0,1.0,2.0,0.1056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122798,Andy Robertson,Defender,Liverpool,Scotland,2014-15,74.0,,1.0754,0.0,,51.0,,24.0,17.0,153.0,642.0,,,17.0,1.0,,1526.0,8.0,90.0,9.0,81.0,450.0,,,22.0837,20.0,50.0,27.0,66.0,234.0,,8.0,0.0,164.0,,279.0,109.0,24.0,,,247.0,18.0,27.0,147.0,9.0,0.0,,633.0,291.0,37.0,,,27.0,11.0,39.0,1126.0,45.0,256.0,,7.0,65.0,44.0,7.0,28.0,,7.0,14.0,2.0,3.0,8.0,88.0,2.0,5.0,68.0,2.0,14.0,24.0,16.0,15.0,16.0,14.0,17.0,68.0,5.0,11.0,22.0,6.0,40.0,1.0,102.0,113.0,1.0,2.0,6.0,0.3612,3.0,0.4876,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
34285,Maynor Figueroa,Defender,Hull City,Honduras,2014-15,11.0,,0.0473,0.0,,12.0,,3.0,2.0,27.0,95.0,,,12.0,,,213.0,5.0,22.0,,15.0,63.0,,,3.5898,3.0,12.0,5.0,6.0,37.0,,1.0,0.0,33.0,,43.0,13.0,3.0,,,32.0,5.0,2.0,21.0,7.0,0.0,,94.0,41.0,7.0,,,2.0,2.0,5.0,155.0,14.0,37.0,,0.0,17.0,10.0,1.0,9.0,,1.0,1.0,,,2.0,10.0,,,2.0,,1.0,,8.0,2.0,3.0,5.0,,2.0,2.0,,2.0,2.0,1.0,,13.0,9.0,,,1.0,0.0483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19687,Alex Bruce,Defender,Wigan Athletic,Northern Ireland,2014-15,49.0,,0.3382,0.0,,23.0,,22.0,17.0,95.0,389.0,,,85.0,4.0,,1448.0,28.0,83.0,3.0,26.0,264.0,,,15.83,12.0,147.0,17.0,21.0,80.0,,4.0,0.0,132.0,,189.0,61.0,22.0,,,78.0,14.0,1.0,47.0,57.0,0.0,,378.0,104.0,18.0,,,91.0,13.0,30.0,644.0,34.0,216.0,,3.0,47.0,23.0,5.0,14.0,1.0,5.0,,,,1.0,48.0,1.0,,2.0,,,7.0,,,11.0,5.0,,2.0,1.0,,,22.0,25.0,1.0,29.0,,,,7.0,0.0407,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
95658,Harry Maguire,Defender,Manchester United,England,2014-15,11.0,,0.0243,0.0,,5.0,,3.0,,20.0,46.0,,,14.0,,,92.0,5.0,17.0,,8.0,21.0,,,2.6308,1.0,11.0,3.0,6.0,13.0,,,0.0,28.0,,22.0,11.0,3.0,,,13.0,3.0,,14.0,9.0,0.0,,45.0,22.0,5.0,,,9.0,4.0,5.0,81.0,6.0,13.0,,1.0,9.0,1.0,3.0,1.0,,,,,,,11.0,,,1.0,,,2.0,,,1.0,,,1.0,,,3.0,2.0,9.0,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43252,James Chester,Defender,Salford City,Wales,2014-15,86.0,,0.6331,1.0,,55.0,,23.0,23.0,136.0,755.0,,,81.0,7.0,,1872.0,36.0,119.0,4.0,74.0,576.0,,,25.9574,7.0,101.0,20.0,50.0,96.0,,14.0,2.0,205.0,,320.0,118.0,23.0,,,258.0,16.0,7.0,124.0,45.0,1.0,,740.0,166.0,39.0,,,268.0,25.0,43.0,1090.0,20.0,361.0,,5.0,48.0,36.0,,33.0,1.0,4.0,,1.0,,8.0,88.0,,1.0,4.0,,,24.0,9.0,5.0,16.0,16.0,2.0,4.0,4.0,3.0,7.0,14.0,53.0,,71.0,23.0,,,12.0,0.8438,4.0,1.0093,,,2.0,2.0,,1.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,,,,,,,,,,,,,,,
