playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,ownGoalScored,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,penaltiesSaved,cleanSheets,savesFromPenalty,successfulDribbles,interceptions,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,goals,offsides,awayGoals,oboxBlocked,substituteOn,cornersTakenInclShortCorners,successfulCrossesAndCorners,penaltiesConceded,putthroughBlockedDistribution,successfulCornersIntoBox,totalTouchesInOppositionBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,shotsBlockedInBox,putthroughBlockedDistributionWon,homeGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,blocks,totalFoulsConceded,unsuccessfulCornersIntoBox,clearancesOffTheLine,backwardPasses,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,foulAttemptedTackle,expectedGoals,iboxTarget,shotsOnTargetInBox,rightFootGoals,freekickTotal,attemptsFromSetPieces,secondGoalAssists,expectedGoalsFreekick,shotsOnTargetOutsideBox,oboxTarget,headedGoals,handballsConceded,unsuccessfulLayoffs,penaltiesTaken,penaltyGoals,foulWonPenalty
58791,Ryan Mason,Midfielder,Hull City,88,England,2016-17,49.0,0.4459,0.0,,,40.0,16.0,11.0,54.0,377.0,,,18.0,,928.0,14.0,35.0,4.0,31.0,306.0,,6.0,22.263,,,10.0,27.0,35.0,130.0,,16.0,0.0,84.0,,96.0,55.0,16.0,,,166.0,23.0,66.0,4.0,0.0,,372.0,100.0,,,85.0,17.0,520.0,5.0,162.0,,4.0,14.0,19.0,,,,3.0,14.0,3.0,4.0,4.0,0.8076,13.0,13.0,1.0,,15.0,16.0,1.0,,1.0,1.0,5.0,3.0,5.0,,14.0,2.0,14.0,1.0,8.0,3.0,5.0,0.0,4.0,,2.0,20.0,13.0,3.0,9.0,7.0,9.0,4.0,9.0,1.0,,66.0,1.0,7.0,,1.0,6.0,0.6899,1.0,1.0,1.0,,,,,2.0,2.0,,,,,,
49957,Kamil Grosicki,Midfielder,West Bromwich Albion U23,7595,Poland,2016-17,70.0,2.4499,0.0,,,71.0,15.0,12.0,86.0,308.0,,,17.0,,1146.0,15.0,30.0,3.0,28.0,221.0,,1.0,24.0217,,,10.0,27.0,55.0,95.0,,5.0,0.0,100.0,,79.0,45.0,15.0,,,184.0,24.0,83.0,2.0,0.0,,293.0,238.0,,,39.0,1.0,585.0,3.0,62.0,,1.0,15.0,14.0,,,,17.0,12.0,8.0,6.0,7.0,0.9974,6.0,23.0,1.0,3.0,12.0,48.0,,6.0,,1.0,3.0,51.0,24.0,,25.0,16.0,55.0,2.0,20.0,5.0,6.0,,1.0,,22.0,83.0,39.0,5.0,16.0,24.0,5.0,,12.0,29.0,,95.0,6.0,5.0,1.0,1.0,5.0,1.6391,3.0,3.0,,4.0,4.0,1.0,0.2935,4.0,4.0,,3.0,1.0,,,
53371,David Meyler,Midfielder,Reading,108,Ireland,2016-17,58.0,0.4549,0.0,,,61.0,20.0,9.0,97.0,509.0,,,29.0,,954.0,19.0,55.0,5.0,45.0,389.0,,2.0,21.8952,,4.0,23.0,23.0,39.0,120.0,,15.0,0.0,113.0,,160.0,57.0,20.0,,,194.0,18.0,84.0,10.0,0.0,,502.0,156.0,,,148.0,23.0,723.0,25.0,222.0,,2.0,36.0,35.0,,2.0,,3.0,20.0,4.0,2.0,3.0,0.4728,27.0,6.0,1.0,,20.0,11.0,1.0,1.0,1.0,1.0,11.0,,4.0,,20.0,,8.0,16.0,6.0,1.0,10.0,0.0,8.0,,2.0,11.0,16.0,1.0,3.0,6.0,19.0,2.0,9.0,,,81.0,19.0,3.0,1.0,1.0,5.0,0.4748,1.0,1.0,1.0,,,,,1.0,1.0,,,1.0,,,
15109,Tom Huddlestone,Midfielder,Manchester United U21,15988,England,2016-17,84.0,1.3925,1.0,,,136.0,31.0,23.0,225.0,1242.0,,,36.0,,2024.0,14.0,78.0,6.0,56.0,889.0,,5.0,45.3461,1.0,15.0,69.0,44.0,70.0,335.0,,15.0,0.0,162.0,,406.0,181.0,31.0,,,480.0,38.0,126.0,22.0,1.0,,1200.0,271.0,,,333.0,128.0,1549.0,31.0,538.0,,5.0,89.0,43.0,,3.0,,7.0,49.0,,4.0,7.0,1.9909,34.0,17.0,7.0,,38.0,10.0,1.0,1.0,0.0,4.0,8.0,1.0,1.0,2.0,43.0,1.0,11.0,,19.0,,21.0,1.0,10.0,,,11.0,14.0,,10.0,10.0,24.0,11.0,33.0,,,168.0,,7.0,,4.0,25.0,1.3964,,,1.0,1.0,1.0,,0.0486,6.0,6.0,,1.0,,1.0,1.0,
49688,Alfred N'Diaye,Midfielder,Málaga,182,Senegal,2016-17,104.0,0.2986,0.0,,,71.0,15.0,15.0,98.0,562.0,,,39.0,,1277.0,26.0,67.0,4.0,54.0,435.0,,2.0,29.3438,,1.0,16.0,30.0,78.0,130.0,,9.0,1.0,171.0,,161.0,85.0,15.0,,,201.0,26.0,132.0,13.0,0.0,,536.0,141.0,,,155.0,29.0,740.0,8.0,265.0,,7.0,27.0,34.0,,3.0,,8.0,21.0,2.0,3.0,3.0,0.8002,37.0,7.0,2.0,,20.0,4.0,1.0,1.0,0.0,2.0,,,2.0,1.0,26.0,,12.0,,4.0,1.0,13.0,1.0,2.0,,2.0,4.0,21.0,1.0,4.0,5.0,35.0,6.0,34.0,,,116.0,1.0,4.0,1.0,2.0,18.0,0.9699,1.0,1.0,1.0,,,,,1.0,1.0,,1.0,,,,
74033,Sam Clucas,Midfielder,Shrewsbury Town,74,England,2016-17,161.0,2.2523,1.0,,,178.0,37.0,36.0,260.0,1542.0,,,78.0,,3188.0,39.0,182.0,9.0,143.0,1194.0,,10.0,70.1923,,5.0,67.0,74.0,122.0,445.0,,25.0,0.0,343.0,,433.0,192.0,37.0,,,616.0,65.0,265.0,39.0,1.0,,1511.0,400.0,,,353.0,88.0,2125.0,40.0,679.0,,9.0,82.0,75.0,,5.0,,28.0,52.0,7.0,17.0,7.0,2.5694,91.0,25.0,2.0,1.0,52.0,37.0,3.0,1.0,1.0,10.0,1.0,18.0,13.0,1.0,52.0,4.0,41.0,8.0,14.0,7.0,21.0,2.0,31.0,3.0,11.0,49.0,50.0,7.0,18.0,14.0,60.0,9.0,22.0,10.0,,311.0,48.0,6.0,,10.0,17.0,2.7839,1.0,1.0,,2.0,2.0,,0.1511,3.0,3.0,,2.0,3.0,,,
9110,Shaun Maloney,Midfielder,Hull City,88,Scotland,2016-17,13.0,0.4277,0.0,,,15.0,9.0,2.0,16.0,111.0,,,2.0,,279.0,1.0,22.0,,21.0,93.0,,2.0,7.0598,,,2.0,7.0,12.0,29.0,,7.0,1.0,35.0,,32.0,9.0,9.0,,,62.0,7.0,33.0,1.0,0.0,,109.0,31.0,,,15.0,2.0,166.0,,37.0,,0.0,1.0,2.0,,,,6.0,,2.0,1.0,1.0,0.9598,8.0,2.0,,2.0,3.0,7.0,1.0,,1.0,1.0,7.0,3.0,4.0,,3.0,2.0,9.0,,2.0,,1.0,0.0,2.0,1.0,2.0,8.0,6.0,,1.0,4.0,6.0,1.0,3.0,1.0,,35.0,1.0,2.0,,1.0,1.0,0.8666,,,,1.0,1.0,,0.0816,,,,,,,,
52287,Evandro,Midfielder,Hull City,88,Brazil,2016-17,49.0,0.8023,0.0,,,43.0,11.0,7.0,51.0,279.0,,,16.0,,576.0,11.0,46.0,,41.0,220.0,,2.0,10.2694,,,1.0,10.0,38.0,66.0,,20.0,0.0,95.0,,76.0,51.0,11.0,,,147.0,10.0,79.0,5.0,0.0,,266.0,90.0,,,72.0,8.0,390.0,1.0,87.0,,1.0,8.0,14.0,,,,4.0,4.0,1.0,,,,17.0,3.0,1.0,,12.0,3.0,,,,,4.0,7.0,6.0,,18.0,4.0,8.0,,11.0,,9.0,,2.0,,5.0,11.0,13.0,,3.0,3.0,15.0,,14.0,3.0,,65.0,1.0,5.0,,,7.0,0.1213,,,,,,,,,,,1.0,2.0,,,
156686,James Weir,Midfielder,Bolton Wanderers,30,England,2016-17,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240499,Daniel Batty,Midfielder,York City,78,England,2016-17,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
