season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2024-25,12436871,1,40,Ipswich_Town,Home,997087,463034,Liam Delap,liam-delap,F,False,,,1.0,4.0,2.0,6.0,2.0,1.0,3.0,,,,,,,2.0,5.0,2.0,,,0.00382584,,,1.0,0.0,,,,,,2.0,,74.0,,,,,,,10.0,,6.6,,,,,2.0,,,,3.0,,9.0,3.0,12.0,0,,21.0,2.0,1.0,,
2024-25,12436871,1,40,Ipswich_Town,Home,1010010,,Ali Al-Hamadi,ali-al-hamadi,F,True,,,,,1.0,1.0,1.0,2.0,,,,,,,,,1.0,2.0,,,9.9e-07,,,,0.0,,,,,,,,17.0,,,,,,,,,6.6,,,,,1.0,,,,,1.0,,1.0,1.0,0,,3.0,,,,
2024-25,12436898,2,40,Ipswich_Town,Away,997087,463034,Liam Delap,liam-delap,F,False,,,,5.0,2.0,7.0,2.0,,2.0,,,,,,,3.0,11.0,1.0,,,0.00709647,,,4.0,0.0,,,,,,,,83.0,,,,,,,11.0,,6.1,,,,,3.0,2.0,,,,1.0,7.0,3.0,10.0,0,1.0,25.0,3.0,,,
2024-25,12436898,2,40,Ipswich_Town,Away,1010010,,Ali Al-Hamadi,ali-al-hamadi,F,True,,,,,,,,,,,,,1.0,,,,3.0,,,,,,,2.0,0.0,,,,,,,,13.0,,,,,,,,,6.3,,,,,1.0,,,,,,,,,0,,2.0,,,,
2024-25,12436915,3,40,Ipswich_Town,Home,997087,463034,Liam Delap,liam-delap,F,False,,,,2.0,1.0,3.0,1.0,1.0,1.0,,1.0,1.0,,,,3.0,8.0,6.0,,,0.00107942,0.2145,0.3077,4.0,0.0,1.0,,,,,1.0,,81.0,2.0,,,,,,6.0,,7.2,,,1.0,,2.0,1.0,,,,1.0,4.0,1.0,5.0,4,1.0,23.0,1.0,3.0,1.0,1.0
2024-25,12436915,3,40,Ipswich_Town,Home,1010010,,Ali Al-Hamadi,ali-al-hamadi,F,True,,,,2.0,,2.0,,,,,,,,,,,1.0,1.0,,,0.021881,,,1.0,0.0,,,,,,1.0,,9.0,,,,,,,2.0,,6.6,,,,,,,,,,,3.0,,3.0,0,1.0,5.0,1.0,,,
2024-25,12436936,4,40,Ipswich_Town,Away,839712,222625,George Hirst,george-hirst,F,True,,,,2.0,1.0,3.0,2.0,1.0,,,,,,,,,3.0,1.0,,,0.00395153,,,1.0,0.0,,,,,,1.0,,31.0,,,,,,,3.0,,6.6,,,,,,,1.0,,,,5.0,1.0,5.0,0,,7.0,,,,
2024-25,12436936,4,40,Ipswich_Town,Away,997087,463034,Liam Delap,liam-delap,F,False,,,,,1.0,1.0,,,2.0,,1.0,,,,,1.0,5.0,2.0,,,3.092e-05,0.2059,,3.0,0.0,,,,1.0,1.0,,,59.0,,,,,,,9.0,,6.2,,,1.0,,1.0,2.0,,,,1.0,2.0,1.0,3.0,1,,15.0,5.0,1.0,1.0,
2024-25,12436973,5,40,Ipswich_Town,Away,839712,222625,George Hirst,george-hirst,F,True,,,,2.0,1.0,3.0,1.0,2.0,1.0,,1.0,,,,,,1.0,3.0,,,0.00796224,0.5025,0.823,,0.0,,,,,,,,17.0,1.0,,,,,,1.0,,6.6,,,1.0,,,,,,,,2.0,1.0,3.0,2,,7.0,1.0,1.0,,
2024-25,12436973,5,40,Ipswich_Town,Away,997087,463034,Liam Delap,liam-delap,F,False,,,,4.0,1.0,5.0,,2.0,3.0,,,1.0,1.0,,,1.0,4.0,7.0,,,0.0273372,0.046,,1.0,0.0,,,,,,,,73.0,,,,,,,8.0,,6.6,,,,,,2.0,,,,,8.0,1.0,9.0,1,,22.0,1.0,4.0,1.0,
2024-25,12436993,6,40,Ipswich_Town,Home,839712,222625,George Hirst,george-hirst,F,True,,,,,,,,,,,,,,,,2.0,2.0,1.0,,,,,,,0.0,,,,,,,,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,0,1.0,4.0,1.0,,,1.0
2024-25,12436993,6,40,Ipswich_Town,Home,997087,463034,Liam Delap,liam-delap,F,False,,,,2.0,2.0,4.0,,1.0,2.0,,1.0,,1.0,,,1.0,2.0,3.0,,,0.00275728,0.5678,1.8928,,0.0,2.0,,,,,,,89.0,3.0,,,,,,10.0,,8.1,,,,,,1.0,,,1.0,,6.0,2.0,8.0,3,,22.0,5.0,2.0,1.0,
2024-25,12437024,7,40,Ipswich_Town,Away,839712,222625,George Hirst,george-hirst,F,True,,,,,,,,1.0,,,,,1.0,,,1.0,2.0,1.0,,,,,,,0.0,,,,,,,,12.0,,,,,,,4.0,,6.4,,,,,,,,,,,2.0,,2.0,0,,4.0,1.0,,,
