season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2022-23,10385501,1,2,Leeds_United,Home,44900,72222,Mateusz Klich,mateusz-klich,M,True,1.0,,,7.0,2.0,8.0,,1.0,2.0,,,,1.0,,,1.0,3.0,1.0,,,0.0254812,0.0,0.0,1.0,,,,,,,,,25.0,,,,,,,,4.0,,6.5,,,,,,,1.0,,,,9.0,3.0,11.0,0,,14.0,,,,
2022-23,10385501,1,2,Leeds_United,Home,542472,80954,Rodrigo,rodrigo,M,False,,,2.0,7.0,4.0,11.0,1.0,,2.0,,,1.0,2.0,,,1.0,4.0,,,,0.0046836,0.1345,0.1098,,,1.0,,,,2.0,,,65.0,1.0,,,,,,,13.0,,6.9,,,1.0,,1.0,,2.0,,4.0,,16.0,4.0,18.0,3,,31.0,2.0,,,
2022-23,10385501,1,2,Leeds_United,Home,800419,200785,Tyler Adams,tyler-adams,M,False,,,1.0,16.0,12.0,28.0,,,8.0,,,,2.0,,,1.0,5.0,4.0,,,0.0120598,0.0228,0.0,2.0,,,,,,1.0,1.0,,90.0,,,,,,,,7.0,,6.8,,,1.0,,2.0,,,,2.0,,19.0,14.0,33.0,1,4.0,50.0,1.0,,,2.0
2022-23,10385501,1,2,Leeds_United,Home,847128,234370,Marc Roca,marc-roca,M,False,,,3.0,19.0,11.0,30.0,,,6.0,,,,2.0,,,1.0,4.0,3.0,,,0.0254579,0.0338,0.3462,1.0,,,,,,2.0,1.0,,73.0,1.0,,,,,,,7.0,,6.9,,,,,,1.0,1.0,,5.0,,25.0,11.0,35.0,1,1.0,45.0,,1.0,1.0,1.0
2022-23,10385501,1,2,Leeds_United,Home,917005,450070,Crysencio Summerville,crysencio-summerville,M,True,,,,1.0,,1.0,,,1.0,,,,,,,,1.0,,,,0.00089885,0.0,0.0,1.0,,,,,,,,,10.0,,,,,,,,1.0,,6.4,,,,,,,,,,,2.0,,2.0,0,,2.0,,,,
2022-23,10385501,1,2,Leeds_United,Home,945806,462635,Joe Gelhardt,joe-gelhardt,M,True,,,,1.0,,1.0,2.0,,,,,,,,,,3.0,,,,0.00243266,0.0,0.0,1.0,,,,,,,,,11.0,,,,,,,,,,6.5,,,,,1.0,,,,,,1.0,,1.0,0,,2.0,,,,
2022-23,10385501,1,2,Leeds_United,Home,973431,427637,Brenden Aaronson,brenden-aaronson,M,False,,,,10.0,5.0,15.0,,,3.0,,,1.0,4.0,,,2.0,7.0,4.0,,,0.0141282,0.0377,0.0,1.0,,,,,,,,,85.0,,,,,,,,15.0,,6.1,,,,,,,5.0,,,,20.0,6.0,21.0,1,2.0,40.0,1.0,2.0,,1.0
2022-23,10385501,1,2,Leeds_United,Home,980640,248937,Sam Greenwood,sam-greenwood,M,True,,,,3.0,2.0,5.0,,,,,,1.0,,,,,,1.0,,,0.00108043,0.0937,0.0,,,,,,,,,,17.0,,,,,,,,2.0,,6.7,,,1.0,,,,2.0,,,,5.0,2.0,5.0,2,1.0,13.0,,,,1.0
2022-23,10385501,1,2,Leeds_United,Home,1067117,470294,Darko Gyabi,darko-gyabi,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385501,1,2,Leeds_United,Home,1142335,547701,Archie Gray,archie-gray,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385737,2,2,Leeds_United,Away,44900,72222,Mateusz Klich,mateusz-klich,M,True,,,,4.0,,4.0,1.0,,,,,,,,,,1.0,2.0,,,0.0515001,0.0,0.0,,,,,,,,2.0,,13.0,,,,,,,,1.0,,6.9,,,,,,,,,1.0,,5.0,,5.0,0,1.0,7.0,,1.0,,1.0
2022-23,10385737,2,2,Leeds_United,Away,103117,80179,Adam Forshaw,adam-forshaw,M,True,,,,1.0,3.0,4.0,,,1.0,,,,2.0,,,,2.0,,,,0.00034504,0.0,0.0,,,,,,,,,,9.0,,,,,,,,,,6.3,,,,,,,,,,,1.0,3.0,4.0,0,,7.0,,,,
