playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,fiftyFifty,totalRedCards,expectedGoalsFreekick,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,successfulFiftyFifty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,awayGoals,oboxBlocked,substituteOn,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,oboxTarget,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,freekickTotal,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,successfulCrossesAndCorners,throwInsToOppositionPlayer,foulWonPenalty,goals,rightFootGoals,headedGoals,hitWoodwork,handballsConceded,leftFootGoals,clearancesOffTheLine,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,successfulCornersIntoBox,unsuccessfulCornersIntoBox,cornersTakenInclShortCorners,ownGoalScored,secondGoalAssists,penaltiesConceded,setPiecesGoals,penaltiesTaken,penaltyGoals
80179,Adam Forshaw,Midfielder,Leeds,2,England,2021-22,88.0,0.6573,64.0,0.0,0.0077,4.0,4.0,0.3138,53.0,10.0,6.0,108.0,22.0,1.0,6.0,37.0,17.0,136.0,5.0,826.0,2.0,0.0,3.0,5.0,22.0,2.0,2.0,2.0,1529.0,2.0,2.0,11.0,91.0,4.0,34.0,80.0,637.0,11.0,4.0,30.2896,12.0,3.0,12.0,41.0,1.0,77.0,250.0,15.0,0.0,179.0,16.0,0.0,243.0,119.0,22.0,2.0,30.0,7.0,307.0,37.0,5.0,18.0,1.0,1.0,157.0,11.0,0.0,800.0,6.0,1.0,189.0,23.0,12.0,1.0,1.0,192.0,26.0,19.0,53.0,141.0,1043.0,5.0,4.0,3.0,10.0,383.0,19.0,0.4892,5.0,28.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547701,Archie Gray,Midfielder,Leeds,2,England,2021-22,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492373,Charlie Cresswell,Defender,Leeds,2,England,2021-22,6.0,0.0062,2.0,0.0,,,,,5.0,1.0,,14.0,5.0,,,2.0,1.0,29.0,1.0,104.0,1.0,0.0,,4.0,9.0,,,,139.0,,,3.0,11.0,,1.0,5.0,71.0,1.0,1.0,4.4443,,,6.0,4.0,,3.0,25.0,,0.0,17.0,,0.0,47.0,6.0,5.0,,3.0,,13.0,4.0,1.0,,,,8.0,6.0,0.0,103.0,1.0,1.0,32.0,2.0,,1.0,,26.0,3.0,2.0,4.0,6.0,125.0,,,,7.0,62.0,1.0,0.079,1.0,15.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433590,Cody Drameh,Defender,Leeds,2,England,2021-22,7.0,0.0309,3.0,0.0,,,,,4.0,,,13.0,3.0,,,2.0,1.0,14.0,1.0,55.0,,0.0,,2.0,2.0,,,,126.0,,,1.0,7.0,,5.0,6.0,39.0,2.0,,4.24,1.0,1.0,3.0,6.0,,6.0,2.0,,0.0,14.0,,0.0,26.0,3.0,3.0,,2.0,2.0,22.0,6.0,1.0,2.0,,,12.0,1.0,0.0,53.0,,,27.0,2.0,2.0,,,9.0,2.0,1.0,2.0,18.0,103.0,20.0,,,1.0,20.0,2.0,,1.0,1.0,10.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450070,Crysencio Summerville,Forward,Leeds,2,Netherlands,2021-22,13.0,0.1099,5.0,0.0,,1.0,,,5.0,1.0,,16.0,6.0,,5.0,3.0,,16.0,3.0,66.0,,0.0,,6.0,6.0,,,,126.0,,,6.0,10.0,,5.0,10.0,49.0,9.0,,1.1413,2.0,,,1.0,1.0,7.0,16.0,1.0,0.0,23.0,2.0,0.0,17.0,11.0,6.0,,2.0,3.0,30.0,1.0,3.0,5.0,,1.0,17.0,,0.0,66.0,1.0,1.0,28.0,3.0,4.0,,,15.0,1.0,2.0,1.0,18.0,100.0,1.0,1.0,,,20.0,1.0,0.2393,0.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200617,Daniel James,Midfielder,Leeds,2,Wales,2021-22,154.0,1.6886,73.0,1.0,,15.0,18.0,4.6185,26.0,39.0,2.0,121.0,34.0,4.0,11.0,37.0,31.0,134.0,59.0,470.0,15.0,3.0,6.0,3.0,69.0,3.0,3.0,10.0,2500.0,10.0,2.0,55.0,99.0,4.0,48.0,85.0,328.0,125.0,3.0,40.2728,23.0,,11.0,49.0,8.0,99.0,116.0,38.0,0.0,253.0,19.0,1.0,130.0,86.0,34.0,3.0,11.0,33.0,239.0,45.0,59.0,58.0,,8.0,184.0,14.0,1.0,441.0,21.0,25.0,321.0,15.0,21.0,1.0,,103.0,31.0,8.0,8.0,121.0,895.0,4.0,12.0,6.0,4.0,103.0,17.0,6.0738,7.0,13.0,29.0,6.0,6.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
149915,Diego Llorente,Defender,Leeds,2,Spain,2021-22,109.0,0.1903,61.0,0.0,,1.0,3.0,0.1838,53.0,9.0,1.0,133.0,28.0,,,33.0,28.0,252.0,2.0,1357.0,,2.0,,,114.0,5.0,,,2343.0,,,64.0,131.0,6.0,38.0,81.0,1019.0,11.0,2.0,35.9263,2.0,11.0,75.0,44.0,1.0,45.0,321.0,21.0,1.0,240.0,18.0,1.0,498.0,171.0,28.0,,22.0,5.0,292.0,38.0,2.0,8.0,,1.0,126.0,50.0,0.0,1327.0,6.0,1.0,286.0,31.0,8.0,17.0,,444.0,23.0,40.0,86.0,94.0,1704.0,10.0,4.0,,45.0,813.0,10.0,0.9914,7.0,119.0,94.0,,,1.0,,3.0,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
165808,Hélder Costa,Forward,Leeds,2,Angola,2021-22,2.0,0.001,,0.0,,,,,,1.0,,,1.0,,,,,,,5.0,,0.0,,1.0,1.0,,,,20.0,,,1.0,2.0,,1.0,2.0,5.0,,,,,,,,,1.0,,2.0,0.0,4.0,1.0,0.0,,1.0,1.0,,,,1.0,,,,,,3.0,,0.0,5.0,1.0,,1.0,,,,,1.0,1.0,,,4.0,10.0,,,,,4.0,,0.0075,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437495,Illan Meslier,Goalkeeper,Leeds,2,France,2021-22,2.0,0.0087,3.0,0.0,,,,,1.0,,,11.0,38.0,,,2.0,38.0,346.0,,1115.0,,0.0,,,17.0,5.0,,,3385.0,,,2.0,21.0,7.0,2.0,6.0,618.0,,5.0,61.5304,,26.0,45.0,79.0,,,361.0,5.0,0.0,23.0,,0.0,519.0,338.0,38.0,,,,47.0,72.0,,,,,6.0,15.0,0.0,738.0,,,359.0,1.0,2.0,,,235.0,,,151.0,,1637.0,,1.0,,125.0,722.0,,,2.0,335.0,130.0,,,,,,,,,,,,20.0,51.0,5.0,5.0,18.0,143.0,10.0,3.0,1.0,478.0,84.0,31.0,91.0,,,,,,,,,
221399,Jack Harrison,Forward,Leeds,2,England,2021-22,254.0,2.5431,80.0,0.0,,16.0,17.0,4.0454,57.0,27.0,7.0,214.0,35.0,1.0,9.0,30.0,32.0,257.0,110.0,870.0,4.0,6.0,4.0,3.0,73.0,2.0,4.0,5.0,2648.0,5.0,3.0,54.0,153.0,6.0,88.0,134.0,593.0,106.0,5.0,52.0597,41.0,1.0,16.0,68.0,12.0,200.0,303.0,23.0,2.0,407.0,34.0,2.0,283.0,170.0,35.0,4.0,20.0,60.0,398.0,62.0,124.0,126.0,,12.0,334.0,19.0,0.0,861.0,10.0,35.0,608.0,37.0,54.0,1.0,,82.0,29.0,21.0,20.0,202.0,1595.0,25.0,12.0,4.0,18.0,233.0,22.0,4.3537,3.0,43.0,78.0,12.0,18.0,1.0,,8.0,3.0,,,,5.0,,,,,,,,,,,,,,,6.0,14.0,24.0,,,,,,
492374,Jack Jenkins,Midfielder,Leeds,2,England,2021-22,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
