matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperGoals,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalDistance,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,winningGoal,wonContest,wonCorners,wonTackle,yellowCard
2444479,1,2024-08-19 20:00:00,13,Leicester,Home,136.0,10.0,,8.0,8.0,,1.0,83.0,3.0,,5.0,4.0,4.0,9.0,211.0,,2.0,13.0,9.0,8.0,3.0,1.0,1.0,,,,,,,1.0,,1.0,5.0,,,,,,1.0,6.0,12.0,3.0,6.0,1.0,52.0,47.0,2.0,1.0,1.0,4.0,14.0,1.0,13.0,1.0,,2.0,4.0,7.0,,14.0,2.0,56.0,49.0,4.0,38.0,19.0,,,,,,,,34.0,11.0,12.0,1.0,,2.0,2.0,,110.0,1.0,,1.0,1.0,,,6.0,1.0,,,19.0,,10.0,10.0,1.0,,5.0,58.0,39.0,15.0,13.0,,2.0,3.0,3.0,253.0,6.0,1.0,,24.0,22.0,22.0,,,,,,114.0,114.0,4.0,21.0,12.0,29.5,,,1.0,,19.0,0.0,55.0,6.0,,5.0,,,3.0,,,3.0,35.0,199.0,14.0,5.0,159.0,17.0,38.0,16.0,2.0,15.0,13.0,,,57.0,4.0,131.0,,,21.0,6.0,37.0,2.0,275.0,,0.0,7.0,22.0,3.0,16.0,1.0,498.0,11.0,14.0,,7.0,2.0,15.0,0.0
2444484,2,2024-08-24 15:00:00,13,Leicester,Away,301.0,17.0,4.0,5.0,1.0,,,85.0,9.0,,8.0,1.0,6.0,17.0,381.0,,,8.0,17.0,13.0,3.0,2.0,4.0,1.0,,1.0,,1.0,,1.0,,,4.0,,,,,,1.0,6.0,13.0,5.0,6.0,4.0,65.0,47.0,1.0,,1.0,,15.0,2.0,4.0,,1.0,5.0,4.0,2.0,1.0,7.0,2.0,46.0,55.0,,30.0,13.0,,1.0,,,,,,37.0,13.0,14.0,,,1.0,1.0,1.0,141.0,1.0,1.0,1.0,,1.0,,12.0,,2.0,1.0,13.0,,7.0,7.0,1.0,,8.0,111.0,49.0,27.0,7.0,,2.0,4.0,4.0,427.0,5.0,1.0,,33.0,30.0,16.0,,,,,,114.0,114.0,1.0,22.0,15.0,45.8,,,,,22.0,0.0,137.0,4.0,,4.0,,1.0,4.0,,,4.0,26.0,359.0,15.0,6.0,332.0,29.0,30.0,14.0,5.0,12.0,7.0,,1.0,52.0,5.0,134.0,2.0,,14.0,6.0,43.0,5.0,454.0,,0.0,10.0,21.0,1.0,10.0,2.0,647.0,10.0,12.0,,7.0,5.0,14.0,0.0
2444495,3,2024-08-31 15:00:00,13,Leicester,Home,212.0,16.0,1.0,4.0,3.0,,1.0,249.0,4.0,2.0,4.0,3.0,10.0,18.0,457.0,,,6.0,10.0,9.0,3.0,1.0,,,,,,,,,,,7.0,,,,,,2.0,12.0,8.0,2.0,3.0,6.0,79.0,50.0,1.0,,1.0,1.0,8.0,1.0,13.0,,,1.0,7.0,6.0,,10.0,2.0,53.0,58.0,1.0,18.0,7.0,,,,,,,,60.0,13.0,21.0,,,4.0,4.0,,155.0,1.0,,,1.0,,,4.0,1.0,,,7.0,,11.0,11.0,2.0,,5.0,135.0,51.0,38.0,4.0,,2.0,3.0,3.0,488.0,2.0,1.0,,66.0,47.0,23.0,,,,,,110.0,110.0,3.0,17.0,25.0,57.6,,,,1.0,15.0,0.0,144.0,2.0,1.0,3.0,1.0,,5.0,,1.0,5.0,76.0,433.0,8.0,5.0,227.0,32.0,18.0,13.0,1.0,18.0,17.0,105379.25,,104.0,3.0,304.0,,2.0,6.0,10.0,34.0,3.0,513.0,,0.0,9.0,22.0,1.0,6.0,4.0,700.0,16.0,18.0,,6.0,1.0,11.0,0.0
2444503,4,2024-09-14 15:00:00,13,Leicester,Away,122.0,13.0,1.0,2.0,1.0,1.0,1.0,83.0,2.0,,8.0,4.0,9.0,17.0,203.0,,2.0,16.0,21.0,12.0,5.0,2.0,1.0,1.0,,,,,,1.0,,,7.0,,,,,,1.0,10.0,16.0,4.0,7.0,2.0,48.0,49.0,3.0,1.0,2.0,3.0,16.0,1.0,4.0,,,2.0,2.0,2.0,,18.0,1.0,63.0,52.0,3.0,20.0,8.0,,,,,,,,45.0,15.0,10.0,1.0,,1.0,2.0,,130.0,2.0,,2.0,2.0,,,6.0,2.0,1.0,1.0,8.0,,8.0,8.0,1.0,,8.0,52.0,61.0,24.0,5.0,1.0,4.0,5.0,4.0,270.0,10.0,,,30.0,23.0,25.0,1.0,1.0,1.0,,,141.0,141.0,3.0,13.0,21.0,32.8,,2.0,,1.0,26.0,0.0,63.0,2.0,,2.0,,1.0,4.0,,,3.0,36.0,190.0,16.0,9.0,146.0,27.0,20.0,17.0,2.0,8.0,6.0,108245.83,1.0,78.0,5.0,155.0,1.0,,25.0,9.0,54.0,,293.0,,0.0,9.0,19.0,2.0,24.0,3.0,513.0,16.0,13.0,,11.0,2.0,8.0,0.0
2444514,5,2024-09-21 15:00:00,13,Leicester,Home,204.0,19.0,1.0,8.0,7.0,1.0,1.0,193.0,7.0,,6.0,4.0,2.0,25.0,389.0,,,23.0,12.0,17.0,7.0,2.0,3.0,,,,,,,,,,8.0,,,,,,1.0,4.0,13.0,4.0,10.0,2.0,71.0,47.0,1.0,1.0,1.0,2.0,7.0,3.0,7.0,,,6.0,14.0,6.0,,9.0,1.0,48.0,61.0,2.0,13.0,4.0,,,,,,,,55.0,11.0,12.0,,,4.0,5.0,,173.0,,,,,,,8.0,,1.0,,4.0,,4.0,4.0,,,6.0,109.0,52.0,38.0,1.0,1.0,7.0,2.0,2.0,436.0,6.0,,,99.0,43.0,43.0,,,,,,138.0,138.0,5.0,19.0,17.0,58.5,,,1.0,,16.0,0.0,107.0,4.0,,4.0,1.0,,7.0,1.0,,3.0,105.0,368.0,7.0,9.0,225.0,38.0,13.0,17.0,4.0,29.0,25.0,108548.62,,145.0,1.0,264.0,1.0,,9.0,3.0,43.0,2.0,460.0,,0.0,12.0,24.0,1.0,25.0,1.0,674.0,29.0,24.0,,8.0,6.0,17.0,0.0
2444521,6,2024-09-28 15:00:00,13,Leicester,Away,122.0,8.0,,2.0,2.0,1.0,1.0,51.0,3.0,2.0,4.0,5.0,7.0,17.0,171.0,,,15.0,18.0,15.0,3.0,,,1.0,0.0,,,,1.0,,,,4.0,0.0,,,,,1.0,5.0,28.0,8.0,5.0,,40.0,31.0,,,,3.0,9.0,1.0,18.0,,,,2.0,,2.0,8.0,9.0,61.0,54.0,3.0,63.0,30.0,,2.0,0.174366,0.3229,,0.2144,5.7093,18.0,6.0,11.0,,,1.0,2.0,,114.0,2.0,1.0,2.0,1.0,1.0,,10.0,1.0,1.0,,30.0,,6.0,6.0,1.0,0.0,4.0,43.0,47.0,24.0,17.0,0.0,1.0,4.0,3.0,207.0,9.0,2.0,1.0,21.0,14.0,9.0,,,,,,98.0,98.0,,18.0,5.0,25.4,,,,3.0,13.0,0.0,35.0,9.0,4.0,13.0,1.0,1.0,1.0,,0.0,5.0,23.0,157.0,9.0,5.0,150.0,10.0,63.0,15.0,,4.0,4.0,107856.91,1.0,35.0,5.0,86.0,2.0,2.0,21.0,7.0,44.0,1.0,232.0,,0.0,5.0,24.0,,16.0,4.0,456.0,11.0,12.0,0.0,4.0,,14.0,0.0
2444537,7,2024-10-05 15:00:00,13,Leicester,Home,184.0,17.0,,1.0,1.0,4.0,,97.0,10.0,,2.0,13.0,11.0,33.0,280.0,,2.0,23.0,17.0,21.0,4.0,,,,,,,,,,,1.0,6.0,,,,,,,6.0,15.0,4.0,3.0,3.0,63.0,53.0,2.0,1.0,1.0,4.0,11.0,1.0,9.0,,,,5.0,1.0,,11.0,1.0,58.0,55.0,4.0,36.0,18.0,,,,,,,,49.0,12.0,14.0,,,,,,153.0,1.0,,,1.0,,,14.0,1.0,2.0,1.0,18.0,,7.0,7.0,1.0,,2.0,84.0,68.0,34.0,9.0,1.0,3.0,2.0,2.0,336.0,6.0,2.0,,34.0,45.0,17.0,,,,,,141.0,141.0,1.0,28.0,17.0,44.1,,,,,20.0,0.0,68.0,1.0,1.0,2.0,,,3.0,,,4.0,39.0,262.0,11.0,5.0,209.0,34.0,36.0,17.0,,6.0,6.0,114503.55,,72.0,10.0,165.0,2.0,,36.0,11.0,73.0,2.0,368.0,,0.0,6.0,14.0,4.0,26.0,4.0,575.0,13.0,19.0,,6.0,,10.0,0.0
2444547,8,2024-10-19 15:00:00,13,Leicester,Away,174.0,9.0,4.0,8.0,5.0,,3.0,254.0,7.0,,8.0,3.0,11.0,23.0,420.0,1.0,1.0,16.0,12.0,7.0,11.0,4.0,3.0,,,,,,,,,,12.0,1.0,,1.0,,1.0,2.0,5.0,14.0,,14.0,4.0,90.0,47.0,3.0,2.0,2.0,2.0,4.0,4.0,6.0,,1.0,6.0,16.0,4.0,,8.0,1.0,49.0,54.0,2.0,22.0,13.0,,,,,,,,67.0,10.0,10.0,1.0,,2.0,3.0,,161.0,2.0,1.0,2.0,1.0,1.0,,7.0,1.0,2.0,,13.0,2.0,5.0,5.0,2.0,,8.0,124.0,51.0,34.0,10.0,1.0,10.0,7.0,4.0,472.0,2.0,,,77.0,65.0,43.0,,,,,1.0,121.0,121.0,5.0,9.0,23.0,58.0,2.0,,3.0,1.0,15.0,0.0,117.0,5.0,,6.0,2.0,,10.0,1.0,1.0,4.0,138.0,403.0,4.0,17.0,192.0,25.0,22.0,20.0,5.0,27.0,23.0,,,176.0,3.0,327.0,2.0,,9.0,11.0,39.0,2.0,492.0,2.0,0.0,18.0,30.0,2.0,17.0,3.0,705.0,41.0,6.0,,7.0,6.0,17.0,0.0
2444557,9,2024-10-25 20:00:00,13,Leicester,Home,212.0,11.0,3.0,7.0,4.0,1.0,,277.0,8.0,2.0,6.0,6.0,14.0,20.0,482.0,,1.0,23.0,15.0,24.0,9.0,,,,,,,,,,,,10.0,,,,,,1.0,12.0,12.0,8.0,5.0,6.0,75.0,51.0,1.0,,1.0,1.0,9.0,3.0,15.0,,,6.0,11.0,9.0,,8.0,1.0,64.0,53.0,1.0,26.0,18.0,1.0,,,,,,,77.0,16.0,9.0,1.0,,2.0,1.0,,167.0,1.0,,1.0,1.0,,,8.0,1.0,,1.0,18.0,,6.0,6.0,,,6.0,155.0,56.0,45.0,7.0,,7.0,3.0,1.0,538.0,6.0,3.0,,69.0,55.0,35.0,,,,,,135.0,135.0,4.0,21.0,20.0,64.4,,,,1.0,17.0,0.0,163.0,1.0,1.0,2.0,,,7.0,,,3.0,121.0,464.0,9.0,10.0,234.0,25.0,26.0,17.0,5.0,26.0,21.0,,,161.0,4.0,352.0,,2.0,17.0,16.0,38.0,,560.0,2.0,0.0,11.0,14.0,2.0,23.0,5.0,766.0,27.0,16.0,,6.0,6.0,10.0,0.0
2444562,10,2024-11-02 15:00:00,13,Leicester,Away,193.0,19.0,,6.0,6.0,1.0,,159.0,3.0,,5.0,2.0,9.0,25.0,346.0,,2.0,15.0,20.0,18.0,13.0,,6.0,1.0,,,,,,,,1.0,14.0,,,,,,,4.0,8.0,6.0,14.0,6.0,59.0,45.0,3.0,3.0,1.0,2.0,7.0,8.0,8.0,,,6.0,10.0,5.0,,4.0,,54.0,62.0,2.0,18.0,10.0,,1.0,,,,,,54.0,10.0,11.0,,,1.0,1.0,,136.0,1.0,,1.0,1.0,,,10.0,1.0,1.0,,10.0,,4.0,4.0,,,5.0,114.0,54.0,26.0,4.0,,4.0,10.0,6.0,409.0,6.0,2.0,,47.0,41.0,24.0,,,,,,135.0,135.0,3.0,18.0,19.0,57.8,,,1.0,2.0,15.0,0.0,123.0,,1.0,1.0,2.0,1.0,6.0,2.0,1.0,4.0,72.0,333.0,7.0,14.0,222.0,32.0,18.0,24.0,5.0,21.0,16.0,,1.0,109.0,3.0,231.0,1.0,,28.0,9.0,68.0,,432.0,1.0,0.0,20.0,21.0,2.0,17.0,2.0,633.0,40.0,14.0,,12.0,6.0,11.0,0.0
