season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2016-17,7089875,1,13,Leicester_City,Away,1076,17745.0,Kasper Schmeichel,kasper-schmeichel,G,False,,2.0,10.0,6.0,10.0,16.0,,,8.0,,,,,,1.0,,,,,,,,,,,,,,90.0,,,,,,,,13.0,,6.5,2.0,3.0,,1.0,,,2.0,22.0,,17.0,11.0,28.0,0,,36.0,,,,
2016-17,7089875,1,13,Leicester_City,Away,1262,37402.0,Christian Fuchs,christian-fuchs,D,False,,,7.0,27.0,24.0,51.0,1.0,7.0,14.0,,1.0,,1.0,,,,3.0,10.0,,,1.0,,,,,1.0,1.0,,90.0,1.0,1.0,,,,,,14.0,,7.2,,,,3.0,,,,12.0,,34.0,28.0,62.0,1,3.0,81.0,,,,3.0
2016-17,7089875,1,13,Leicester_City,Away,19303,78412.0,Shinji Okazaki,shinji-okazaki,F,True,,,,3.0,1.0,4.0,,,4.0,,,,,,,1.0,2.0,3.0,,,1.0,,,,,,,,22.0,1.0,,,,,,,5.0,,7.0,,,1.0,,2.0,,,,,6.0,1.0,7.0,2,,14.0,1.0,1.0,2.0,
2016-17,7089875,1,13,Leicester_City,Away,20375,15033.0,Wes Morgan,wes-morgan,D,False,,,,5.0,21.0,26.0,2.0,2.0,5.0,,,,,,,,3.0,2.0,,1.0,1.0,,,,,1.0,1.0,,90.0,,,,,,,,18.0,,6.0,,,,2.0,,,,4.0,,13.0,30.0,43.0,0,,47.0,1.0,,,
2016-17,7089875,1,13,Leicester_City,Away,30502,40725.0,Danny Simpson,danny-simpson,D,False,,,1.0,11.0,18.0,29.0,2.0,3.0,3.0,,,,,,,,5.0,4.0,,,3.0,,,,,1.0,,,83.0,,,,,,,,9.0,,6.3,,,,2.0,1.0,2.0,,5.0,,19.0,18.0,35.0,0,,47.0,,,1.0,
2016-17,7089875,1,13,Leicester_City,Away,30530,13152.0,Andy King,andy-king,M,False,,,,13.0,15.0,28.0,,3.0,6.0,,,,2.0,,,,3.0,6.0,,,1.0,,,,,1.0,,,68.0,,,,,,,,10.0,,6.6,,,,2.0,1.0,1.0,,2.0,,20.0,16.0,35.0,0,1.0,45.0,2.0,1.0,1.0,1.0
2016-17,7089875,1,13,Leicester_City,Away,41615,51934.0,Ron-Robert Zieler,ron-robert-zieler,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7089875,1,13,Leicester_City,Away,47737,51938.0,Marc Albrighton,marc-albrighton,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7089875,1,13,Leicester_City,Away,52691,54316.0,Leonardo Ulloa,leonardo-ulloa,F,True,,,,1.0,,1.0,1.0,,,,,,,,,,2.0,,,,1.0,,,,,,,,7.0,,,,,,,,1.0,,,,,,,,,,,,2.0,,2.0,0,,2.0,,,,
2016-17,7089875,1,13,Leicester_City,Away,54330,61603.0,Danny Drinkwater,danny-drinkwater,M,False,,,3.0,32.0,34.0,66.0,1.0,,9.0,,,,3.0,,,2.0,8.0,6.0,,,1.0,,,,,,1.0,,90.0,1.0,,,,,,,16.0,,6.8,,,2.0,1.0,2.0,1.0,,5.0,,42.0,35.0,76.0,3,5.0,93.0,1.0,,1.0,1.0
