season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2020-21,8896963,1,13,Leicester_City,Away,1262,37402,Christian Fuchs,christian-fuchs,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896963,1,13,Leicester_City,Away,329417,166477,Timothy Castagne,timothy-castagne,D,False,,,,21.0,28.0,49.0,1.0,5.0,4.0,,,,,,,2.0,9.0,,,1.0,,1.0,,,2.0,,,90.0,1.0,,,,,,,21.0,,8.0,,,,,2.0,1.0,2.0,,3.0,,36.0,32.0,66.0,1,3.0,96.0,1.0,,1.0,1.0
2020-21,8896963,1,13,Leicester_City,Away,758608,218031,Çağlar Söyüncü,caglar-soyuncu,D,False,,,1.0,28.0,52.0,80.0,1.0,1.0,3.0,,,,,,,1.0,3.0,,,,,,,,1.0,,,90.0,,,,,,,,8.0,,7.1,,,1.0,,2.0,,,,7.0,,33.0,55.0,88.0,1,2.0,96.0,,,,2.0
2020-21,8896963,1,13,Leicester_City,Away,827681,220627,James Justin,james-justin,D,False,,,3.0,18.0,20.0,38.0,4.0,,8.0,,,,,,1.0,8.0,5.0,,,1.0,,,,,3.0,2.0,,90.0,,1.0,,,,,1.0,17.0,,7.6,,,,,3.0,2.0,4.0,,7.0,,26.0,24.0,46.0,0,3.0,83.0,2.0,2.0,,2.0
2020-21,8896963,1,13,Leicester_City,Away,991584,244619,Luke Thomas,luke-thomas,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896919,2,13,Leicester_City,Home,1262,37402,Christian Fuchs,christian-fuchs,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896919,2,13,Leicester_City,Home,20375,15033,Wes Morgan,wes-morgan,D,True,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,0,,1.0,,,,
2020-21,8896919,2,13,Leicester_City,Home,329417,166477,Timothy Castagne,timothy-castagne,D,False,,,1.0,27.0,24.0,51.0,4.0,1.0,4.0,,,,,,,4.0,2.0,,,,1.0,,,,1.0,2.0,,90.0,,,,,,,,15.0,,7.2,,,,,1.0,,4.0,,1.0,,38.0,28.0,62.0,0,1.0,80.0,,,,
2020-21,8896919,2,13,Leicester_City,Home,758608,218031,Çağlar Söyüncü,caglar-soyuncu,D,False,,,5.0,16.0,42.0,58.0,2.0,4.0,4.0,,,1.0,,,,2.0,7.0,,,,,,,,1.0,2.0,,90.0,,2.0,,,,,,12.0,,7.3,,,,,5.0,,,,11.0,,19.0,50.0,69.0,1,2.0,86.0,1.0,1.0,,1.0
2020-21,8896919,2,13,Leicester_City,Home,827681,220627,James Justin,james-justin,D,False,1.0,,1.0,34.0,25.0,58.0,5.0,2.0,3.0,,,1.0,2.0,,1.0,11.0,6.0,,,2.0,,1.0,,,1.0,1.0,,90.0,1.0,,,,,,,14.0,,6.8,,,,,1.0,1.0,5.0,,2.0,,41.0,28.0,64.0,2,,90.0,1.0,4.0,,
2020-21,8896934,3,13,Leicester_City,Away,1262,37402,Christian Fuchs,christian-fuchs,D,True,,,,,1.0,1.0,2.0,,,,,,,,,2.0,2.0,,,,,,,,1.0,,,10.0,,,,,,,,4.0,,6.5,,,,,,,,,1.0,,2.0,2.0,4.0,0,2.0,10.0,1.0,,,1.0
2020-21,8896934,3,13,Leicester_City,Away,30144,37642,Jonny Evans,jonny-evans,D,False,,,1.0,2.0,21.0,23.0,,,1.0,,,,1.0,,,2.0,5.0,,,1.0,,,,,,,,80.0,,,,,,,,2.0,,6.8,,,,,3.0,,,,2.0,,3.0,22.0,25.0,0,4.0,34.0,,1.0,,2.0
2020-21,8896934,3,13,Leicester_City,Away,329417,166477,Timothy Castagne,timothy-castagne,D,False,1.0,,,9.0,13.0,21.0,1.0,2.0,4.0,1.0,,,,,1.0,2.0,3.0,,,,1.0,,,,,1.0,,90.0,,,,,,,,7.0,,6.7,,,,,1.0,,2.0,,1.0,,12.0,15.0,25.0,0,1.0,37.0,1.0,,,1.0
2020-21,8896934,3,13,Leicester_City,Away,758608,218031,Çağlar Söyüncü,caglar-soyuncu,D,False,,,1.0,8.0,15.0,23.0,2.0,2.0,2.0,,,,1.0,,,4.0,4.0,,,1.0,,,,,,,,90.0,,1.0,,,,,,6.0,,6.4,,,,,3.0,,,,4.0,,13.0,16.0,29.0,0,2.0,36.0,,,,1.0
2020-21,8896934,3,13,Leicester_City,Away,827681,220627,James Justin,james-justin,D,False,,,,5.0,10.0,15.0,,,5.0,,,,1.0,,1.0,2.0,9.0,,,,,,,,2.0,,,90.0,,,,,,,,13.0,,7.1,,,,,4.0,1.0,3.0,,1.0,,10.0,12.0,19.0,0,6.0,50.0,2.0,2.0,1.0,2.0
2020-21,8896896,4,13,Leicester_City,Home,1262,37402,Christian Fuchs,christian-fuchs,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896896,4,13,Leicester_City,Home,30144,37642,Jonny Evans,jonny-evans,D,False,,,1.0,18.0,55.0,73.0,6.0,3.0,6.0,,,,,,,7.0,4.0,,,1.0,,,,,4.0,,,90.0,,1.0,,,,,,12.0,,6.5,,,,,1.0,,,,3.0,,26.0,59.0,85.0,0,,93.0,,1.0,,
2020-21,8896896,4,13,Leicester_City,Home,329417,166477,Timothy Castagne,timothy-castagne,D,False,1.0,,1.0,38.0,22.0,59.0,1.0,4.0,8.0,,,,,,1.0,3.0,8.0,,,,,,,,3.0,1.0,,90.0,,,,,,,,15.0,,7.3,,,,,1.0,4.0,1.0,,1.0,,49.0,24.0,72.0,0,1.0,96.0,,,3.0,
2020-21,8896896,4,13,Leicester_City,Home,758608,218031,Çağlar Söyüncü,caglar-soyuncu,D,False,,,4.0,30.0,49.0,79.0,5.0,3.0,4.0,,,,2.0,,,10.0,3.0,,,3.0,,,,,5.0,,,90.0,,1.0,,,,,,10.0,,6.3,,,,,2.0,,,,5.0,,34.0,53.0,87.0,0,,99.0,,,,
2020-21,8896896,4,13,Leicester_City,Home,827681,220627,James Justin,james-justin,D,False,,,3.0,23.0,20.0,43.0,2.0,1.0,6.0,,,,,,2.0,4.0,1.0,,,,,,,,1.0,,,90.0,,1.0,,,,,,20.0,,6.2,,,,,,,4.0,,7.0,,34.0,23.0,53.0,0,,76.0,3.0,,,
2020-21,8896896,4,13,Leicester_City,Home,923894,444463,Wesley Fofana,wesley-fofana,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896913,5,13,Leicester_City,Home,20375,15033,Wes Morgan,wes-morgan,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896913,5,13,Leicester_City,Home,30144,37642,Jonny Evans,jonny-evans,D,False,,,2.0,10.0,37.0,47.0,2.0,6.0,3.0,,,,1.0,,,5.0,10.0,,,2.0,,,,,3.0,,,90.0,,,,,,,,10.0,,6.9,,,,,5.0,,,,7.0,,15.0,42.0,57.0,0,3.0,70.0,,1.0,,1.0
2020-21,8896913,5,13,Leicester_City,Home,329417,166477,Timothy Castagne,timothy-castagne,D,False,,,2.0,21.0,20.0,41.0,4.0,1.0,8.0,,,,1.0,,,9.0,5.0,,,3.0,,,,,,,,90.0,1.0,,,,,,,16.0,,6.6,,,,,3.0,2.0,2.0,,8.0,,29.0,26.0,53.0,1,2.0,77.0,,1.0,1.0,
