season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2021-22,9576403,1,13,Leicester_City,Home,173827,101668,Jamie Vardy,jamie-vardy,F,False,,,,8.0,1.0,9.0,2.0,,1.0,,,,1.0,,1.0,6.0,2.0,,,1.0,,1.0,,,,,2.0,,90.0,3.0,,,,,,,8.0,,7.9,,,3.0,,,2.0,1.0,,1.0,4.0,12.0,1.0,12.0,6,,27.0,2.0,1.0,1.0,
2021-22,9576403,1,13,Leicester_City,Home,345195,168580,Ayoze Pérez,ayoze-perez,F,False,,,1.0,13.0,7.0,20.0,1.0,1.0,2.0,,,,2.0,,,5.0,2.0,,,1.0,,,,,,1.0,3.0,,62.0,,,,,,,,6.0,,6.6,,,,,,1.0,,,1.0,,16.0,7.0,23.0,0,,32.0,2.0,1.0,,
2021-22,9576403,1,13,Leicester_City,Home,359642,173515,Kelechi Iheanacho,kelechi-iheanacho,F,True,,,,4.0,2.0,6.0,1.0,1.0,1.0,,,1.0,,,1.0,2.0,1.0,,,,,,,,,,,,18.0,,,,,,,,8.0,,6.5,,,,,1.0,,,,,,8.0,2.0,10.0,1,,16.0,2.0,,,
2021-22,9576403,1,13,Leicester_City,Home,855647,201666,Harvey Barnes,harvey-barnes,F,False,,,,7.0,3.0,10.0,1.0,,1.0,,,,,,1.0,8.0,2.0,,,1.0,,,,,,,,,72.0,1.0,,,,,,,18.0,,6.1,,,,,,6.0,1.0,,,1.0,12.0,4.0,15.0,1,,35.0,5.0,1.0,1.0,
2021-22,9576403,1,13,Leicester_City,Home,865057,245419,Patson Daka,patson-daka,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576389,2,13,Leicester_City,Away,173827,101668,Jamie Vardy,jamie-vardy,F,False,,,,6.0,5.0,11.0,4.0,1.0,2.0,,,,,,,4.0,1.0,,,,,,,,,,,,81.0,,,,,,,,4.0,,6.5,,,,,3.0,,1.0,,,,9.0,6.0,14.0,0,,19.0,,,,
2021-22,9576389,2,13,Leicester_City,Away,345195,168580,Ayoze Pérez,ayoze-perez,F,False,,,,10.0,2.0,12.0,1.0,,,,,,,,1.0,4.0,1.0,,,1.0,,,,,,,1.0,,40.0,,,,,,,,5.0,,5.4,,,1.0,,,2.0,1.0,,,,13.0,2.0,14.0,1,,19.0,,,1.0,
2021-22,9576389,2,13,Leicester_City,Away,359642,173515,Kelechi Iheanacho,kelechi-iheanacho,F,True,,,,2.0,4.0,6.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,9.0,,,,,,,,,,6.5,,,,,,,,,,,2.0,4.0,6.0,0,,6.0,,,,
2021-22,9576389,2,13,Leicester_City,Away,855647,201666,Harvey Barnes,harvey-barnes,F,False,,,,14.0,3.0,17.0,1.0,2.0,4.0,,,,,,,4.0,3.0,,,,,,,,,,1.0,,64.0,,,,,,,,11.0,,6.2,,,,,1.0,4.0,1.0,,,,19.0,4.0,22.0,0,,31.0,1.0,,1.0,
2021-22,9576389,2,13,Leicester_City,Away,865057,245419,Patson Daka,patson-daka,F,True,,,,,,,,,1.0,,,,,,,1.0,1.0,,,1.0,,,,,,,,,26.0,,,,,,,,2.0,,6.5,,,,,,,,,,,,1.0,1.0,0,1.0,3.0,1.0,,,
2021-22,9576240,3,13,Leicester_City,Away,173827,101668,Jamie Vardy,jamie-vardy,F,False,,,,3.0,2.0,5.0,2.0,1.0,3.0,,1.0,,,,1.0,3.0,5.0,,,,1.0,1.0,,,,,1.0,,90.0,2.0,,,,,,,3.0,,7.9,,,,,2.0,3.0,,,,,5.0,2.0,7.0,2,,19.0,,1.0,3.0,
2021-22,9576240,3,13,Leicester_City,Away,359642,173515,Kelechi Iheanacho,kelechi-iheanacho,F,True,,,,2.0,2.0,4.0,3.0,,2.0,,,,,,,6.0,1.0,,,1.0,,,,,,1.0,,,23.0,,,,,,,,5.0,,6.4,,,1.0,,,3.0,,,2.0,,4.0,3.0,7.0,1,,13.0,,,1.0,
