season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2024-25,12436881,1,13,Leicester_City,Home,151499,96994,Bobby De Cordova-Reid,bobby-de-cordova-reid,M,False,,,,8.0,7.0,15.0,2.0,,,3.0,,,,3.0,,4.0,11.0,1.0,,,0.00644226,0.0622,,2.0,0.0,,,,,,,,86.0,,1.0,,,,,,,14.0,,,6.0,,,1.0,,,3.0,,1.0,,1.0,1.0,13.0,11.0,23.0,,,1,,36.0,,1.0,,
2024-25,12436881,1,13,Leicester_City,Home,545780,157668,Harry Winks,harry-winks,M,False,1.0,,,12.0,22.0,33.0,,,,3.0,,,,4.0,,,5.0,5.0,,,0.0339507,,,1.0,0.0,,,,,1.0,1.0,,90.0,,1.0,,,,,,,7.0,,,7.0,,,,,,,1.0,3.0,,2.0,,16.0,25.0,38.0,,,0,3.0,48.0,,1.0,1.0,2.0
2024-25,12436881,1,13,Leicester_City,Home,605338,154048,Stephy Mavididi,stephy-mavididi,M,True,,,,2.0,,2.0,1.0,,,2.0,,,,,,1.0,5.0,2.0,,,0.0601401,,,1.0,0.0,,,,,,1.0,,11.0,,,,,,,,,5.0,,,6.6,,,,,,,3.0,,,,,3.0,,3.0,,,0,1.0,10.0,1.0,,1.0,1.0
2024-25,12436881,1,13,Leicester_City,Home,787885,203341,Wilfred Ndidi,wilfred-ndidi,M,False,,,,7.0,20.0,27.0,,1.0,,4.0,,,,,1.0,2.0,4.0,5.0,,,0.0078171,0.0739,0.0845,1.0,0.0,,,,,,,,90.0,1.0,2.0,,,,,,,11.0,,,7.5,,,1.0,,,3.0,2.0,,,2.0,,12.0,23.0,35.0,,,2,2.0,58.0,,1.0,1.0,
2024-25,12436881,1,13,Leicester_City,Home,833057,197469,Hamza Choudhury,hamza-choudhury,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436881,1,13,Leicester_City,Home,887581,225902,Boubakary Soumaré,boubakary-soumare,M,True,,,,2.0,1.0,3.0,,1.0,,1.0,,,,,,,,1.0,,,0.00053345,,,,0.0,,,,,,,,11.0,,,,,,,,,1.0,,,6.6,,,,,,,,,,,,2.0,1.0,3.0,,,0,,4.0,1.0,,,
2024-25,12436881,1,13,Leicester_City,Home,1065134,461587,Kasey McAteer,kasey-mcateer,M,True,,,,1.0,1.0,2.0,,1.0,,2.0,,,,1.0,,,1.0,3.0,,,0.00045164,0.0221,,,0.0,,,,,,,,14.0,,,,,,,,,2.0,,,7.0,,,1.0,,,2.0,,,,1.0,,2.0,2.0,4.0,,,1,2.0,13.0,,,,1.0
2024-25,12436881,1,13,Leicester_City,Home,1103589,531442,Abdul Fatawu Issahaku,abdul-fatawu-issahaku,M,False,2.0,,2.0,6.0,10.0,14.0,,1.0,,8.0,1.0,,,3.0,,1.0,9.0,13.0,,,0.604629,,,2.0,1.0,,,,,,2.0,,90.0,,,,,,,,,17.0,,,7.8,,,,,,5.0,6.0,4.0,,4.0,1.0,12.0,11.0,19.0,,,0,6.0,55.0,6.0,3.0,3.0,6.0
2024-25,12436881,1,13,Leicester_City,Home,1117025,536916,Facundo Buonanotte,facundo-buonanotte,M,False,1.0,,,12.0,7.0,18.0,1.0,,,5.0,1.0,,,1.0,,1.0,5.0,7.0,,,0.190397,,,,0.0,,,,,,1.0,,79.0,,,,,,,,,11.0,,,7.0,,,,,,,3.0,3.0,,,,14.0,10.0,21.0,,,0,3.0,39.0,3.0,3.0,1.0,
2024-25,12436894,2,13,Leicester_City,Away,151499,96994,Bobby De Cordova-Reid,bobby-de-cordova-reid,M,False,,,,5.0,9.0,14.0,1.0,,,3.0,,,,,,,3.0,1.0,,,0.0287418,0.0224,0.0464,1.0,0.0,,,,,,,,63.0,1.0,,,,,,,,5.0,,,6.5,,,,,,,1.0,,,,1.0,6.0,10.0,16.0,,,1,1.0,25.0,1.0,,,1.0
2024-25,12436894,2,13,Leicester_City,Away,545780,157668,Harry Winks,harry-winks,M,False,2.0,,1.0,14.0,43.0,55.0,2.0,2.0,,3.0,,,,,,1.0,3.0,3.0,,,0.0866564,,,,0.0,,,,,,1.0,,90.0,,,,,,,,,7.0,,,6.5,,,,,,1.0,,3.0,,1.0,,15.0,46.0,58.0,,,0,,71.0,1.0,1.0,,
2024-25,12436894,2,13,Leicester_City,Away,605338,154048,Stephy Mavididi,stephy-mavididi,M,True,,,,2.0,3.0,5.0,,,,1.0,,,,,,2.0,2.0,1.0,,,0.00176217,,,,0.0,,,,,,,,19.0,,,,,,,,,2.0,,,6.5,,,,,,,,,,,,2.0,3.0,5.0,,,0,1.0,11.0,,,,1.0
2024-25,12436894,2,13,Leicester_City,Away,787885,203341,Wilfred Ndidi,wilfred-ndidi,M,False,,,3.0,11.0,30.0,41.0,1.0,,,8.0,,,,1.0,,1.0,6.0,6.0,,,0.00755309,0.0948,0.7128,3.0,0.0,,,,,,1.0,,90.0,1.0,1.0,,,,,,,8.0,,,7.0,,,,,,2.0,3.0,1.0,,5.0,,14.0,32.0,45.0,,,1,3.0,62.0,1.0,1.0,2.0,2.0
2024-25,12436894,2,13,Leicester_City,Away,833057,197469,Hamza Choudhury,hamza-choudhury,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436894,2,13,Leicester_City,Away,859901,209042,Oliver Skipp,oliver-skipp,M,True,,,1.0,5.0,10.0,15.0,,,,2.0,,,,,,,,1.0,,,0.00244929,,,,0.0,,,,,,,,19.0,,,,,,,,,1.0,,,6.7,,,,,,,1.0,,,1.0,,6.0,10.0,16.0,,,0,,17.0,,,1.0,
2024-25,12436894,2,13,Leicester_City,Away,887581,225902,Boubakary Soumaré,boubakary-soumare,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436894,2,13,Leicester_City,Away,1065134,461587,Kasey McAteer,kasey-mcateer,M,True,,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,1.0,3.0,1.0,,,0.00070086,,,1.0,0.0,,,,,,,,11.0,,,,,,,,,4.0,,,6.4,,,,,,1.0,,1.0,,,,3.0,2.0,4.0,,,0,,10.0,,,,
2024-25,12436894,2,13,Leicester_City,Away,1103589,531442,Abdul Fatawu Issahaku,abdul-fatawu-issahaku,M,False,,,2.0,5.0,7.0,12.0,,1.0,,4.0,,,,,,,3.0,10.0,,,0.00187284,0.0595,0.019,,0.0,,,,,2.0,,,90.0,1.0,,,,,,,,18.0,,,7.3,,,2.0,,,1.0,4.0,1.0,,7.0,,14.0,10.0,23.0,,,3,5.0,49.0,3.0,3.0,1.0,3.0
2024-25,12436894,2,13,Leicester_City,Away,1117025,536916,Facundo Buonanotte,facundo-buonanotte,M,False,2.0,,,6.0,6.0,10.0,2.0,,,1.0,1.0,,,1.0,,1.0,8.0,6.0,,,0.192484,,,3.0,1.0,,,,,1.0,3.0,,71.0,,,,,,,,,11.0,,,7.1,,,,,,,3.0,2.0,,1.0,1.0,10.0,7.0,15.0,,,0,3.0,33.0,3.0,2.0,1.0,2.0
