playerId,playerName,position,team,nationality,season,expectedGoalsOnTargetConceded,successfulLaunches,expectedAssists,totalClearances,goalsConceded,totalRedCards,catches,rightsidePasses,savesMade,winningGoal,homeGoals,forwardPasses,recoveries,appearances,savesMadeFromOutsideBox,gamesPlayed,successfulPassesOppositionHalf,starts,goalsConcededInsideBox,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,awayGoals,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,savesMadeParried,leftsidePasses,successfulLongPasses,timePlayed,touches,unsuccessfulLaunches,successfulPassesOwnHalf,successfulShortPasses,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,duelsLost,penaltiesSaved,unsuccessfulShortPasses,successfulLayoffs,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,savesFromPenalty,punches,penaltyGoalsConceded,keyPassesAttemptAssists,groundDuelsLost,totalFoulsWon,duels,goalkeeperSmother,drops,groundDuels,aerialDuelsWon,successfulDribbles,gkUnsuccessfulDistribution,interceptions,throwInsToOwnPlayer,successfulCrossesOpenPlay,fiftyFifty,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,successfulFiftyFifty,unsuccessfulCrossesOpenPlay,offsides,substituteOn,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,putthroughBlockedDistribution,totalTouchesInOppositionBox,throwInsToOppositionPlayer,shotsBlockedInBox,putthroughBlockedDistributionWon,tacklesLost,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,blocks,totalFoulsConceded,backwardPasses,substituteOff,foulAttemptedTackle,expectedGoals,throughBalls,goals,penaltiesConceded,leftFootGoals,handballsConceded,cornersTakenInclShortCorners,successfulCornersIntoBox,unsuccessfulCornersIntoBox,goalAssists,rightFootGoals,hitWoodwork,shotsOnTargetOutsideBox,oboxTarget,clearancesOffTheLine,oboxBlocked,headedGoals,shotsBlockedOutsideBox,unsuccessfulLayoffs,secondGoalAssists,penaltiesTaken,penaltyGoals,setPiecesGoals,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,foulWonPenalty,ownGoalScored
95463,Danny Ward,Goalkeeper,Wrexham,Wales,2021-22,1.4198,1.0,0.0002,1.0,1.0,0.0,1.0,9.0,4.0,0.0,0.0,8.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,25.0,0.0,0.0,15.0,17.0,3.0,2.0,8.0,2.0,90.0,39.0,2.0,21.0,20.0,3.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17745,Kasper Schmeichel,Goalkeeper,Celtic,Denmark,2021-22,56.8532,44.0,0.0352,27.0,58.0,0.0,13.0,266.0,131.0,0.0,0.0,578.0,285.0,37.0,39.0,37.0,109.0,37.0,50.0,340.0,1123.0,0.0,0.0,374.0,630.0,351.0,33.0,279.0,264.0,3330.0,1476.0,112.0,674.0,519.0,91.0,2.0,328.0,104.0,6.0,2.0,12.0,1.0,3.0,14.0,7.0,9.0,4.0,12.0,8.0,2.0,2.0,12.0,7.0,1.0,2.0,2.0,18.0,3.0,2.0,4.0,10.0,1.0,83.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11974,Eldin Jakupovic,Goalkeeper,Everton,Switzerland,2021-22,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220627,James Justin,Defender,Leeds United,England,2021-22,18.011,2.0,0.6539,32.0,13.0,0.0,,125.0,,0.0,0.0,195.0,62.0,13.0,,13.0,212.0,11.0,12.0,108.0,558.0,0.0,0.0,,550.0,162.0,,137.0,16.0,997.0,835.0,18.0,241.0,434.0,,0.0,32.0,37.0,51.0,,76.0,,,29.0,2.0,,16.0,52.0,1.0,39.0,,,1.0,9.0,35.0,12.0,103.0,,,74.0,13.0,5.0,,17.0,87.0,3.0,30.0,3.0,1.0,0.3038,22.0,2.0,17.0,12.0,1.0,2.0,3.0,1.0,1.0,30.0,16.0,15.0,3.0,12.0,9.0,10.0,12.0,20.0,3.0,1.0,8.0,13.0,4.0,7.0,101.0,1.0,6.0,0.3325,,,,,,,,,,,,,,,,,,,,,,,,,,,
444463,Wesley Fofana,Defender,Chelsea,France,2021-22,6.7341,2.0,0.0773,26.0,7.0,0.0,,153.0,,0.0,0.0,157.0,43.0,7.0,,7.0,147.0,7.0,6.0,58.0,527.0,0.0,0.0,,520.0,65.0,,190.0,16.0,630.0,609.0,4.0,322.0,453.0,,2.0,19.0,37.0,23.0,,39.0,,,31.0,1.0,,10.0,42.0,1.0,21.0,,,1.0,2.0,13.0,7.0,65.0,,,34.0,21.0,3.0,,12.0,1.0,,15.0,,1.0,0.2913,12.0,3.0,7.0,,,,,1.0,1.0,7.0,5.0,,,3.0,4.0,,,2.0,,2.0,1.0,8.0,2.0,7.0,27.0,,4.0,0.385,,,,,,,,,,,,,,,,,,,,,,,,,,,
218031,Çaglar Söyüncü,Defender,Fenerbahçe,Turkey,2021-22,41.9801,14.0,0.2476,112.0,44.0,0.0,,685.0,,0.0,1.0,708.0,164.0,28.0,,28.0,385.0,28.0,37.0,295.0,1920.0,0.0,0.0,4.0,1872.0,321.0,,440.0,86.0,2498.0,2251.0,53.0,1242.0,1539.0,,5.0,157.0,108.0,94.0,,138.0,,,140.0,5.0,,48.0,157.0,7.0,65.0,,,4.0,3.0,46.0,14.0,251.0,,,111.0,92.0,4.0,,32.0,3.0,2.0,58.0,1.0,1.0,0.376,47.0,7.0,29.0,3.0,1.0,,2.0,,,28.0,16.0,1.0,1.0,17.0,17.0,4.0,3.0,7.0,1.0,6.0,4.0,30.0,27.0,24.0,87.0,1.0,15.0,1.0463,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
40146,Ryan Bertrand,Defender,Leicester City U21,England,2021-22,4.4506,1.0,0.1449,6.0,7.0,0.0,,51.0,,0.0,0.0,65.0,11.0,4.0,,4.0,57.0,4.0,7.0,27.0,145.0,0.0,0.0,,139.0,52.0,,8.0,3.0,338.0,238.0,2.0,63.0,115.0,,1.0,4.0,12.0,18.0,,23.0,,,9.0,,,8.0,10.0,,9.0,,,1.0,,10.0,1.0,28.0,,,19.0,1.0,,,1.0,31.0,,9.0,,,,8.0,,3.0,3.0,,,2.0,,,12.0,4.0,3.0,,5.0,3.0,,10.0,4.0,,,,5.0,3.0,3.0,21.0,1.0,2.0,,,,,,,10.0,2.0,7.0,,,,,,,,,,,,,,,,,,,
37642,Jonny Evans,Defender,Manchester United,Northern Ireland,2021-22,19.4533,6.0,0.7033,59.0,23.0,0.0,,314.0,,0.0,0.0,391.0,105.0,18.0,,18.0,236.0,16.0,18.0,169.0,1007.0,1.0,0.0,,971.0,179.0,,261.0,62.0,1350.0,1179.0,26.0,602.0,776.0,,3.0,86.0,64.0,41.0,,83.0,,,66.0,1.0,,18.0,85.0,5.0,37.0,,,2.0,3.0,23.0,11.0,126.0,,,60.0,48.0,2.0,,20.0,8.0,,36.0,,2.0,0.9816,24.0,3.0,19.0,3.0,,2.0,,1.0,1.0,7.0,12.0,,,4.0,10.0,1.0,3.0,1.0,,1.0,,14.0,13.0,15.0,41.0,4.0,6.0,0.5981,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
155569,Daniel Amartey,Defender,Besiktas,Ghana,2021-22,40.1863,8.0,0.3924,91.0,40.0,0.0,,358.0,,0.0,0.0,480.0,145.0,28.0,,28.0,389.0,23.0,33.0,142.0,1535.0,0.0,0.0,,1516.0,156.0,,604.0,51.0,2119.0,1777.0,29.0,1004.0,1342.0,,4.0,52.0,66.0,63.0,,90.0,,,70.0,5.0,,37.0,73.0,7.0,40.0,,,4.0,4.0,26.0,8.0,136.0,,,66.0,33.0,6.0,,21.0,6.0,,34.0,,1.0,0.1672,26.0,2.0,17.0,,1.0,5.0,,,,24.0,6.0,3.0,,8.0,13.0,1.0,,2.0,,1.0,1.0,13.0,22.0,14.0,93.0,1.0,10.0,0.0226,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,
111931,Ricardo Pereira,Defender,Leicester City,Portugal,2021-22,13.8835,2.0,1.2075,29.0,20.0,0.0,,23.0,,0.0,1.0,167.0,64.0,14.0,,14.0,211.0,13.0,16.0,113.0,538.0,0.0,0.0,,535.0,162.0,,228.0,11.0,992.0,858.0,14.0,216.0,414.0,,3.0,23.0,48.0,53.0,,90.0,,,29.0,1.0,,14.0,79.0,4.0,64.0,,,3.0,7.0,39.0,16.0,132.0,,,103.0,15.0,11.0,,17.0,92.0,2.0,26.0,4.0,2.0,0.6608,37.0,6.0,16.0,12.0,,1.0,2.0,1.0,1.0,35.0,19.0,11.0,2.0,12.0,17.0,8.0,12.0,14.0,2.0,4.0,4.0,20.0,1.0,6.0,120.0,4.0,5.0,0.6733,,1.0,,,,,,,3.0,,1.0,,,,2.0,1.0,2.0,,,,,,,,,,
