playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,oboxTarget,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,goals,awayGoals,cleanSheets,unsuccessfulLayoffs,successfulCornersIntoBox,throwInsToOppositionPlayer,successfulLaunches,homeGoals,rightFootGoals,blocks,unsuccessfulCornersIntoBox,foulWonPenalty,goalKicks,headedGoals,gkSuccessfulDistribution,penaltiesConceded,clearancesOffTheLine,savesMade,savesMadeFromOutsideBox,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,leftFootGoals,catches,savesMadeCaught,punches,goalkeeperSmother,drops,lastPlayerTackle,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,penaltiesTaken,penaltyGoals,ownGoalScored,penaltiesSaved,penaltiesFaced,savesFromPenalty,secondGoalAssists
531442,Abdul Fatawu,Forward,Leicester,13,Ghana,2024-25,70.0,6.0,1.4219,0.0,2.0,5.0,4.0,0.6301,21.0,11.0,2.0,41.0,11.0,2.0,3.0,6.0,50.0,24.0,158.0,2.0,1.0,5.0,1.0,27.0,3.0,6.0,2.0,577.0,2.0,13.0,84.0,3.0,25.0,70.0,97.0,28.0,1.0,11.1561,4.0,12.0,14.0,1.0,57.0,14.0,20.0,0.0,154.0,7.0,42.0,38.0,11.0,3.0,6.0,28.0,65.0,11.0,24.0,40.0,1.0,127.0,14.0,0.0,156.0,6.0,12.0,136.0,15.0,29.0,71.0,11.0,4.0,11.0,31.0,382.0,9.0,1.0,1.0,1.0,4.0,49.0,7.0,2.0,0.4181,0.0,9.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501770,Ben Nelson,Defender,Leicester,13,England,2024-25,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513527,Bilal El Khannouss,Midfielder,Leicester,13,Morocco,2024-25,130.0,9.0,3.1094,0.0,11.0,7.0,,2.2197,50.0,19.0,11.0,162.0,32.0,3.0,38.0,27.0,188.0,39.0,955.0,1.0,6.0,5.0,36.0,43.0,3.0,18.0,2.0,2193.0,2.0,24.0,116.0,6.0,44.0,97.0,710.0,38.0,2.0,50.48,39.0,9.0,54.0,5.0,106.0,286.0,13.0,2.0,246.0,18.0,286.0,92.0,32.0,3.0,20.0,23.0,459.0,48.0,71.0,61.0,5.0,203.0,19.0,0.0,880.0,12.0,18.0,364.0,30.0,34.0,151.0,30.0,6.0,57.0,232.0,1359.0,13.0,19.0,3.0,6.0,5.0,326.0,24.0,,1.2874,4.0,26.0,49.0,2.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,4.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96994,Bobby De Cordova-Reid,Forward,Leicester,13,Jamaica,2024-25,51.0,,0.1597,0.0,2.0,3.0,2.0,0.9727,9.0,5.0,,41.0,23.0,2.0,8.0,9.0,46.0,15.0,185.0,4.0,1.0,14.0,,20.0,2.0,,,742.0,,14.0,24.0,,20.0,18.0,137.0,17.0,,16.4529,4.0,10.0,17.0,1.0,37.0,46.0,9.0,0.0,75.0,5.0,50.0,29.0,23.0,2.0,5.0,8.0,83.0,17.0,15.0,18.0,1.0,55.0,6.0,0.0,183.0,2.0,7.0,92.0,4.0,,33.0,9.0,,2.0,56.0,289.0,6.0,9.0,,1.0,2.0,56.0,2.0,,0.7919,2.0,5.0,11.0,1.0,0.0,,1.0,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
225902,Boubakary Soumaré,Midfielder,Leicester,13,France,2024-25,83.0,4.0,1.0295,0.0,3.0,,1.0,,37.0,4.0,3.0,129.0,31.0,,63.0,25.0,152.0,6.0,1218.0,,3.0,6.0,,33.0,,4.0,,2170.0,,11.0,108.0,7.0,27.0,86.0,1040.0,18.0,2.0,47.2234,11.0,33.0,52.0,,72.0,358.0,23.0,0.0,191.0,12.0,340.0,140.0,31.0,,17.0,14.0,507.0,45.0,6.0,36.0,,158.0,22.0,0.0,1210.0,4.0,7.0,222.0,20.0,27.0,284.0,24.0,27.0,26.0,236.0,1523.0,3.0,6.0,1.0,3.0,10.0,563.0,15.0,,0.2628,8.0,23.0,54.0,,,1.0,2.0,,,4.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473341,Caleb Okoli,Defender,Leicester,13,Italy,2024-25,46.0,,0.1805,0.0,,2.0,,0.8255,25.0,4.0,1.0,54.0,19.0,,,12.0,87.0,1.0,643.0,,,7.0,,45.0,,,1.0,1122.0,1.0,22.0,57.0,1.0,18.0,34.0,536.0,12.0,3.0,27.5926,,76.0,26.0,,24.0,203.0,9.0,0.0,103.0,10.0,241.0,44.0,19.0,,11.0,,162.0,25.0,1.0,2.0,,58.0,23.0,0.0,596.0,2.0,,101.0,14.0,,141.0,16.0,15.0,20.0,58.0,828.0,3.0,4.0,,,18.0,394.0,6.0,,0.6179,4.0,33.0,48.0,1.0,1.0,1.0,,,1.0,4.0,0.0,,14.0,,,26.0,1.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,
94147,Conor Coady,Defender,Leicester,13,England,2024-25,36.0,,0.5156,0.0,,2.0,,1.4095,13.0,2.0,2.0,41.0,22.0,,4.0,19.0,91.0,,1067.0,1.0,,3.0,,35.0,,,1.0,1713.0,1.0,22.0,29.0,6.0,12.0,16.0,932.0,8.0,3.0,39.7111,1.0,71.0,42.0,,14.0,265.0,2.0,0.0,65.0,8.0,356.0,62.0,22.0,,4.0,1.0,225.0,36.0,,4.0,,30.0,13.0,0.0,1010.0,,,103.0,9.0,1.0,381.0,8.0,13.0,44.0,65.0,1226.0,1.0,3.0,,,13.0,751.0,4.0,1.0,0.4251,3.0,50.0,25.0,1.0,1.0,2.0,,,,5.0,0.0,,24.0,,,28.0,1.0,28.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
207270,Daniel Iversen,Goalkeeper,Leicester,13,Denmark,2024-25,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95463,Danny Ward,Goalkeeper,Leicester,13,Wales,2024-25,1.0,,0.0021,0.0,,,,,,,,,2.0,,,1.0,12.0,,44.0,,,1.0,,,,,,135.0,,,,,,,20.0,,,2.8342,,1.0,6.0,,1.0,6.0,,0.0,1.0,,32.0,11.0,2.0,,,1.0,10.0,6.0,,1.0,,1.0,,0.0,37.0,,,13.0,,,6.0,,,12.0,,59.0,,,,,7.0,22.0,,,,0.0,12.0,3.0,,,,,,,6.0,,,,,,7.0,,13.0,,,4.0,1.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,
536916,Facundo Buonanotte,Midfielder,Leicester,13,Argentina,2024-25,207.0,3.0,2.2652,0.0,9.0,12.0,2.0,4.1628,53.0,27.0,7.0,87.0,31.0,2.0,32.0,14.0,105.0,9.0,515.0,3.0,4.0,17.0,26.0,55.0,2.0,17.0,5.0,1513.0,5.0,37.0,134.0,5.0,37.0,116.0,393.0,44.0,,30.4083,23.0,12.0,33.0,5.0,170.0,74.0,35.0,1.0,341.0,28.0,131.0,79.0,31.0,2.0,21.0,49.0,272.0,28.0,26.0,88.0,5.0,286.0,18.0,0.0,489.0,15.0,7.0,283.0,32.0,28.0,169.0,37.0,12.0,17.0,141.0,988.0,10.0,8.0,1.0,4.0,3.0,155.0,26.0,,3.9282,8.0,18.0,26.0,5.0,3.0,,2.0,9.0,,2.0,2.0,2.0,6.0,12.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
