matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attObxdRight,attOpenplay,attPenGoal,attPenMiss,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,rightsidePass,savedIbox,savedObox,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
321662,1,2010-08-15 16:00:00,14,Liverpool,Home,119.0,12.0,2.0,6.0,4.0,6.0,2.0,111.0,5.0,,4.0,12.0,11.0,21.0,224.0,,1.0,13.0,15.0,14.0,3.0,3.0,,,,,1.0,1.0,1.0,,,,4.0,,,,,,2.0,9.0,9.0,,,52.0,50.0,3.0,3.0,,3.0,1.0,6.0,,9.0,8.0,2.0,,12.0,3.0,54.0,64.0,3.0,19.0,8.0,,,57.0,15.0,15.0,1.0,,4.0,3.0,1.0,136.0,1.0,,1.0,1.0,,,11.0,1.0,3.0,2.0,17.0,,19.0,17.0,1.0,4.0,50.0,78.0,35.0,11.0,,3.0,4.0,4.0,,6.0,1.0,1.0,21.0,61.0,13.0,,,,,166.0,152.0,,31.0,11.0,36.7,,,0.0,65.0,1.0,2.0,,3.0,,3.0,,3.0,56.0,,7.0,138.0,25.0,33.0,13.0,8.0,21.0,13.0,,90.0,16.0,186.0,3.0,,34.0,11.0,48.0,5.0,303.0,,1.0,8.0,30.0,3.0,21.0,1.0,531.0,,18.0,5.0,9.0,21.0,0.0
321671,2,2010-08-23 20:00:00,14,Liverpool,Away,158.0,22.0,,1.0,1.0,1.0,,167.0,8.0,,6.0,1.0,15.0,22.0,324.0,,,20.0,10.0,7.0,10.0,,,,,,,1.0,,,,,,,,,1.0,,,8.0,4.0,,,66.0,46.0,,,,2.0,4.0,8.0,,4.0,5.0,7.0,,19.0,,61.0,43.0,2.0,15.0,9.0,,,75.0,13.0,13.0,,,,,1.0,159.0,,,,,,,10.0,,1.0,,14.0,1.0,22.0,20.0,,6.0,77.0,72.0,41.0,5.0,,4.0,6.0,5.0,,2.0,1.0,,31.0,65.0,13.0,1.0,1.0,1.0,,149.0,140.0,4.0,13.0,21.0,45.6,1.0,1.0,0.0,98.0,,,,3.0,,8.0,,2.0,78.0,,10.0,168.0,40.0,24.0,18.0,4.0,17.0,13.0,,124.0,7.0,249.0,1.0,,12.0,15.0,40.0,3.0,400.0,,0.0,17.0,16.0,2.0,21.0,1.0,603.0,,11.0,7.0,4.0,14.0,0.0
321682,3,2010-08-29 15:00:00,14,Liverpool,Home,153.0,17.0,,3.0,3.0,1.0,,173.0,5.0,,7.0,1.0,18.0,24.0,323.0,,,14.0,14.0,6.0,9.0,,2.0,,,,,,,1.0,1.0,,9.0,,,,,,1.0,9.0,7.0,,,63.0,56.0,2.0,2.0,,2.0,3.0,8.0,,7.0,6.0,7.0,,12.0,3.0,54.0,42.0,2.0,20.0,14.0,,,84.0,8.0,7.0,1.0,,2.0,1.0,,181.0,1.0,,1.0,1.0,,1.0,16.0,1.0,,,23.0,,20.0,14.0,1.0,7.0,80.0,83.0,50.0,6.0,,3.0,7.0,4.0,,4.0,2.0,,40.0,65.0,27.0,,,,,178.0,168.0,5.0,27.0,16.0,51.0,,,0.0,90.0,3.0,,,2.0,2.0,4.0,,2.0,85.0,,10.0,175.0,39.0,30.0,15.0,7.0,21.0,14.0,3.0,142.0,5.0,260.0,,,14.0,19.0,42.0,1.0,414.0,,0.0,11.0,26.0,5.0,21.0,0.0,625.0,,14.0,3.0,7.0,15.0,0.0
321688,4,2010-09-12 16:00:00,14,Liverpool,Away,157.0,17.0,,4.0,4.0,2.0,,203.0,8.0,2.0,10.0,2.0,23.0,30.0,356.0,,1.0,29.0,10.0,17.0,11.0,,1.0,,,,,,,,,,13.0,,,,,,,8.0,9.0,,,66.0,52.0,,,,2.0,8.0,4.0,,3.0,14.0,8.0,,15.0,2.0,45.0,48.0,2.0,17.0,5.0,,2.0,80.0,9.0,8.0,,,1.0,2.0,,182.0,,,,,,,19.0,,2.0,,14.0,,17.0,16.0,2.0,10.0,100.0,97.0,51.0,4.0,,5.0,6.0,3.0,,2.0,,,54.0,74.0,25.0,,,,,193.0,174.0,2.0,24.0,11.0,56.2,,2.0,0.0,107.0,2.0,,,2.0,1.0,6.0,,2.0,92.0,,11.0,182.0,30.0,36.0,18.0,2.0,26.0,24.0,1.0,140.0,14.0,299.0,2.0,2.0,16.0,25.0,51.0,1.0,455.0,,0.0,17.0,12.0,3.0,30.0,0.0,695.0,,18.0,11.0,3.0,10.0,0.0
321701,5,2010-09-19 13:30:00,14,Liverpool,Away,230.0,16.0,,1.0,1.0,1.0,,196.0,6.0,,4.0,2.0,13.0,34.0,425.0,,1.0,16.0,10.0,8.0,4.0,2.0,,1.0,,,,1.0,,,,,4.0,1.0,,,,,,13.0,6.0,,,82.0,50.0,,,1.0,6.0,,10.0,,1.0,6.0,4.0,,8.0,,44.0,47.0,6.0,16.0,8.0,,,61.0,11.0,15.0,,,3.0,1.0,1.0,167.0,,,,,,,9.0,,2.0,1.0,19.0,,21.0,16.0,,4.0,136.0,78.0,47.0,6.0,2.0,6.0,,2.0,,6.0,1.0,,40.0,87.0,19.0,,,,1.0,143.0,122.0,,24.0,17.0,50.5,,1.0,0.0,126.0,2.0,,,,,6.0,,3.0,74.0,,6.0,247.0,31.0,37.0,11.0,,11.0,11.0,,114.0,5.0,275.0,2.0,,22.0,15.0,61.0,1.0,511.0,,0.0,8.0,19.0,4.0,17.0,1.0,689.0,,6.0,5.0,1.0,14.0,0.0
321712,6,2010-09-25 15:00:00,14,Liverpool,Home,174.0,17.0,2.0,6.0,4.0,3.0,,151.0,9.0,2.0,8.0,4.0,15.0,24.0,319.0,,,14.0,16.0,10.0,9.0,,1.0,,,,,,,,,,13.0,,,,,,,3.0,7.0,,,54.0,67.0,2.0,2.0,2.0,3.0,1.0,6.0,,3.0,9.0,11.0,,12.0,,58.0,57.0,3.0,17.0,10.0,,1.0,70.0,19.0,8.0,,,,,,191.0,1.0,,1.0,1.0,,,16.0,2.0,,4.0,19.0,,19.0,15.0,3.0,8.0,68.0,93.0,45.0,3.0,2.0,6.0,4.0,5.0,,,3.0,,32.0,52.0,21.0,1.0,1.0,1.0,,175.0,159.0,3.0,33.0,21.0,54.9,,,0.0,99.0,,1.0,,2.0,1.0,8.0,,2.0,72.0,,10.0,194.0,36.0,33.0,21.0,3.0,23.0,20.0,1.0,118.0,13.0,241.0,,2.0,18.0,16.0,44.0,1.0,412.0,,0.0,14.0,26.0,2.0,20.0,3.0,634.0,,11.0,12.0,3.0,18.0,0.0
321719,7,2010-10-03 15:00:00,14,Liverpool,Home,163.0,17.0,2.0,11.0,9.0,2.0,1.0,253.0,9.0,3.0,10.0,3.0,16.0,36.0,405.0,,,25.0,16.0,19.0,16.0,3.0,,,,,,,,,,,18.0,,,,,,2.0,6.0,9.0,,,71.0,62.0,3.0,2.0,1.0,1.0,5.0,9.0,,5.0,18.0,16.0,1.0,11.0,1.0,57.0,58.0,1.0,13.0,3.0,,,71.0,11.0,10.0,,,4.0,2.0,,203.0,1.0,1.0,1.0,,1.0,,10.0,,2.0,,10.0,,11.0,9.0,2.0,10.0,98.0,90.0,61.0,2.0,,8.0,12.0,8.0,,3.0,,,54.0,90.0,33.0,1.0,1.0,1.0,,171.0,162.0,2.0,28.0,20.0,56.8,,,0.0,126.0,1.0,4.0,,3.0,,10.0,,3.0,141.0,,20.0,183.0,34.0,22.0,17.0,5.0,41.0,36.0,,195.0,9.0,356.0,3.0,3.0,15.0,19.0,51.0,4.0,498.0,2.0,0.0,23.0,22.0,7.0,26.0,2.0,725.0,,12.0,7.0,5.0,17.0,0.0
321732,8,2010-10-17 13:30:00,14,Liverpool,Away,226.0,13.0,2.0,5.0,3.0,4.0,,260.0,4.0,1.0,3.0,5.0,27.0,37.0,481.0,,,25.0,16.0,19.0,15.0,2.0,1.0,,,,,,,,,,,,,,,,1.0,6.0,7.0,,,72.0,59.0,,,,3.0,7.0,7.0,,7.0,13.0,10.0,,18.0,1.0,60.0,61.0,3.0,14.0,7.0,,1.0,76.0,10.0,10.0,,,,,,189.0,,,,,,,7.0,,1.0,,17.0,,10.0,9.0,3.0,4.0,155.0,69.0,42.0,8.0,,7.0,10.0,6.0,,5.0,1.0,,60.0,63.0,34.0,,,,,178.0,165.0,1.0,34.0,18.0,65.9,,1.0,0.0,152.0,,2.0,,2.0,1.0,7.0,1.0,3.0,160.0,,17.0,252.0,28.0,27.0,16.0,5.0,29.0,24.0,,207.0,12.0,345.0,1.0,1.0,20.0,28.0,61.0,,568.0,,0.0,20.0,25.0,1.0,29.0,3.0,795.0,,18.0,7.0,7.0,17.0,0.0
321739,9,2010-10-24 15:00:00,14,Liverpool,Home,112.0,12.0,6.0,12.0,6.0,6.0,,201.0,2.0,1.0,7.0,12.0,17.0,32.0,301.0,1.0,1.0,27.0,13.0,26.0,9.0,3.0,1.0,,,,,,1.0,,,,10.0,,,,,,,4.0,4.0,,,50.0,54.0,6.0,6.0,2.0,4.0,5.0,5.0,1.0,15.0,14.0,11.0,1.0,8.0,,56.0,71.0,4.0,17.0,11.0,,,68.0,18.0,13.0,1.0,,3.0,2.0,,185.0,2.0,1.0,2.0,,2.0,,6.0,,4.0,1.0,19.0,,7.0,3.0,,8.0,93.0,83.0,37.0,4.0,,4.0,10.0,8.0,,4.0,2.0,1.0,65.0,68.0,16.0,,,,,199.0,185.0,4.0,14.0,22.0,57.3,,1.0,0.0,83.0,1.0,,,1.0,1.0,7.0,,2.0,118.0,,14.0,138.0,33.0,31.0,16.0,14.0,41.0,27.0,1.0,169.0,16.0,314.0,4.0,1.0,28.0,17.0,51.0,,411.0,1.0,0.0,20.0,29.0,4.0,33.0,2.0,645.0,,12.0,3.0,15.0,20.0,0.0
321751,10,2010-10-31 16:00:00,14,Liverpool,Away,184.0,18.0,2.0,3.0,1.0,9.0,,154.0,2.0,2.0,6.0,7.0,28.0,27.0,335.0,,2.0,30.0,35.0,22.0,7.0,2.0,1.0,,1.0,,,1.0,,,,,7.0,,,,,,,4.0,11.0,,,68.0,66.0,2.0,1.0,1.0,1.0,3.0,4.0,,4.0,11.0,4.0,,19.0,1.0,76.0,56.0,1.0,25.0,10.0,,,90.0,13.0,16.0,,,2.0,,1.0,224.0,1.0,,1.0,1.0,,,9.0,1.0,3.0,,16.0,1.0,8.0,7.0,,7.0,91.0,110.0,49.0,1.0,1.0,5.0,5.0,2.0,,7.0,1.0,,50.0,58.0,23.0,,,,,223.0,206.0,,26.0,25.0,58.8,,1.0,0.0,92.0,,4.0,,1.0,1.0,6.0,,2.0,68.0,,10.0,227.0,38.0,42.0,8.0,3.0,18.0,15.0,1.0,133.0,17.0,266.0,3.0,2.0,51.0,28.0,73.0,2.0,475.0,,0.0,11.0,15.0,9.0,36.0,2.0,690.0,,10.0,3.0,4.0,11.0,0.0
