playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,successfulLongPasses,touches,throwInsToOwnPlayer,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,penaltiesSaved,totalTackles,savesFromPenalty,tacklesWon,interceptions,substituteOff,substituteOn,successfulCrossesOpenPlay,shotsOnTargetIncGoals,totalShots,goalAssists,unsuccessfulCrossesOpenPlay,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,putthroughBlockedDistribution,totalTouchesInOppositionBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,putthroughBlockedDistributionWon,tacklesLost,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,shotsOffTargetIncWoodwork,cornersWon,successfulDribbles,blocks,backwardPasses,expectedGoals,secondGoalAssists,blockedShots,expectedGoalsOnTarget,throughBalls,successfulLayoffs,goals,offsides,awayGoals,oboxBlocked,unsuccessfulLayoffs,shotsBlockedInBox,homeGoals,lastPlayerTackle,headedGoals,otherGoals,iboxBlocked,hitWoodwork,shotsBlockedOutsideBox,handballsConceded,overruns,rightFootGoals,clearancesOffTheLine,leftFootGoals,cornersTakenInclShortCorners,unsuccessfulCornersIntoBox,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,shotsOnTargetOutsideBox,oboxTarget,setPiecesGoals,penaltiesTaken,penaltyGoals,foulWonPenalty
171287,Joe Gomez,Defender,Liverpool,14,England,2025-26,40.0,0.6567,0.0,,,49.0,21.0,7.0,65.0,320.0,,,26.0,1.0,,599.0,13.0,26.0,3.0,,13.0,245.0,,1.0,10.8788,3.0,25.0,14.0,27.0,32.0,,,0.0,66.0,,117.0,20.0,21.0,,119.0,11.0,40.0,13.0,0.0,,318.0,116.0,,,119.0,14.0,10.0,482.0,34.0,2.0,139.0,8.0,,4.0,16.0,27.0,,10.0,,7.0,9.0,5.0,14.0,3.0,1.0,5.0,2.0,13.0,3.0,1.0,1.0,19.0,11.0,20.0,3.0,5.0,3.0,3.0,13.0,9.0,4.0,2.0,3.0,2.0,52.0,0.2722,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97032,Virgil van Dijk,Defender,Liverpool,14,Netherlands,2025-26,78.0,1.3467,0.0,,,146.0,38.0,38.0,307.0,2792.0,141.0,,234.0,10.0,,3420.0,60.0,216.0,11.0,1.0,42.0,2348.0,,3.0,47.4074,14.0,275.0,53.0,18.0,1036.0,,18.0,2.0,294.0,,1012.0,87.0,38.0,,1149.0,42.0,60.0,174.0,0.0,123.0,2567.0,327.0,18.0,,649.0,19.0,137.0,3261.0,4.0,69.0,1336.0,10.0,,4.0,161.0,61.0,,22.0,,13.0,28.0,,,,14.0,26.0,,1.0,,8.0,8.0,16.0,71.0,,12.0,12.0,9.0,,1.0,1.0,12.0,2.0,2.0,26.0,95.0,3.7711,,4.0,4.8691,2.0,2.0,6.0,1.0,5.0,1.0,1.0,3.0,1.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
204716,Ibrahima Konaté,Defender,Liverpool,14,France,2025-26,99.0,0.9789,0.0,,,147.0,36.0,36.0,225.0,2168.0,22.0,,174.0,8.0,,3100.0,50.0,220.0,10.0,1.0,96.0,1877.0,,3.0,40.2998,7.0,190.0,45.0,49.0,465.0,,41.0,0.0,319.0,,749.0,117.0,36.0,,799.0,35.0,145.0,124.0,0.0,22.0,2097.0,260.0,,,821.0,33.0,66.0,2638.0,4.0,22.0,1145.0,9.0,,7.0,78.0,81.0,,53.0,,28.0,29.0,10.0,,1.0,4.0,9.0,,2.0,1.0,3.0,3.0,25.0,19.0,,8.0,14.0,25.0,2.0,2.0,7.0,5.0,1.0,5.0,24.0,133.0,1.212,,3.0,1.1835,4.0,,1.0,,0.0,,,3.0,1.0,2.0,,,3.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,
544877,Milos Kerkez,Defender,Liverpool,14,Hungary,2025-26,79.0,0.6989,0.0,,,103.0,34.0,27.0,157.0,1070.0,,,66.0,3.0,,2260.0,33.0,114.0,6.0,,81.0,885.0,,3.0,30.1813,5.0,71.0,37.0,46.0,404.0,,30.0,0.0,193.0,,379.0,88.0,34.0,,545.0,31.0,127.0,33.0,0.0,,1052.0,304.0,,,59.0,22.0,28.0,1614.0,138.0,30.0,383.0,6.0,,4.0,54.0,45.0,,41.0,,26.0,14.0,12.0,7.0,15.0,2.0,7.0,1.0,64.0,15.0,,,40.0,43.0,30.0,25.0,11.0,15.0,10.0,64.0,17.0,5.0,15.0,12.0,8.0,228.0,1.5866,,2.0,1.0862,2.0,8.0,2.0,4.0,2.0,2.0,,,0.0,2.0,,,,,2.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,
492777,Conor Bradley,Defender,Liverpool,14,Northern Ireland,2025-26,75.0,0.9381,0.0,,,49.0,15.0,12.0,79.0,492.0,,,31.0,1.0,,932.0,16.0,61.0,4.0,,46.0,403.0,,1.0,12.1725,1.0,29.0,13.0,59.0,39.0,,20.0,0.0,136.0,,168.0,43.0,15.0,,255.0,9.0,105.0,15.0,0.0,,480.0,150.0,,,190.0,18.0,10.0,808.0,91.0,24.0,162.0,11.0,,5.0,30.0,20.0,,19.0,,15.0,13.0,9.0,3.0,4.0,,2.0,1.0,20.0,4.0,,,33.0,28.0,6.0,3.0,22.0,4.0,15.0,20.0,26.0,2.0,8.0,7.0,4.0,95.0,0.241,,4.0,,3.0,,,1.0,,,,4.0,,2.0,,,4.0,1.0,,,2.0,,,,1.0,,,,,,,,,,,
647681,Giovanni Leoni,Defender,Liverpool,14,Italy,2025-26,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122798,Andy Robertson,Defender,Liverpool,14,Scotland,2025-26,27.0,1.3883,0.0,,,75.0,24.0,11.0,119.0,711.0,,,29.0,3.0,,1172.0,15.0,30.0,5.0,,16.0,565.0,,,17.08,6.0,32.0,16.0,12.0,289.0,,1.0,1.0,57.0,,285.0,40.0,24.0,,373.0,11.0,28.0,14.0,0.0,,696.0,191.0,,,32.0,4.0,27.0,962.0,66.0,19.0,232.0,1.0,,0.0,44.0,39.0,,12.0,,9.0,8.0,7.0,13.0,12.0,3.0,4.0,,35.0,13.0,2.0,2.0,24.0,28.0,9.0,20.0,12.0,3.0,3.0,42.0,4.0,1.0,6.0,3.0,3.0,105.0,1.1045,,6.0,1.4283,2.0,2.0,1.0,5.0,0.0,2.0,,4.0,1.0,,,,4.0,,2.0,,1.0,,,1.0,3.0,3.0,,,,,,,,,,
216094,Jeremie Frimpong,Defender,Liverpool,14,Netherlands,2025-26,61.0,1.5761,0.0,,,50.0,21.0,12.0,68.0,441.0,,,17.0,1.0,,1039.0,10.0,57.0,3.0,,50.0,366.0,,,11.5658,1.0,13.0,13.0,51.0,39.0,,21.0,0.0,118.0,,82.0,52.0,21.0,,266.0,10.0,101.0,7.0,0.0,,438.0,173.0,,,172.0,8.0,7.0,732.0,52.0,15.0,118.0,4.0,,1.0,18.0,26.0,,11.0,,10.0,6.0,9.0,9.0,11.0,2.0,6.0,1.0,40.0,11.0,2.0,2.0,37.0,69.0,1.0,14.0,17.0,1.0,15.0,40.0,32.0,4.0,18.0,18.0,,148.0,0.5095,,4.0,0.1931,,3.0,,4.0,,2.0,,2.0,,,,,2.0,,2.0,1.0,3.0,,,,,,,,,,,,,,,
219937,Rhys Williams,Defender,Liverpool,14,England,2025-26,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489580,Calvin Ramsay,Defender,Liverpool,14,Scotland,2025-26,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
