playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,penaltiesSaved,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,goalAssists,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,fiftyFifty,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,successfulFiftyFifty,unsuccessfulCrossesOpenPlay,offsides,oboxBlocked,substituteOn,shotsOnTargetOutsideBox,penaltiesConceded,totalTouchesInOppositionBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,oboxTarget,tacklesLost,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,blocks,interceptions,backwardPasses,throwInsToOwnPlayer,shotsBlockedOutsideBox,foulAttemptedTackle,expectedGoals,goals,awayGoals,iboxTarget,shotsOnTargetInBox,shotsBlockedInBox,homeGoals,leftFootGoals,headedGoals,iboxBlocked,clearancesOffTheLine,substituteOff,handballsConceded,successfulLayoffs,ownGoalScored,successfulCrossesOpenPlay,cornersTakenInclShortCorners,successfulCrossesAndCorners,successfulCornersIntoBox,unsuccessfulCornersIntoBox,overruns,secondGoalAssists,hitWoodwork,setPiecesGoals,rightFootGoals,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,unsuccessfulLayoffs,foulWonPenalty,penaltiesTaken,penaltyGoals
116643,Fabinho,Midfielder,Al Ittihad,1316,Brazil,2022-23,127.0,,1.8512,0.0,,,149.0,36.0,2.0,31.0,206.0,1815.0,,,51.0,9.0,,2677.0,21.0,126.0,3.0,45.0,96.0,1536.0,,,1.0,41.9662,4.0,38.0,34.0,106.0,531.0,,24.0,0.0,253.0,27.0,,453.0,180.0,36.0,,805.0,31.0,202.0,30.0,0.0,,1784.0,248.0,7.0,,,491.0,53.0,73.0,2146.0,23.0,805.0,,11.0,57.0,53.0,63.0,5.0,4.0,0.2423,65.0,13.0,5.0,41.0,4.0,,3.0,5.0,2.0,,21.0,,15.0,2.0,27.0,4.0,4.0,16.0,9.0,5.0,38.0,11.0,37.0,340.0,7.0,3.0,39.0,0.6949,,,2.0,2.0,2.0,,,,2.0,,11.0,1.0,20.0,,1.0,,1.0,,,,1.0,,,,,,,,,,
61558,Thiago Alcântara,Midfielder,Liverpool,14,Spain,2022-23,77.0,,1.3126,0.0,,,115.0,18.0,,14.0,146.0,1085.0,,,38.0,2.0,,1254.0,24.0,105.0,,34.0,91.0,846.0,,,1.0,22.2401,1.0,12.0,23.0,53.0,378.0,,25.0,0.0,182.0,12.0,,301.0,111.0,18.0,,481.0,23.0,144.0,14.0,0.0,,1060.0,190.0,23.0,,,244.0,18.0,93.0,1317.0,7.0,459.0,,2.0,31.0,39.0,43.0,7.0,1.0,0.1341,43.0,3.0,8.0,25.0,2.0,,5.0,4.0,1.0,1.0,10.0,,17.0,1.0,19.0,4.0,2.0,26.0,2.0,1.0,24.0,3.0,21.0,162.0,6.0,5.0,12.0,0.437,,,,,2.0,,,,2.0,,5.0,,8.0,,1.0,,1.0,,,,,,,,,,,,,,
15157,James Milner,Midfielder,Brighton and Hove Albion,36,England,2022-23,73.0,,1.6461,0.0,,,82.0,31.0,1.0,7.0,113.0,607.0,,,27.0,2.0,,893.0,14.0,65.0,1.0,36.0,52.0,463.0,,,1.0,15.2205,4.0,12.0,12.0,59.0,115.0,,15.0,0.0,138.0,12.0,,237.0,64.0,31.0,,275.0,11.0,111.0,13.0,0.0,,587.0,205.0,11.0,,,146.0,16.0,31.0,898.0,9.0,230.0,,2.0,31.0,24.0,28.0,1.0,1.0,0.1267,26.0,6.0,2.0,19.0,30.0,,,24.0,,,27.0,7.0,12.0,,10.0,8.0,41.0,22.0,5.0,6.0,16.0,2.0,12.0,109.0,58.0,,14.0,0.3845,,,1.0,1.0,1.0,,,,1.0,,4.0,,3.0,,8.0,12.0,11.0,2.0,9.0,,,,,,,,,1.0,,,
175592,Naby Keïta,Midfielder,Ferencváros,227,Guinea,2022-23,29.0,,0.2054,0.0,,,30.0,8.0,,3.0,36.0,164.0,,,10.0,,,293.0,7.0,13.0,,8.0,10.0,125.0,,,,1.8937,,3.0,4.0,22.0,45.0,,2.0,0.0,42.0,1.0,,48.0,29.0,8.0,,72.0,4.0,32.0,3.0,0.0,,159.0,58.0,3.0,,,35.0,12.0,3.0,221.0,5.0,56.0,,1.0,6.0,11.0,14.0,6.0,,,5.0,4.0,,10.0,2.0,,4.0,5.0,,,11.0,,8.0,,1.0,,2.0,7.0,4.0,2.0,4.0,,2.0,36.0,1.0,4.0,11.0,0.6498,,,,,2.0,,,,2.0,,3.0,,2.0,,,,,,,,,,,,,,,,,,
56979,Jordan Henderson,Midfielder,Brentford,94,England,2022-23,67.0,,3.5868,0.0,,,175.0,35.0,2.0,23.0,233.0,1545.0,,,21.0,4.0,,2075.0,10.0,64.0,2.0,50.0,53.0,1232.0,,,2.0,37.341,,12.0,30.0,57.0,376.0,,9.0,0.0,131.0,18.0,,413.0,163.0,35.0,,784.0,28.0,110.0,11.0,0.0,,1509.0,310.0,12.0,,,438.0,18.0,80.0,1821.0,21.0,543.0,,2.0,58.0,50.0,57.0,5.0,6.0,0.3054,32.0,18.0,9.0,27.0,30.0,3.0,3.0,12.0,5.0,,46.0,3.0,29.0,5.0,9.0,8.0,30.0,17.0,12.0,9.0,23.0,3.0,21.0,318.0,14.0,3.0,13.0,1.406,,,1.0,1.0,2.0,,,,2.0,,13.0,1.0,6.0,,15.0,,15.0,,,1.0,,2.0,,,,,,1.0,,,
81880,Alex Oxlade-Chamberlain,Midfielder,Celtic,61,England,2022-23,28.0,,0.177,0.0,,,23.0,9.0,,4.0,27.0,100.0,,,5.0,,,335.0,4.0,16.0,,7.0,15.0,68.0,,,,8.9013,,3.0,7.0,24.0,25.0,,4.0,0.0,44.0,3.0,,28.0,20.0,9.0,,54.0,7.0,39.0,1.0,0.0,,100.0,60.0,6.0,,,24.0,3.0,5.0,169.0,1.0,19.0,,0.0,4.0,5.0,12.0,1.0,3.0,0.4559,5.0,6.0,2.0,6.0,2.0,1.0,1.0,5.0,1.0,,18.0,,5.0,1.0,1.0,7.0,2.0,17.0,3.0,1.0,4.0,2.0,1.0,23.0,2.0,1.0,3.0,1.2044,1.0,1.0,1.0,1.0,,0.0,,1.0,,,4.0,,1.0,,,,,,,,,,,,,,,,,,
206915,Curtis Jones,Midfielder,Liverpool,14,England,2022-23,74.0,,1.3918,0.0,,,56.0,18.0,1.0,12.0,58.0,658.0,,,9.0,,,1039.0,6.0,64.0,3.0,17.0,61.0,585.0,,,,17.2783,,9.0,15.0,68.0,244.0,,16.0,1.0,138.0,10.0,,150.0,56.0,18.0,,384.0,12.0,129.0,3.0,0.0,,655.0,131.0,11.0,,,105.0,13.0,15.0,871.0,1.0,218.0,,2.0,2.0,17.0,26.0,9.0,5.0,1.3871,34.0,6.0,5.0,11.0,7.0,2.0,3.0,6.0,2.0,,42.0,,13.0,2.0,17.0,13.0,7.0,42.0,1.0,4.0,17.0,2.0,3.0,159.0,9.0,3.0,9.0,1.1717,3.0,2.0,,,6.0,1.0,2.0,,6.0,,10.0,,6.0,,2.0,,2.0,,,1.0,,,,1.0,,,,2.0,,,
444884,Harvey Elliott,Midfielder,Aston Villa,7,England,2022-23,94.0,,4.3352,0.0,,,134.0,32.0,2.0,18.0,164.0,957.0,,,20.0,1.0,,1612.0,16.0,76.0,,49.0,72.0,761.0,,,1.0,27.3947,2.0,6.0,20.0,78.0,133.0,,25.0,0.0,170.0,25.0,,271.0,122.0,32.0,,518.0,20.0,150.0,4.0,0.0,,929.0,266.0,20.0,,,281.0,14.0,32.0,1259.0,15.0,281.0,,2.0,30.0,37.0,23.0,14.0,12.0,1.7808,27.0,22.0,8.0,8.0,27.0,2.0,7.0,14.0,5.0,,55.0,,24.0,5.0,9.0,15.0,28.0,38.0,10.0,19.0,18.0,1.0,15.0,272.0,10.0,7.0,9.0,2.1043,1.0,0.0,6.0,6.0,7.0,1.0,1.0,,7.0,,14.0,2.0,7.0,,6.0,2.0,6.0,,1.0,2.0,1.0,,,,,,,,,,
244858,Fábio Carvalho,Midfielder,Brentford,94,Portugal,2022-23,37.0,,0.2517,0.0,,,22.0,13.0,,4.0,24.0,139.0,,,14.0,,,341.0,10.0,20.0,,9.0,16.0,113.0,,,,4.8863,,,3.0,27.0,30.0,,6.0,1.0,57.0,6.0,,32.0,19.0,13.0,,74.0,3.0,43.0,4.0,0.0,,138.0,56.0,2.0,,,31.0,6.0,2.0,219.0,2.0,42.0,,0.0,2.0,9.0,13.0,1.0,4.0,0.3897,8.0,10.0,,6.0,1.0,,,9.0,,,27.0,,1.0,,,3.0,1.0,18.0,6.0,3.0,8.0,,6.0,46.0,1.0,,2.0,1.1496,2.0,0.0,2.0,2.0,1.0,2.0,,,1.0,,4.0,,8.0,,1.0,,1.0,,,1.0,,,,2.0,,,,,,,
204043,Arthur,Midfielder,Juventus,128,Brazil,2022-23,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
