playerId,playerName,position,team_name,team_id,nationality,season,expectedAssists,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,tacklesWon,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,duelsLost,penaltiesSaved,savesMadeCaught,aerialDuelsLost,goalsConcededOutsideBox,savesFromPenalty,totalTouchesInOppositionBox,keyPassesAttemptAssists,groundDuelsLost,drops,crossesNotClaimed,interceptions,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,throughBalls,unsuccessfulCrossesOpenPlay,goals,awayGoals,substituteOn,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,shotsBlockedInBox,putthroughBlockedDistributionWon,homeGoals,rightFootGoals,lastPlayerTackle,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,shotsOffTargetIncWoodwork,cornersWon,blocks,totalFoulsConceded,backwardPasses,throwInsToOwnPlayer,substituteOff,foulAttemptedTackle,expectedGoals,overruns,successfulLayoffs,offsides,throwInsToOppositionPlayer,goalAssists,foulWonPenalty,cornersTakenInclShortCorners,unsuccessfulLayoffs,headedGoals,clearancesOffTheLine,hitWoodwork,oboxBlocked,shotsOnTargetOutsideBox,successfulCornersIntoBox,oboxTarget,unsuccessfulCornersIntoBox,shotsBlockedOutsideBox,handballsConceded,penaltiesConceded,secondGoalAssists,leftFootGoals,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,penaltiesTaken,penaltyGoals,setPiecesGoals
433036,Tijjani Reijnders,Midfielder,Manchester City,43,Netherlands,2025-26,2.3356,0.0,,10.0,,74.0,28.0,19.0,87.0,798.0,1.0,8.0,2.0,,1636.0,48.0,30.0,45.0,698.0,,1.0,19.4159,3.0,20.0,18.0,247.0,,15.0,0.0,119.0,,172.0,58.0,28.0,6.0,488.0,15.0,111.0,3.0,0.0,1.0,769.0,199.0,4.0,20.0,,,215.0,13.0,1098.0,4.0,233.0,,2.0,13.0,15.0,71.0,,,5.0,3.0,,72.0,15.0,66.0,,,10.0,2.0,13.0,16.0,4.3647,36.0,7.0,14.0,5.0,3.0,9.0,10.0,9.0,9.0,6.0,12.0,2.0,2.0,,26.0,33.0,42.0,6.0,20.0,16.0,1.0,19.0,164.0,4.0,13.0,8.0,4.4536,4.0,32.0,4.0,,2.0,,28.0,,,1.0,1.0,7.0,2.0,8.0,2.0,15.0,7.0,1.0,,1.0,3.0,3.0,3.0,0.1062,,,
91651,Mateo Kovacic,Midfielder,Manchester City,43,Croatia,2025-26,0.4361,0.0,,2.0,,10.0,6.0,1.0,13.0,148.0,1.0,,,,126.0,6.0,2.0,6.0,132.0,,,4.4865,,4.0,3.0,60.0,,2.0,0.0,12.0,,46.0,10.0,6.0,1.0,90.0,3.0,12.0,,0.0,1.0,147.0,21.0,1.0,2.0,,,27.0,3.0,178.0,1.0,45.0,,0.0,3.0,3.0,6.0,,,,,,,3.0,6.0,,,2.0,,1.0,,,1.0,3.0,,,,5.0,,,,,,,,,1.0,,6.0,,1.0,1.0,,,15.0,,1.0,,0.1619,,5.0,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,
466052,Rayan Cherki,Midfielder,Manchester City,43,France,2025-26,8.6535,0.0,,26.0,,140.0,33.0,19.0,173.0,1277.0,,8.0,3.0,,1786.0,112.0,30.0,111.0,1073.0,,,25.0579,,7.0,18.0,233.0,,34.0,1.0,244.0,,296.0,91.0,33.0,8.0,843.0,15.0,236.0,1.0,0.0,,1228.0,374.0,18.0,51.0,,,377.0,31.0,1758.0,6.0,285.0,,1.0,33.0,27.0,132.0,,,7.0,3.0,,148.0,48.0,125.0,,,7.0,10.0,23.0,13.0,4.5593,32.0,29.0,21.0,4.0,3.0,14.0,24.0,7.0,7.0,18.0,8.0,1.0,4.0,,55.0,56.0,89.0,18.0,19.0,27.0,1.0,17.0,371.0,25.0,14.0,12.0,4.1327,5.0,54.0,1.0,,12.0,,55.0,4.0,,,3.0,5.0,2.0,12.0,2.0,31.0,5.0,,,1.0,,4.0,4.0,0.2285,,,
465694,Nico González,Midfielder,Manchester City,43,Spain,2025-26,1.1148,0.0,,42.0,,101.0,25.0,17.0,127.0,1316.0,4.0,61.0,4.0,,1567.0,105.0,22.0,72.0,1154.0,,,21.7138,1.0,44.0,18.0,488.0,,18.0,0.0,190.0,,330.0,90.0,25.0,12.0,732.0,15.0,129.0,33.0,0.0,3.0,1258.0,171.0,30.0,12.0,1.0,,370.0,35.0,1571.0,14.0,458.0,,6.0,26.0,43.0,85.0,,,28.0,3.0,,17.0,11.0,57.0,,,24.0,1.0,9.0,2.0,0.2577,5.0,1.0,2.0,1.0,0.0,8.0,1.0,,,3.0,11.0,1.0,1.0,,5.0,2.0,20.0,3.0,3.0,3.0,6.0,30.0,128.0,5.0,7.0,15.0,0.697,2.0,16.0,,,,,,1.0,,,,6.0,1.0,,1.0,,6.0,1.0,,,,,,,,,
220566,Rodri,Midfielder,Manchester City,43,Spain,2025-26,2.5875,0.0,,41.0,,119.0,21.0,17.0,160.0,1618.0,1.0,50.0,3.0,,1513.0,118.0,23.0,79.0,1368.0,,1.0,18.8195,1.0,41.0,15.0,515.0,,31.0,0.0,177.0,,402.0,107.0,21.0,19.0,862.0,12.0,127.0,39.0,0.0,1.0,1567.0,203.0,22.0,7.0,,,492.0,90.0,1869.0,14.0,597.0,,3.0,41.0,47.0,59.0,,,11.0,3.0,,26.0,25.0,48.0,,,14.0,1.0,6.0,3.0,0.6069,10.0,6.0,5.0,1.0,0.0,4.0,1.0,2.0,2.0,2.0,12.0,1.0,,,8.0,5.0,19.0,2.0,7.0,3.0,3.0,14.0,209.0,3.0,5.0,8.0,1.1279,1.0,37.0,,,,,,,1.0,,1.0,4.0,,,,,4.0,,,1.0,,,,,,,
165809,Bernardo Silva,Midfielder,Manchester City,43,Portugal,2025-26,4.0797,0.0,,54.0,,165.0,38.0,34.0,216.0,2205.0,5.0,25.0,5.0,,2886.0,101.0,48.0,97.0,1920.0,,1.0,34.201,3.0,34.0,30.0,552.0,,22.0,0.0,246.0,,477.0,146.0,38.0,26.0,1140.0,23.0,221.0,4.0,0.0,5.0,2075.0,369.0,28.0,21.0,,,740.0,69.0,2661.0,33.0,868.0,,10.0,51.0,55.0,145.0,,,21.0,7.0,,94.0,43.0,124.0,,,22.0,6.0,13.0,7.0,1.8875,17.0,11.0,28.0,2.0,2.0,4.0,19.0,5.0,5.0,8.0,17.0,0.0,,,28.0,53.0,62.0,8.0,10.0,15.0,6.0,37.0,436.0,25.0,20.0,23.0,2.5639,,36.0,5.0,2.0,4.0,,47.0,1.0,,,1.0,5.0,,10.0,,20.0,5.0,2.0,,,2.0,,,,,,
465351,Matheus Nunes,Midfielder,Manchester City,43,Portugal,2025-26,2.2402,0.0,,57.0,,178.0,34.0,32.0,235.0,2157.0,,69.0,12.0,,2865.0,157.0,64.0,115.0,1861.0,,1.0,34.2476,12.0,100.0,28.0,339.0,,30.0,1.0,267.0,,615.0,169.0,34.0,17.0,1169.0,21.0,198.0,42.0,0.0,,2110.0,404.0,40.0,28.0,,,835.0,61.0,2886.0,32.0,769.0,,5.0,57.0,84.0,110.0,,,27.0,7.0,,40.0,23.0,83.0,,,30.0,16.0,1.0,2.0,1.0071,6.0,5.0,50.0,1.0,0.0,2.0,16.0,1.0,1.0,,34.0,1.0,1.0,1.0,29.0,50.0,47.0,,4.0,17.0,8.0,17.0,368.0,186.0,4.0,7.0,0.3479,3.0,7.0,4.0,26.0,5.0,1.0,1.0,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,
472769,Nico O'Reilly,Midfielder,Manchester City U21,12969,England,2025-26,2.686,0.0,,68.0,,150.0,34.0,29.0,187.0,1354.0,,97.0,9.0,,2648.0,161.0,78.0,110.0,1150.0,,,32.1929,6.0,72.0,25.0,487.0,,18.0,2.0,343.0,,346.0,109.0,34.0,32.0,712.0,21.0,246.0,51.0,0.0,,1316.0,368.0,36.0,24.0,,,170.0,17.0,2068.0,24.0,464.0,,5.0,37.0,64.0,182.0,,,46.0,4.0,,103.0,20.0,136.0,,,20.0,9.0,13.0,15.0,6.2019,28.0,1.0,29.0,5.0,1.0,5.0,9.0,9.0,9.0,11.0,41.0,4.0,,,35.0,29.0,69.0,11.0,13.0,16.0,12.0,45.0,351.0,151.0,7.0,22.0,6.0288,3.0,26.0,1.0,25.0,3.0,,,,2.0,1.0,,2.0,1.0,,1.0,,2.0,,,,3.0,,,,,,
566164,Sverre Nypan,Midfielder,Manchester City U21,12969,Norway,2025-26,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209244,Phil Foden,Midfielder,Manchester City,43,England,2025-26,4.768,0.0,,34.0,,114.0,33.0,23.0,143.0,1210.0,,24.0,7.0,,2084.0,96.0,39.0,90.0,1017.0,,,25.729,3.0,12.0,19.0,299.0,,31.0,2.0,200.0,,215.0,102.0,33.0,18.0,735.0,14.0,176.0,6.0,0.0,,1195.0,320.0,16.0,25.0,,,359.0,50.0,1662.0,13.0,372.0,,4.0,29.0,29.0,104.0,,,18.0,5.0,,94.0,49.0,86.0,,,9.0,4.0,19.0,19.0,5.8295,36.0,13.0,19.0,7.0,3.0,10.0,40.0,6.0,6.0,10.0,13.0,4.0,1.0,,22.0,79.0,55.0,10.0,17.0,21.0,3.0,18.0,337.0,4.0,10.0,6.0,6.1498,1.0,74.0,3.0,,5.0,,92.0,3.0,2.0,,1.0,9.0,6.0,36.0,6.0,53.0,9.0,1.0,,1.0,4.0,2.0,2.0,0.0869,,,
