season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2016-17,7089873,1,1,Manchester_United,Away,751,13017,Wayne Rooney,wayne-rooney,F,False,,,7.0,24.0,23.0,47.0,,,5.0,,1.0,1.0,1.0,,,2.0,6.0,4.0,,,2.0,,1.0,,,,1.0,,89.0,3.0,,,,,,,,13.0,,7.3,,,,,2.0,1.0,,9.0,,30.0,23.0,52.0,4,2.0,71.0,4.0,1.0,1.0,
2016-17,7089873,1,1,Manchester_United,Away,938,2404,Michael Carrick,michael-carrick,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7089873,1,1,Manchester_United,Away,2089,9808,Zlatan Ibrahimović,zlatan-ibrahimovic,F,False,,,1.0,15.0,12.0,27.0,2.0,3.0,1.0,1.0,,,2.0,,,1.0,6.0,5.0,,,2.0,,1.0,,,,2.0,,90.0,2.0,,,,,,,,12.0,,7.8,,,,1.0,1.0,,,1.0,2.0,21.0,16.0,37.0,2,1.0,45.0,1.0,,1.0,1.0
2016-17,7089873,1,1,Manchester_United,Away,11820,20695,Antonio Valencia,antonio-valencia,D,False,1.0,,1.0,21.0,18.0,38.0,,,2.0,,,,,,,1.0,3.0,3.0,,,,,,,,1.0,1.0,,90.0,,1.0,,,,,,,12.0,,6.8,,,,3.0,2.0,2.0,,5.0,,27.0,19.0,44.0,0,3.0,67.0,1.0,,,2.0
2016-17,7089873,1,1,Manchester_United,Away,21764,41184,Marouane Fellaini,marouane-fellaini,F,False,,,2.0,32.0,43.0,75.0,2.0,2.0,8.0,,,,3.0,,,,6.0,9.0,,,1.0,,,,,1.0,,,90.0,,1.0,,,,,,,1.0,,7.4,,,,3.0,1.0,,,2.0,,33.0,43.0,76.0,0,6.0,91.0,,,1.0,4.0
2016-17,7089873,1,1,Manchester_United,Away,25566,42899,Sergio Romero,sergio-romero,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7089873,1,1,Manchester_United,Away,27009,42774,Morgan Schneiderlin,morgan-schneiderlin,M,True,,,,3.0,2.0,5.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,5.0,,,,,,,,,1.0,,,,,,,,,,,,3.0,3.0,6.0,0,,6.0,,,,
2016-17,7089873,1,1,Manchester_United,Away,28367,43670,Juan Mata,juan-mata,M,False,,,2.0,18.0,26.0,44.0,,,6.0,,1.0,,2.0,,,,2.0,4.0,,,,,1.0,,,1.0,1.0,,75.0,2.0,,,,,,,,9.0,,7.4,,,,,,1.0,,5.0,,22.0,27.0,48.0,2,3.0,62.0,4.0,1.0,,2.0
2016-17,7089873,1,1,Manchester_United,Away,37151,57249,Henrikh Mkhitaryan,henrikh-mkhitaryan,M,True,,,,2.0,4.0,6.0,1.0,,2.0,,,,,,,1.0,3.0,,,,2.0,,,,,1.0,,,15.0,,,,,,,,,1.0,,6.3,,,,,,,,,1.0,2.0,4.0,6.0,0,,8.0,,,,
2016-17,7089873,1,1,Manchester_United,Away,44864,58877,Daley Blind,daley-blind,D,False,,,5.0,13.0,38.0,51.0,,1.0,2.0,,,,,,,,,6.0,,,,,,,,4.0,,,90.0,,1.0,,,,,,,10.0,,7.6,,,,8.0,1.0,,,13.0,,20.0,41.0,61.0,0,3.0,82.0,,1.0,1.0,3.0
