season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2022-23,10385511,1,1,Manchester_United,Home,138310,90152,Raphaël Varane,raphael-varane,D,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385511,1,1,Manchester_United,Home,149380,95658,Harry Maguire,harry-maguire,D,False,,,7.0,28.0,35.0,63.0,1.0,1.0,9.0,,,1.0,,,,,2.0,3.0,,,0.0132346,0.2216,0.0,1.0,,,,,,4.0,,,90.0,,1.0,,,,,,9.0,,7.0,,,,,2.0,,,,13.0,,35.0,37.0,72.0,1,1.0,85.0,,1.0,,1.0
2022-23,10385511,1,1,Manchester_United,Home,190839,106760,Luke Shaw,luke-shaw,D,False,2.0,,1.0,26.0,23.0,47.0,2.0,1.0,5.0,,,,1.0,,,,4.0,5.0,,,0.238756,0.0836,0.082,1.0,,,,,,2.0,2.0,,89.0,1.0,,,,,,,15.0,,7.0,,,,,,,5.0,,3.0,,35.0,29.0,59.0,1,3.0,80.0,,1.0,,2.0
2022-23,10385511,1,1,Manchester_United,Home,825839,222690,Tyrell Malacia,tyrell-malacia,D,True,,,,,,,,1.0,,,,,1.0,,,,2.0,3.0,,,0.0,0.0,0.0,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,0,2.0,4.0,,,,2.0
2022-23,10385511,1,1,Manchester_United,Home,843200,216051,Diogo Dalot,diogo-dalot,D,False,1.0,,1.0,22.0,16.0,37.0,1.0,3.0,5.0,,1.0,,,,,,3.0,5.0,,1.0,0.0352501,0.2708,0.2228,,,,,,,3.0,2.0,,90.0,2.0,,,,,,,21.0,,6.6,,,,,1.0,2.0,3.0,,5.0,,30.0,21.0,48.0,2,1.0,78.0,2.0,1.0,,1.0
2022-23,10385511,1,1,Manchester_United,Home,859999,221820,Lisandro Martínez,lisandro-martinez,D,False,,,5.0,22.0,53.0,75.0,,,15.0,,,2.0,1.0,,,1.0,3.0,5.0,,,0.0182464,0.0771,0.0,1.0,,,,,,1.0,,,90.0,,2.0,,,,,,9.0,,7.3,,,1.0,,4.0,1.0,,,7.0,,23.0,57.0,80.0,3,2.0,104.0,2.0,2.0,1.0,
2022-23,10385511,1,1,Manchester_United,Home,863653,214590,Aaron Wan-Bissaka,aaron-wan-bissaka,D,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385510,2,1,Manchester_United,Away,138310,90152,Raphaël Varane,raphael-varane,D,True,,,2.0,15.0,7.0,22.0,1.0,2.0,2.0,,,,1.0,,,,2.0,3.0,,,0.00744984,0.0,0.0,,,,,,,,,,45.0,,,,,,,,3.0,,6.7,,,,,2.0,,,,2.0,,16.0,9.0,25.0,0,1.0,29.0,,,,1.0
2022-23,10385510,2,1,Manchester_United,Away,149380,95658,Harry Maguire,harry-maguire,D,False,,,4.0,26.0,20.0,46.0,3.0,4.0,4.0,,,,,,,,4.0,4.0,,,0.0169239,0.0,0.0,1.0,,,,,,1.0,1.0,,90.0,,3.0,,,,,,4.0,,6.6,,,,,2.0,,,,5.0,,29.0,21.0,50.0,0,,59.0,,,,
2022-23,10385510,2,1,Manchester_United,Away,190839,106760,Luke Shaw,luke-shaw,D,False,,,2.0,21.0,10.0,31.0,,,1.0,,,,,,,,2.0,,,,0.0477904,0.0,0.0,2.0,,,,,,1.0,1.0,,45.0,,,,,,,,10.0,,6.1,,,,,2.0,,2.0,,3.0,,25.0,13.0,36.0,0,,50.0,2.0,,,
