season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2023-24,11352327,1,1,Manchester_United,Home,138310,90152,Raphaël Varane,raphael-varane,D,False,,,1.0,13.0,21.0,34.0,,1.0,5.0,,,,1.0,,,1.0,3.0,2.0,,,0.00345223,1.0047,0.7361,1.0,,1.0,,,,,,,90.0,1.0,1.0,,,,,,6.0,,7.7,,,1.0,,5.0,,,,4.0,,14.0,24.0,38.0,2,1.0,50.0,1.0,,,
2023-24,11352327,1,1,Manchester_United,Home,143334,184667,Victor Lindelöf,victor-lindelof,D,True,,,,2.0,9.0,11.0,,,2.0,,,,1.0,,,,1.0,1.0,,,0.00061692,0.0,0.0,,,,,,,,,,45.0,,,,,,,,4.0,,6.6,,,,,,,,,,,5.0,10.0,15.0,0,1.0,18.0,,,,1.0
2023-24,11352327,1,1,Manchester_United,Home,149380,95658,Harry Maguire,harry-maguire,D,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352327,1,1,Manchester_United,Home,190839,106760,Luke Shaw,luke-shaw,D,False,,,,24.0,26.0,50.0,,,4.0,,,,,,,1.0,3.0,2.0,,,0.040827,0.0,0.0,2.0,,,,,,2.0,,,90.0,,2.0,,,,,,17.0,,7.7,,,,,6.0,,1.0,,2.0,,31.0,28.0,58.0,0,2.0,89.0,3.0,,,2.0
2023-24,11352327,1,1,Manchester_United,Home,843200,216051,Diogo Dalot,diogo-dalot,D,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352327,1,1,Manchester_United,Home,859999,221820,Lisandro Martínez,lisandro-martinez,D,False,,,1.0,11.0,25.0,36.0,1.0,,2.0,,,,2.0,,,1.0,5.0,2.0,,,0.0151216,0.0,0.0,1.0,,,,,,,,,45.0,,,,,,,,4.0,,6.5,,,,,,1.0,,,3.0,,14.0,25.0,39.0,0,1.0,43.0,,,1.0,1.0
2023-24,11352327,1,1,Manchester_United,Home,863653,214590,Aaron Wan-Bissaka,aaron-wan-bissaka,D,False,1.0,,1.0,18.0,23.0,40.0,1.0,1.0,4.0,1.0,,,1.0,,,1.0,7.0,6.0,,,0.693392,0.0,0.0,3.0,1.0,,,,,2.0,3.0,,90.0,,2.0,,,,,,10.0,,8.1,,,,,2.0,4.0,1.0,,1.0,,20.0,25.0,44.0,0,2.0,72.0,3.0,,3.0,1.0
2023-24,11352407,2,1,Manchester_United,Away,138310,90152,Raphaël Varane,raphael-varane,D,False,,,3.0,16.0,22.0,38.0,,2.0,9.0,,,,1.0,,,,1.0,4.0,,,0.00972884,0.0309,0.0628,,,,,,,1.0,,,90.0,1.0,,,,,,,6.0,,7.1,,,1.0,,5.0,1.0,,,4.0,1.0,19.0,25.0,44.0,2,1.0,56.0,,,1.0,1.0
2023-24,11352407,2,1,Manchester_United,Away,143334,184667,Victor Lindelöf,victor-lindelof,D,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352407,2,1,Manchester_United,Away,190839,106760,Luke Shaw,luke-shaw,D,False,3.0,,3.0,22.0,15.0,34.0,,1.0,5.0,1.0,,,1.0,,,,1.0,3.0,,,0.441493,0.0,0.0,,,,,,,,6.0,,90.0,,1.0,,,,,,11.0,,7.7,,,,,3.0,1.0,5.0,,4.0,,30.0,16.0,41.0,0,1.0,65.0,1.0,,1.0,
