season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2016-17,7089873,1,1,Manchester_United,Away,938,2404,Michael Carrick,michael-carrick,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7089873,1,1,Manchester_United,Away,27009,42774,Morgan Schneiderlin,morgan-schneiderlin,M,True,,,,3.0,2.0,5.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,5.0,,,,,,,,,1.0,,,,,,,,,,,,,3.0,3.0,6.0,0,,6.0,,,,
2016-17,7089873,1,1,Manchester_United,Away,28367,43670,Juan Mata,juan-mata,M,False,,,2.0,18.0,26.0,44.0,,,6.0,,1.0,,2.0,,,,2.0,4.0,,,,,1.0,,,1.0,1.0,,75.0,2.0,,,,,,,,9.0,,7.4,,,,,,,1.0,,5.0,,22.0,27.0,48.0,2,3.0,62.0,4.0,1.0,,2.0
2016-17,7089873,1,1,Manchester_United,Away,37151,57249,Henrikh Mkhitaryan,henrikh-mkhitaryan,M,True,,,,2.0,4.0,6.0,1.0,,2.0,,,,,,,1.0,3.0,,,,2.0,,,,,1.0,,,15.0,,,,,,,,,1.0,,6.3,,,,,,,,,,1.0,2.0,4.0,6.0,0,,8.0,,,,
2016-17,7089873,1,1,Manchester_United,Away,82474,59846,Ander Herrera,ander-herrera,M,False,1.0,,2.0,26.0,52.0,77.0,,1.0,7.0,,,,2.0,,,,4.0,3.0,,,2.0,,,,,,,,90.0,,,,,,,,,14.0,,6.7,,,,,3.0,,2.0,,7.0,,36.0,54.0,88.0,0,1.0,100.0,,1.0,,1.0
2016-17,7089873,1,1,Manchester_United,Away,191176,148225,Anthony Martial,anthony-martial,M,False,,,,21.0,12.0,33.0,2.0,,7.0,1.0,,1.0,,,,2.0,6.0,5.0,,,,2.0,,,,1.0,3.0,,85.0,,,,,,,,,10.0,,7.8,,,2.0,,,3.0,,,,,25.0,13.0,38.0,3,2.0,53.0,1.0,2.0,1.0,2.0
2016-17,7090014,2,1,Manchester_United,Home,27009,42774,Morgan Schneiderlin,morgan-schneiderlin,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090014,2,1,Manchester_United,Home,28367,43670,Juan Mata,juan-mata,M,False,1.0,,3.0,21.0,13.0,33.0,,1.0,6.0,,,,,,,,,3.0,,,,,,,,,2.0,,76.0,,,,,,,,,14.0,,7.3,,,1.0,,2.0,1.0,6.0,,4.0,,33.0,14.0,41.0,1,1.0,55.0,1.0,,1.0,1.0
2016-17,7090014,2,1,Manchester_United,Home,37151,57249,Henrikh Mkhitaryan,henrikh-mkhitaryan,M,True,,,1.0,3.0,2.0,5.0,,,2.0,,,,,,,,3.0,1.0,,,1.0,,,,,1.0,1.0,,14.0,,,,,,,,,3.0,,6.6,,,,,,3.0,,,1.0,,4.0,2.0,6.0,0,,12.0,,,1.0,
2016-17,7090014,2,1,Manchester_United,Home,82474,59846,Ander Herrera,ander-herrera,M,True,,,,4.0,1.0,5.0,,,1.0,,,,,,,,,2.0,,,,,,,,,,,8.0,,,,,,,,,1.0,,7.0,,,,,,,,,,,5.0,1.0,6.0,0,2.0,9.0,,,,1.0
2016-17,7090014,2,1,Manchester_United,Home,111802,74208,Paul Pogba,paul-pogba,M,False,,,6.0,31.0,29.0,60.0,1.0,2.0,14.0,,,,1.0,,,1.0,10.0,13.0,,,2.0,,,,,4.0,2.0,,90.0,1.0,,,,,,,,23.0,,7.9,,,3.0,,1.0,14.0,1.0,,10.0,,39.0,34.0,72.0,4,1.0,107.0,3.0,1.0,9.0,1.0
2016-17,7090014,2,1,Manchester_United,Home,191176,148225,Anthony Martial,anthony-martial,M,False,,,,15.0,5.0,20.0,1.0,,7.0,,,1.0,,,,3.0,4.0,,,,,,,,,,,,82.0,1.0,,,,,,,,11.0,,6.4,,,,,,,1.0,,1.0,,19.0,6.0,24.0,2,,35.0,3.0,,,
2016-17,7090027,3,1,Manchester_United,Away,27009,42774,Morgan Schneiderlin,morgan-schneiderlin,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090027,3,1,Manchester_United,Away,28367,43670,Juan Mata,juan-mata,M,False,,,4.0,31.0,5.0,36.0,1.0,,9.0,,,,1.0,,,2.0,4.0,4.0,,,,,,,,,,,71.0,2.0,,,,,,,,13.0,,7.1,,,,,,2.0,3.0,,5.0,1.0,39.0,5.0,41.0,2,1.0,57.0,2.0,1.0,2.0,1.0
2016-17,7090027,3,1,Manchester_United,Away,37151,57249,Henrikh Mkhitaryan,henrikh-mkhitaryan,M,True,,,,20.0,2.0,22.0,1.0,,2.0,,,1.0,1.0,,,1.0,5.0,5.0,,,,,,,,,1.0,,30.0,2.0,,,,,,,,8.0,,6.9,,,1.0,,,4.0,1.0,,,,24.0,2.0,25.0,4,1.0,40.0,1.0,2.0,2.0,
2016-17,7090027,3,1,Manchester_United,Away,82474,59846,Ander Herrera,ander-herrera,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090027,3,1,Manchester_United,Away,111802,74208,Paul Pogba,paul-pogba,M,False,,,5.0,64.0,15.0,79.0,1.0,2.0,6.0,,,,,,,1.0,3.0,7.0,,,1.0,,,,,1.0,1.0,,90.0,1.0,,,,,,,,15.0,,7.9,,,5.0,,,1.0,1.0,,5.0,,75.0,17.0,91.0,6,1.0,112.0,1.0,3.0,1.0,
2016-17,7090027,3,1,Manchester_United,Away,191176,148225,Anthony Martial,anthony-martial,M,False,1.0,,,21.0,2.0,22.0,,,2.0,,,,,,,2.0,4.0,1.0,,,,,,,,,2.0,,60.0,,,,,,,,,12.0,,6.6,,,1.0,,,3.0,2.0,,,,27.0,2.0,27.0,1,,39.0,2.0,,1.0,
2016-17,7090039,4,1,Manchester_United,Home,27009,42774,Morgan Schneiderlin,morgan-schneiderlin,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090039,4,1,Manchester_United,Home,28367,43670,Juan Mata,juan-mata,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090039,4,1,Manchester_United,Home,37151,57249,Henrikh Mkhitaryan,henrikh-mkhitaryan,M,False,,,,9.0,6.0,15.0,,1.0,4.0,,,,1.0,,,4.0,6.0,3.0,,,,,,,,1.0,1.0,,45.0,,,,,,,,,12.0,,6.1,,,,,,2.0,1.0,,1.0,1.0,10.0,9.0,18.0,0,1.0,32.0,3.0,,1.0,1.0
2016-17,7090039,4,1,Manchester_United,Home,82474,59846,Ander Herrera,ander-herrera,M,True,,,1.0,17.0,4.0,21.0,,1.0,7.0,,,,2.0,,,,3.0,6.0,,,1.0,,,,,1.0,1.0,,45.0,,1.0,,,,,,,12.0,,6.8,,,,,,1.0,2.0,,6.0,,27.0,4.0,29.0,0,2.0,41.0,2.0,2.0,1.0,2.0
2016-17,7090039,4,1,Manchester_United,Home,111802,74208,Paul Pogba,paul-pogba,M,False,,,2.0,22.0,13.0,35.0,2.0,3.0,8.0,,,,2.0,,,3.0,8.0,14.0,,,1.0,,,,,2.0,1.0,,90.0,,,,,,,,,16.0,,7.1,,,1.0,,,6.0,,,3.0,,30.0,15.0,45.0,1,2.0,67.0,2.0,4.0,5.0,2.0
2016-17,7090039,4,1,Manchester_United,Home,191176,148225,Anthony Martial,anthony-martial,M,True,,,,2.0,,2.0,,1.0,,,,,,,,,,2.0,,,,,,,,,,,9.0,,,,,,,,,4.0,,6.7,,,,,,1.0,1.0,,,,5.0,,4.0,0,,7.0,1.0,,1.0,
2016-17,7090051,5,1,Manchester_United,Away,938,2404,Michael Carrick,michael-carrick,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090051,5,1,Manchester_United,Away,28367,43670,Juan Mata,juan-mata,M,True,,,,11.0,5.0,16.0,,,4.0,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,,28.0,,,,,,,,,5.0,,6.5,,,,,1.0,1.0,2.0,,,,14.0,5.0,17.0,0,,26.0,,1.0,,
2016-17,7090051,5,1,Manchester_United,Away,82474,59846,Ander Herrera,ander-herrera,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090051,5,1,Manchester_United,Away,111802,74208,Paul Pogba,paul-pogba,M,False,,,4.0,34.0,14.0,48.0,,,6.0,,,,,,,1.0,5.0,5.0,,,4.0,,,,1.0,,,,90.0,,,,,,,,,18.0,,6.9,,,2.0,,2.0,,1.0,,6.0,,47.0,17.0,63.0,2,4.0,76.0,1.0,1.0,,4.0
2016-17,7090051,5,1,Manchester_United,Away,191176,148225,Anthony Martial,anthony-martial,M,False,,,1.0,5.0,4.0,9.0,2.0,,3.0,,,,,,,3.0,5.0,1.0,,,1.0,,,,,,,,38.0,,,,,,,,,5.0,,6.2,,,,,,1.0,1.0,,1.0,,6.0,5.0,10.0,0,,17.0,,,1.0,
2016-17,7090058,6,1,Manchester_United,Home,938,2404,Michael Carrick,michael-carrick,M,True,,,1.0,12.0,16.0,28.0,,,3.0,,,,,,,,,,,,,,,,,1.0,,,12.0,,,,,,,,,,,6.7,,,,,,,,,1.0,,12.0,16.0,28.0,0,,29.0,,,,
2016-17,7090058,6,1,Manchester_United,Home,28367,43670,Juan Mata,juan-mata,M,False,1.0,,2.0,33.0,30.0,62.0,,1.0,3.0,1.0,,1.0,1.0,,,,2.0,2.0,,,1.0,1.0,1.0,,,,1.0,,87.0,1.0,,,,,,,,10.0,,8.0,,,,,,,4.0,,2.0,,41.0,32.0,69.0,2,,77.0,,1.0,,
2016-17,7090058,6,1,Manchester_United,Home,82474,59846,Ander Herrera,ander-herrera,M,False,,,5.0,29.0,49.0,78.0,1.0,1.0,7.0,,,,1.0,,,2.0,4.0,6.0,,,,,,,,6.0,,,90.0,,1.0,,,,,,,13.0,,7.4,,,1.0,,3.0,,,,7.0,,36.0,53.0,89.0,1,3.0,107.0,,2.0,,3.0
2016-17,7090058,6,1,Manchester_United,Home,111802,74208,Paul Pogba,paul-pogba,M,False,,,8.0,58.0,28.0,86.0,1.0,2.0,6.0,1.0,,,,,,1.0,5.0,6.0,,,2.0,,1.0,,,,3.0,,90.0,2.0,1.0,,,,,,,19.0,,8.4,,,,,3.0,1.0,1.0,,11.0,,66.0,35.0,100.0,2,2.0,116.0,1.0,2.0,,
2016-17,7090067,7,1,Manchester_United,Home,938,2404,Michael Carrick,michael-carrick,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090067,7,1,Manchester_United,Home,28367,43670,Juan Mata,juan-mata,M,False,,,1.0,25.0,6.0,31.0,,,3.0,,,,1.0,,,1.0,3.0,3.0,,,1.0,,,,,1.0,,,67.0,2.0,,,,,,,,8.0,,6.9,,,,,,1.0,3.0,,3.0,,31.0,7.0,35.0,2,,45.0,,2.0,1.0,
