playerId,playerName,position,team,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,goalAssists,unsuccessfulCrossesOpenPlay,goals,substituteOn,aerialDuelsLost,totalTouchesInOppositionBox,throwInsToOppositionPlayer,ownGoalScored,keyPassesAttemptAssists,shotsBlockedInBox,tacklesLost,leftFootGoals,unsuccessfulCrossesAndCorners,iboxBlocked,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,successfulDribbles,blocks,interceptions,backwardPasses,throwInsToOwnPlayer,substituteOff,foulAttemptedTackle,handballsConceded,expectedGoals,iboxTarget,shotsOnTargetInBox,penaltiesConceded,unsuccessfulDribbles,successfulLayoffs,shotsOnTargetOutsideBox,oboxTarget,offsides,expectedGoalsFreekick,oboxBlocked,freekickTotal,attemptsFromSetPieces,shotsBlockedOutsideBox,successfulCrossesOpenPlay,cornersTakenInclShortCorners,successfulCrossesAndCorners,successfulCornersIntoBox,rightFootGoals,redCards2ndYellow,unsuccessfulCornersIntoBox,clearancesOffTheLine,hitWoodwork,secondGoalAssists,foulWonPenalty,unsuccessfulLayoffs,penaltiesTaken,headedGoals,penaltyGoals,setPiecesGoals,otherGoals
51940,David de Gea,Goalkeeper,Fiorentina,Spain,2018-19,2.0,0.0533,0.0,8.0,57.0,8.0,38.0,38.0,379.0,948.0,12.0,3.0,7.0,6.0,3420.0,7.0,8.0,1.0,4.0,270.0,12.0,6.0,50.7101,66.0,23.0,54.0,2.0,88.0,122.0,4.0,9.0,1.0,746.0,291.0,38.0,1.0,1.0,195.0,46.0,6.0,3.0,0.0,340.0,455.0,388.0,145.0,22.0,114.0,1.0,299.0,1272.0,168.0,374.0,63.0,1.0,371.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6744,Lee Grant,Goalkeeper,Manchester United,England,2018-19,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42899,Sergio Romero,Goalkeeper,Boca Juniors,Argentina,2018-19,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184667,Victor Lindelöf,Defender,Aston Villa,Sweden,2018-19,70.0,0.6638,0.0,,,92.0,30.0,29.0,161.0,1490.0,,110.0,6.0,,2602.0,131.0,7.0,23.0,62.0,1265.0,,4.0,37.3446,7.0,118.0,40.0,29.0,464.0,,15.0,201.0,9.0,556.0,147.0,30.0,,,385.0,33.0,91.0,69.0,0.0,,1459.0,179.0,,,415.0,19.0,64.0,1794.0,34.0,944.0,,1.0,69.0,74.0,3.0,1.0,0.3372,40.0,5.0,1.0,1.0,1.0,1.0,1.0,41.0,14.0,1.0,1.0,4.0,3.0,13.0,1.0,1.0,3.0,4.0,2.0,27.0,8.0,12.0,24.0,55.0,10.0,2.0,11.0,2.0,0.6816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197365,Eric Bailly,Defender,Villarreal,Cote d’Ivoire,2018-19,13.0,0.0176,1.0,,,22.0,12.0,8.0,39.0,302.0,,17.0,1.0,,639.0,37.0,1.0,6.0,24.0,244.0,,1.0,10.1621,6.0,37.0,13.0,9.0,76.0,,5.0,50.0,5.0,93.0,42.0,12.0,,,66.0,12.0,33.0,13.0,1.0,,295.0,48.0,,,111.0,5.0,19.0,406.0,8.0,197.0,,0.0,17.0,19.0,,1.0,0.0433,15.0,3.0,,,,,4.0,4.0,8.0,1.0,,,,6.0,,,,2.0,,9.0,4.0,4.0,13.0,22.0,1.0,2.0,4.0,,0.2231,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
76359,Phil Jones,Defender,Manchester United,England,2018-19,33.0,0.4101,0.0,,,43.0,18.0,15.0,56.0,754.0,,64.0,3.0,,1262.0,78.0,2.0,8.0,32.0,659.0,,3.0,17.0835,3.0,62.0,17.0,15.0,255.0,,10.0,111.0,5.0,221.0,92.0,18.0,,,204.0,15.0,47.0,46.0,0.0,,740.0,70.0,,,228.0,8.0,39.0,938.0,9.0,494.0,,1.0,13.0,27.0,,2.0,0.1517,19.0,5.0,,1.0,1.0,,3.0,18.0,6.0,1.0,,2.0,,6.0,,1.0,,3.0,1.0,13.0,3.0,11.0,23.0,50.0,4.0,3.0,1.0,,0.4442,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
55909,Chris Smalling,Defender,Roma,England,2018-19,85.0,0.4073,0.0,,,87.0,24.0,24.0,132.0,954.0,,159.0,4.0,,2128.0,140.0,6.0,17.0,38.0,772.0,,3.0,32.0229,6.0,106.0,36.0,28.0,282.0,,8.0,225.0,12.0,281.0,81.0,24.0,,,205.0,30.0,66.0,102.0,0.0,,934.0,141.0,,,325.0,22.0,50.0,1232.0,29.0,617.0,,1.0,45.0,49.0,2.0,2.0,0.4291,30.0,9.0,1.0,,,1.0,,57.0,30.0,,1.0,2.0,2.0,13.0,1.0,,2.0,7.0,1.0,17.0,1.0,25.0,26.0,66.0,7.0,1.0,5.0,,1.1993,1.0,1.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
58893,Marcos Rojo,Defender,Boca Juniors,Argentina,2018-19,9.0,0.0323,0.0,,,20.0,5.0,2.0,34.0,124.0,,4.0,,,211.0,10.0,,5.0,7.0,82.0,,1.0,4.4603,2.0,9.0,5.0,8.0,44.0,,1.0,19.0,1.0,59.0,8.0,5.0,,,38.0,5.0,15.0,3.0,0.0,,121.0,40.0,,,14.0,3.0,8.0,174.0,3.0,52.0,,2.0,14.0,11.0,2.0,4.0,0.3013,5.0,4.0,,,3.0,,3.0,1.0,2.0,,1.0,,,2.0,,3.0,,,2.0,3.0,1.0,2.0,6.0,7.0,8.0,2.0,2.0,,0.2391,1.0,1.0,,,,3.0,3.0,,0.0633,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,
18892,Ashley Young,Defender,Everton,England,2018-19,99.0,3.7426,1.0,,,177.0,30.0,28.0,309.0,1376.0,,35.0,4.0,,2569.0,121.0,6.0,79.0,98.0,957.0,,6.0,40.0366,13.0,58.0,43.0,87.0,150.0,,32.0,220.0,26.0,583.0,166.0,30.0,,,634.0,37.0,185.0,23.0,0.0,,1293.0,596.0,,,439.0,37.0,110.0,2287.0,48.0,475.0,,8.0,132.0,83.0,4.0,3.0,1.1009,52.0,8.0,2.0,2.0,81.0,2.0,2.0,12.0,20.0,49.0,,37.0,1.0,20.0,,155.0,1.0,5.0,29.0,32.0,17.0,10.0,55.0,204.0,260.0,,20.0,4.0,0.5001,,,,17.0,3.0,1.0,1.0,4.0,0.1209,3.0,2.0,2.0,3.0,14.0,102.0,42.0,30.0,2.0,1.0,56.0,1.0,1.0,1.0,,,,,,,
216051,Diogo Dalot,Defender,Manchester United,Portugal,2018-19,30.0,2.0008,0.0,,,97.0,16.0,12.0,123.0,423.0,,27.0,1.0,,1014.0,59.0,4.0,41.0,37.0,291.0,,3.0,15.3168,1.0,30.0,18.0,25.0,50.0,,2.0,89.0,13.0,148.0,53.0,16.0,,,201.0,14.0,62.0,22.0,0.0,,422.0,193.0,,,148.0,12.0,9.0,721.0,15.0,113.0,,3.0,26.0,38.0,5.0,,,24.0,10.0,,2.0,34.0,,4.0,5.0,21.0,12.0,,15.0,,12.0,,36.0,,10.0,11.0,12.0,11.0,2.0,10.0,77.0,75.0,6.0,4.0,1.0,0.7012,,,1.0,5.0,1.0,,,2.0,,5.0,,,5.0,13.0,3.0,14.0,1.0,,,2.0,,,,,,,,,,
