playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,oboxBlocked,substituteOn,aerialDuels,cleanSheets,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,expectedGoalsFreekick,goals,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,unsuccessfulLayoffs,successfulCornersIntoBox,oboxTarget,leftFootGoals,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,foulWonPenalty,penaltiesTaken,rightFootGoals,headedGoals,hitWoodwork,secondGoalAssists,setPiecesGoals,penaltyGoals,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,penaltiesSaved,savesFromPenalty,winningGoal,ownGoalScored
214590,Aaron Wan-Bissaka,Defender,Man Utd,1,DR Congo,2019-20,148.0,14.0,3.131,0.0,2.0,1.0,0.1334,129.0,5.0,2.0,242.0,35.0,4.0,2.0,34.0,309.0,89.0,1651.0,1.0,1.0,1.0,59.0,11.0,14.0,1.0,3072.0,1.0,35.0,226.0,3.0,1.0,109.0,202.0,1309.0,41.0,50.0,2.0,31.6195,21.0,14.0,58.0,33.0,1.0,113.0,106.0,19.0,374.0,33.0,641.0,179.0,35.0,49.0,28.0,836.0,30.0,89.0,1.0,315.0,24.0,0.0,1643.0,4.0,16.0,569.0,80.0,54.0,13.0,644.0,21.0,66.0,33.0,260.0,2726.0,317.0,2.0,1.0,45.0,520.0,12.0,1.0,0.6875,8.0,67.0,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156689,Andreas Pereira,Midfielder,Man Utd,1,Brazil,2019-20,142.0,4.0,2.9458,0.0,9.0,14.0,2.2583,24.0,28.0,2.0,124.0,25.0,3.0,10.0,18.0,152.0,24.0,703.0,3.0,7.0,7.0,44.0,1.0,10.0,3.0,1488.0,3.0,34.0,70.0,3.0,,32.0,60.0,521.0,52.0,,,16.4913,29.0,2.0,5.0,16.0,2.0,108.0,146.0,16.0,212.0,13.0,205.0,85.0,25.0,11.0,13.0,411.0,13.0,55.0,2.0,168.0,10.0,0.0,664.0,14.0,14.0,314.0,13.0,20.0,,214.0,27.0,7.0,30.0,138.0,1053.0,8.0,13.0,7.0,7.0,150.0,19.0,1.0,2.2913,3.0,28.0,32.0,0.2014,1.0,38.0,10.0,2.0,5.0,10.0,1.0,3.0,3.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,
148225,Anthony Martial,Forward,Man Utd,1,France,2019-20,215.0,2.0,3.738,0.0,21.0,40.0,14.4807,15.0,59.0,5.0,136.0,32.0,6.0,27.0,31.0,138.0,9.0,712.0,12.0,9.0,1.0,87.0,3.0,2.0,18.0,2638.0,18.0,67.0,124.0,2.0,,43.0,104.0,566.0,183.0,1.0,3.0,26.1544,24.0,1.0,15.0,27.0,12.0,148.0,211.0,41.0,339.0,17.0,161.0,44.0,32.0,3.0,47.0,482.0,25.0,9.0,12.0,252.0,20.0,0.0,683.0,19.0,30.0,339.0,12.0,50.0,1.0,171.0,28.0,5.0,8.0,169.0,1191.0,4.0,17.0,9.0,,94.0,15.0,3.0,12.1022,1.0,2.0,13.0,,17.0,,5.0,3.0,,5.0,3.0,,,,1.0,1.0,12.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,
180804,Axel Tuanzebe,Defender,Man Utd,1,DR Congo,2019-20,20.0,,0.0221,0.0,,,,2.0,,,11.0,5.0,,,2.0,16.0,1.0,136.0,,,3.0,15.0,,,,187.0,,12.0,8.0,1.0,,3.0,5.0,116.0,,,,3.7857,,,4.0,3.0,,8.0,43.0,3.0,28.0,1.0,41.0,15.0,5.0,,3.0,45.0,2.0,1.0,,13.0,3.0,0.0,135.0,,,24.0,2.0,,,36.0,3.0,5.0,4.0,16.0,182.0,12.0,,,2.0,75.0,1.0,,,0.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232937,Brandon Williams,Defender,Man Utd,1,England,2019-20,53.0,3.0,0.7096,0.0,1.0,2.0,0.5715,21.0,5.0,1.0,61.0,17.0,,1.0,11.0,86.0,9.0,551.0,1.0,,6.0,19.0,4.0,3.0,1.0,1004.0,1.0,9.0,62.0,1.0,,11.0,52.0,449.0,23.0,10.0,1.0,9.7598,13.0,2.0,14.0,11.0,1.0,44.0,260.0,15.0,115.0,5.0,157.0,68.0,17.0,6.0,6.0,258.0,10.0,9.0,1.0,96.0,10.0,0.0,543.0,3.0,3.0,146.0,15.0,16.0,4.0,33.0,13.0,16.0,16.0,101.0,812.0,62.0,5.0,,10.0,210.0,7.0,1.0,0.9693,6.0,25.0,21.0,,1.0,1.0,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
141746,Bruno Fernandes,Midfielder,Man Utd,1,Portugal,2019-20,72.0,2.0,2.3354,0.0,7.0,18.0,6.7689,22.0,37.0,8.0,148.0,14.0,7.0,15.0,14.0,189.0,21.0,777.0,2.0,6.0,,14.0,3.0,14.0,3.0,1192.0,3.0,11.0,54.0,,,26.0,51.0,542.0,42.0,,2.0,9.3759,23.0,1.0,14.0,6.0,1.0,61.0,183.0,14.0,126.0,6.0,268.0,67.0,14.0,10.0,6.0,452.0,6.0,61.0,1.0,112.0,3.0,0.0,735.0,19.0,8.0,302.0,12.0,15.0,,183.0,9.0,11.0,46.0,143.0,1056.0,5.0,7.0,6.0,5.0,150.0,6.0,,6.1857,2.0,41.0,23.0,0.5323,8.0,56.0,7.0,1.0,12.0,7.0,,7.0,7.0,35.0,2.0,4.0,8.0,,3.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,
200617,Daniel James,Midfielder,Man Utd,1,Wales,2019-20,139.0,14.0,2.6238,0.0,10.0,20.0,4.9974,21.0,32.0,4.0,133.0,33.0,6.0,9.0,26.0,149.0,77.0,698.0,2.0,3.0,7.0,34.0,3.0,15.0,11.0,2290.0,11.0,26.0,110.0,4.0,,62.0,102.0,536.0,90.0,1.0,1.0,26.5609,20.0,3.0,6.0,29.0,7.0,113.0,146.0,55.0,249.0,19.0,173.0,92.0,33.0,11.0,35.0,434.0,25.0,81.0,7.0,215.0,8.0,0.0,697.0,12.0,31.0,356.0,10.0,27.0,4.0,175.0,14.0,7.0,13.0,204.0,1162.0,4.0,11.0,3.0,8.0,130.0,9.0,,3.0887,4.0,16.0,35.0,,3.0,4.0,6.0,2.0,1.0,6.0,,,,3.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,
51940,David de Gea,Goalkeeper,Man Utd,1,Spain,2019-20,,,0.0104,0.0,,,,,,,7.0,38.0,,,38.0,201.0,,786.0,,,,9.0,13.0,,,3420.0,,,13.0,4.0,,,4.0,489.0,,,3.0,35.8894,,22.0,16.0,36.0,,,168.0,6.0,13.0,,397.0,232.0,38.0,,,37.0,32.0,,,4.0,9.0,0.0,410.0,,,206.0,,,,221.0,,,96.0,,1073.0,1.0,,,89.0,548.0,,,,2.0,194.0,48.0,,,,,,,,,,,,,,,,,,,,9.0,39.0,11.0,3.0,9.0,96.0,1.0,1.0,366.0,55.0,28.0,57.0,,,,
172649,Dean Henderson,Goalkeeper,Man Utd,1,England,2019-20,,,0.1204,0.0,1.0,,,,,,1.0,36.0,,,36.0,591.0,,934.0,,,,17.0,13.0,,,3240.0,,,18.0,2.0,,,1.0,78.0,1.0,,1.0,41.348,1.0,111.0,29.0,33.0,1.0,,26.0,2.0,18.0,,870.0,326.0,36.0,,,236.0,31.0,,1.0,1.0,17.0,0.0,433.0,,3.0,599.0,,,,38.0,,1.0,265.0,,1204.0,,,,305.0,107.0,,,0.0645,2.0,590.0,46.0,,,,,,,,,,,,,,,,,,,,16.0,35.0,7.0,3.0,16.0,97.0,4.0,4.0,199.0,168.0,27.0,60.0,1.0,1.0,0.0,
216051,Diogo Dalot,Defender,Man Utd,1,Portugal,2019-20,7.0,,0.0215,0.0,,,,3.0,1.0,,10.0,4.0,,,1.0,13.0,3.0,51.0,,,3.0,4.0,,,,66.0,,1.0,6.0,,,2.0,3.0,37.0,2.0,,,0.2371,,,1.0,1.0,,6.0,4.0,,13.0,1.0,21.0,5.0,4.0,1.0,3.0,24.0,1.0,3.0,,9.0,3.0,0.0,50.0,1.0,4.0,22.0,2.0,,,14.0,1.0,2.0,1.0,12.0,83.0,13.0,1.0,,2.0,14.0,,,0.292,0.0,3.0,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
