playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,oboxBlocked,substituteOn,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,oboxTarget,tacklesLost,lastPlayerTackle,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,throughBalls,goals,offsides,awayGoals,iboxTarget,shotsOnTargetInBox,rightFootGoals,leftFootGoals,shotsOffTargetIncWoodwork,unsuccessfulCornersIntoBox,handballsConceded,foulWonPenalty,cornersTakenInclShortCorners,unsuccessfulLayoffs,homeGoals,headedGoals,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,hitWoodwork,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,secondGoalAssists,expectedGoalsFreekick,penaltiesTaken,penaltyGoals,clearancesOffTheLine,redCards2ndYellow,ownGoalScored,otherGoals
214590,Aaron Wan-Bissaka,Defender,Man Utd,1,DR Congo,2023-24,61.0,4.0,1.3812,0.0,2.0,1.0,3.0,0.0194,42.0,1.0,114.0,22.0,2.0,2.0,20.0,142.0,10.0,832.0,1.0,2.0,40.0,3.0,1.0,4.0,1781.0,19.0,89.0,4.0,1.0,41.0,68.0,677.0,24.0,9.0,4.0,34.3234,10.0,5.0,54.0,34.0,1.0,42.0,120.0,9.0,0.0,150.0,14.0,285.0,94.0,22.0,1.0,17.0,1.0,9.0,368.0,30.0,10.0,18.0,1.0,110.0,21.0,0.0,825.0,3.0,204.0,25.0,17.0,15.0,279.0,17.0,41.0,13.0,148.0,1271.0,129.0,4.0,1.0,22.0,326.0,14.0,0.1111,4.0,28.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216051,Diogo Dalot,Defender,Man Utd,1,Portugal,2023-24,120.0,24.0,2.447,1.0,10.0,7.0,6.0,1.6065,81.0,20.0,169.0,36.0,3.0,7.0,35.0,242.0,51.0,1492.0,4.0,1.0,58.0,7.0,4.0,24.0,3173.0,26.0,158.0,5.0,1.0,67.0,126.0,1173.0,51.0,39.0,7.0,56.8429,35.0,9.0,96.0,55.0,6.0,94.0,267.0,14.0,2.0,278.0,28.0,507.0,195.0,36.0,4.0,30.0,,18.0,673.0,50.0,56.0,29.0,6.0,220.0,32.0,0.0,1471.0,21.0,403.0,51.0,31.0,16.0,464.0,45.0,37.0,77.0,254.0,2287.0,212.0,,4.0,46.0,601.0,33.0,1.6674,4.0,73.0,103.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,,13.0,5.0,2.0,,5.0,2.0,0.0,,,,,,,,,,,,,,,,2.0,,,,,,,,3.0,1.0,,
519325,Habeeb Ogunneye,Defender,Man Utd,1,England,2023-24,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577974,Harry Amass,Defender,Man Utd,1,England,2023-24,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95658,Harry Maguire,Defender,Man Utd,1,England,2023-24,53.0,1.0,0.9295,0.0,5.0,3.0,,1.5271,24.0,15.0,107.0,22.0,2.0,,18.0,182.0,2.0,1096.0,,4.0,88.0,4.0,,1.0,1650.0,19.0,103.0,1.0,,12.0,34.0,841.0,37.0,,6.0,32.6065,4.0,2.0,83.0,29.0,5.0,34.0,259.0,10.0,0.0,156.0,9.0,429.0,78.0,22.0,,7.0,,2.0,340.0,28.0,2.0,4.0,5.0,68.0,69.0,0.0,1015.0,4.0,199.0,17.0,,24.0,357.0,21.0,25.0,73.0,51.0,1336.0,2.0,1.0,,35.0,575.0,13.0,2.0368,4.0,75.0,59.0,,2.0,6.0,0.0,1.0,1.0,,1.0,12.0,,1.0,1.0,,,2.0,1.0,,,45.0,,,,,,,,45.0,,,,,,,,,,,,,,,
37642,Jonny Evans,Defender,Man Utd,1,Northern Ireland,2023-24,49.0,,0.2691,0.0,,,1.0,,22.0,1.0,64.0,23.0,1.0,2.0,15.0,100.0,,826.0,,8.0,54.0,2.0,,,1396.0,18.0,75.0,4.0,,14.0,39.0,709.0,8.0,,2.0,24.9772,5.0,4.0,74.0,24.0,,31.0,319.0,13.0,0.0,124.0,7.0,278.0,70.0,23.0,,8.0,,2.0,191.0,20.0,,5.0,,70.0,36.0,0.0,778.0,,114.0,14.0,4.0,18.0,164.0,17.0,23.0,17.0,65.0,1031.0,3.0,7.0,,14.0,535.0,11.0,0.0607,2.0,36.0,51.0,1.0,,,,,,,,1.0,,,,,,,,,,30.0,,,,,,,,30.0,,,,,,,,,,,,1.0,,,
221820,Lisandro Martínez,Defender,Man Utd,1,Argentina,2023-24,22.0,,0.0892,0.0,,,,,12.0,,14.0,11.0,1.0,,8.0,31.0,2.0,442.0,,3.0,9.0,,,,648.0,5.0,21.0,1.0,,3.0,17.0,401.0,2.0,,1.0,9.8031,2.0,2.0,23.0,12.0,,17.0,193.0,3.0,0.0,43.0,2.0,129.0,33.0,11.0,,4.0,,1.0,137.0,11.0,2.0,4.0,,34.0,4.0,0.0,412.0,1.0,40.0,8.0,2.0,8.0,82.0,6.0,5.0,10.0,38.0,517.0,,6.0,,4.0,274.0,5.0,,3.0,17.0,10.0,1.0,,,,,,,,,,,,,,,,,,20.0,,,,,,,,20.0,,,,,,,,,,,,1.0,,1.0,
530117,Louis Jackson,Defender,Man Utd,1,Scotland,2023-24,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106760,Luke Shaw,Defender,Man Utd,1,England,2023-24,39.0,2.0,0.8667,0.0,,,1.0,,11.0,2.0,56.0,12.0,,,12.0,79.0,13.0,551.0,,,23.0,2.0,,9.0,962.0,10.0,34.0,,,17.0,21.0,456.0,13.0,12.0,1.0,17.9275,13.0,2.0,37.0,13.0,,29.0,211.0,3.0,0.0,73.0,7.0,215.0,59.0,12.0,,3.0,,4.0,203.0,13.0,24.0,10.0,,50.0,13.0,0.0,525.0,2.0,142.0,8.0,7.0,11.0,55.0,14.0,6.0,16.0,70.0,776.0,50.0,5.0,,10.0,278.0,11.0,0.0497,6.0,23.0,33.0,2.0,,,,,,,,2.0,10.0,1.0,,19.0,,,,,,8.0,,,,,,,,8.0,,,,,5.0,,,,,,,,,,
90152,Raphaël Varane,Defender,Man Utd,1,France,2023-24,20.0,,0.5725,0.0,2.0,2.0,,0.7989,18.0,6.0,48.0,22.0,,,16.0,83.0,,774.0,,6.0,26.0,3.0,,,1371.0,5.0,43.0,3.0,,9.0,22.0,662.0,11.0,,2.0,23.9339,1.0,4.0,86.0,23.0,2.0,15.0,222.0,3.0,1.0,63.0,5.0,257.0,67.0,22.0,,7.0,1.0,1.0,264.0,20.0,,3.0,2.0,37.0,21.0,0.0,708.0,2.0,96.0,11.0,1.0,18.0,233.0,8.0,15.0,29.0,62.0,957.0,3.0,4.0,,23.0,427.0,6.0,1.2608,2.0,35.0,39.0,1.0,1.0,2.0,0.0,1.0,1.0,,,4.0,,,,,,1.0,1.0,,,42.0,,,,,,,,42.0,,,,,,,,,,,,,,,
