playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,gamesPlayed,totalRedCards,yellowCards,duelsLost,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,overruns,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,homeGoals,forwardPasses,recoveries,appearances,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,unsuccessfulLaunches,successfulPassesOwnHalf,handballsConceded,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,throwInsToOppositionPlayer,penaltyGoalsConceded,headedGoals,foulWonPenalty,rightFootGoals,penaltiesConceded,lastPlayerTackle,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,drops,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,penaltiesTaken,redCards2ndYellow,clearancesOffTheLine,ownGoalScored,setPiecesGoals,penaltyGoals
27258,Anderson,Midfielder,Man Utd,1,Brazil,2010-11,0.0,18.0,0.0,2.0,63.0,1.0,5.0,6.0,3.0,32.0,14.0,21.0,94.0,2.0,24.0,14.0,117.0,6.0,684.0,1.0,1.0,0.0,4.0,11.0,12.0,2.0,2.0,1190.0,2.0,7.0,70.0,2.0,65.0,517.0,1.0,21.0,13.0,2.0,10.0,8.0,56.0,192.0,3.0,18.0,0.0,133.0,1.0,228.0,96.0,18.0,9.0,1.0,10.0,377.0,6.0,12.0,29.0,121.0,5.0,661.0,8.0,4.0,191.0,23.0,15.0,3.0,1.0,184.0,15.0,20.0,4.0,50.0,80.0,889.0,1.0,9.0,1.0,7.0,192.0,1.0,23.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,
14295,Darren Fletcher,Midfielder,Man Utd,1,Scotland,2010-11,0.0,26.0,0.0,3.0,95.0,11.0,8.0,7.0,,29.0,9.0,12.0,179.0,6.0,52.0,24.0,216.0,36.0,1393.0,2.0,1.0,1.0,2.0,1.0,32.0,9.0,14.0,2108.0,1.0,13.0,73.0,3.0,54.0,1058.0,1.0,31.0,21.0,5.0,28.0,25.0,82.0,324.0,7.0,19.0,0.0,168.0,1.0,445.0,152.0,26.0,2.0,,13.0,729.0,22.0,36.0,38.0,136.0,19.0,1375.0,2.0,10.0,335.0,27.0,6.0,7.0,,473.0,19.0,38.0,,119.0,151.0,1698.0,10.0,2.0,,15.0,462.0,,37.0,42.0,1.0,3.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,
27707,Darron Gibson,Midfielder,Man Utd,1,Ireland,2010-11,0.0,12.0,0.0,3.0,20.0,1.0,6.0,4.0,,9.0,13.0,4.0,54.0,1.0,24.0,6.0,62.0,6.0,422.0,,,,6.0,3.0,5.0,1.0,1.0,648.0,1.0,2.0,15.0,,12.0,328.0,,,2.0,1.0,9.0,8.0,18.0,,,2.0,,35.0,,,34.0,12.0,2.0,,1.0,211.0,8.0,8.0,,30.0,3.0,,9.0,6.0,,7.0,1.0,1.0,1.0,,7.0,8.0,2.0,32.0,,502.0,,4.0,,5.0,150.0,,8.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,
38429,Gabriel Obertan,Midfielder,Man Utd,1,,2010-11,0.0,7.0,0.0,0.0,23.0,2.0,1.0,2.0,,3.0,7.0,2.0,27.0,,10.0,3.0,28.0,8.0,149.0,,2.0,,4.0,4.0,12.0,1.0,4.0,283.0,1.0,6.0,16.0,1.0,10.0,118.0,2.0,,7.0,,1.0,4.0,17.0,,,3.0,,39.0,,,13.0,7.0,,,2.0,101.0,3.0,10.0,,27.0,6.0,,5.0,5.0,,3.0,4.0,,,,2.0,3.0,2.0,3.0,,206.0,,1.0,,1.0,24.0,,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,
2404,Michael Carrick,Midfielder,Man Utd,1,England,2010-11,0.0,28.0,0.0,1.0,68.0,1.0,8.0,2.0,,61.0,11.0,8.0,152.0,,37.0,23.0,192.0,6.0,1432.0,,,,5.0,,22.0,8.0,1.0,1975.0,,12.0,95.0,1.0,85.0,1117.0,,13.0,16.0,4.0,27.0,21.0,56.0,333.0,8.0,18.0,0.0,163.0,,449.0,174.0,28.0,19.0,,1.0,646.0,20.0,6.0,17.0,141.0,10.0,1411.0,9.0,5.0,242.0,42.0,6.0,8.0,,507.0,13.0,57.0,,123.0,143.0,1702.0,4.0,5.0,,12.0,595.0,1.0,40.0,38.0,,4.0,,,,,,,,,,,,,,,,,,,,,,
38530,Nani,Midfielder,Man Utd,1,Portugal,2010-11,0.0,33.0,0.0,1.0,249.0,46.0,33.0,39.0,17.0,53.0,102.0,25.0,219.0,14.0,75.0,31.0,232.0,144.0,1180.0,9.0,2.0,2.0,2.0,113.0,70.0,8.0,75.0,2668.0,7.0,56.0,210.0,2.0,196.0,925.0,26.0,149.0,64.0,1.0,18.0,29.0,193.0,256.0,2.0,62.0,2.0,459.0,7.0,287.0,158.0,33.0,17.0,7.0,58.0,772.0,27.0,219.0,137.0,389.0,14.0,1130.0,63.0,63.0,677.0,36.0,81.0,2.0,20.0,375.0,32.0,33.0,60.0,23.0,262.0,2152.0,19.0,9.0,6.0,7.0,251.0,,13.0,34.0,1.0,3.0,,,2.0,,,,,,,,,,,,,,1.0,,,,,
5043,Owen Hargreaves,Midfielder,Man Utd,1,England,2010-11,0.0,1.0,0.0,0.0,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,3.0,,,,,,,,,10.0,,,,,,2.0,,,,,,,,,,,0.0,,,,1.0,1.0,,,,,,1.0,,,,3.0,,,2.0,,,,,3.0,,,,,,4.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12882,Park Ji-Sung,Midfielder,Man Utd,1,South Korea,2010-11,0.0,15.0,0.0,1.0,77.0,5.0,7.0,8.0,4.0,34.0,11.0,10.0,76.0,3.0,40.0,13.0,79.0,19.0,567.0,5.0,1.0,0.0,2.0,1.0,20.0,4.0,5.0,1084.0,2.0,13.0,86.0,1.0,79.0,476.0,,35.0,14.0,,7.0,13.0,64.0,198.0,,37.0,6.0,163.0,5.0,136.0,77.0,15.0,8.0,2.0,11.0,334.0,12.0,20.0,45.0,143.0,7.0,565.0,3.0,11.0,173.0,26.0,8.0,,,99.0,9.0,17.0,1.0,12.0,134.0,805.0,,6.0,1.0,1.0,159.0,1.0,3.0,9.0,,3.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,
363,Paul Scholes,Midfielder,Man Utd,1,England,2010-11,0.0,22.0,0.0,9.0,75.0,3.0,7.0,5.0,,28.0,13.0,12.0,88.0,3.0,36.0,16.0,133.0,,1357.0,1.0,,1.0,6.0,,9.0,4.0,3.0,1536.0,,5.0,44.0,2.0,40.0,1040.0,,13.0,17.0,1.0,8.0,19.0,70.0,483.0,,6.0,0.0,119.0,0.0,332.0,129.0,22.0,9.0,,4.0,644.0,17.0,,15.0,110.0,4.0,1323.0,8.0,2.0,160.0,19.0,6.0,3.0,,407.0,32.0,35.0,,184.0,135.0,1513.0,,6.0,,3.0,583.0,1.0,45.0,33.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
3,Ryan Giggs,Midfielder,Man Utd,1,Wales,2010-11,0.0,25.0,0.0,5.0,109.0,20.0,11.0,8.0,2.0,34.0,21.0,23.0,204.0,6.0,34.0,19.0,250.0,84.0,916.0,2.0,4.0,0.0,6.0,89.0,19.0,4.0,46.0,1678.0,3.0,12.0,85.0,1.0,78.0,618.0,26.0,84.0,54.0,2.0,17.0,21.0,97.0,322.0,2.0,10.0,0.0,194.0,2.0,341.0,104.0,25.0,11.0,2.0,30.0,520.0,20.0,132.0,60.0,175.0,7.0,882.0,13.0,27.0,482.0,23.0,34.0,2.0,7.0,144.0,23.0,22.0,44.0,48.0,109.0,1388.0,14.0,5.0,1.0,12.0,192.0,2.0,46.0,37.0,1.0,4.0,,1.0,,,,,,,,,,,,,,,,,,,,
43250,Tom Cleverley,Midfielder,Man Utd,1,England,2010-11,0.0,25.0,0.0,1.0,106.0,8.0,11.0,15.0,2.0,47.0,29.0,4.0,95.0,2.0,37.0,19.0,117.0,30.0,636.0,3.0,,2.0,6.0,4.0,22.0,2.0,9.0,1632.0,1.0,17.0,88.0,2.0,83.0,503.0,1.0,37.0,24.0,5.0,18.0,26.0,89.0,193.0,,22.0,2.0,194.0,1.0,203.0,106.0,25.0,12.0,,19.0,374.0,24.0,32.0,61.0,172.0,5.0,632.0,14.0,10.0,242.0,35.0,14.0,2.0,,63.0,14.0,26.0,1.0,16.0,177.0,978.0,18.0,4.0,,19.0,154.0,1.0,22.0,29.0,,3.0,,1.0,3.0,,,,,,,,,,,,,,,,,,,
