playerId,playerName,position,team_name,team_id,nationality,season,punches,successfulLaunches,totalClearances,goalsConceded,totalRedCards,catches,rightsidePasses,savesMade,winningGoal,duels,forwardPasses,recoveries,appearances,savesMadeFromOutsideBox,unsuccessfulShortPasses,crossesNotClaimed,gamesPlayed,successfulPassesOppositionHalf,starts,goalsConcededInsideBox,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,savesMadeCaught,totalLossesOfPossession,aerialDuels,gkUnsuccessfulDistribution,cleanSheets,savesMadeParried,leftsidePasses,successfulLongPasses,timePlayed,touches,duelsWon,goalsConcededOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,successfulShortPasses,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,duelsLost,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,totalTackles,totalShots,throughBalls,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,goals,awayGoals,substituteOn,cornersTakenInclShortCorners,successfulCrossesAndCorners,aerialDuelsLost,groundDuelsWon,successfulCornersIntoBox,totalTouchesInOppositionBox,keyPassesAttemptAssists,groundDuelsLost,totalFoulsWon,homeGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,headedGoals,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,successfulDribbles,blocks,attemptsFromSetPieces,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,backwardPasses,throwInsToOwnPlayer,substituteOff,overruns,foulWonPenalty,offsides,unsuccessfulLayoffs,throwInsToOppositionPlayer,penaltyGoalsConceded,rightFootGoals,clearancesOffTheLine,handballsConceded,secondGoalAssists,hitWoodwork,penaltiesTaken,otherGoals,penaltyGoals,penaltiesSaved,penaltiesFaced,savesFromPenalty,drops,penaltiesConceded,ownGoalScored,lastPlayerTackle,setPiecesGoals
27258,Anderson,Midfielder,Man Utd,1,Brazil,2011-12,,1.0,7.0,9.0,0.0,,162.0,,2.0,73.0,151.0,46.0,10.0,,51.0,,10.0,266.0,8.0,9.0,72.0,514.0,,1.0,0.0,,493.0,,110.0,3.0,,2.0,,152.0,46.0,694.0,633.0,34.0,,6.0,180.0,396.0,,2.0,21.0,10.0,39.0,1.0,1.0,6.0,23.0,9.0,2.0,1.0,8.0,3.0,2.0,0.0,2.0,18.0,4.0,2.0,33.0,2.0,7.0,12.0,37.0,2.0,2.0,7.0,1.0,3.0,1.0,12.0,16.0,70.0,3.0,4.0,16.0,8.0,5.0,1.0,12.0,15.0,9.0,49.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,
14295,Darren Fletcher,Midfielder,Man Utd,1,Scotland,2011-12,,,6.0,9.0,0.0,,132.0,,0.0,38.0,126.0,42.0,8.0,,41.0,,8.0,248.0,7.0,7.0,48.0,476.0,,,0.0,,466.0,,71.0,3.0,,2.0,,174.0,57.0,643.0,544.0,17.0,2.0,3.0,182.0,371.0,,1.0,7.0,10.0,21.0,2.0,1.0,1.0,11.0,2.0,1.0,1.0,15.0,1.0,1.0,0.0,1.0,,2.0,3.0,17.0,,6.0,8.0,18.0,5.0,1.0,5.0,,3.0,,1.0,10.0,35.0,1.0,1.0,6.0,1.0,2.0,,5.0,9.0,,44.0,2.0,1.0,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,
109322,Jesse Lingard,Midfielder,Man Utd,1,England,2011-12,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106610,Larnell Cole,Midfielder,Man Utd,1,England,2011-12,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2404,Michael Carrick,Midfielder,Man Utd,1,England,2011-12,,6.0,47.0,21.0,0.0,,612.0,,0.0,187.0,656.0,147.0,30.0,,178.0,,30.0,1142.0,27.0,18.0,217.0,2192.0,,8.0,0.0,,2154.0,,275.0,11.0,,14.0,,722.0,179.0,2513.0,2559.0,127.0,3.0,18.0,837.0,1796.0,,4.0,39.0,53.0,60.0,4.0,16.0,3.0,90.0,11.0,7.0,3.0,75.0,9.0,2.0,1.0,3.0,,4.0,3.0,119.0,,42.0,28.0,57.0,21.0,1.0,29.0,1.0,5.0,,9.0,14.0,176.0,8.0,8.0,61.0,8.0,15.0,,20.0,71.0,,202.0,5.0,1.0,1.0,,,1.0,,2.0,1.0,,1.0,,1.0,,,,,,,,,,1.0,
38530,Nani,Midfielder,Man Utd,1,Portugal,2011-12,,,14.0,21.0,0.0,,256.0,,2.0,298.0,259.0,128.0,29.0,,192.0,,29.0,656.0,24.0,20.0,208.0,1049.0,,15.0,0.0,,1026.0,,536.0,51.0,,6.0,,310.0,15.0,2111.0,1713.0,134.0,1.0,6.0,232.0,826.0,,2.0,16.0,30.0,164.0,24.0,16.0,19.0,38.0,49.0,10.0,10.0,81.0,121.0,8.0,2.0,5.0,75.0,47.0,36.0,119.0,21.0,121.0,58.0,128.0,28.0,6.0,10.0,2.0,26.0,1.0,171.0,90.0,247.0,30.0,39.0,28.0,53.0,4.0,4.0,29.0,26.0,40.0,224.0,23.0,10.0,3.0,1.0,3.0,6.0,,2.0,5.0,,2.0,1.0,1.0,,,,,,,,,,,
12882,Park Ji-Sung,Midfielder,Man Utd,1,South Korea,2011-12,,2.0,6.0,9.0,0.0,,147.0,,2.0,115.0,107.0,46.0,17.0,,48.0,,17.0,277.0,10.0,6.0,51.0,485.0,,2.0,0.0,,481.0,,121.0,9.0,,5.0,,123.0,9.0,925.0,686.0,74.0,3.0,2.0,158.0,425.0,,0.0,3.0,12.0,41.0,1.0,3.0,5.0,41.0,9.0,2.0,1.0,24.0,19.0,2.0,0.0,7.0,3.0,1.0,7.0,72.0,,39.0,7.0,34.0,24.0,2.0,12.0,1.0,8.0,,19.0,26.0,106.0,4.0,5.0,29.0,7.0,,,2.0,21.0,,108.0,3.0,4.0,2.0,2.0,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,
74208,Paul Pogba,Midfielder,Man Utd,1,France,2011-12,,1.0,2.0,,0.0,,25.0,,0.0,8.0,11.0,5.0,3.0,,4.0,,3.0,46.0,,,4.0,85.0,,,0.0,,83.0,,9.0,,,,,37.0,9.0,67.0,108.0,7.0,,,35.0,72.0,,0.0,,,1.0,,2.0,,3.0,2.0,,,3.0,4.0,,,3.0,1.0,,,7.0,,7.0,,1.0,1.0,,1.0,,,,4.0,,8.0,2.0,3.0,2.0,3.0,,,1.0,4.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,
363,Paul Scholes,Midfielder,Man Utd,1,England,2011-12,,1.0,5.0,7.0,0.0,,439.0,,4.0,107.0,239.0,91.0,17.0,,57.0,,17.0,631.0,14.0,7.0,79.0,1137.0,,4.0,0.0,,1118.0,,108.0,7.0,,3.0,,364.0,162.0,1169.0,1279.0,57.0,,2.0,427.0,896.0,,3.0,22.0,12.0,50.0,,6.0,7.0,39.0,15.0,4.0,,32.0,,4.0,1.0,3.0,,,3.0,53.0,,13.0,18.0,47.0,10.0,3.0,14.0,,,1.0,,17.0,100.0,8.0,4.0,25.0,4.0,3.0,,22.0,24.0,,95.0,1.0,9.0,,,,,,,3.0,,4.0,,1.0,,,,,,,,,,,
3,Ryan Giggs,Midfielder,Man Utd,1,Wales,2011-12,,3.0,10.0,15.0,0.0,,328.0,,2.0,167.0,367.0,114.0,25.0,,160.0,,25.0,600.0,14.0,11.0,200.0,1011.0,,4.0,0.0,,974.0,,357.0,12.0,,3.0,,206.0,60.0,1466.0,1334.0,67.0,4.0,12.0,235.0,751.0,,3.0,40.0,28.0,100.0,13.0,4.0,10.0,28.0,15.0,11.0,8.0,53.0,43.0,2.0,2.0,11.0,53.0,24.0,8.0,63.0,10.0,46.0,37.0,92.0,13.0,0.0,10.0,2.0,8.0,,73.0,50.0,155.0,5.0,15.0,18.0,22.0,1.0,5.0,20.0,30.0,25.0,110.0,5.0,3.0,3.0,,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,
