matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attLgCentre,attLgLeft,attObxdLeft,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,outfielderBlock,overrun,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
360473,1,2011-08-13 17:30:00,4,Newcastle,Home,103.0,13.0,,2.0,2.0,1.0,,121.0,5.0,2.0,7.0,7.0,8.0,19.0,222.0,,,19.0,12.0,13.0,3.0,,,,,,1.0,,1.0,,6.0,,,,,,,4.0,7.0,44.0,62.0,,,,4.0,2.0,14.0,1.0,2.0,5.0,10.0,,16.0,1.0,58.0,49.0,4.0,21.0,10.0,,,65.0,10.0,11.0,,2.0,3.0,1.0,142.0,,,,,,,9.0,,4.0,,13.0,,16.0,10.0,5.0,7.0,68.0,71.0,37.0,5.0,,1.0,2.0,1.0,4.0,3.0,36.0,40.0,27.0,,,,,,171.0,161.0,1.0,24.0,21.0,37.8,,,0.0,66.0,2.0,,,,,,5.0,,3.0,52.0,3.0,127.0,35.0,31.0,8.0,2.0,20.0,18.0,,95.0,10.0,213.0,4.0,2.0,17.0,9.0,43.0,3.0,320.0,,0.0,8.0,23.0,3.0,24.0,3.0,523.0,8.0,2.0,2.0,18.0,0.0
360486,2,2011-08-20 12:00:00,4,Newcastle,Away,103.0,8.0,4.0,6.0,2.0,1.0,,79.0,5.0,,2.0,6.0,6.0,13.0,176.0,,,18.0,16.0,12.0,5.0,4.0,1.0,1.0,1.0,,2.0,,,,5.0,,,,,,2.0,7.0,8.0,35.0,56.0,2.0,3.0,,4.0,2.0,8.0,,6.0,3.0,6.0,1.0,20.0,1.0,55.0,55.0,4.0,14.0,5.0,,1.0,53.0,9.0,17.0,,3.0,1.0,2.0,139.0,,,,,,,13.0,,1.0,2.0,17.0,,15.0,13.0,2.0,3.0,48.0,83.0,30.0,7.0,,3.0,6.0,6.0,3.0,1.0,30.0,47.0,20.0,,,,,,186.0,162.0,3.0,31.0,14.0,50.0,,1.0,0.0,53.0,1.0,2.0,,,2.0,1.0,5.0,1.0,2.0,43.0,9.0,134.0,16.0,38.0,8.0,5.0,15.0,10.0,1.0,87.0,8.0,156.0,1.0,,41.0,6.0,48.0,2.0,275.0,1.0,0.0,13.0,22.0,,25.0,3.0,484.0,11.0,4.0,6.0,15.0,0.0
360494,3,2011-08-28 13:00:00,4,Newcastle,Home,129.0,16.0,,2.0,2.0,6.0,,178.0,3.0,,1.0,6.0,18.0,27.0,305.0,1.0,,13.0,17.0,14.0,6.0,1.0,1.0,,,,1.0,,,1.0,7.0,,,,,,1.0,10.0,8.0,67.0,68.0,,1.0,1.0,5.0,3.0,11.0,1.0,6.0,4.0,9.0,,11.0,3.0,65.0,66.0,5.0,22.0,13.0,,,70.0,19.0,9.0,2.0,1.0,,1.0,145.0,1.0,,1.0,1.0,,,8.0,2.0,2.0,,18.0,2.0,19.0,13.0,1.0,1.0,85.0,80.0,48.0,6.0,,2.0,6.0,6.0,5.0,2.0,62.0,57.0,17.0,,,,,,162.0,148.0,3.0,25.0,31.0,46.4,,1.0,0.0,88.0,3.0,2.0,,,,1.0,3.0,,3.0,71.0,8.0,140.0,26.0,36.0,15.0,4.0,17.0,13.0,1.0,115.0,11.0,262.0,2.0,,22.0,22.0,53.0,4.0,385.0,2.0,0.0,12.0,35.0,1.0,19.0,2.0,609.0,18.0,8.0,6.0,26.0,0.0
360505,4,2011-09-12 20:00:00,4,Newcastle,Away,93.0,13.0,,6.0,6.0,9.0,,138.0,3.0,,,8.0,8.0,20.0,225.0,,,21.0,14.0,17.0,5.0,,,,1.0,,2.0,1.0,,,4.0,,,,,,,12.0,4.0,40.0,58.0,,,,4.0,2.0,6.0,2.0,4.0,8.0,9.0,,18.0,1.0,67.0,51.0,4.0,22.0,14.0,,,69.0,16.0,9.0,,2.0,1.0,2.0,142.0,,,,,,,16.0,,2.0,2.0,19.0,,24.0,17.0,3.0,,69.0,82.0,36.0,6.0,,3.0,2.0,1.0,5.0,1.0,38.0,53.0,27.0,,,,,,189.0,174.0,1.0,26.0,21.0,41.9,,,0.0,60.0,3.0,1.0,,,1.0,,5.0,,3.0,62.0,5.0,108.0,24.0,37.0,19.0,3.0,21.0,18.0,,114.0,21.0,224.0,2.0,1.0,26.0,8.0,48.0,,311.0,,0.0,8.0,21.0,1.0,27.0,3.0,548.0,20.0,4.0,4.0,14.0,0.0
360509,5,2011-09-17 15:00:00,4,Newcastle,Away,159.0,16.0,3.0,6.0,3.0,3.0,,211.0,4.0,1.0,10.0,3.0,24.0,27.0,364.0,,,20.0,14.0,11.0,13.0,1.0,3.0,,1.0,,2.0,1.0,,,14.0,,,1.0,,,1.0,8.0,3.0,59.0,52.0,2.0,2.0,1.0,2.0,9.0,8.0,1.0,9.0,9.0,13.0,,11.0,,52.0,62.0,2.0,17.0,10.0,,1.0,75.0,12.0,13.0,1.0,2.0,,2.0,150.0,,,,,,,10.0,1.0,4.0,2.0,17.0,1.0,15.0,9.0,2.0,10.0,119.0,78.0,47.0,4.0,,5.0,9.0,6.0,3.0,3.0,53.0,44.0,28.0,,,,,,163.0,145.0,1.0,18.0,20.0,58.9,1.0,2.0,0.0,108.0,,1.0,,,,3.0,7.0,,3.0,92.0,14.0,169.0,27.0,35.0,23.0,9.0,31.0,22.0,3.0,137.0,8.0,298.0,4.0,1.0,24.0,25.0,51.0,2.0,436.0,,0.0,22.0,24.0,2.0,23.0,1.0,670.0,14.0,14.0,9.0,18.0,0.0
360523,6,2011-09-24 15:00:00,4,Newcastle,Home,201.0,14.0,1.0,10.0,9.0,3.0,1.0,190.0,4.0,1.0,6.0,7.0,19.0,33.0,381.0,,1.0,26.0,9.0,15.0,16.0,1.0,2.0,,,,1.0,,,,15.0,,,,,,1.0,2.0,1.0,70.0,48.0,1.0,1.0,1.0,2.0,6.0,4.0,,4.0,15.0,7.0,,9.0,,38.0,53.0,2.0,16.0,11.0,,,67.0,8.0,16.0,3.0,3.0,3.0,1.0,164.0,2.0,,2.0,2.0,,,8.0,3.0,3.0,1.0,19.0,,8.0,6.0,,6.0,107.0,73.0,47.0,2.0,,11.0,8.0,4.0,,,47.0,74.0,16.0,,,,,,149.0,131.0,1.0,17.0,17.0,63.8,,,0.0,117.0,,,,,,2.0,11.0,1.0,2.0,84.0,19.0,216.0,27.0,34.0,17.0,3.0,28.0,25.0,2.0,126.0,14.0,270.0,3.0,1.0,14.0,22.0,51.0,1.0,458.0,,0.0,21.0,14.0,2.0,31.0,0.0,658.0,8.0,8.0,4.0,10.0,0.0
360538,7,2011-10-01 15:00:00,4,Newcastle,Away,89.0,4.0,1.0,2.0,1.0,3.0,,137.0,5.0,2.0,2.0,9.0,17.0,15.0,224.0,,1.0,10.0,13.0,13.0,11.0,,2.0,,,,,,,,12.0,,,,,,,20.0,8.0,60.0,49.0,2.0,1.0,1.0,7.0,3.0,6.0,,5.0,8.0,2.0,,10.0,3.0,42.0,37.0,7.0,35.0,11.0,,,56.0,10.0,8.0,1.0,,,,115.0,1.0,1.0,1.0,,1.0,,21.0,1.0,4.0,,17.0,,16.0,12.0,1.0,2.0,64.0,77.0,34.0,10.0,1.0,5.0,7.0,5.0,8.0,2.0,26.0,51.0,14.0,,,,,,157.0,143.0,4.0,16.0,19.0,45.9,,5.0,0.0,56.0,5.0,1.0,,,,2.0,5.0,,3.0,58.0,12.0,103.0,12.0,49.0,8.0,4.0,14.0,10.0,2.0,96.0,9.0,206.0,4.0,2.0,22.0,18.0,34.0,8.0,295.0,1.0,0.0,13.0,11.0,4.0,15.0,2.0,516.0,16.0,5.0,5.0,9.0,0.0
360543,8,2011-10-16 16:00:00,4,Newcastle,Home,159.0,15.0,1.0,6.0,5.0,1.0,1.0,199.0,2.0,3.0,6.0,7.0,8.0,17.0,352.0,,1.0,16.0,14.0,9.0,7.0,2.0,,,,1.0,1.0,1.0,,,9.0,,,,,,3.0,8.0,5.0,69.0,80.0,2.0,1.0,1.0,1.0,2.0,8.0,,5.0,12.0,6.0,,14.0,1.0,57.0,50.0,1.0,7.0,4.0,,,62.0,11.0,13.0,2.0,5.0,5.0,1.0,168.0,2.0,,1.0,2.0,,,4.0,2.0,2.0,,7.0,,18.0,16.0,1.0,6.0,117.0,85.0,49.0,2.0,,5.0,6.0,6.0,4.0,3.0,67.0,60.0,28.0,1.0,1.0,1.0,,,180.0,173.0,4.0,33.0,33.0,55.0,,,0.0,96.0,3.0,1.0,,,1.0,,6.0,,3.0,82.0,11.0,178.0,39.0,14.0,18.0,5.0,28.0,23.0,,124.0,2.0,300.0,2.0,3.0,24.0,10.0,46.0,4.0,450.0,,0.0,14.0,20.0,9.0,19.0,1.0,656.0,17.0,8.0,5.0,15.0,0.0
360556,9,2011-10-22 15:00:00,4,Newcastle,Home,178.0,7.0,1.0,9.0,8.0,1.0,,179.0,8.0,,5.0,13.0,14.0,26.0,348.0,,,11.0,18.0,10.0,6.0,1.0,,,1.0,,2.0,1.0,,,8.0,,,,,,,6.0,8.0,57.0,69.0,1.0,1.0,,2.0,5.0,7.0,,7.0,14.0,11.0,,21.0,1.0,60.0,54.0,2.0,7.0,3.0,,,71.0,7.0,22.0,,4.0,,2.0,183.0,1.0,,1.0,1.0,,,14.0,1.0,1.0,,8.0,,14.0,12.0,2.0,5.0,89.0,100.0,66.0,3.0,1.0,2.0,6.0,4.0,3.0,1.0,47.0,80.0,18.0,,,,,,166.0,157.0,3.0,31.0,25.0,53.8,,,0.0,99.0,1.0,1.0,,,1.0,,3.0,,3.0,71.0,8.0,189.0,17.0,16.0,16.0,6.0,31.0,25.0,,119.0,5.0,270.0,1.0,,30.0,14.0,47.0,1.0,428.0,,0.0,12.0,13.0,1.0,14.0,3.0,620.0,16.0,9.0,7.0,10.0,0.0
360563,10,2011-10-31 20:00:00,4,Newcastle,Away,84.0,7.0,,1.0,1.0,2.0,,74.0,4.0,,2.0,9.0,3.0,14.0,157.0,,,21.0,24.0,6.0,1.0,,,,1.0,,1.0,,1.0,,5.0,1.0,,,,,,11.0,1.0,36.0,58.0,2.0,,3.0,7.0,,6.0,,2.0,2.0,6.0,,9.0,1.0,57.0,48.0,7.0,20.0,7.0,,,72.0,13.0,8.0,3.0,1.0,,1.0,139.0,2.0,,1.0,2.0,,,15.0,2.0,3.0,,18.0,,8.0,6.0,,3.0,49.0,93.0,29.0,8.0,,1.0,2.0,3.0,3.0,3.0,29.0,59.0,16.0,1.0,1.0,1.0,,1.0,191.0,177.0,1.0,25.0,20.0,43.6,,4.0,0.0,41.0,1.0,1.0,,,2.0,,5.0,,3.0,32.0,3.0,108.0,17.0,34.0,6.0,2.0,10.0,8.0,,87.0,17.0,167.0,4.0,,39.0,4.0,48.0,3.0,265.0,,0.0,8.0,33.0,1.0,35.0,1.0,478.0,14.0,1.0,2.0,26.0,0.0
