matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgRight,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2367543,1,2023-08-12 17:30:00,4,Newcastle,Home,269.0,16.0,2.0,5.0,3.0,,1.0,164.0,3.0,,6.0,,4.0,15.0,428.0,,4.0,13.0,6.0,5.0,7.0,3.0,2.0,1.0,,,,,,,2.0,13.0,,,,,2.0,8.0,12.0,4.0,14.0,3.0,80.0,55.0,8.0,4.0,5.0,3.0,9.0,2.0,11.0,,,6.0,4.0,1.0,,8.0,3.0,42.0,44.0,3.0,12.0,4.0,,,,,,,,57.0,12.0,16.0,2.0,,2.0,2.0,,166.0,4.0,,4.0,3.0,1.0,,8.0,4.0,,,4.0,,7.0,7.0,2.0,6.0,125.0,57.0,33.0,5.0,1.0,2.0,12.0,13.0,475.0,3.0,1.0,,54.0,52.0,22.0,,,,,,111.0,111.0,4.0,24.0,21.0,52.6,,,,,14.0,0.0,131.0,3.0,2.0,5.0,,,1.0,2.0,,2.0,5.0,85.0,408.0,9.0,14.0,289.0,34.0,12.0,12.0,4.0,11.0,7.0,1.0,126.0,,224.0,,,6.0,5.0,42.0,2.0,502.0,,0.0,17.0,16.0,5.0,15.0,4.0,674.0,34.0,13.0,7.0,6.0,9.0,0.0
2367553,2,2023-08-19 20:00:00,4,Newcastle,Away,260.0,24.0,,3.0,3.0,,,155.0,5.0,1.0,7.0,,3.0,26.0,412.0,,,10.0,3.0,6.0,7.0,,,,,,,,,,,7.0,,,,,,6.0,10.0,4.0,4.0,3.0,66.0,55.0,,,,,4.0,4.0,14.0,,,,5.0,,,7.0,,39.0,34.0,,11.0,6.0,,,,,,,,44.0,11.0,13.0,,,,,,137.0,,,,,,,8.0,,,,6.0,,7.0,7.0,,7.0,120.0,48.0,27.0,3.0,,2.0,5.0,1.0,453.0,7.0,,,35.0,49.0,14.0,,,,,,99.0,99.0,5.0,23.0,20.0,41.3,,,,,10.0,0.0,154.0,3.0,,3.0,,1.0,,2.0,,,5.0,65.0,394.0,4.0,7.0,279.0,44.0,11.0,9.0,,5.0,5.0,,91.0,,203.0,,1.0,2.0,3.0,45.0,4.0,477.0,,0.0,7.0,10.0,,12.0,5.0,613.0,18.0,15.0,5.0,,4.0,0.0
2367566,3,2023-08-27 16:30:00,4,Newcastle,Home,296.0,20.0,2.0,6.0,4.0,1.0,1.0,218.0,5.0,4.0,7.0,,3.0,18.0,508.0,1.0,,12.0,8.0,9.0,13.0,1.0,3.0,1.0,,,,1.0,,,1.0,15.0,,,,1.0,4.0,11.0,6.0,3.0,14.0,9.0,91.0,60.0,,,1.0,1.0,6.0,4.0,10.0,,,5.0,6.0,2.0,,7.0,1.0,45.0,48.0,1.0,15.0,9.0,1.0,,,,,,,56.0,16.0,10.0,1.0,,2.0,2.0,1.0,163.0,,,,,,,6.0,1.0,1.0,1.0,9.0,2.0,5.0,5.0,,7.0,176.0,64.0,44.0,9.0,,8.0,6.0,8.0,571.0,2.0,1.0,,57.0,85.0,26.0,,,,,,112.0,112.0,7.0,23.0,23.0,60.0,1.0,3.0,,1.0,15.0,0.0,160.0,1.0,1.0,2.0,,,1.0,11.0,,,5.0,104.0,491.0,6.0,14.0,320.0,44.0,15.0,15.0,3.0,13.0,10.0,1.0,145.0,2.0,283.0,1.0,4.0,7.0,4.0,39.0,,590.0,2.0,0.0,23.0,19.0,1.0,13.0,1.0,751.0,31.0,9.0,10.0,5.0,12.0,0.0
2367570,4,2023-09-02 17:30:00,4,Newcastle,Away,231.0,14.0,,2.0,2.0,1.0,1.0,142.0,4.0,2.0,6.0,1.0,6.0,20.0,371.0,2.0,1.0,12.0,12.0,5.0,7.0,1.0,,,,,,,,,,8.0,,,,,1.0,10.0,9.0,6.0,7.0,2.0,59.0,40.0,1.0,,1.0,,7.0,3.0,10.0,,,3.0,4.0,2.0,,5.0,1.0,47.0,50.0,,14.0,4.0,1.0,,,,,,,39.0,17.0,14.0,,,2.0,3.0,,141.0,1.0,,1.0,1.0,,,7.0,1.0,,,4.0,,3.0,3.0,1.0,6.0,115.0,61.0,43.0,5.0,,4.0,5.0,2.0,412.0,4.0,1.0,,47.0,48.0,20.0,,,,,,98.0,98.0,3.0,18.0,13.0,44.2,,,,,17.0,0.0,125.0,2.0,1.0,4.0,,,,4.0,,1.0,5.0,54.0,348.0,7.0,9.0,257.0,35.0,14.0,16.0,2.0,11.0,9.0,,80.0,2.0,194.0,,2.0,4.0,7.0,43.0,,440.0,3.0,0.0,9.0,18.0,1.0,12.0,4.0,596.0,24.0,11.0,13.0,3.0,9.0,0.0
2367583,5,2023-09-16 17:30:00,4,Newcastle,Home,147.0,17.0,2.0,5.0,3.0,,,221.0,5.0,1.0,6.0,2.0,2.0,17.0,363.0,,,22.0,20.0,23.0,5.0,1.0,3.0,,,,,,,,,4.0,1.0,,,,1.0,4.0,8.0,3.0,5.0,4.0,67.0,57.0,1.0,1.0,1.0,1.0,4.0,2.0,10.0,,1.0,8.0,14.0,6.0,,19.0,,68.0,60.0,1.0,19.0,12.0,,,,,,,,53.0,8.0,12.0,1.0,,6.0,1.0,,182.0,,,,,,,10.0,,1.0,,12.0,,6.0,6.0,,6.0,101.0,67.0,38.0,3.0,,4.0,2.0,2.0,438.0,5.0,,,63.0,71.0,35.0,,,,,1.0,169.0,169.0,5.0,25.0,18.0,56.3,,,,,14.0,0.0,114.0,2.0,,2.0,,1.0,,5.0,,,1.0,112.0,343.0,4.0,6.0,179.0,47.0,19.0,25.0,5.0,26.0,21.0,,159.0,3.0,311.0,1.0,1.0,12.0,3.0,46.0,,464.0,1.0,0.0,9.0,12.0,,27.0,3.0,672.0,28.0,12.0,14.0,8.0,9.0,0.0
2367597,6,2023-09-24 16:30:00,4,Newcastle,Away,298.0,27.0,2.0,6.0,4.0,2.0,1.0,230.0,6.0,,6.0,,4.0,28.0,522.0,1.0,1.0,15.0,9.0,11.0,10.0,1.0,6.0,2.0,,,,,,,2.0,15.0,,,,,1.0,3.0,7.0,2.0,17.0,5.0,78.0,65.0,7.0,3.0,6.0,,10.0,4.0,10.0,,,5.0,9.0,1.0,2.0,15.0,,46.0,51.0,,9.0,4.0,,,,,,,,51.0,8.0,11.0,2.0,,3.0,2.0,,203.0,6.0,2.0,5.0,4.0,2.0,,6.0,6.0,,,4.0,,7.0,7.0,,6.0,162.0,70.0,55.0,2.0,2.0,1.0,16.0,15.0,581.0,4.0,2.0,,63.0,62.0,32.0,,,,,,133.0,133.0,4.0,22.0,33.0,57.8,,,,1.0,17.0,0.0,159.0,,1.0,1.0,,,2.0,3.0,1.0,2.0,5.0,109.0,504.0,10.0,17.0,319.0,44.0,9.0,14.0,4.0,16.0,12.0,2.0,151.0,3.0,299.0,,,5.0,5.0,44.0,1.0,602.0,2.0,0.0,22.0,19.0,5.0,17.0,0.0,801.0,45.0,19.0,10.0,6.0,14.0,0.0
2367603,7,2023-09-30 15:00:00,4,Newcastle,Home,267.0,25.0,1.0,6.0,5.0,3.0,1.0,153.0,1.0,,4.0,,3.0,18.0,414.0,,1.0,17.0,7.0,19.0,11.0,3.0,3.0,1.0,,,,,,,,13.0,1.0,,,,3.0,5.0,6.0,2.0,14.0,6.0,70.0,77.0,4.0,5.0,1.0,,12.0,6.0,9.0,,,5.0,8.0,5.0,,6.0,,36.0,64.0,,10.0,6.0,,1.0,,,,,,59.0,7.0,15.0,2.0,1.0,5.0,2.0,,176.0,1.0,,,1.0,,,2.0,1.0,,,6.0,,4.0,4.0,,5.0,123.0,58.0,34.0,3.0,,4.0,11.0,8.0,490.0,5.0,4.0,,43.0,59.0,40.0,,,,,1.0,146.0,146.0,13.0,20.0,37.0,52.8,,,,,20.0,0.0,141.0,2.0,,2.0,,1.0,1.0,6.0,1.0,,4.0,80.0,398.0,12.0,15.0,297.0,50.0,10.0,16.0,4.0,19.0,15.0,1.0,128.0,4.0,232.0,,,5.0,3.0,41.0,1.0,510.0,1.0,0.0,20.0,21.0,3.0,18.0,1.0,700.0,32.0,16.0,9.0,5.0,14.0,0.0
2367616,8,2023-10-08 14:00:00,4,Newcastle,Away,292.0,25.0,1.0,5.0,4.0,,1.0,233.0,2.0,,10.0,3.0,6.0,27.0,520.0,,1.0,18.0,17.0,15.0,5.0,2.0,1.0,,,,,,,,,7.0,,,,1.0,2.0,11.0,3.0,2.0,8.0,2.0,91.0,57.0,2.0,1.0,2.0,2.0,12.0,1.0,6.0,,,2.0,5.0,3.0,,8.0,1.0,51.0,40.0,2.0,19.0,8.0,,,,,,,,58.0,18.0,11.0,2.0,,,2.0,,170.0,1.0,,1.0,1.0,,,4.0,1.0,3.0,,8.0,1.0,3.0,3.0,,10.0,170.0,54.0,29.0,4.0,,6.0,2.0,3.0,585.0,,1.0,,50.0,72.0,29.0,,,,,,115.0,115.0,1.0,25.0,18.0,64.8,1.0,2.0,1.0,2.0,19.0,0.0,172.0,1.0,,1.0,,1.0,,6.0,1.0,,3.0,111.0,506.0,12.0,8.0,316.0,47.0,19.0,9.0,2.0,12.0,10.0,,145.0,3.0,299.0,3.0,,13.0,7.0,54.0,1.0,603.0,,0.0,10.0,8.0,2.0,19.0,3.0,756.0,23.0,11.0,6.0,2.0,6.0,0.0
2367624,9,2023-10-21 15:00:00,4,Newcastle,Home,274.0,31.0,2.0,5.0,3.0,1.0,,226.0,10.0,1.0,6.0,3.0,5.0,32.0,495.0,,,15.0,10.0,14.0,3.0,,1.0,1.0,,,,,,,2.0,9.0,,,1.0,,,3.0,10.0,7.0,9.0,1.0,87.0,58.0,3.0,3.0,3.0,2.0,14.0,,8.0,,1.0,6.0,10.0,6.0,,15.0,2.0,45.0,43.0,2.0,15.0,11.0,,,,,,,,51.0,7.0,12.0,3.0,1.0,,,,155.0,3.0,,3.0,3.0,,1.0,10.0,4.0,,,11.0,1.0,7.0,7.0,,6.0,158.0,72.0,51.0,8.0,1.0,2.0,4.0,7.0,545.0,4.0,,,52.0,97.0,29.0,,,,,,130.0,130.0,2.0,21.0,29.0,59.5,1.0,,,1.0,22.0,0.0,173.0,1.0,2.0,3.0,,1.0,1.0,3.0,,,5.0,93.0,469.0,14.0,6.0,294.0,48.0,15.0,14.0,2.0,18.0,16.0,2.0,134.0,3.0,297.0,,1.0,9.0,5.0,49.0,,573.0,1.0,0.0,10.0,8.0,,15.0,2.0,749.0,24.0,18.0,9.0,6.0,5.0,0.0
2367637,10,2023-10-28 17:30:00,4,Newcastle,Away,269.0,17.0,1.0,4.0,3.0,,,180.0,1.0,,9.0,1.0,9.0,18.0,445.0,,1.0,22.0,9.0,4.0,7.0,,3.0,,,,,,,,,9.0,1.0,,,,,9.0,6.0,5.0,11.0,2.0,87.0,55.0,1.0,2.0,2.0,,7.0,5.0,22.0,,,7.0,8.0,2.0,,19.0,1.0,74.0,43.0,,21.0,9.0,,1.0,,,,,,39.0,15.0,13.0,2.0,,1.0,,,155.0,,,,,,,3.0,1.0,,,9.0,,10.0,10.0,1.0,9.0,121.0,71.0,49.0,8.0,,3.0,4.0,5.0,495.0,3.0,,,67.0,53.0,27.0,,,,,1.0,127.0,127.0,4.0,18.0,23.0,56.8,,2.0,,1.0,14.0,0.0,153.0,3.0,1.0,4.0,,1.0,,3.0,2.0,,1.0,77.0,427.0,7.0,7.0,290.0,35.0,21.0,20.0,6.0,16.0,10.0,,109.0,2.0,242.0,,1.0,7.0,9.0,39.0,,516.0,,0.0,13.0,16.0,2.0,26.0,4.0,718.0,28.0,12.0,11.0,7.0,12.0,0.0
