season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2022-23,10385498,1,4,Newcastle_United,Home,50480,60689,Chris Wood,chris-wood,F,True,,,,,,,,,1.0,,,,,,,,1.0,,,,0.0,0.0,0.0,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,1.0,1.0,0,,3.0,,,,
2022-23,10385498,1,4,Newcastle_United,Home,113956,75115,Callum Wilson,callum-wilson,F,False,,,,5.0,,5.0,2.0,1.0,1.0,,2.0,,,,,,3.0,1.0,,,0.0722218,0.609,0.7639,1.0,,1.0,,,,,2.0,,89.0,2.0,,,,,,,5.0,,7.3,,,2.0,,,,1.0,,1.0,1.0,8.0,,7.0,4,,16.0,2.0,,,
2022-23,10385498,1,4,Newcastle_United,Home,347010,170137,Allan Saint-Maximin,allan-saint-maximin,F,False,,,,29.0,5.0,34.0,,1.0,5.0,,,1.0,,,,2.0,4.0,5.0,,,0.240766,0.3478,0.0415,1.0,,,,,,1.0,1.0,,89.0,2.0,,,,,,,21.0,,7.5,,,1.0,,,3.0,4.0,,,,46.0,5.0,47.0,4,,67.0,1.0,2.0,2.0,
2022-23,10385498,1,4,Newcastle_United,Home,372336,114243,Jacob Murphy,jacob-murphy,F,True,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385743,2,4,Newcastle_United,Away,50480,60689,Chris Wood,chris-wood,F,True,,,,1.0,,1.0,2.0,2.0,,,,,,,,1.0,3.0,2.0,,,7.101e-05,0.0,0.0,,,,,,,,,,8.0,,,,,,,,3.0,,6.5,,,,,,,,,,,3.0,,3.0,0,,4.0,,,,
2022-23,10385743,2,4,Newcastle_United,Away,113956,75115,Callum Wilson,callum-wilson,F,False,1.0,,,5.0,,4.0,4.0,1.0,,,,,,,,1.0,8.0,2.0,,,0.00770235,0.0,0.0,3.0,,,,,,,1.0,,87.0,,,,,,,,13.0,,6.4,,,,,,2.0,2.0,,,2.0,10.0,,8.0,0,,22.0,6.0,,1.0,
2022-23,10385743,2,4,Newcastle_United,Away,347010,170137,Allan Saint-Maximin,allan-saint-maximin,F,False,,,2.0,7.0,4.0,11.0,,,4.0,,,,,,,2.0,4.0,4.0,,,0.0171843,0.0,0.0,1.0,,,,,,2.0,1.0,,75.0,,,,,,,,17.0,,6.7,,,,,,6.0,2.0,,3.0,,17.0,4.0,19.0,0,,34.0,2.0,,4.0,
2022-23,10385743,2,4,Newcastle_United,Away,372336,114243,Jacob Murphy,jacob-murphy,F,True,,,,2.0,2.0,4.0,,,1.0,,,,,,,1.0,1.0,,,,0.00728904,0.0,0.0,,,,,,,1.0,,,15.0,,,,,,,,1.0,,6.5,,,,,,,,,,,2.0,2.0,4.0,0,,7.0,,,,
2022-23,10385532,3,4,Newcastle_United,Home,50480,60689,Chris Wood,chris-wood,F,True,,,1.0,5.0,2.0,7.0,1.0,2.0,3.0,,,,,,,,1.0,2.0,,,0.00293584,0.0,0.0,,,,,,,,,,20.0,,,,,,,,2.0,,6.7,,,,,1.0,,,,1.0,,7.0,2.0,9.0,0,,10.0,,,,
2022-23,10385532,3,4,Newcastle_United,Home,113956,75115,Callum Wilson,callum-wilson,F,False,,,,2.0,7.0,9.0,2.0,1.0,3.0,,1.0,1.0,,,,,2.0,2.0,,,0.0106636,0.7882,0.7797,,,1.0,,,,1.0,,,70.0,2.0,,,,,,,4.0,,7.0,,,1.0,,,,,,,1.0,5.0,8.0,13.0,4,,19.0,,1.0,,
2022-23,10385532,3,4,Newcastle_United,Home,347010,170137,Allan Saint-Maximin,allan-saint-maximin,F,False,2.0,,,13.0,2.0,13.0,,,7.0,2.0,,1.0,2.0,,,3.0,6.0,8.0,,,0.680632,0.2304,0.0232,,2.0,,,,,,4.0,,90.0,1.0,,,,,,,15.0,,8.5,,,1.0,,,6.0,2.0,,1.0,1.0,20.0,3.0,21.0,3,,42.0,3.0,3.0,5.0,
2022-23,10385532,3,4,Newcastle_United,Home,372336,114243,Jacob Murphy,jacob-murphy,F,True,,,,,,,1.0,,,,,,,,,,1.0,,,,0.0,0.0,0.0,,,,,,,,,,16.0,,,,,,,,1.0,,6.5,,,,,,,,,,,,,,0,,1.0,1.0,,,
