playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,goalAssists,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,cornersWon,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,interceptions,successfulLongPasses,touches,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,substituteOn,redCards2ndYellow,totalFoulsConceded,handballsConceded,unsuccessfulDribbles,timesTackled,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,totalShots,successfulLayoffs,unsuccessfulCrossesOpenPlay,oboxBlocked,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,totalTouchesInOppositionBox,lastPlayerTackle,unsuccessfulCrossesAndCorners,shotsOffTargetIncWoodwork,tacklesWon,successfulDribbles,blocks,backwardPasses,throwInsToOwnPlayer,hitWoodwork,shotsBlockedOutsideBox,expectedGoals,expectedGoalsFreekick,overruns,expectedGoalsOnTarget,goals,offsides,awayGoals,shotsOnTargetOutsideBox,throwInsToOppositionPlayer,shotsBlockedInBox,homeGoals,oboxTarget,rightFootGoals,freekickTotal,iboxBlocked,attemptsFromSetPieces,cornersTakenInclShortCorners,unsuccessfulCornersIntoBox,clearancesOffTheLine,foulWonPenalty,unsuccessfulLayoffs,throughBalls,leftFootGoals,penaltiesConceded,successfulCornersIntoBox,setPiecesGoals,secondGoalAssists,penaltiesTaken,penaltyGoals,headedGoals,otherGoals
7933,Fabricio Coloccini,Defender,Newcastle United,4,Argentina,2012-13,68.0,0.2743,1.0,,45.0,,33.0,22.0,1.0,22.0,81.0,708.0,,,64.0,4.0,,1919.0,94.0,5.0,62.0,527.0,,3.0,32.5206,7.0,4.0,133.0,35.0,36.0,216.0,,10.0,0.0,162.0,,293.0,96.0,22.0,,,11.0,164.0,30.0,98.0,32.0,1.0,,694.0,2.0,107.0,,,131.0,41.0,100.0,1011.0,2.0,33.0,465.0,,2.0,48.0,12.0,,,11.0,1.0,6.0,11.0,2.0,1.0,1.0,4.0,1.0,6.0,2.0,2.0,2.0,2.0,32.0,9.0,1.0,6.0,3.0,34.0,7.0,12.0,68.0,1.0,1.0,2.0,0.1404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55604,Davide Santon,Defender,Roma,121,Italy,2012-13,143.0,1.2222,0.0,,68.0,,120.0,31.0,2.0,31.0,167.0,1046.0,,,53.0,3.0,,2645.0,180.0,6.0,157.0,807.0,,3.0,48.6353,26.0,12.0,140.0,52.0,113.0,437.0,,41.0,0.0,323.0,,362.0,173.0,31.0,,,7.0,421.0,46.0,270.0,23.0,0.0,,1035.0,16.0,370.0,,,82.0,48.0,72.0,1910.0,4.0,31.0,472.0,,4.0,47.0,47.0,,,23.0,,43.0,66.0,14.0,10.0,11.0,13.0,3.0,57.0,16.0,14.0,3.0,3.0,30.0,30.0,,57.0,2.0,61.0,48.0,10.0,165.0,210.0,,16.0,1.0403,0.0561,10.0,1.6444,1.0,3.0,1.0,16.0,47.0,1.0,0.0,16.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
14775,Ryan Taylor,Defender,Fleetwood Town,2048,England,2012-13,1.0,0.0716,0.0,,,,1.0,1.0,,,2.0,16.0,,,,,,26.0,,,,13.0,,,0.0874,2.0,,1.0,,1.0,,,,0.0,1.0,,2.0,2.0,1.0,,,,5.0,,1.0,,0.0,,16.0,,7.0,,,8.0,2.0,1.0,28.0,,2.0,10.0,,0.0,1.0,1.0,1.0,,,,,,,,,,,2.0,,1.0,,,,2.0,,3.0,,,,,6.0,3.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
40725,Danny Simpson,Defender,Scarborough Athletic,3368,England,2012-13,63.0,0.5044,0.0,,35.0,,60.0,19.0,,18.0,86.0,504.0,,,19.0,3.0,,1525.0,53.0,2.0,47.0,375.0,,1.0,34.0034,12.0,4.0,94.0,30.0,50.0,27.0,,6.0,0.0,116.0,,210.0,61.0,19.0,,,9.0,211.0,28.0,97.0,6.0,0.0,,501.0,16.0,229.0,,,167.0,11.0,43.0,973.0,8.0,11.0,221.0,,3.0,26.0,21.0,1.0,,18.0,,11.0,26.0,14.0,3.0,,3.0,1.0,72.0,4.0,14.0,,,13.0,9.0,1.0,72.0,3.0,26.0,6.0,1.0,100.0,123.0,,4.0,0.166,,3.0,,,1.0,,1.0,36.0,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,
11378,Mike Williamson,Defender,Gateshead,447,England,2012-13,82.0,0.2325,0.0,,29.0,,80.0,19.0,,19.0,126.0,569.0,,,179.0,4.0,,1710.0,170.0,3.0,47.0,396.0,,1.0,28.5919,4.0,10.0,266.0,30.0,26.0,95.0,,15.0,0.0,252.0,,263.0,77.0,19.0,,,8.0,120.0,27.0,73.0,123.0,0.0,,564.0,,132.0,,,157.0,15.0,47.0,949.0,,47.0,323.0,,8.0,46.0,18.0,,,22.0,1.0,,,,1.0,3.0,8.0,,2.0,,,7.0,7.0,56.0,37.0,1.0,2.0,5.0,21.0,3.0,14.0,54.0,5.0,,,0.3868,,,0.214,,,,,,1.0,,,,,1.0,,,,2.0,1.0,2.0,,,,,,,,,,
44488,Mapou Yanga-Mbiwa,Defender,Lyon,143,France,2012-13,48.0,0.193,0.0,,33.0,,51.0,14.0,,11.0,82.0,404.0,,,39.0,2.0,,1037.0,78.0,3.0,57.0,295.0,,2.0,22.2192,3.0,4.0,92.0,21.0,30.0,124.0,,11.0,0.0,126.0,,183.0,65.0,14.0,,,8.0,104.0,18.0,87.0,21.0,0.0,,401.0,2.0,114.0,,,63.0,20.0,27.0,651.0,1.0,18.0,218.0,,0.0,31.0,21.0,3.0,,12.0,,7.0,14.0,,,,1.0,2.0,3.0,,,,,18.0,4.0,2.0,3.0,1.0,25.0,13.0,5.0,34.0,21.0,,,0.027,,1.0,,,,,,4.0,,,,,,,,,,,,,1.0,,,,,,,,,
18846,James Perch,Defender,Mansfield Town,77,England,2012-13,73.0,0.781,0.0,,40.0,,72.0,27.0,,19.0,89.0,802.0,,,79.0,3.0,,1819.0,103.0,6.0,55.0,649.0,,1.0,32.9683,11.0,3.0,105.0,41.0,42.0,195.0,,15.0,0.0,176.0,,258.0,67.0,27.0,,,15.0,290.0,35.0,97.0,48.0,0.0,,796.0,2.0,131.0,,,233.0,34.0,64.0,1114.0,5.0,8.0,424.0,,9.0,17.0,19.0,8.0,,19.0,1.0,1.0,9.0,1.0,4.0,1.0,6.0,19.0,5.0,6.0,1.0,,,31.0,17.0,2.0,5.0,5.0,25.0,,10.0,116.0,22.0,1.0,6.0,1.1803,,1.0,0.3881,1.0,,1.0,,7.0,2.0,0.0,,,,2.0,,,,1.0,,,4.0,1.0,,,,,,,,
92170,Massadio Haïdara,Defender,Brest,862,Mali,2012-13,17.0,0.3103,0.0,,4.0,,5.0,4.0,,2.0,5.0,58.0,,,9.0,,,197.0,16.0,1.0,10.0,53.0,,,5.9154,2.0,,17.0,8.0,14.0,27.0,,2.0,0.0,33.0,,20.0,11.0,4.0,,,,30.0,7.0,24.0,6.0,0.0,,58.0,3.0,25.0,,,2.0,4.0,,133.0,2.0,,25.0,,0.0,,3.0,2.0,,4.0,,4.0,6.0,2.0,,,,,8.0,,2.0,,,3.0,1.0,,8.0,,4.0,4.0,1.0,9.0,16.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
27334,Mathieu Debuchy,Defender,St Etienne,152,France,2012-13,92.0,0.9587,1.0,,44.0,,120.0,14.0,,14.0,138.0,450.0,,,83.0,1.0,,1168.0,116.0,4.0,65.0,302.0,,3.0,18.5507,6.0,2.0,90.0,22.0,60.0,21.0,,16.0,0.0,208.0,,258.0,50.0,14.0,,,16.0,205.0,18.0,125.0,51.0,0.0,,445.0,11.0,254.0,,,125.0,22.0,10.0,927.0,1.0,14.0,119.0,,2.0,18.0,25.0,,1.0,27.0,,9.0,20.0,12.0,1.0,,5.0,11.0,54.0,2.0,12.0,,,32.0,15.0,,54.0,5.0,28.0,5.0,3.0,46.0,141.0,,2.0,0.176,,5.0,,,5.0,,,27.0,,,,,,,,,,,,,1.0,,2.0,,,,,,,
17974,Steven Taylor,Defender,Peterborough United,73,England,2012-13,68.0,0.1919,0.0,,16.0,,43.0,25.0,,24.0,73.0,735.0,,,116.0,3.0,,2135.0,107.0,5.0,34.0,601.0,,3.0,41.1714,3.0,8.0,221.0,39.0,25.0,156.0,,14.0,0.0,175.0,,260.0,84.0,25.0,,,4.0,132.0,34.0,59.0,73.0,0.0,,728.0,2.0,83.0,,,230.0,15.0,61.0,1069.0,2.0,27.0,530.0,,2.0,30.0,8.0,1.0,,13.0,2.0,2.0,4.0,,2.0,5.0,13.0,,1.0,,,8.0,8.0,43.0,32.0,,1.0,8.0,12.0,4.0,21.0,89.0,4.0,,,1.3476,,,0.8803,,2.0,,2.0,,3.0,,2.0,,,3.0,,,,1.0,,,,,,,,,,,,
77816,James Tavernier,Defender,Rangers,67,England,2012-13,2.0,0.0229,0.0,,1.0,,3.0,2.0,,,5.0,25.0,,,5.0,,,37.0,5.0,,1.0,18.0,,,0.8054,,1.0,6.0,3.0,1.0,3.0,,,0.0,7.0,,13.0,2.0,2.0,,,,11.0,3.0,2.0,4.0,0.0,,25.0,,7.0,,,7.0,,2.0,37.0,,1.0,9.0,,0.0,2.0,1.0,2.0,,,,,,,,,,,2.0,,,,,1.0,,,2.0,,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149465,Remie Streete,Defender,Port Vale,50,England,2012-13,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124584,Curtis Good,Defender,Newcastle United U23,7609,Australia,2012-13,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
