playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,totalRedCards,blockedShots,shotsOnTargetIncGoals,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,substituteOn,aerialDuels,timePlayed,aerialDuelsLost,duelsWon,penaltiesConceded,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,forwardPasses,recoveries,appearances,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,handballsConceded,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,overruns,goalAssists,goals,awayGoals,cornersTakenInclShortCorners,cleanSheets,successfulCrossesAndCorners,unsuccessfulLayoffs,goalsConcededOutsideBox,successfulLaunches,homeGoals,leftFootGoals,unsuccessfulDribbles,cornersWon,unsuccessfulCornersIntoBox,offsides,successfulCornersIntoBox,attemptsFromSetPieces,throwInsToOppositionPlayer,lastPlayerTackle,ownGoalScored,rightFootGoals,headedGoals,clearancesOffTheLine,hitWoodwork,penaltiesTaken,penaltyGoals,foulWonPenalty,otherGoals,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,savesMade,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,goalkeeperSmother
999,Alan Smith,Midfielder,Newcastle,4,England,2010-11,27.0,0.0,1.0,1.0,14.0,2.0,1.0,38.0,11.0,7.0,7.0,49.0,1.0,231.0,4.0,11.0,579.0,5.0,33.0,1.0,27.0,177.0,4.0,3.0,2.0,16.0,15.0,22.0,54.0,12.0,0.0,60.0,80.0,22.0,11.0,6.0,88.0,15.0,1.0,3.0,49.0,6.0,0.0,225.0,1.0,60.0,8.0,1.0,4.0,60.0,16.0,12.0,5.0,37.0,313.0,1.0,3.0,5.0,94.0,1.0,3.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28301,Cheick Tioté,Midfielder,Newcastle,4,Cote d’Ivoire,2010-11,222.0,0.0,9.0,5.0,87.0,17.0,2.0,151.0,26.0,43.0,26.0,183.0,14.0,1414.0,,61.0,2304.0,27.0,223.0,,189.0,1115.0,7.0,2.0,14.0,61.0,34.0,195.0,430.0,69.0,0.0,445.0,371.0,219.0,26.0,21.0,599.0,32.0,18.0,75.0,384.0,34.0,0.0,1396.0,12.0,315.0,66.0,33.0,9.0,413.0,79.0,65.0,116.0,200.0,1935.0,4.0,3.0,20.0,635.0,1.0,14.0,32.0,52.0,2.0,3.0,1.0,1.0,0.0,3.0,7.0,3.0,1.0,2.0,5.0,1.0,1.0,11.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40387,Dan Gosling,Midfielder,Newcastle,4,England,2010-11,2.0,0.0,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,1.0,2.0,,,0.0,2.0,,,1.0,,,1.0,,2.0,2.0,,0.0,,,2.0,,,,,,,,,3.0,,,,,,0.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37639,Danny Guthrie,Midfielder,Newcastle,4,England,2010-11,49.0,0.0,1.0,2.0,25.0,4.0,5.0,60.0,14.0,26.0,11.0,83.0,13.0,457.0,3.0,8.0,951.0,7.0,41.0,,40.0,342.0,4.0,1.0,14.0,8.0,14.0,42.0,98.0,12.0,0.0,90.0,129.0,60.0,14.0,5.0,190.0,14.0,29.0,22.0,82.0,1.0,0.0,446.0,2.0,147.0,20.0,3.0,3.0,153.0,13.0,21.0,32.0,77.0,630.0,4.0,6.0,5.0,194.0,,3.0,23.0,17.0,4.0,1.0,1.0,,,18.0,1.0,10.0,,,1.0,,,3.0,7.0,13.0,1.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
18753,Hatem Ben Arfa,Midfielder,Newcastle,4,France,2010-11,17.0,0.0,2.0,1.0,1.0,3.0,,16.0,4.0,8.0,3.0,16.0,4.0,77.0,1.0,1.0,171.0,,14.0,,13.0,59.0,8.0,,3.0,,1.0,17.0,25.0,2.0,2.0,31.0,9.0,4.0,4.0,,47.0,,4.0,16.0,30.0,1.0,0.0,77.0,2.0,48.0,1.0,10.0,,23.0,1.0,5.0,2.0,20.0,138.0,2.0,3.0,,16.0,,0.0,,6.0,2.0,5.0,,1.0,1.0,,,2.0,,1.0,,0.0,1.0,7.0,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
15276,Joey Barton,Midfielder,Newcastle,4,England,2010-11,197.0,0.0,23.0,15.0,81.0,36.0,21.0,281.0,32.0,60.0,32.0,398.0,78.0,1616.0,,50.0,2878.0,29.0,179.0,,158.0,1037.0,37.0,3.0,72.0,22.0,45.0,168.0,271.0,63.0,4.0,376.0,655.0,179.0,32.0,17.0,859.0,43.0,222.0,82.0,326.0,21.0,0.0,1524.0,21.0,759.0,64.0,14.0,8.0,508.0,40.0,53.0,181.0,182.0,2440.0,25.0,2.0,24.0,449.0,,8.0,117.0,51.0,24.0,2.0,9.0,4.0,0.0,156.0,8.0,90.0,3.0,2.0,6.0,4.0,,24.0,39.0,84.0,,60.0,19.0,6.0,,,4.0,,,,2.0,2.0,,,,,,,,,,,,,,,,
21060,Jonás Gutiérrez,Midfielder,Newcastle,4,Argentina,2010-11,259.0,0.0,15.0,9.0,62.0,21.0,21.0,168.0,37.0,62.0,34.0,184.0,142.0,1112.0,3.0,21.0,2982.0,14.0,219.0,,212.0,917.0,69.0,4.0,43.0,11.0,45.0,245.0,373.0,79.0,0.0,478.0,346.0,145.0,37.0,24.0,711.0,44.0,144.0,186.0,457.0,7.0,0.0,1108.0,12.0,593.0,38.0,71.0,,127.0,36.0,47.0,11.0,266.0,1959.0,60.0,10.0,9.0,253.0,2.0,6.0,16.0,34.0,33.0,27.0,4.0,3.0,2.0,5.0,5.0,36.0,1.0,1.0,5.0,1.0,,121.0,37.0,2.0,,2.0,,4.0,,,2.0,,,,,,1.0,1.0,,,,,,,,,,,,,,
5306,Kevin Nolan,Midfielder,Newcastle,4,England,2010-11,132.0,0.0,12.0,24.0,59.0,49.0,8.0,160.0,30.0,72.0,30.0,169.0,13.0,991.0,,22.0,2658.0,13.0,92.0,1.0,83.0,772.0,101.0,5.0,25.0,36.0,42.0,119.0,250.0,21.0,2.0,224.0,235.0,128.0,30.0,13.0,409.0,39.0,13.0,48.0,202.0,9.0,0.0,984.0,25.0,276.0,46.0,3.0,15.0,312.0,43.0,47.0,50.0,194.0,1376.0,3.0,5.0,8.0,415.0,4.0,10.0,9.0,43.0,2.0,2.0,1.0,12.0,2.0,,7.0,2.0,7.0,3.0,4.0,10.0,1.0,6.0,10.0,,14.0,,,,1.0,,8.0,3.0,,,1.0,1.0,,,,,,,,,,,,,,,,
93625,Michael Richardson,Midfielder,Newcastle,4,England,2010-11,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54402,Ryan Donaldson,Midfielder,Newcastle,4,England,2010-11,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
