playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,savesMadeCaught,aerialDuels,cleanSheets,timePlayed,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,successfulShortPasses,punches,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,duels,putthroughBlockedDistributionWon,goalkeeperSmother,forwardPasses,recoveries,appearances,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,interceptions,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,penaltiesFaced,groundDuelsWon,keyPassesAttemptAssists,drops,penaltiesSaved,totalTackles,savesFromPenalty,crossesNotClaimed,tacklesWon,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,unsuccessfulCrossesOpenPlay,goals,oboxBlocked,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,penaltiesConceded,ownGoalScored,shotsBlockedInBox,rightFootGoals,tacklesLost,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,iboxBlocked,shotsOffTargetIncWoodwork,cornersWon,successfulDribbles,blocks,totalFoulsConceded,clearancesOffTheLine,backwardPasses,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,foulAttemptedTackle,expectedGoals,successfulCrossesOpenPlay,successfulLayoffs,cornersTakenInclShortCorners,successfulCrossesAndCorners,throwInsToOppositionPlayer,leftFootGoals,substituteOn,headedGoals,handballsConceded,shotsOnTargetOutsideBox,oboxTarget,throughBalls,goalAssists,offsides,redCards2ndYellow,successfulCornersIntoBox,unsuccessfulCornersIntoBox,unsuccessfulLayoffs,expectedGoalsFreekick,penaltiesTaken,freekickTotal,attemptsFromSetPieces,penaltyGoals,foulWonPenalty,overruns,setPiecesGoals,awayGoals,totalTouchesInOppositionBox,penaltyGoalsConceded,winningGoal,homeGoals,timesTackled,otherGoals
58771,Jack Colback,Midfielder,Queens Park Rangers,52,England,2015-16,125.0,1.2067,0.0,,,120.0,29.0,28.0,162.0,1066.0,,45.0,3.0,2396.0,156.0,5.0,38.0,828.0,,31.0745,3.0,39.0,37.0,105.0,324.0,,44.0,281.0,21.0,,378.0,168.0,29.0,448.0,32.0,236.0,25.0,0.0,,1026.0,262.0,,,210.0,63.0,76.0,1517.0,17.0,473.0,,11.0,42.0,60.0,,131.0,15.0,,,81.0,,,64.0,3.0,4.0,0.6558,12.0,19.0,1.0,2.0,3.0,3.0,20.0,,,1.0,,17.0,5.0,42.0,1.0,8.0,9.0,7.0,13.0,49.0,,154.0,31.0,10.0,,2.0,26.0,0.8336,6.0,19.0,35.0,17.0,11.0,1.0,1.0,,1.0,,,,1.0,,,7.0,21.0,1.0,,,,,,,,,,,,,,,
41733,Georginio Wijnaldum,Midfielder,Paris Saint-Germain,149,Netherlands,2015-16,177.0,2.8813,0.0,,,168.0,38.0,36.0,190.0,1252.0,,68.0,6.0,3168.0,164.0,10.0,43.0,1024.0,,53.1605,3.0,16.0,59.0,134.0,439.0,,51.0,341.0,16.0,,358.0,228.0,38.0,657.0,49.0,273.0,25.0,0.0,,1213.0,387.0,,,195.0,27.0,38.0,1750.0,8.0,413.0,,1.0,22.0,52.0,,139.0,43.0,,,38.0,,,32.0,13.0,29.0,10.9494,41.0,14.0,11.0,3.0,14.0,14.0,43.0,,,10.0,7.0,6.0,33.0,26.0,10.0,12.0,8.0,50.0,6.0,16.0,1.0,260.0,7.0,7.0,,3.0,8.0,7.9821,6.0,58.0,8.0,8.0,2.0,,2.0,4.0,,4.0,4.0,3.0,5.0,5.0,,1.0,6.0,3.0,0.2634,1.0,4.0,4.0,1.0,,,,,,,,,,
45268,Moussa Sissoko,Midfielder,Panathinaikos,264,France,2015-16,274.0,4.1093,0.0,,,294.0,37.0,37.0,334.0,1385.0,,112.0,7.0,3221.0,221.0,11.0,89.0,1009.0,,51.4143,2.0,36.0,62.0,217.0,290.0,,30.0,495.0,35.0,,417.0,225.0,37.0,723.0,51.0,383.0,55.0,0.0,,1377.0,689.0,,,355.0,35.0,42.0,2177.0,13.0,369.0,,3.0,40.0,59.0,,166.0,50.0,,,54.0,,,46.0,11.0,12.0,3.6276,27.0,102.0,1.0,2.0,6.0,6.0,57.0,1.0,,9.0,1.0,8.0,97.0,103.0,9.0,15.0,29.0,83.0,5.0,50.0,,323.0,44.0,6.0,,2.0,23.0,2.8499,41.0,122.0,2.0,41.0,2.0,,,,4.0,5.0,5.0,6.0,7.0,3.0,,,1.0,6.0,0.0517,,1.0,1.0,,1.0,,,,,,,,,
40799,Vurnon Anita,Midfielder,RKC Waalwijk,321,Curacao,2015-16,102.0,0.6761,0.0,,,145.0,28.0,24.0,224.0,990.0,,37.0,5.0,2106.0,110.0,7.0,61.0,713.0,,34.8999,11.0,40.0,37.0,81.0,183.0,,12.0,212.0,40.0,,513.0,160.0,28.0,378.0,30.0,175.0,16.0,0.0,,975.0,328.0,,,216.0,56.0,53.0,1452.0,39.0,393.0,,6.0,79.0,70.0,,94.0,10.0,,,74.0,,,53.0,2.0,2.0,0.7193,6.0,23.0,1.0,1.0,,,21.0,,,1.0,,21.0,7.0,23.0,1.0,4.0,,9.0,8.0,29.0,,78.0,97.0,10.0,,1.0,20.0,0.2545,5.0,3.0,,5.0,26.0,1.0,4.0,,,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,
48773,Siem de Jong,Midfielder,Ajax,215,Netherlands,2015-16,43.0,0.1404,0.0,,,45.0,18.0,3.0,49.0,193.0,,26.0,,446.0,32.0,,7.0,139.0,,7.4289,,2.0,5.0,24.0,54.0,,6.0,75.0,2.0,,65.0,21.0,18.0,88.0,5.0,49.0,7.0,0.0,,188.0,76.0,,,35.0,4.0,5.0,271.0,2.0,57.0,,0.0,4.0,12.0,,25.0,1.0,,,16.0,,,10.0,2.0,3.0,0.6582,6.0,4.0,,,3.0,3.0,19.0,,,2.0,,6.0,5.0,6.0,2.0,3.0,3.0,3.0,1.0,7.0,,39.0,2.0,3.0,,,6.0,0.7761,,22.0,3.0,1.0,,,15.0,,,,,,1.0,,,1.0,2.0,3.0,,,,,,,,,,,,,,,
50232,Jonjo Shelvey,Midfielder,Burnley,90,England,2015-16,93.0,2.7644,0.0,,,147.0,31.0,25.0,264.0,1473.0,,28.0,2.0,2268.0,81.0,6.0,33.0,1042.0,,16.2895,11.0,25.0,41.0,77.0,409.0,,7.0,174.0,20.0,,468.0,181.0,31.0,625.0,35.0,146.0,12.0,0.0,,1398.0,424.0,,,372.0,45.0,167.0,1906.0,35.0,613.0,,8.0,117.0,47.0,,69.0,38.0,,,37.0,,,28.0,20.0,16.0,1.4323,36.0,24.0,1.0,10.0,1.0,1.0,16.0,,,2.0,1.0,9.0,13.0,87.0,2.0,20.0,10.0,25.0,2.0,21.0,,224.0,3.0,8.0,2.0,10.0,17.0,2.0363,7.0,33.0,73.0,29.0,1.0,,6.0,,,7.0,7.0,11.0,5.0,1.0,,18.0,48.0,,0.1234,1.0,3.0,4.0,1.0,,,,,,,,,,
155513,Rolando Aarons,Midfielder,Celje,1790,Jamaica,2015-16,34.0,0.2867,0.0,,,13.0,10.0,3.0,19.0,119.0,,10.0,1.0,377.0,29.0,1.0,6.0,93.0,,10.0362,2.0,10.0,11.0,28.0,39.0,,8.0,63.0,2.0,,44.0,23.0,10.0,51.0,10.0,53.0,4.0,0.0,,116.0,66.0,,,12.0,6.0,7.0,253.0,5.0,52.0,,1.0,6.0,13.0,,25.0,4.0,,,13.0,,,10.0,,1.0,0.8669,2.0,9.0,1.0,,,,6.0,1.0,,,,3.0,10.0,9.0,,1.0,,5.0,2.0,9.0,,24.0,30.0,1.0,,,5.0,0.3093,3.0,1.0,,3.0,6.0,1.0,7.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
42727,Yoan Gouffran,Midfielder,Newcastle United,4,France,2015-16,22.0,0.0558,0.0,,,12.0,8.0,2.0,20.0,92.0,,10.0,,224.0,12.0,2.0,2.0,65.0,,6.6918,1.0,3.0,7.0,16.0,25.0,,1.0,34.0,2.0,,25.0,20.0,8.0,39.0,5.0,24.0,4.0,0.0,,91.0,38.0,,,23.0,6.0,7.0,142.0,4.0,34.0,,0.0,8.0,6.0,,8.0,1.0,,,6.0,,,4.0,1.0,1.0,0.013,2.0,3.0,,1.0,,,6.0,,,,,2.0,4.0,3.0,,1.0,1.0,1.0,2.0,3.0,,19.0,3.0,2.0,,1.0,2.0,0.3108,1.0,1.0,1.0,1.0,,,6.0,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,
43521,Henri Saivet,Midfielder,Newcastle United,4,Senegal,2015-16,16.0,0.0063,0.0,,,16.0,4.0,2.0,20.0,82.0,,7.0,,148.0,16.0,1.0,2.0,58.0,,2.8296,2.0,2.0,3.0,10.0,18.0,,1.0,32.0,2.0,,38.0,20.0,4.0,15.0,2.0,25.0,1.0,0.0,,81.0,26.0,,,22.0,5.0,4.0,115.0,2.0,47.0,,0.0,4.0,8.0,,15.0,1.0,,,13.0,,,9.0,,,,,,,,,,6.0,,,,,4.0,2.0,,,,,1.0,,1.0,,4.0,,2.0,,,1.0,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
28301,Cheick Tioté,Midfielder,Newcastle United,4,Cote d’Ivoire,2015-16,95.0,0.3653,0.0,,,80.0,20.0,16.0,121.0,835.0,,58.0,3.0,1225.0,112.0,3.0,24.0,670.0,,17.226,8.0,29.0,18.0,72.0,226.0,,14.0,207.0,19.0,,262.0,125.0,20.0,285.0,15.0,149.0,35.0,0.0,,810.0,164.0,,,247.0,42.0,44.0,1053.0,20.0,429.0,,5.0,41.0,31.0,,77.0,8.0,,,48.0,,,39.0,1.0,,,,,,1.0,,,23.0,,,,,9.0,6.0,,,,,15.0,3.0,31.0,,100.0,,12.0,,1.0,20.0,0.0143,,12.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
