matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attLgCentre,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalDistance,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2444475,1.0,2024-08-17 15:00:00,17,Nott'm Forest,Home,171.0,10.0,1.0,3.0,2.0,5.0,,234.0,12.0,,3.0,15.0,15.0,22.0,402.0,,,12.0,15.0,25.0,10.0,1.0,1.0,,,,,,,,,12.0,,,,,9.0,6.0,7.0,8.0,6.0,,80.0,53.0,,,1.0,2.0,9.0,3.0,5.0,,,2.0,4.0,5.0,,8.0,,55.0,66.0,2.0,25.0,7.0,,,,,,,,51.0,17.0,8.0,1.0,,1.0,2.0,,173.0,,,,,,,13.0,,,1.0,,,,,,7.0,,7.0,7.0,,3.0,120.0,71.0,42.0,6.0,,3.0,8.0,8.0,478.0,,,3.0,3.0,132.0,34.0,30.0,,,,,156.0,156.0,3.0,22.0,24.0,52.9,,2.0,,1.0,21.0,0.0,,,,130.0,1.0,2.0,3.0,,,,3.0,,,5.0,137.0,380.0,9.0,11.0,196.0,21.0,25.0,19.0,2.0,13.0,11.0,,,184.0,15.0,320.0,,,35.0,17.0,51.0,1.0,503.0,1.0,0.0,14.0,24.0,1.0,23.0,1.0,705.0,29.0,12.0,9.0,2.0,12.0,0.0
2444487,2.0,2024-08-24 15:00:00,17,Nott'm Forest,Away,119.0,18.0,2.0,5.0,3.0,,,180.0,3.0,,,8.0,5.0,25.0,294.0,,1.0,7.0,4.0,11.0,15.0,2.0,9.0,4.0,,,,,,,,13.0,,,,,8.0,2.0,3.0,14.0,9.0,,67.0,53.0,5.0,5.0,1.0,,5.0,7.0,7.0,,,10.0,4.0,3.0,,7.0,,42.0,56.0,,23.0,11.0,,,,,,,,40.0,14.0,14.0,,,1.0,2.0,,111.0,,,,,,,4.0,,,,2.0,,,,1.0,11.0,,11.0,11.0,3.0,,85.0,57.0,36.0,4.0,1.0,5.0,12.0,8.0,333.0,,,3.0,1.0,80.0,45.0,27.0,,,,,105.0,105.0,3.0,25.0,22.0,35.4,,,,,16.0,0.0,,,,89.0,,1.0,1.0,,1.0,4.0,8.0,2.0,,5.0,90.0,280.0,5.0,17.0,134.0,23.0,23.0,18.0,10.0,19.0,9.0,,4.0,116.0,1.0,237.0,2.0,,21.0,8.0,48.0,1.0,352.0,1.0,0.0,23.0,24.0,1.0,11.0,3.0,543.0,33.0,9.0,7.0,10.0,15.0,0.0
2444498,3.0,2024-08-31 15:00:00,17,Nott'm Forest,Home,140.0,16.0,3.0,5.0,2.0,1.0,,158.0,7.0,,1.0,10.0,10.0,26.0,293.0,,,13.0,16.0,14.0,12.0,2.0,4.0,2.0,,,1.0,1.0,,,,10.0,,,,,6.0,4.0,7.0,13.0,3.0,,58.0,45.0,1.0,1.0,,1.0,6.0,6.0,8.0,1.0,,7.0,8.0,6.0,,15.0,,60.0,56.0,1.0,13.0,8.0,,,,,,,,50.0,15.0,17.0,1.0,,3.0,2.0,1.0,132.0,1.0,1.0,1.0,,1.0,,7.0,,,,,,,,2.0,8.0,,10.0,10.0,,1.0,91.0,62.0,34.0,3.0,,5.0,10.0,5.0,343.0,,,3.0,2.0,66.0,31.0,28.0,,,,,143.0,143.0,2.0,20.0,22.0,51.7,,2.0,,1.0,16.0,0.0,,,,86.0,2.0,,1.0,,2.0,2.0,5.0,,,4.0,84.0,271.0,6.0,15.0,161.0,23.0,13.0,16.0,7.0,23.0,16.0,98055.07,2.0,110.0,4.0,229.0,,,34.0,10.0,55.0,4.0,367.0,,0.0,16.0,17.0,,17.0,3.0,569.0,37.0,18.0,8.0,7.0,12.0,0.0
2444505,4.0,2024-09-14 15:00:00,17,Nott'm Forest,Away,83.0,8.0,,,,4.0,,106.0,4.0,1.0,,14.0,3.0,22.0,189.0,,1.0,8.0,21.0,13.0,4.0,,,3.0,,,,,,,,5.0,,,,,5.0,10.0,4.0,3.0,2.0,,43.0,53.0,2.0,2.0,,3.0,8.0,,6.0,,,2.0,1.0,1.0,,7.0,1.0,45.0,55.0,3.0,30.0,8.0,,2.0,0.166486,0.4425,,0.7364,0.5723,60.0,6.0,15.0,,,1.0,2.0,,142.0,1.0,,,1.0,,1.0,12.0,,,1.0,,,,,,8.0,,11.0,11.0,,,46.0,70.0,33.0,7.0,,2.0,3.0,3.0,246.0,,,3.0,,60.0,54.0,13.0,,,,,138.0,138.0,1.0,24.0,19.0,30.9,,,,1.0,12.0,0.0,,,,42.0,4.0,1.0,5.0,,1.0,3.0,2.0,,1.0,5.0,59.0,176.0,8.0,5.0,97.0,11.0,30.0,11.0,2.0,6.0,4.0,106095.31,4.0,100.0,10.0,182.0,1.0,1.0,43.0,3.0,64.0,5.0,273.0,,0.0,5.0,22.0,2.0,20.0,4.0,460.0,5.0,19.0,6.0,2.0,15.0,0.0
2444511,5.0,2024-09-22 14:00:00,17,Nott'm Forest,Away,117.0,7.0,,,,1.0,,52.0,5.0,,1.0,4.0,1.0,14.0,169.0,,1.0,12.0,18.0,10.0,2.0,,,,,,,,,,,3.0,1.0,,,,4.0,8.0,6.0,4.0,,,34.0,34.0,1.0,,2.0,3.0,5.0,1.0,10.0,,,1.0,2.0,1.0,,9.0,,49.0,45.0,3.0,48.0,19.0,,,0.379087,1.4182,,1.6827,1.0942,44.0,11.0,10.0,1.0,1.0,1.0,,,107.0,1.0,,1.0,1.0,,,12.0,,,1.0,,,,,2.0,19.0,,8.0,8.0,,1.0,54.0,61.0,22.0,9.0,,,3.0,3.0,218.0,,,7.0,,32.0,19.0,9.0,,,,1.0,113.0,113.0,,21.0,8.0,29.6,,2.0,1.0,,17.0,0.0,,,,50.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,5.0,23.0,153.0,5.0,3.0,138.0,17.0,48.0,11.0,1.0,4.0,3.0,101589.4,,56.0,4.0,111.0,,,29.0,2.0,59.0,4.0,245.0,1.0,1.0,4.0,18.0,1.0,16.0,4.0,426.0,14.0,12.0,8.0,1.0,8.0,0.0
2444528,6.0,2024-09-28 15:00:00,17,Nott'm Forest,Home,122.0,11.0,3.0,5.0,2.0,2.0,1.0,161.0,3.0,,1.0,2.0,2.0,11.0,278.0,,1.0,7.0,7.0,18.0,4.0,1.0,2.0,,,,,,,,,5.0,,,,1.0,6.0,10.0,4.0,6.0,5.0,,65.0,35.0,,,,,6.0,5.0,9.0,,,6.0,8.0,10.0,,6.0,1.0,34.0,45.0,,22.0,13.0,,,,,,,,43.0,11.0,15.0,,1.0,2.0,2.0,,122.0,,,,,,,5.0,,,,,,,,,13.0,,9.0,9.0,2.0,1.0,83.0,45.0,17.0,5.0,,4.0,1.0,1.0,331.0,,,7.0,,64.0,54.0,36.0,1.0,1.0,1.0,,131.0,131.0,2.0,20.0,12.0,40.6,,,,1.0,14.0,0.0,,,,81.0,1.0,,1.0,,1.0,,5.0,,,5.0,84.0,264.0,6.0,5.0,139.0,21.0,22.0,5.0,6.0,26.0,20.0,107862.2,,122.0,3.0,238.0,,,15.0,2.0,35.0,7.0,351.0,,0.0,11.0,8.0,1.0,13.0,2.0,524.0,33.0,16.0,4.0,6.0,3.0,0.0
2444534,7.0,2024-10-06 14:00:00,17,Nott'm Forest,Away,103.0,8.0,,3.0,3.0,1.0,,133.0,5.0,,5.0,7.0,8.0,15.0,233.0,,,8.0,14.0,16.0,8.0,,2.0,,,,1.0,2.0,,,,10.0,,,,1.0,5.0,14.0,8.0,9.0,7.0,,55.0,44.0,3.0,3.0,1.0,1.0,13.0,6.0,11.0,,,3.0,3.0,6.0,,7.0,4.0,48.0,47.0,1.0,32.0,17.0,,1.0,,,,,,43.0,11.0,11.0,1.0,,3.0,,2.0,123.0,1.0,,1.0,,1.0,,14.0,,,,,,,,1.0,17.0,,6.0,6.0,2.0,5.0,60.0,58.0,23.0,11.0,,1.0,8.0,9.0,277.0,,,5.0,5.0,28.0,79.0,25.0,,,,,123.0,123.0,3.0,21.0,11.0,33.9,,2.0,,,22.0,0.0,,,,68.0,6.0,1.0,7.0,1.0,,,1.0,,,5.0,64.0,219.0,13.0,9.0,120.0,18.0,32.0,16.0,2.0,11.0,9.0,105982.3,,94.0,4.0,197.0,,,22.0,10.0,46.0,3.0,306.0,1.0,1.0,16.0,12.0,4.0,14.0,2.0,498.0,22.0,14.0,9.0,3.0,6.0,0.0
2444546,8.0,2024-10-21 20:00:00,17,Nott'm Forest,Home,158.0,15.0,4.0,9.0,5.0,1.0,1.0,213.0,6.0,,6.0,7.0,17.0,25.0,362.0,,1.0,14.0,14.0,18.0,12.0,3.0,5.0,,,,,,,,,15.0,,,1.0,,6.0,11.0,9.0,10.0,10.0,,83.0,46.0,3.0,3.0,,2.0,11.0,9.0,6.0,,,6.0,10.0,5.0,,15.0,3.0,52.0,54.0,2.0,17.0,10.0,,,,,,,,54.0,9.0,11.0,1.0,,1.0,2.0,,170.0,,,,,,,9.0,,,1.0,,,,,,10.0,1.0,14.0,14.0,,6.0,94.0,52.0,29.0,6.0,,4.0,11.0,6.0,419.0,,,5.0,2.0,111.0,63.0,27.0,,,,,145.0,145.0,6.0,19.0,14.0,50.3,1.0,,,1.0,25.0,0.0,,,,94.0,5.0,2.0,7.0,,1.0,,5.0,1.0,,5.0,111.0,345.0,11.0,15.0,181.0,27.0,17.0,24.0,6.0,23.0,17.0,,,145.0,7.0,283.0,,,18.0,17.0,46.0,2.0,441.0,,0.0,20.0,9.0,1.0,21.0,2.0,673.0,36.0,18.0,16.0,6.0,5.0,0.0
2444557,9.0,2024-10-25 20:00:00,17,Nott'm Forest,Away,89.0,13.0,,1.0,1.0,2.0,,143.0,9.0,,1.0,11.0,9.0,28.0,231.0,,,7.0,24.0,15.0,9.0,,4.0,3.0,,,,1.0,1.0,,,14.0,,,1.0,1.0,9.0,5.0,6.0,12.0,8.0,,44.0,51.0,2.0,3.0,1.0,1.0,7.0,6.0,6.0,,,7.0,5.0,7.0,,9.0,,53.0,64.0,1.0,30.0,16.0,,1.0,,,,,,52.0,9.0,15.0,2.0,,4.0,2.0,1.0,130.0,1.0,,1.0,1.0,,,12.0,,,3.0,1.0,,,,,16.0,1.0,10.0,10.0,,1.0,60.0,50.0,27.0,6.0,1.0,6.0,4.0,5.0,278.0,,,3.0,3.0,48.0,46.0,27.0,,,,,127.0,127.0,8.0,27.0,11.0,35.6,1.0,,,3.0,17.0,0.0,,,,71.0,,,,,2.0,3.0,9.0,,,5.0,85.0,213.0,7.0,10.0,114.0,28.0,30.0,20.0,7.0,21.0,14.0,,3.0,125.0,11.0,212.0,1.0,,29.0,9.0,60.0,1.0,305.0,,0.0,20.0,19.0,,10.0,3.0,506.0,30.0,12.0,15.0,7.0,11.0,0.0
2444566,10.0,2024-11-02 15:00:00,17,Nott'm Forest,Home,144.0,14.0,3.0,3.0,,1.0,,237.0,3.0,,2.0,8.0,9.0,24.0,378.0,2.0,1.0,14.0,15.0,13.0,10.0,2.0,2.0,1.0,,,,1.0,,,,11.0,,,,3.0,4.0,2.0,2.0,9.0,10.0,,77.0,44.0,3.0,2.0,1.0,4.0,6.0,3.0,10.0,1.0,,10.0,7.0,4.0,1.0,9.0,,45.0,45.0,4.0,21.0,10.0,,,,,,,,47.0,7.0,8.0,1.0,,3.0,1.0,1.0,164.0,2.0,1.0,2.0,1.0,1.0,,3.0,,,2.0,,,,,,10.0,,6.0,6.0,,2.0,103.0,55.0,32.0,6.0,1.0,8.0,6.0,6.0,432.0,,,1.0,1.0,109.0,50.0,34.0,,,,,123.0,123.0,4.0,21.0,16.0,53.4,,,,,14.0,0.0,,,,102.0,1.0,1.0,1.0,,,1.0,10.0,,,5.0,155.0,365.0,6.0,14.0,162.0,26.0,21.0,10.0,8.0,20.0,12.0,,1.0,187.0,4.0,304.0,,,19.0,9.0,46.0,1.0,446.0,2.0,0.0,19.0,18.0,2.0,20.0,1.0,632.0,32.0,17.0,6.0,11.0,12.0,0.0
