matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalDistance,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2444477,1,2024-08-18 14:00:00,31,Crystal Palace,Away,153.0,18.0,,1.0,1.0,3.0,,237.0,8.0,1.0,3.0,,7.0,16.0,389.0,,1.0,17.0,19.0,14.0,9.0,,2.0,,,1.0,,1.0,,,,,11.0,,,,,,,10.0,8.0,1.0,6.0,8.0,72.0,54.0,1.0,1.0,,,9.0,4.0,5.0,,,7.0,8.0,3.0,,5.0,2.0,58.0,45.0,,29.0,14.0,,1.0,0.637502,1.1701,0.096,1.0152,3.1136,59.0,15.0,6.0,,,3.0,,1.0,155.0,,,,,,,10.0,,,,14.0,,5.0,5.0,,3.0,126.0,70.0,37.0,4.0,,2.0,7.0,6.0,456.0,1.0,,,68.0,39.0,25.0,,,,,,137.0,137.0,6.0,19.0,24.0,54.0,,,,,17.0,0.0,128.0,3.0,,3.0,,,,4.0,,,5.0,87.0,368.0,9.0,9.0,176.0,38.0,29.0,17.0,3.0,14.0,11.0,,,131.0,6.0,319.0,,1.0,23.0,8.0,53.0,3.0,481.0,2.0,0.0,14.0,22.0,2.0,18.0,5.0,661.0,21.0,9.0,3.0,7.0,13.0,0.0
2444483,2,2024-08-24 15:00:00,31,Crystal Palace,Home,245.0,22.0,,4.0,4.0,,1.0,213.0,10.0,,4.0,5.0,8.0,30.0,454.0,,2.0,16.0,23.0,13.0,12.0,1.0,2.0,2.0,,,,,,1.0,,,10.0,,,1.0,1.0,,2.0,8.0,13.0,5.0,8.0,6.0,84.0,51.0,2.0,2.0,,3.0,6.0,4.0,14.0,,,3.0,12.0,4.0,,9.0,,66.0,55.0,3.0,9.0,6.0,,,,,,,,77.0,9.0,16.0,,,3.0,2.0,,175.0,,,,,,,10.0,,,,6.0,2.0,9.0,9.0,1.0,4.0,145.0,74.0,40.0,3.0,,7.0,6.0,2.0,521.0,5.0,,,65.0,49.0,27.0,,,,,,154.0,154.0,6.0,19.0,22.0,58.4,2.0,,,,12.0,0.0,148.0,1.0,,1.0,,,2.0,8.0,,,3.0,111.0,425.0,6.0,13.0,274.0,44.0,9.0,14.0,2.0,20.0,18.0,,2.0,158.0,1.0,298.0,,,26.0,8.0,66.0,3.0,552.0,,0.0,14.0,23.0,2.0,17.0,1.0,741.0,23.0,16.0,3.0,3.0,11.0,0.0
2444492,3,2024-09-01 13:30:00,31,Crystal Palace,Away,163.0,11.0,1.0,3.0,2.0,1.0,1.0,116.0,6.0,,5.0,6.0,6.0,19.0,276.0,1.0,,16.0,10.0,7.0,7.0,,1.0,,,1.0,,1.0,,,,,5.0,,,,,,2.0,10.0,8.0,5.0,4.0,5.0,43.0,43.0,,,,3.0,4.0,5.0,11.0,,,4.0,3.0,2.0,,6.0,1.0,47.0,41.0,3.0,28.0,12.0,,,,,,,,41.0,13.0,9.0,1.0,,2.0,1.0,1.0,129.0,,,,,,,11.0,,1.0,,12.0,,6.0,6.0,,5.0,86.0,61.0,31.0,4.0,,,7.0,3.0,326.0,1.0,,,26.0,39.0,18.0,,,,,,106.0,106.0,2.0,15.0,14.0,37.2,,,1.0,1.0,12.0,0.0,92.0,4.0,2.0,6.0,,2.0,,1.0,,,3.0,47.0,260.0,4.0,7.0,183.0,24.0,28.0,13.0,3.0,9.0,6.0,103922.91,,79.0,1.0,176.0,2.0,,16.0,6.0,49.0,1.0,350.0,1.0,0.0,9.0,19.0,1.0,17.0,2.0,514.0,22.0,11.0,6.0,5.0,11.0,0.0
2444503,4,2024-09-14 15:00:00,31,Crystal Palace,Home,234.0,32.0,1.0,5.0,4.0,1.0,,274.0,4.0,1.0,10.0,4.0,12.0,39.0,503.0,,,15.0,12.0,21.0,13.0,,3.0,,,,,1.0,,,,,14.0,1.0,,,,,,6.0,7.0,2.0,16.0,4.0,105.0,54.0,3.0,2.0,2.0,1.0,9.0,10.0,11.0,,1.0,5.0,19.0,5.0,,14.0,1.0,52.0,63.0,1.0,12.0,6.0,1.0,1.0,,,,,,67.0,11.0,14.0,2.0,,3.0,,1.0,191.0,1.0,,1.0,1.0,,,5.0,1.0,,1.0,6.0,,8.0,8.0,,10.0,155.0,77.0,54.0,2.0,,5.0,9.0,4.0,572.0,1.0,,,89.0,76.0,41.0,,,,,1.0,150.0,150.0,6.0,22.0,16.0,67.2,,,1.0,,28.0,0.0,144.0,2.0,,2.0,,,,6.0,,,4.0,138.0,482.0,9.0,14.0,263.0,50.0,12.0,9.0,3.0,27.0,24.0,101964.65,,173.0,3.0,359.0,,1.0,14.0,13.0,61.0,3.0,595.0,,0.0,20.0,24.0,2.0,17.0,0.0,801.0,41.0,12.0,4.0,5.0,15.0,0.0
2444512,5,2024-09-21 17:30:00,31,Crystal Palace,Home,133.0,14.0,1.0,6.0,5.0,1.0,1.0,94.0,4.0,3.0,5.0,13.0,2.0,24.0,221.0,2.0,,7.0,18.0,13.0,6.0,2.0,1.0,,,,,,,,,,7.0,,,,,,1.0,4.0,11.0,4.0,7.0,2.0,45.0,55.0,2.0,3.0,,1.0,10.0,2.0,7.0,,,4.0,7.0,2.0,,8.0,4.0,45.0,50.0,1.0,30.0,12.0,,1.0,,,,,,34.0,7.0,11.0,,,2.0,2.0,,132.0,,,,,,,11.0,,3.0,1.0,12.0,,13.0,13.0,3.0,5.0,72.0,68.0,33.0,11.0,,3.0,5.0,4.0,289.0,3.0,,,30.0,44.0,19.0,,,,,,125.0,125.0,2.0,28.0,17.0,33.2,,,,,16.0,0.0,64.0,5.0,1.0,7.0,,2.0,,3.0,1.0,,4.0,45.0,206.0,10.0,8.0,161.0,20.0,30.0,10.0,3.0,14.0,11.0,106718.31,,72.0,5.0,166.0,3.0,3.0,38.0,2.0,64.0,1.0,313.0,2.0,0.0,9.0,22.0,1.0,9.0,3.0,510.0,16.0,8.0,4.0,4.0,10.0,0.0
2444524,6,2024-09-28 15:00:00,31,Crystal Palace,Away,230.0,28.0,2.0,3.0,1.0,1.0,,208.0,3.0,1.0,5.0,4.0,4.0,29.0,435.0,,,15.0,28.0,20.0,8.0,3.0,7.0,,,,,1.0,,,,,7.0,,,,,,2.0,2.0,5.0,3.0,11.0,6.0,82.0,57.0,1.0,,1.0,1.0,7.0,7.0,8.0,,,8.0,9.0,3.0,1.0,12.0,1.0,59.0,63.0,1.0,26.0,19.0,,,,,,,,63.0,11.0,13.0,,,4.0,2.0,1.0,164.0,1.0,,1.0,,1.0,,4.0,,,2.0,19.0,,8.0,8.0,,5.0,143.0,72.0,43.0,5.0,,4.0,8.0,5.0,514.0,2.0,,,49.0,50.0,37.0,,,,,,151.0,151.0,1.0,29.0,21.0,59.9,,3.0,,2.0,13.0,0.0,146.0,,,,,,,5.0,2.0,,3.0,86.0,418.0,7.0,12.0,260.0,52.0,26.0,7.0,6.0,20.0,14.0,107262.81,,135.0,2.0,295.0,,1.0,15.0,5.0,62.0,,535.0,,0.0,17.0,25.0,,21.0,0.0,729.0,31.0,14.0,5.0,8.0,17.0,0.0
2444535,7,2024-10-05 12:30:00,31,Crystal Palace,Home,112.0,10.0,,1.0,1.0,,,98.0,3.0,1.0,5.0,4.0,1.0,20.0,209.0,,1.0,6.0,27.0,7.0,6.0,,1.0,1.0,,,,,,,,,5.0,,,,,,1.0,3.0,8.0,8.0,3.0,6.0,24.0,55.0,2.0,2.0,,2.0,10.0,,8.0,,,3.0,6.0,,,6.0,1.0,55.0,34.0,2.0,25.0,13.0,,,,,,,,47.0,7.0,15.0,,1.0,1.0,1.0,,140.0,,,,,,,10.0,,,,13.0,,5.0,5.0,,5.0,63.0,58.0,23.0,8.0,,1.0,5.0,5.0,273.0,5.0,1.0,,40.0,23.0,21.0,,,,,,130.0,130.0,2.0,31.0,16.0,31.9,,,,,15.0,0.0,73.0,1.0,2.0,3.0,,,1.0,4.0,,,4.0,48.0,195.0,10.0,6.0,138.0,22.0,25.0,11.0,2.0,9.0,7.0,110359.21,1.0,91.0,1.0,171.0,,1.0,22.0,1.0,58.0,1.0,300.0,,0.0,9.0,8.0,2.0,10.0,4.0,449.0,9.0,11.0,4.0,3.0,6.0,0.0
2444546,8,2024-10-21 20:00:00,31,Crystal Palace,Away,177.0,8.0,,3.0,3.0,,,184.0,6.0,,1.0,2.0,10.0,20.0,358.0,,,13.0,18.0,14.0,15.0,1.0,3.0,1.0,,,,,,,,,16.0,,,,,1.0,1.0,6.0,10.0,10.0,11.0,9.0,54.0,50.0,,,,1.0,13.0,6.0,16.0,,,6.0,9.0,5.0,,6.0,1.0,54.0,52.0,1.0,25.0,13.0,1.0,,,,,,,56.0,12.0,9.0,,,2.0,,,138.0,,,,,,,6.0,,1.0,1.0,13.0,2.0,5.0,5.0,1.0,1.0,129.0,57.0,35.0,6.0,,5.0,11.0,7.0,425.0,9.0,1.0,,63.0,52.0,29.0,,,,,,130.0,130.0,2.0,25.0,18.0,49.7,1.0,,,1.0,25.0,0.0,127.0,3.0,2.0,5.0,,1.0,1.0,7.0,,,4.0,75.0,337.0,13.0,16.0,202.0,20.0,25.0,9.0,2.0,16.0,14.0,,1.0,114.0,4.0,262.0,1.0,,18.0,11.0,43.0,2.0,448.0,,0.0,20.0,23.0,1.0,15.0,3.0,643.0,23.0,13.0,6.0,6.0,14.0,0.0
2444555,9,2024-10-27 14:00:00,31,Crystal Palace,Home,40.0,7.0,1.0,6.0,5.0,4.0,1.0,125.0,4.0,,3.0,6.0,4.0,24.0,159.0,1.0,,13.0,15.0,21.0,6.0,1.0,5.0,,,1.0,,1.0,,,,,6.0,,,,,,2.0,11.0,8.0,3.0,7.0,7.0,26.0,68.0,1.0,,1.0,5.0,15.0,1.0,9.0,,,8.0,14.0,8.0,,12.0,1.0,59.0,69.0,5.0,33.0,20.0,,,,,,,,65.0,16.0,12.0,1.0,,3.0,2.0,1.0,117.0,1.0,,1.0,1.0,,,9.0,1.0,2.0,,20.0,,11.0,11.0,,3.0,59.0,55.0,24.0,8.0,,3.0,5.0,6.0,216.0,3.0,3.0,,49.0,39.0,38.0,,,,,,149.0,149.0,13.0,17.0,23.0,33.6,,,,,25.0,0.0,45.0,2.0,1.0,3.0,,1.0,,7.0,,,3.0,81.0,141.0,15.0,8.0,53.0,20.0,33.0,11.0,5.0,29.0,24.0,,,137.0,9.0,223.0,2.0,,28.0,4.0,65.0,4.0,247.0,2.0,0.0,14.0,32.0,1.0,13.0,4.0,485.0,24.0,12.0,4.0,8.0,19.0,0.0
2444569,10,2024-11-02 17:30:00,31,Crystal Palace,Away,135.0,14.0,2.0,5.0,3.0,1.0,,143.0,3.0,,3.0,8.0,6.0,23.0,273.0,1.0,,19.0,13.0,15.0,10.0,1.0,5.0,2.0,,,,,,,,1.0,13.0,,,,,,1.0,7.0,7.0,4.0,17.0,2.0,50.0,52.0,3.0,3.0,1.0,1.0,13.0,5.0,14.0,,,6.0,13.0,5.0,2.0,15.0,,60.0,44.0,1.0,27.0,13.0,1.0,,,,,,,63.0,9.0,6.0,,,1.0,,,135.0,1.0,,,,1.0,,5.0,,1.0,1.0,13.0,,9.0,9.0,,3.0,88.0,64.0,31.0,3.0,,3.0,9.0,7.0,335.0,1.0,,,69.0,43.0,32.0,,,,,,147.0,147.0,3.0,18.0,21.0,43.2,,2.0,1.0,,22.0,0.0,85.0,2.0,2.0,4.0,,,2.0,7.0,1.0,,3.0,66.0,258.0,13.0,12.0,151.0,23.0,27.0,19.0,5.0,23.0,18.0,,2.0,109.0,4.0,230.0,1.0,,23.0,7.0,47.0,1.0,358.0,2.0,0.0,19.0,14.0,,19.0,2.0,580.0,28.0,18.0,9.0,6.0,7.0,0.0
