playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,throughBalls,gamesPlayed,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,goalsConcededOutsideBox,groundDuelsWon,successfulCornersIntoBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,shotsBlockedInBox,totalFoulsWon,winningGoal,recoveries,appearances,rightFootGoals,leftFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,freekickTotal,openPlayPasses,shotsOffTargetIncWoodwork,totalLossesOfPossession,tacklesWon,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,unsuccessfulCornersIntoBox,clearancesOffTheLine,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,hitWoodwork,successfulPassesOwnHalf,handballsConceded,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,secondGoalAssists,successfulCrossesOpenPlay,expectedAssists,expectedGoalsFreekick,totalShots,unsuccessfulShortPasses,goalAssists,successfulLayoffs,foulWonPenalty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,duelsWon,putthroughBlockedDistribution,successfulShortPasses,totalTouchesInOppositionBox,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,oboxTarget,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,iboxBlocked,groundDuels,aerialDuelsWon,cornersWon,successfulDribbles,blocks,interceptions,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,foulAttemptedTackle,expectedGoals,penaltiesTaken,headedGoals,penaltyGoals,penaltiesConceded,throwInsToOppositionPlayer,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,punches,savesMade,goalkeeperSmother,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,penaltiesFaced,drops,crossesNotClaimed
214590,Aaron Wan-Bissaka,Defender,C Palace,31,DR Congo,2016-17,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7906,Damien Delaney,Defender,C Palace,31,Ireland,2016-17,0.0,0.0,8.0,91.0,1.0,1.0,0.1204,25.0,1.0,30.0,887.0,,,,1.0,9.0,1.0,1.0,55.0,7.0,37.0,,2.0,30.4711,4.0,56.0,,13.0,0.0,85.0,30.0,,,,3.0,3.0,,840.0,3.0,272.0,20.0,,137.0,26.0,,1.0,108.0,60.0,1179.0,1.0,,447.0,1.0,158.0,77.0,,2.0,1.4327,,4.0,95.0,2.0,,,21.0,253.0,3.0,,114.0,2.0,,2.0,2007.0,,96.0,10.0,526.0,13.0,151.0,39.0,36.0,235.0,187.0,4.0,,455.0,,5.0,189.0,32.0,,73.0,59.0,2.0,,21.0,36.0,2.0,1.0,113.0,11.0,0.3389,,,,1.0,,,,,,,,,,,,,,,
106603,Ezekiel Fryers,Defender,C Palace,31,England,2016-17,0.0,0.0,0.0,14.0,,,,2.0,,8.0,70.0,,,,,8.0,,,3.0,1.0,5.0,,,6.1879,1.0,4.0,,2.0,0.0,17.0,8.0,,,2.0,6.0,5.0,,70.0,,35.0,1.0,,5.0,4.0,,,5.0,10.0,133.0,23.0,,23.0,,7.0,7.0,,3.0,0.5505,,,13.0,1.0,,,,20.0,6.0,,3.0,,,3.0,182.0,,5.0,10.0,45.0,4.0,5.0,7.0,11.0,28.0,19.0,7.0,,27.0,,1.0,30.0,6.0,,16.0,,2.0,1.0,1.0,1.0,,,5.0,4.0,,,,,,1.0,,,,,,,,,,,,,,
49413,James Tomkins,Defender,C Palace,31,England,2016-17,0.0,0.0,4.0,69.0,1.0,4.0,2.4743,28.0,,24.0,728.0,3.0,,1.0,,1.0,1.0,1.0,40.0,7.0,38.0,,,27.8825,2.0,30.0,1.0,9.0,0.0,93.0,24.0,2.0,1.0,,1.0,3.0,,699.0,9.0,187.0,18.0,,173.0,10.0,,,76.0,49.0,1017.0,18.0,,372.0,,104.0,34.0,,2.0,0.5094,,13.0,64.0,,,,23.0,168.0,1.0,,98.0,3.0,,2.0,1976.0,,96.0,12.0,484.0,22.0,124.0,36.0,29.0,173.0,165.0,6.0,2.0,333.0,,10.0,190.0,29.0,1.0,67.0,58.0,4.0,2.0,13.0,37.0,5.0,,70.0,8.0,3.5526,,,,,6.0,,,,,,,,,,,,,,
55494,Joel Ward,Defender,C Palace,31,England,2016-17,0.0,0.0,7.0,146.0,6.0,2.0,0.1749,89.0,1.0,38.0,1298.0,,,,3.0,,,,43.0,11.0,160.0,,2.0,50.1796,10.0,34.0,3.0,53.0,0.0,194.0,38.0,,,12.0,63.0,46.0,,1281.0,6.0,547.0,68.0,,258.0,37.0,,1.0,93.0,212.0,2340.0,346.0,,412.0,,150.0,90.0,1.0,15.0,1.2682,,8.0,193.0,1.0,11.0,,38.0,343.0,63.0,,105.0,7.0,2.0,15.0,3418.0,,222.0,75.0,862.0,18.0,134.0,63.0,103.0,161.0,368.0,30.0,,667.0,2.0,21.0,558.0,52.0,3.0,263.0,62.0,13.0,20.0,11.0,59.0,1.0,3.0,94.0,10.0,1.1046,,,,,52.0,,,,,,,,,,,,,,
40784,Mamadou Sakho,Defender,C Palace,31,France,2016-17,0.0,0.0,0.0,26.0,,,,3.0,,8.0,225.0,,,,,,,,17.0,,9.0,,,8.4778,4.0,3.0,,3.0,0.0,59.0,8.0,,,1.0,,4.0,,220.0,2.0,49.0,2.0,,34.0,1.0,,1.0,12.0,14.0,327.0,2.0,,133.0,,16.0,13.0,,1.0,0.1811,,2.0,23.0,,,,8.0,39.0,,,36.0,4.0,,1.0,687.0,,28.0,4.0,174.0,9.0,47.0,6.0,9.0,77.0,54.0,3.0,,100.0,,1.0,54.0,6.0,,18.0,19.0,,3.0,3.0,15.0,1.0,,10.0,1.0,0.1674,,,,,,,,,,,,,,,,,,,
58786,Martin Kelly,Defender,C Palace,31,England,2016-17,0.0,0.0,4.0,85.0,2.0,,,45.0,,29.0,624.0,,,,,4.0,,,39.0,9.0,56.0,,2.0,31.921,6.0,28.0,2.0,9.0,0.0,79.0,29.0,,,2.0,31.0,4.0,,621.0,1.0,272.0,34.0,,103.0,19.0,,,47.0,90.0,1120.0,120.0,1.0,239.0,,87.0,60.0,,5.0,0.4495,,1.0,103.0,2.0,2.0,,25.0,190.0,31.0,,94.0,2.0,,5.0,2128.0,,111.0,39.0,387.0,9.0,132.0,44.0,46.0,113.0,196.0,23.0,,318.0,,11.0,200.0,35.0,2.0,102.0,55.0,3.0,3.0,17.0,26.0,10.0,,71.0,14.0,0.3875,,,,,26.0,,,,,,,,,,,,,,
215885,Michael Phillips,Defender,C Palace,31,England,2016-17,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79228,Pape Souaré,Defender,C Palace,31,Senegal,2016-17,0.0,0.0,0.0,10.0,,,,5.0,,3.0,97.0,,,,,,,,5.0,,10.0,,,2.9322,2.0,1.0,,4.0,0.0,14.0,3.0,,,3.0,13.0,4.0,,97.0,2.0,57.0,3.0,,3.0,1.0,,,6.0,22.0,197.0,25.0,,37.0,,16.0,7.0,,2.0,0.2078,,2.0,12.0,,,,3.0,28.0,13.0,,5.0,,,2.0,269.0,,10.0,5.0,63.0,3.0,12.0,3.0,5.0,29.0,20.0,1.0,,43.0,,2.0,34.0,3.0,,15.0,,2.0,1.0,2.0,10.0,1.0,,13.0,1.0,0.0387,,,,,6.0,,,,,,,,,,,,,,
74230,Patrick van Aanholt,Defender,C Palace,31,Netherlands,2016-17,0.0,0.0,3.0,84.0,7.0,13.0,5.6639,43.0,2.0,32.0,1002.0,5.0,6.0,0.0,4.0,4.0,3.0,3.0,17.0,7.0,95.0,2.0,4.0,35.3618,35.0,11.0,2.0,16.0,1.0,170.0,32.0,1.0,4.0,19.0,56.0,32.0,6.0,959.0,14.0,381.0,32.0,6.0,44.0,15.0,12.0,2.0,59.0,180.0,1703.0,197.0,,332.0,,67.0,60.0,,18.0,1.9923,0.4844,27.0,141.0,1.0,5.0,,28.0,208.0,37.0,15.0,27.0,3.0,4.0,22.0,2498.0,1.0,105.0,39.0,735.0,43.0,65.0,53.0,67.0,387.0,189.0,18.0,5.0,391.0,4.0,11.0,484.0,46.0,2.0,162.0,10.0,15.0,36.0,9.0,57.0,4.0,4.0,28.0,12.0,2.58,,,,1.0,46.0,,,,,,,,,,,,,,
