playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,oboxBlocked,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,shotsOnTargetIncGoals,expectedGoalsOnTarget,substituteOn,iboxTarget,shotsOnTargetInBox,foulWonPenalty,goals,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,unsuccessfulLayoffs,successfulCornersIntoBox,oboxTarget,rightFootGoals,leftFootGoals,unsuccessfulCornersIntoBox,substituteOff,hitWoodwork,headedGoals,clearancesOffTheLine,catches,savesMade,savesMadeFromOutsideBox,gkSuccessfulDistribution,savesMadeCaught,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,expectedGoalsFreekick,setPiecesGoals,penaltiesTaken,freekickTotal,attemptsFromSetPieces,penaltyGoals,secondGoalAssists,ownGoalScored,penaltiesFaced,punches,drops,penaltiesSaved,savesFromPenalty,goalkeeperSmother,redCards2ndYellow
214590,Aaron Wan-Bissaka,Defender,C Palace,31,DR Congo,2018-19,128.0,12.0,1.1934,1.0,5.0,129.0,4.0,1.0,198.0,35.0,3.0,2.0,35.0,314.0,44.0,1165.0,2.0,1.0,73.0,12.0,12.0,3135.0,30.0,249.0,8.0,1.0,87.0,206.0,817.0,30.0,59.0,4.0,41.9678,11.0,23.0,129.0,46.0,4.0,98.0,75.0,16.0,377.0,33.0,655.0,206.0,35.0,39.0,29.0,522.0,38.0,44.0,4.0,304.0,43.0,1.0,1161.0,4.0,17.0,540.0,90.0,61.0,16.0,300.0,23.0,84.0,34.0,135.0,2286.0,283.0,1.0,82.0,341.0,17.0,1.0,0.4617,4.0,116.0,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49413,James Tomkins,Defender,C Palace,31,England,2018-19,123.0,,0.9532,0.0,3.0,33.0,19.0,,83.0,29.0,1.0,,29.0,188.0,1.0,1111.0,1.0,,182.0,9.0,,2562.0,91.0,138.0,5.0,,17.0,47.0,797.0,51.0,,3.0,32.1283,6.0,15.0,182.0,37.0,3.0,32.0,231.0,12.0,261.0,13.0,394.0,111.0,29.0,13.0,2.0,258.0,32.0,1.0,3.0,79.0,91.0,0.0,1068.0,12.0,3.0,207.0,20.0,2.0,10.0,390.0,16.0,34.0,126.0,96.0,1481.0,2.0,,44.0,665.0,9.0,,1.4387,6.0,105.0,57.0,7.0,1.1747,,5.0,5.0,,1.0,,1.0,1.0,,1.0,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
55494,Joel Ward,Defender,C Palace,31,England,2018-19,34.0,,0.1027,0.0,,12.0,2.0,,35.0,7.0,,,6.0,52.0,7.0,190.0,1.0,,32.0,,,551.0,14.0,37.0,4.0,,7.0,19.0,129.0,5.0,12.0,,10.5016,2.0,2.0,31.0,14.0,,20.0,27.0,6.0,71.0,2.0,118.0,31.0,7.0,5.0,1.0,73.0,10.0,7.0,,39.0,18.0,0.0,188.0,1.0,1.0,82.0,7.0,1.0,,25.0,8.0,10.0,9.0,20.0,343.0,45.0,,10.0,65.0,2.0,,0.564,1.0,17.0,18.0,1.0,0.7507,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
40784,Mamadou Sakho,Defender,C Palace,31,France,2018-19,56.0,,0.2549,0.0,,25.0,4.0,,99.0,27.0,,1.0,27.0,150.0,,1321.0,,,88.0,9.0,,2417.0,37.0,96.0,5.0,2.0,14.0,45.0,1112.0,11.0,,4.0,32.6203,6.0,6.0,132.0,35.0,,19.0,434.0,13.0,152.0,10.0,636.0,192.0,27.0,9.0,2.0,378.0,30.0,,,64.0,51.0,0.0,1286.0,3.0,,171.0,16.0,9.0,16.0,197.0,5.0,41.0,59.0,54.0,1632.0,6.0,,15.0,793.0,1.0,,0.4448,2.0,51.0,57.0,1.0,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
58786,Martin Kelly,Defender,C Palace,31,England,2018-19,39.0,1.0,0.0848,0.0,,21.0,3.0,,39.0,13.0,,,12.0,88.0,1.0,357.0,,,61.0,3.0,1.0,1110.0,26.0,57.0,4.0,,10.0,22.0,233.0,6.0,,1.0,17.8306,1.0,10.0,85.0,21.0,,13.0,60.0,1.0,96.0,6.0,182.0,42.0,13.0,8.0,1.0,89.0,17.0,1.0,,35.0,35.0,0.0,347.0,2.0,1.0,96.0,13.0,,12.0,92.0,6.0,11.0,36.0,23.0,525.0,,,21.0,181.0,3.0,,0.4309,2.0,49.0,23.0,1.0,0.2059,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
235599,Nikola Tavares,Defender,C Palace,31,Croatia,2018-19,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79228,Pape Souaré,Defender,C Palace,31,Senegal,2018-19,,,0.0001,0.0,,,,,,1.0,,,,,,3.0,,,,,,1.0,,1.0,,,,1.0,2.0,,,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,,,1.0,,,,1.0,,0.0,3.0,,,,,,,,,1.0,1.0,2.0,5.0,,,,2.0,,,,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74230,Patrick van Aanholt,Defender,C Palace,31,Netherlands,2018-19,75.0,5.0,3.659,0.0,10.0,48.0,35.0,5.0,248.0,36.0,2.0,4.0,36.0,326.0,26.0,1610.0,10.0,4.0,22.0,11.0,11.0,3197.0,12.0,94.0,7.0,,57.0,84.0,1216.0,65.0,47.0,4.0,42.8978,33.0,7.0,80.0,46.0,6.0,63.0,645.0,14.0,169.0,24.0,666.0,216.0,36.0,24.0,20.0,698.0,39.0,31.0,6.0,147.0,10.0,0.0,1573.0,24.0,16.0,480.0,24.0,22.0,9.0,49.0,12.0,40.0,68.0,250.0,2388.0,269.0,4.0,35.0,597.0,9.0,,2.6077,3.0,78.0,118.0,11.0,2.8977,,5.0,5.0,,3.0,2.0,3.0,,1.0,3.0,1.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
221272,Sam Woods,Defender,C Palace,31,England,2018-19,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19188,Scott Dann,Defender,C Palace,31,England,2018-19,24.0,,0.0715,0.0,2.0,6.0,4.0,,38.0,10.0,1.0,,7.0,72.0,,264.0,,,42.0,2.0,,661.0,16.0,35.0,2.0,,7.0,9.0,178.0,9.0,,,8.7761,1.0,4.0,44.0,10.0,2.0,8.0,77.0,,59.0,4.0,140.0,29.0,10.0,4.0,,62.0,8.0,,2.0,17.0,26.0,0.0,245.0,3.0,3.0,77.0,2.0,3.0,12.0,36.0,4.0,5.0,14.0,11.0,360.0,1.0,,13.0,130.0,3.0,1.0,0.2333,1.0,34.0,22.0,1.0,0.0332,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
