playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,foulWonPenalty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,penaltyGoalsConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,homeGoals,forwardPasses,recoveries,appearances,penaltiesTaken,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,unsuccessfulLaunches,successfulPassesOwnHalf,handballsConceded,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,ownGoalScored,throwInsToOppositionPlayer,leftFootGoals,clearancesOffTheLine,headedGoals,penaltiesConceded,lastPlayerTackle,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,penaltyGoals,redCards2ndYellow
39765,Adel Taarabt,Midfielder,QPR,52,Morocco,2012-13,174.0,9.0,0.0,31.0,29.0,12.0,26.0,67.0,23.0,185.0,31.0,4.0,123.0,1.0,25.0,214.0,25.0,1153.0,5.0,1.0,2.0,6.0,66.0,35.0,3.0,36.0,2244.0,7.0,28.0,176.0,8.0,169.0,853.0,24.0,57.0,1.0,73.0,1.0,3.0,40.0,146.0,356.0,60.0,2.0,350.0,3.0,323.0,164.0,31.0,1.0,5.0,3.0,64.0,692.0,32.0,72.0,116.0,315.0,7.0,0.0,1120.0,38.0,17.0,493.0,23.0,83.0,1.0,11.0,221.0,16.0,29.0,32.0,86.0,253.0,1825.0,9.0,8.0,1.0,3.0,283.0,5.0,5.0,29.0,26.0,,,,,,,,,,,,,,,,,,,,,,
67731,Alejandro Faurlin,Midfielder,QPR,52,Argentina,2012-13,35.0,3.0,0.0,,1.0,,36.0,3.0,2.0,86.0,11.0,2.0,19.0,,10.0,117.0,3.0,562.0,,,,1.0,2.0,15.0,1.0,4.0,784.0,,8.0,61.0,3.0,54.0,379.0,1.0,1.0,,6.0,1.0,17.0,15.0,27.0,139.0,16.0,0.0,96.0,,213.0,42.0,11.0,,,10.0,,257.0,12.0,4.0,8.0,81.0,7.0,0.0,554.0,2.0,1.0,139.0,26.0,2.0,3.0,,151.0,10.0,17.0,1.0,66.0,59.0,707.0,1.0,6.0,,18.0,192.0,1.0,0.0,31.0,32.0,1.0,,,,,,,,,,,,,,,,,,,,,
1195,Andrew Johnson,Forward,QPR,52,England,2012-13,6.0,,0.0,,1.0,1.0,1.0,1.0,,6.0,3.0,,9.0,,2.0,7.0,6.0,43.0,,,,1.0,,2.0,,,135.0,,2.0,3.0,,3.0,36.0,,4.0,,,,,4.0,4.0,10.0,2.0,0.0,9.0,,9.0,5.0,3.0,,,,2.0,23.0,4.0,6.0,3.0,7.0,,0.0,43.0,,1.0,18.0,1.0,,,,9.0,1.0,,,,15.0,59.0,1.0,1.0,,1.0,13.0,,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
60252,Andros Townsend,Midfielder,QPR,52,England,2012-13,85.0,8.0,0.0,14.0,7.0,6.0,37.0,23.0,2.0,59.0,17.0,1.0,8.0,,12.0,70.0,37.0,338.0,2.0,,1.0,5.0,7.0,5.0,1.0,9.0,1047.0,,5.0,111.0,5.0,111.0,263.0,1.0,16.0,2.0,19.0,2.0,7.0,21.0,80.0,44.0,23.0,0.0,196.0,1.0,111.0,75.0,17.0,,,4.0,28.0,196.0,16.0,44.0,61.0,191.0,,0.0,334.0,16.0,7.0,211.0,33.0,51.0,1.0,2.0,127.0,7.0,16.0,5.0,5.0,56.0,687.0,7.0,2.0,,11.0,81.0,,2.0,11.0,23.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,
13898,Anton Ferdinand,Defender,QPR,52,England,2012-13,35.0,,0.0,,,,18.0,1.0,,45.0,13.0,,1.0,,10.0,68.0,1.0,332.0,,,,3.0,,62.0,1.0,,914.0,,24.0,65.0,4.0,27.0,229.0,,2.0,,,10.0,104.0,22.0,11.0,65.0,9.0,0.0,100.0,,180.0,42.0,13.0,,,6.0,,95.0,18.0,1.0,1.0,38.0,38.0,0.0,314.0,1.0,1.0,77.0,12.0,,12.0,,76.0,9.0,27.0,,35.0,11.0,543.0,13.0,1.0,,23.0,169.0,,2.0,23.0,15.0,1.0,,,,,,,,,,,,,,,,,,,,,
20488,Armand Traore,Defender,QPR,52,Senegal,2012-13,85.0,7.0,0.0,3.0,1.0,6.0,56.0,1.0,,143.0,26.0,,2.0,,24.0,167.0,58.0,764.0,,1.0,,2.0,,59.0,4.0,7.0,2094.0,,18.0,133.0,7.0,92.0,575.0,,11.0,2.0,10.0,16.0,93.0,32.0,67.0,317.0,16.0,0.0,218.0,,330.0,119.0,26.0,,,6.0,19.0,299.0,25.0,58.0,37.0,159.0,41.0,0.0,760.0,,15.0,328.0,50.0,20.0,6.0,,23.0,8.0,53.0,,22.0,94.0,1392.0,177.0,8.0,,48.0,305.0,,3.0,24.0,82.0,,35.0,,1.0,,,,,,,,,,,,,,,,,,
4570,Bobby Zamora,Forward,QPR,52,England,2012-13,143.0,1.0,1.0,4.0,11.0,1.0,7.0,20.0,,121.0,21.0,1.0,106.0,,16.0,127.0,6.0,479.0,4.0,18.0,4.0,5.0,,141.0,1.0,1.0,1312.0,8.0,95.0,74.0,3.0,28.0,336.0,,79.0,2.0,22.0,,9.0,24.0,48.0,98.0,19.0,0.0,217.0,0.0,95.0,18.0,21.0,,1.0,2.0,3.0,247.0,21.0,6.0,26.0,76.0,46.0,1.0,478.0,9.0,9.0,190.0,5.0,2.0,5.0,2.0,121.0,17.0,4.0,,16.0,165.0,644.0,6.0,7.0,,3.0,106.0,2.0,1.0,6.0,13.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,
10589,Brian Murphy,Goalkeeper,QPR,52,Ireland,2012-13,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
20359,Christopher Samba,Defender,QPR,52,Congo,2012-13,35.0,,0.0,2.0,7.0,,11.0,11.0,,55.0,10.0,,,,10.0,79.0,,253.0,,1.0,,,,63.0,1.0,,900.0,1.0,23.0,55.0,3.0,15.0,153.0,,27.0,2.0,1.0,6.0,88.0,19.0,12.0,45.0,3.0,0.0,90.0,,129.0,31.0,10.0,,,6.0,,66.0,16.0,,1.0,27.0,40.0,0.0,251.0,4.0,4.0,86.0,5.0,1.0,9.0,,54.0,7.0,12.0,,21.0,25.0,405.0,,,,27.0,108.0,,2.0,24.0,21.0,,,,,,1.0,,,,,,,,,,,,,,,,
1216,Clint Hill,Defender,QPR,52,England,2012-13,100.0,,0.0,1.0,4.0,,64.0,11.0,,119.0,31.0,1.0,5.0,,31.0,190.0,2.0,686.0,,1.0,,,,126.0,6.0,,2629.0,,42.0,167.0,10.0,83.0,450.0,,15.0,3.0,5.0,12.0,306.0,47.0,58.0,179.0,19.0,0.0,267.0,,359.0,50.0,31.0,,,18.0,,123.0,37.0,2.0,3.0,141.0,84.0,0.0,657.0,7.0,1.0,206.0,46.0,,36.0,,84.0,41.0,55.0,,46.0,64.0,1237.0,12.0,4.0,1.0,70.0,373.0,1.0,8.0,71.0,47.0,1.0,2.0,,,,1.0,3.0,,,,,,,,,,,,,,,
19645,DJ Campbell,Forward,QPR,52,England,2012-13,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
6286,Djibril Cissé,Forward,QPR,52,France,2012-13,73.0,5.0,0.0,12.0,16.0,3.0,4.0,34.0,2.0,60.0,18.0,,15.0,1.0,12.0,68.0,19.0,226.0,3.0,16.0,1.0,6.0,,57.0,1.0,5.0,1106.0,9.0,43.0,29.0,5.0,15.0,150.0,,40.0,,17.0,,4.0,24.0,30.0,59.0,8.0,0.0,102.0,2.0,74.0,20.0,18.0,1.0,2.0,3.0,2.0,132.0,19.0,19.0,17.0,45.0,14.0,0.0,226.0,18.0,14.0,122.0,1.0,3.0,1.0,2.0,57.0,10.0,2.0,,8.0,36.0,362.0,,4.0,1.0,6.0,31.0,,0.0,8.0,8.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
46998,Esteban Granero,Midfielder,QPR,52,Spain,2012-13,138.0,6.0,0.0,2.0,8.0,,49.0,25.0,2.0,124.0,24.0,1.0,44.0,,19.0,163.0,19.0,977.0,1.0,,1.0,5.0,67.0,44.0,3.0,24.0,1663.0,,29.0,119.0,4.0,104.0,738.0,15.0,14.0,,46.0,2.0,18.0,23.0,109.0,297.0,33.0,0.0,257.0,0.0,310.0,122.0,24.0,,1.0,6.0,6.0,516.0,19.0,76.0,55.0,213.0,15.0,0.0,920.0,17.0,8.0,338.0,43.0,22.0,4.0,10.0,254.0,36.0,38.0,45.0,76.0,116.0,1416.0,7.0,8.0,2.0,10.0,322.0,1.0,7.0,39.0,45.0,,,,,,,,,,,,,,,,,,,,,,
151453,Frankie Sutherland,Forward,QPR,52,Ireland,2012-13,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
