playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,successfulPassesOppositionHalf,goalsConcededInsideBox,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,overruns,totalTackles,totalShots,throughBalls,goalAssists,successfulLayoffs,foulWonPenalty,unsuccessfulCrossesOpenPlay,goals,offsides,awayGoals,substituteOn,cornersTakenInclShortCorners,successfulCrossesAndCorners,unsuccessfulLayoffs,aerialDuelsLost,totalTouchesInOppositionBox,homeGoals,penaltiesTaken,rightFootGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,headedGoals,unsuccessfulCrossesAndCorners,otherGoals,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,successfulDribbles,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,penaltyGoals,backwardPasses,throwInsToOwnPlayer,substituteOff,hitWoodwork,handballsConceded,penaltiesConceded,lastPlayerTackle,blocks,clearancesOffTheLine,throwInsToOppositionPlayer,setPiecesGoals,successfulCornersIntoBox,attemptsFromSetPieces,secondGoalAssists,expectedAssists,expectedGoalsOnTargetConceded,expectedGoals
15885,Adam Federici,Goalkeeper,Reading,108,Australia,2012-13,3.0,0.0,23.0,30.0,9.0,21.0,21.0,374.0,614.0,211.0,10.0,8.0,3.0,3.0,1890.0,9.0,4.0,1.0,19.0,20.0,3.0,1.0,103.0,24.0,40.0,3.0,6.0,74.0,1.0,0.0,12.0,2.0,602.0,176.0,21.0,206.0,36.0,1.0,4.0,8.0,0.0,107.0,228.0,378.0,135.0,17.0,6.0,221.0,774.0,166.0,34.0,44.0,0.0,365.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19163,Adam Le Fondre,Forward,Reading,108,England,2012-13,107.0,0.0,,,65.0,34.0,11.0,71.0,258.0,,,86.0,,,1491.0,58.0,3.0,34.0,183.0,,1.0,10.0,1.0,8.0,37.0,45.0,78.0,,22.0,6.0,165.0,,67.0,26.0,34.0,161.0,34.0,33.0,79.0,24.0,0.0,,258.0,160.0,,,65.0,4.0,476.0,3.0,33.0,,3.0,6.0,7.0,7.0,6.0,24.0,3.0,9.0,49.0,2.0,1.0,18.0,1.0,20.0,12.0,11.0,4.0,23.0,1.0,7.0,8.0,62.0,82.0,8.0,3.0,8.0,2.0,1.0,7.0,2.0,21.0,1.0,25.0,14.0,7.0,3.0,15.0,9.0,1.0,3.0,48.0,1.0,1.0,2.0,3.0,,,,,,,,,,,,
20145,Adrian Mariappa,Defender,Reading,108,Jamaica,2012-13,109.0,0.0,,,146.0,29.0,29.0,182.0,684.0,1.0,,156.0,4.0,,2610.0,165.0,7.0,80.0,454.0,,3.0,2.0,10.0,244.0,55.0,38.0,137.0,,19.0,0.0,274.0,,343.0,78.0,29.0,139.0,48.0,7.0,118.0,85.0,0.0,,664.0,207.0,1.0,,149.0,48.0,1168.0,44.0,363.0,,5.0,36.0,60.0,,2.0,4.0,1.0,54.0,10.0,2.0,,,,,1.0,3.0,1.0,,,,,71.0,16.0,0.0,,,16.0,,,1.0,,,6.0,2.0,38.0,7.0,19.0,56.0,,,55.0,2.0,,1.0,1.0,1.0,2.0,35.0,4.0,,,,,,,,
58376,Alex McCarthy,Goalkeeper,Reading,108,England,2012-13,1.0,0.0,20.0,28.0,8.0,13.0,13.0,212.0,377.0,151.0,3.0,2.0,2.0,,1170.0,3.0,1.0,1.0,34.0,14.0,,,41.0,16.0,23.0,1.0,28.0,70.0,,0.0,4.0,,335.0,136.0,13.0,102.0,22.0,,2.0,2.0,0.0,134.0,156.0,217.0,87.0,18.0,14.0,131.0,556.0,102.0,63.0,41.0,0.0,204.0,32.0,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,
40546,Alex Pearce,Defender,Reading,108,Ireland,2012-13,62.0,0.0,,,114.0,19.0,18.0,159.0,510.0,,,113.0,2.0,,1645.0,90.0,7.0,23.0,316.0,,3.0,2.0,12.0,170.0,34.0,16.0,70.0,,7.0,0.0,152.0,,255.0,48.0,19.0,96.0,27.0,,39.0,67.0,0.0,,492.0,163.0,,,146.0,35.0,777.0,45.0,255.0,,1.0,45.0,40.0,,,2.0,,15.0,10.0,2.0,1.0,,,,,1.0,,1.0,,,,46.0,27.0,,,,4.0,,,,,,8.0,1.0,11.0,1.0,14.0,22.0,,,39.0,,,,,,1.0,20.0,1.0,,,,,,,,
39262,Chris Gunter,Defender,Reading,108,Wales,2012-13,35.0,0.0,,,123.0,20.0,20.0,185.0,612.0,,,22.0,5.0,,1790.0,53.0,3.0,41.0,392.0,,1.0,9.0,18.0,84.0,32.0,25.0,19.0,,17.0,0.0,88.0,,315.0,58.0,20.0,240.0,29.0,9.0,66.0,12.0,0.0,,606.0,310.0,,,201.0,35.0,1139.0,45.0,203.0,,1.0,62.0,35.0,16.0,1.0,,1.0,21.0,1.0,,,2.0,,49.0,,1.0,,,,16.0,,10.0,7.0,,,,4.0,,5.0,,49.0,,1.0,8.0,17.0,3.0,11.0,20.0,,,77.0,199.0,1.0,,,1.0,1.0,9.0,1.0,56.0,,,,,,,
46479,Daniel Carriço,Defender,Reading,108,Portugal,2012-13,10.0,0.0,,,12.0,3.0,1.0,13.0,44.0,,,4.0,,,85.0,5.0,,5.0,29.0,,,,,3.0,1.0,6.0,9.0,,1.0,0.0,15.0,,24.0,5.0,3.0,17.0,1.0,2.0,11.0,,0.0,,44.0,19.0,,,9.0,2.0,66.0,,14.0,,0.0,1.0,1.0,,,,,4.0,1.0,,,1.0,,1.0,,,,2.0,,,,4.0,1.0,,,,,,,,1.0,,1.0,,4.0,,4.0,3.0,,,2.0,,1.0,,1.0,,,,,,,,,,,,
37639,Danny Guthrie,Midfielder,Reading,108,England,2012-13,78.0,0.0,,,119.0,21.0,19.0,168.0,807.0,,,28.0,3.0,,1618.0,88.0,5.0,72.0,544.0,,2.0,24.0,1.0,15.0,33.0,66.0,209.0,,27.0,0.0,166.0,,261.0,85.0,21.0,413.0,28.0,35.0,138.0,16.0,0.0,,772.0,284.0,,,219.0,95.0,1111.0,9.0,256.0,,4.0,49.0,23.0,8.0,4.0,5.0,1.0,42.0,11.0,6.0,1.0,13.0,,25.0,1.0,2.0,1.0,2.0,38.0,30.0,1.0,12.0,8.0,0.0,,1.0,14.0,,7.0,,62.0,,6.0,10.0,28.0,3.0,16.0,32.0,19.0,,118.0,1.0,6.0,,2.0,,,,,,1.0,15.0,6.0,1.0,,,
148418,Dominic Samuel,Forward,Reading,108,England,2012-13,5.0,0.0,,,3.0,1.0,,3.0,8.0,,,5.0,,,18.0,1.0,,,5.0,,,,,,1.0,1.0,2.0,,,0.0,6.0,,2.0,,1.0,4.0,1.0,1.0,1.0,1.0,0.0,,8.0,5.0,,,1.0,,10.0,,1.0,,0.0,,1.0,,,,,,,,,,,,,,,1.0,,,,4.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
49949,Garath McCleary,Forward,Reading,108,Jamaica,2012-13,132.0,0.0,,,126.0,31.0,15.0,137.0,457.0,,,65.0,1.0,,1572.0,79.0,4.0,59.0,305.0,,2.0,22.0,2.0,7.0,32.0,87.0,113.0,,21.0,0.0,211.0,,154.0,81.0,31.0,255.0,28.0,66.0,146.0,20.0,0.0,,457.0,307.0,,,86.0,15.0,807.0,13.0,88.0,,0.0,11.0,34.0,21.0,9.0,11.0,7.0,27.0,26.0,1.0,2.0,15.0,1.0,74.0,3.0,1.0,2.0,16.0,2.0,23.0,3.0,45.0,59.0,1.0,,1.0,9.0,2.0,35.0,,75.0,,15.0,14.0,18.0,11.0,13.0,21.0,1.0,,104.0,6.0,7.0,,,,,1.0,,1.0,,1.0,,,,,
