matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
987599,1.0,2018-08-12 13:30:00,20,Southampton,Home,95.0,9.0,5.0,8.0,3.0,2.0,,193.0,1.0,,2.0,8.0,4.0,25.0,280.0,,,19.0,28.0,25.0,13.0,4.0,,,,,,,,,,,14.0,,,,,,,5.0,10.0,6.0,9.0,9.0,,49.0,54.0,1.0,1.0,,1.0,14.0,9.0,3.0,,,8.0,8.0,4.0,,3.0,4.0,50.0,57.0,1.0,31.0,14.0,,1.0,56.0,10.0,8.0,,,,,,149.0,,,,,,6.0,,,,,,,,,14.0,,4.0,4.0,,2.0,89.0,57.0,26.0,5.0,,6.0,11.0,3.0,346.0,,,4.0,1.0,,55.0,46.0,30.0,,,,,,132.0,132.0,1.0,22.0,23.0,47.7,,,,2.0,14.0,0.0,,,,82.0,5.0,1.0,6.0,,,,6.0,,3.0,79.0,264.0,10.0,17.0,122.0,27.0,31.0,14.0,8.0,20.0,12.0,,116.0,9.0,267.0,,,26.0,5.0,61.0,2.0,369.0,,0.0,18.0,16.0,2.0,23.0,0.0,558.0,21.0,15.0,8.0,8.0,7.0,0.0
987607,2.0,2018-08-18 15:00:00,20,Southampton,Away,99.0,13.0,2.0,3.0,1.0,2.0,,89.0,5.0,,7.0,3.0,4.0,21.0,185.0,1.0,,20.0,22.0,31.0,6.0,3.0,,,,,1.0,1.0,,,1.0,,9.0,,,,,,1.0,13.0,9.0,4.0,9.0,6.0,,35.0,66.0,1.0,1.0,1.0,2.0,19.0,5.0,8.0,,,5.0,6.0,6.0,,15.0,2.0,68.0,54.0,2.0,23.0,13.0,,,54.0,20.0,8.0,1.0,,1.0,,1.0,149.0,1.0,,,1.0,,8.0,,,,,,,,,13.0,1.0,13.0,13.0,2.0,7.0,52.0,83.0,24.0,2.0,,5.0,5.0,4.0,275.0,,,3.0,1.0,,43.0,34.0,28.0,,,,,,168.0,168.0,2.0,27.0,25.0,42.0,,,,,19.0,0.0,,,,63.0,3.0,2.0,5.0,,1.0,,6.0,1.0,3.0,45.0,168.0,9.0,10.0,132.0,36.0,23.0,7.0,4.0,16.0,12.0,,89.0,12.0,183.0,,,34.0,4.0,76.0,3.0,299.0,1.0,0.0,15.0,11.0,,28.0,5.0,485.0,17.0,11.0,4.0,6.0,5.0,0.0
987619,3.0,2018-08-25 15:00:00,20,Southampton,Home,139.0,17.0,2.0,6.0,4.0,3.0,1.0,240.0,6.0,,1.0,7.0,10.0,34.0,373.0,,,15.0,20.0,21.0,6.0,1.0,,,,,,1.0,,,,,5.0,,,,,,,5.0,5.0,3.0,5.0,6.0,,75.0,37.0,,,,2.0,18.0,2.0,3.0,,,10.0,11.0,7.0,1.0,7.0,1.0,48.0,60.0,2.0,13.0,7.0,1.0,1.0,68.0,13.0,11.0,,1.0,2.0,1.0,1.0,141.0,,,,,,10.0,,,1.0,,,,,1.0,7.0,,13.0,13.0,2.0,1.0,129.0,70.0,42.0,3.0,,3.0,4.0,5.0,423.0,,,,2.0,,107.0,52.0,38.0,,,,,,135.0,135.0,4.0,11.0,19.0,51.7,,3.0,,1.0,18.0,0.0,,,,102.0,2.0,1.0,3.0,1.0,4.0,,4.0,,3.0,109.0,356.0,6.0,7.0,152.0,30.0,13.0,17.0,9.0,28.0,19.0,,149.0,11.0,323.0,,,19.0,10.0,61.0,1.0,447.0,,1.0,11.0,18.0,,19.0,1.0,632.0,21.0,17.0,10.0,11.0,10.0,0.0
987626,4.0,2018-09-01 15:00:00,20,Southampton,Away,124.0,21.0,1.0,9.0,8.0,1.0,,211.0,4.0,,5.0,3.0,5.0,39.0,326.0,,,18.0,33.0,20.0,10.0,1.0,,1.0,,,,,,,,,17.0,,1.0,1.0,,,,6.0,13.0,7.0,11.0,8.0,,68.0,65.0,3.0,4.0,2.0,4.0,25.0,7.0,7.0,,,4.0,10.0,8.0,,10.0,4.0,68.0,56.0,4.0,34.0,15.0,,,56.0,12.0,10.0,1.0,,3.0,1.0,,146.0,2.0,1.0,2.0,,1.0,10.0,,,2.0,1.0,,,,,15.0,1.0,9.0,9.0,1.0,5.0,81.0,79.0,41.0,7.0,1.0,3.0,10.0,6.0,402.0,,,7.0,1.0,,85.0,79.0,28.0,,,,,1.0,141.0,141.0,3.0,37.0,18.0,49.3,1.0,,,1.0,25.0,0.0,,,,128.0,2.0,4.0,6.0,,,1.0,6.0,1.0,3.0,87.0,314.0,9.0,13.0,154.0,36.0,34.0,13.0,3.0,22.0,19.0,2.0,126.0,3.0,291.0,1.0,,29.0,5.0,81.0,1.0,423.0,,0.0,19.0,19.0,1.0,23.0,1.0,646.0,25.0,8.0,7.0,4.0,8.0,0.0
987638,5.0,2018-09-17 20:00:00,20,Southampton,Home,204.0,17.0,1.0,3.0,2.0,1.0,,168.0,6.0,,3.0,6.0,3.0,32.0,369.0,,1.0,19.0,25.0,17.0,6.0,,,,,,1.0,1.0,,1.0,1.0,,9.0,1.0,,,,,,1.0,8.0,4.0,8.0,6.0,,72.0,57.0,1.0,3.0,1.0,3.0,15.0,3.0,4.0,,,1.0,9.0,2.0,,10.0,2.0,52.0,55.0,3.0,13.0,8.0,,,57.0,10.0,13.0,1.0,,4.0,1.0,1.0,148.0,,,,,,7.0,,,1.0,,,,,1.0,8.0,,20.0,20.0,1.0,3.0,121.0,81.0,38.0,4.0,1.0,3.0,3.0,5.0,445.0,,,3.0,,,73.0,44.0,23.0,1.0,1.0,1.0,,1.0,137.0,137.0,4.0,22.0,26.0,51.2,,2.0,,,15.0,0.0,,,,127.0,1.0,1.0,2.0,,,,6.0,2.0,3.0,66.0,351.0,9.0,6.0,224.0,50.0,13.0,13.0,1.0,13.0,12.0,,112.0,2.0,257.0,,,19.0,3.0,77.0,2.0,468.0,,0.0,14.0,16.0,2.0,20.0,2.0,647.0,17.0,11.0,9.0,1.0,10.0,0.0
987649,6.0,2018-09-22 15:00:00,20,Southampton,Away,170.0,24.0,1.0,3.0,2.0,1.0,,221.0,1.0,,5.0,6.0,2.0,33.0,388.0,,,12.0,9.0,17.0,4.0,1.0,,,,,,,1.0,,,,5.0,,,,,,,5.0,10.0,3.0,6.0,1.0,,80.0,69.0,,,,1.0,11.0,5.0,8.0,1.0,,4.0,10.0,1.0,,10.0,,41.0,45.0,1.0,35.0,17.0,,1.0,73.0,10.0,7.0,,,,,,166.0,,,,,,5.0,,,,1.0,,,,,17.0,,16.0,16.0,2.0,5.0,109.0,86.0,49.0,5.0,,1.0,4.0,1.0,453.0,,,4.0,1.0,1.0,71.0,81.0,26.0,,,,,,127.0,127.0,5.0,36.0,14.0,39.4,,,,1.0,11.0,0.0,,,,124.0,1.0,1.0,1.0,,,,1.0,,3.0,88.0,372.0,6.0,5.0,183.0,36.0,35.0,5.0,3.0,14.0,11.0,,131.0,3.0,310.0,1.0,,23.0,4.0,73.0,1.0,479.0,,0.0,7.0,21.0,2.0,13.0,2.0,651.0,16.0,8.0,1.0,4.0,11.0,0.0
987661,7.0,2018-09-29 15:00:00,20,Southampton,Away,174.0,12.0,2.0,2.0,,1.0,,193.0,3.0,1.0,5.0,1.0,5.0,19.0,365.0,,1.0,8.0,18.0,13.0,9.0,1.0,,,,,1.0,1.0,,,,,15.0,,,,,,,3.0,10.0,4.0,7.0,10.0,,61.0,65.0,,,,2.0,19.0,7.0,10.0,,,6.0,8.0,5.0,,10.0,2.0,54.0,63.0,2.0,16.0,6.0,,1.0,51.0,7.0,11.0,,1.0,1.0,,1.0,142.0,,,,,,7.0,,,,1.0,,,,,6.0,,13.0,13.0,3.0,5.0,107.0,78.0,51.0,8.0,,4.0,6.0,6.0,421.0,,,2.0,1.0,,72.0,55.0,32.0,,,,,,133.0,133.0,1.0,26.0,31.0,51.2,,,,,19.0,0.0,,,,134.0,4.0,,4.0,,,,4.0,,2.0,77.0,349.0,6.0,10.0,188.0,26.0,16.0,16.0,5.0,18.0,13.0,,118.0,4.0,274.0,1.0,1.0,9.0,6.0,43.0,2.0,444.0,,0.0,17.0,32.0,2.0,10.0,1.0,640.0,24.0,13.0,7.0,6.0,19.0,0.0
987669,8.0,2018-10-07 14:15:00,20,Southampton,Home,140.0,13.0,,1.0,1.0,1.0,,134.0,1.0,,5.0,3.0,5.0,30.0,273.0,,,19.0,17.0,12.0,9.0,,,,,,,1.0,,,,,12.0,,,,,,,10.0,16.0,5.0,9.0,6.0,,60.0,50.0,1.0,2.0,,5.0,22.0,3.0,4.0,,,4.0,4.0,3.0,,6.0,1.0,47.0,46.0,5.0,36.0,19.0,1.0,,45.0,13.0,11.0,,,2.0,1.0,1.0,119.0,,,,,,4.0,,,,,,,,,19.0,1.0,15.0,15.0,4.0,5.0,82.0,69.0,34.0,12.0,,4.0,5.0,6.0,325.0,,,12.0,1.0,,58.0,47.0,18.0,,,,,,109.0,109.0,4.0,19.0,19.0,34.7,,,,1.0,22.0,0.0,,,,85.0,2.0,1.0,3.0,,1.0,,6.0,,2.0,62.0,258.0,11.0,9.0,161.0,33.0,36.0,9.0,3.0,11.0,8.0,,88.0,1.0,196.0,,,21.0,5.0,68.0,,346.0,,0.0,15.0,21.0,,22.0,6.0,550.0,14.0,9.0,2.0,4.0,14.0,0.0
987672,9.0,2018-10-20 15:00:00,20,Southampton,Away,96.0,18.0,,3.0,3.0,4.0,,157.0,5.0,,1.0,5.0,5.0,33.0,250.0,,,10.0,24.0,26.0,4.0,,,,,1.0,,1.0,,,1.0,1.0,6.0,,,,,,,8.0,9.0,,2.0,6.0,,49.0,65.0,3.0,3.0,,1.0,19.0,2.0,7.0,,,4.0,9.0,4.0,,4.0,,54.0,58.0,1.0,29.0,12.0,,,69.0,14.0,11.0,,,2.0,1.0,1.0,154.0,,,,,,11.0,,,,2.0,,,,,12.0,,14.0,14.0,1.0,1.0,67.0,75.0,34.0,6.0,,1.0,3.0,4.0,321.0,,,1.0,1.0,,72.0,47.0,32.0,,,,,,149.0,149.0,7.0,29.0,22.0,42.7,,,,2.0,19.0,0.0,,,,76.0,2.0,,2.0,,,,2.0,,3.0,63.0,235.0,11.0,6.0,111.0,40.0,29.0,8.0,4.0,18.0,14.0,,114.0,13.0,253.0,2.0,,27.0,6.0,81.0,4.0,346.0,,0.0,8.0,18.0,,15.0,2.0,527.0,12.0,19.0,3.0,4.0,11.0,0.0
987689,10.0,2018-10-27 15:00:00,20,Southampton,Home,108.0,14.0,2.0,9.0,7.0,5.0,,203.0,2.0,,3.0,8.0,4.0,22.0,302.0,,,17.0,21.0,29.0,18.0,2.0,2.0,,,,,,,,,,20.0,,,,1.0,,,5.0,3.0,3.0,14.0,8.0,,54.0,69.0,1.0,1.0,,,21.0,5.0,3.0,,,7.0,11.0,10.0,,8.0,,48.0,61.0,,23.0,15.0,,,65.0,9.0,11.0,,,1.0,3.0,,171.0,,,,,,6.0,,,,,,,,,15.0,1.0,19.0,19.0,1.0,3.0,83.0,71.0,41.0,2.0,,11.0,9.0,4.0,386.0,,,2.0,1.0,,103.0,61.0,45.0,,,,,,159.0,159.0,6.0,25.0,34.0,50.2,1.0,,,,21.0,0.0,,,,97.0,,,,,,,13.0,,3.0,99.0,293.0,14.0,20.0,135.0,33.0,23.0,17.0,7.0,31.0,24.0,,148.0,7.0,301.0,,,25.0,5.0,56.0,1.0,405.0,,0.0,22.0,13.0,,23.0,0.0,631.0,28.0,10.0,9.0,7.0,4.0,0.0
