season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2019-20,8243395,1,20,Southampton,Away,20756,40146.0,Ryan Bertrand,ryan-bertrand,D,False,1.0,,3.0,15.0,9.0,23.0,,2.0,4.0,,,,1.0,,,2.0,5.0,,,1.0,,,,,1.0,,,90.0,,,,,,,,,14.0,,6.7,,,1.0,,1.0,3.0,,4.0,,25.0,11.0,33.0,1,1.0,53.0,2.0,1.0,1.0,1.0
2019-20,8243395,1,20,Southampton,Away,24248,80447.0,Maya Yoshida,maya-yoshida,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243395,1,20,Southampton,Away,44760,58822.0,Cédric Soares,cedric-soares,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243395,1,20,Southampton,Away,45502,58376.0,Alex McCarthy,alex-mccarthy,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243395,1,20,Southampton,Away,69416,78056.0,Oriol Romeu,oriol-romeu,M,False,,,3.0,17.0,15.0,32.0,5.0,1.0,7.0,,,1.0,1.0,,,9.0,3.0,,,2.0,,,,,2.0,1.0,,90.0,,,,,,,,,18.0,,6.3,,,1.0,1.0,1.0,,,9.0,,28.0,19.0,47.0,2,1.0,59.0,2.0,1.0,,1.0
2019-20,8243395,1,20,Southampton,Away,115346,83283.0,Nathan Redmond,nathan-redmond,M,False,,,3.0,19.0,7.0,26.0,2.0,,7.0,,,,2.0,,2.0,7.0,4.0,,,2.0,,,,,,,,90.0,1.0,,,,,,,,15.0,,6.8,,,1.0,,2.0,,,4.0,,27.0,9.0,36.0,2,,49.0,3.0,2.0,2.0,
2019-20,8243395,1,20,Southampton,Away,120538,93100.0,Jannik Vestergaard,jannik-vestergaard,D,False,,,3.0,11.0,17.0,28.0,3.0,3.0,5.0,,,,2.0,,,5.0,5.0,,,,,,,,2.0,,,90.0,1.0,,,,,,,,20.0,,6.3,,,,3.0,,,,11.0,,22.0,19.0,41.0,1,2.0,60.0,,,,2.0
2019-20,8243395,1,20,Southampton,Away,130181,84939.0,Danny Ings,danny-ings,F,False,,,,8.0,4.0,12.0,2.0,1.0,3.0,,,,2.0,,4.0,8.0,2.0,,,,,,,,,1.0,,66.0,,,,,,,,,11.0,,6.5,,,,,1.0,,,2.0,,14.0,4.0,18.0,0,,29.0,,,1.0,
2019-20,8243395,1,20,Southampton,Away,134361,88900.0,Jack Stephens,jack-stephens,D,False,,,3.0,3.0,19.0,22.0,1.0,2.0,6.0,,,,,,,1.0,2.0,,,,,,,,1.0,,,73.0,,,,,,,,,14.0,,6.2,,,,5.0,,,,13.0,,10.0,26.0,36.0,0,,49.0,,,,
2019-20,8243395,1,20,Southampton,Away,149593,132015.0,Pierre-Emile Højbjerg,pierre-emile-hjbjerg,M,True,,,1.0,7.0,3.0,10.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,17.0,,,,,,,,,3.0,,6.2,,,,,,,,1.0,,9.0,4.0,13.0,0,,14.0,,,,
