playerId,playerName,position,team_name,team_id,nationality,season,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,rightsidePasses,savesMade,totalFoulsWon,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,duelsLost,penaltiesSaved,savesFromPenalty,groundDuelsLost,drops,unsuccessfulDribbles,successfulCrossesOpenPlay,expectedGoalsFreekick,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,setPiecesGoals,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,goals,offsides,oboxBlocked,substituteOn,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,successfulCornersIntoBox,totalTouchesInOppositionBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,shotsBlockedInBox,putthroughBlockedDistributionWon,oboxTarget,rightFootGoals,tacklesLost,unsuccessfulCrossesAndCorners,freekickTotal,iboxBlocked,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,blocks,attemptsFromSetPieces,totalFoulsConceded,interceptions,backwardPasses,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,foulAttemptedTackle,expectedGoals,handballsConceded,throughBalls,penaltiesConceded,ownGoalScored,leftFootGoals,unsuccessfulCornersIntoBox,hitWoodwork,secondGoalAssists,headedGoals,clearancesOffTheLine,redCards2ndYellow,unsuccessfulLayoffs,penaltiesTaken,penaltyGoals,otherGoals,foulWonPenalty
58376,Alex McCarthy,Goalkeeper,Southampton,20,England,2018-19,0.0291,0.0,15.0,22.0,1.0,25.0,25.0,322.0,585.0,10.0,16.0,4.0,2.0,2250.0,21.0,4.0,1.0,5.0,123.0,17.0,2.0,37.8671,64.0,23.0,44.0,33.0,78.0,3.0,21.0,8.0,496.0,198.0,25.0,5.0,117.0,40.0,5.0,16.0,0.0,160.0,255.0,324.0,1.0,111.0,31.0,56.0,140.0,801.0,148.0,146.0,56.0,1.0,321.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107265,Angus Gunn,Goalkeeper,Nottingham Forest U21,19584,Scotland,2018-19,0.0164,0.0,3.0,15.0,,12.0,12.0,187.0,289.0,2.0,3.0,3.0,1.0,1080.0,4.0,2.0,,1.0,28.0,3.0,,14.9207,23.0,11.0,18.0,12.0,33.0,2.0,5.0,3.0,265.0,81.0,12.0,1.0,63.0,16.0,2.0,3.0,0.0,53.0,107.0,192.0,,55.0,8.0,12.0,74.0,367.0,92.0,39.0,17.0,0.0,187.0,15.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40383,Fraser Forster,Goalkeeper,Bournemouth,91,England,2018-19,0.0005,0.0,,1.0,,1.0,1.0,13.0,19.0,,,,,90.0,,,,,1.0,,,1.8537,2.0,1.0,3.0,,3.0,,,,19.0,5.0,1.0,,5.0,3.0,,,0.0,7.0,7.0,13.0,,4.0,3.0,,5.0,28.0,7.0,1.0,2.0,0.0,13.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58822,Cédric Soares,Defender,Arsenal,3,Portugal,2018-19,1.0488,0.0,,,92.0,18.0,16.0,159.0,594.0,,47.0,4.0,,1494.0,57.0,1.0,46.0,35.0,404.0,,1.0,28.0558,8.0,50.0,31.0,63.0,,6.0,113.0,,240.0,83.0,18.0,,283.0,30.0,66.0,22.0,0.0,,582.0,266.0,7.0,,,183.0,31.0,1000.0,42.0,167.0,,4.0,67.0,46.0,56.0,,,31.0,,5.0,14.0,0.0893,4.0,3.0,0.7982,23.0,6.0,1.0,2.0,2.0,45.0,1.0,1.0,3.0,2.0,1.0,1.0,15.0,1.0,1.0,25.0,1.0,16.0,22.0,10.0,1.0,16.0,1.0,1.0,6.0,49.0,1.0,1.0,3.0,5.0,17.0,5.0,1.0,9.0,22.0,108.0,106.0,1.0,3.0,4.0,0.3435,,,,,,,,,,,,,,,,
80447,Maya Yoshida,Defender,Southampton,20,Japan,2018-19,0.4521,0.0,,,71.0,17.0,17.0,135.0,556.0,,64.0,3.0,,1519.0,59.0,5.0,9.0,24.0,381.0,,,23.6438,11.0,100.0,29.0,119.0,,7.0,101.0,,256.0,92.0,17.0,,142.0,24.0,37.0,35.0,0.0,,546.0,144.0,2.0,,,154.0,40.0,795.0,33.0,279.0,,0.0,64.0,45.0,42.0,,,13.0,,1.0,,,4.0,3.0,1.0881,16.0,9.0,,1.0,,,,2.0,,,,,,3.0,3.0,29.0,,22.0,,4.0,4.0,4.0,,,4.0,,,4.0,6.0,4.0,12.0,20.0,,4.0,42.0,27.0,,2.0,,2.0,1.8872,1.0,,,,,,,,,,,,,,,
93100,Jannik Vestergaard,Defender,Leicester City,13,Denmark,2018-19,0.6825,0.0,,,100.0,23.0,23.0,195.0,845.0,,137.0,4.0,,2030.0,161.0,6.0,24.0,77.0,597.0,,2.0,29.6584,11.0,171.0,31.0,254.0,,14.0,253.0,,378.0,124.0,23.0,,260.0,25.0,116.0,84.0,0.0,,814.0,229.0,10.0,,,166.0,53.0,1263.0,48.0,390.0,,2.0,95.0,56.0,92.0,,,39.0,,3.0,,0.1031,3.0,1.0,0.0282,53.0,11.0,,,,1.0,,1.0,1.0,,,1.0,,,,53.0,,19.0,15.0,5.0,2.0,15.0,1.0,,20.0,1.0,2.0,2.0,10.0,1.0,33.0,20.0,2.0,17.0,35.0,47.0,11.0,3.0,1.0,9.0,0.6733,1.0,3.0,,,,,,,,,,,,,,
88900,Jack Stephens,Defender,Southampton U21,12945,England,2018-19,0.3253,0.0,,,93.0,24.0,19.0,192.0,767.0,,98.0,3.0,,1697.0,92.0,,17.0,36.0,517.0,,1.0,27.166,15.0,94.0,35.0,145.0,,7.0,163.0,,378.0,118.0,24.0,,243.0,35.0,65.0,56.0,0.0,,744.0,225.0,5.0,,,199.0,58.0,1048.0,61.0,332.0,,4.0,99.0,69.0,71.0,,,29.0,,2.0,,,,5.0,1.8039,25.0,7.0,,,,2.0,1.0,,,5.0,,,,4.0,4.0,42.0,,16.0,13.0,5.0,,12.0,,1.0,12.0,2.0,,,2.0,1.0,13.0,13.0,,11.0,37.0,45.0,26.0,2.0,,6.0,1.0023,1.0,,1.0,,,,,,,,,,,,,
167075,Wesley Hoedt,Defender,Watford,57,Netherlands,2018-19,0.0813,0.0,,,52.0,13.0,13.0,133.0,621.0,,56.0,4.0,,1170.0,81.0,1.0,11.0,48.0,431.0,,1.0,21.043,8.0,76.0,24.0,230.0,,15.0,134.0,,249.0,81.0,13.0,,198.0,23.0,78.0,33.0,0.0,,596.0,147.0,5.0,,,109.0,57.0,831.0,38.0,290.0,,2.0,81.0,38.0,53.0,,,30.0,,1.0,,,,1.0,0.0474,28.0,6.0,,,,2.0,,,,,,,,1.0,1.0,23.0,,7.0,2.0,1.0,,7.0,,,16.0,2.0,,,5.0,1.0,12.0,13.0,,15.0,23.0,33.0,3.0,,,5.0,0.3824,,,,2.0,,,,,,,,,,,,
40146,Ryan Bertrand,Defender,Leicester City U21,12940,England,2018-19,1.5733,0.0,,,137.0,24.0,24.0,190.0,774.0,,82.0,6.0,,2160.0,111.0,3.0,59.0,73.0,565.0,,1.0,34.8135,9.0,45.0,42.0,270.0,,22.0,215.0,,331.0,76.0,24.0,,407.0,39.0,133.0,38.0,0.0,,759.0,358.0,6.0,,,41.0,19.0,1387.0,27.0,199.0,,8.0,53.0,55.0,104.0,,,60.0,,14.0,12.0,0.2332,4.0,2.0,0.5487,46.0,12.0,,,3.0,43.0,1.0,,3.0,,30.0,1.0,22.0,,,44.0,8.0,27.0,34.0,22.0,1.0,23.0,1.0,,19.0,71.0,3.0,1.0,10.0,23.0,27.0,5.0,3.0,26.0,27.0,132.0,180.0,,3.0,15.0,1.2373,1.0,1.0,,,1.0,22.0,1.0,2.0,,,,,,,,
232797,Kayne Ramsay,Defender,Charlton Athletic,33,England,2018-19,0.0001,0.0,,,2.0,1.0,1.0,4.0,14.0,,2.0,,,90.0,2.0,,,,10.0,,,1.8791,,7.0,3.0,2.0,,,2.0,,4.0,2.0,1.0,,,3.0,,2.0,0.0,,14.0,4.0,,,,6.0,,28.0,2.0,10.0,,0.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,,,,,,,,,,,,,,,,,,
176706,Alfie Jones,Defender,Middlesbrough,25,Canada,2018-19,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169359,Matt Targett,Defender,Newcastle United U21,12970,England,2018-19,1.74,0.0,,,94.0,16.0,13.0,133.0,443.0,,39.0,,,1187.0,55.0,3.0,41.0,38.0,288.0,,1.0,22.0837,6.0,31.0,25.0,152.0,,10.0,104.0,,199.0,56.0,16.0,,242.0,22.0,65.0,17.0,0.0,,436.0,238.0,1.0,,,20.0,22.0,837.0,25.0,91.0,,2.0,39.0,33.0,49.0,,,27.0,,4.0,9.0,0.079,5.0,3.0,0.6324,27.0,6.0,,3.0,3.0,39.0,1.0,1.0,2.0,3.0,20.0,1.0,23.0,1.0,1.0,22.0,7.0,28.0,32.0,20.0,3.0,16.0,1.0,,8.0,54.0,1.0,3.0,3.0,12.0,19.0,3.0,1.0,6.0,27.0,72.0,111.0,2.0,2.0,2.0,0.5029,1.0,2.0,,,,11.0,1.0,,1.0,,,,,,,
171771,Jan Bednarek,Defender,FC Porto,201,Poland,2018-19,0.4508,0.0,,,137.0,25.0,24.0,242.0,822.0,,141.0,3.0,,2150.0,127.0,5.0,23.0,47.0,538.0,,1.0,29.6373,14.0,168.0,37.0,104.0,,6.0,232.0,,459.0,129.0,25.0,,217.0,32.0,91.0,80.0,0.0,,800.0,293.0,1.0,,,212.0,42.0,1276.0,65.0,363.0,,7.0,105.0,81.0,105.0,,,44.0,,2.0,,,2.0,1.0,0.6135,41.0,3.0,,1.0,,1.0,,,,1.0,,,,1.0,1.0,61.0,,12.0,35.0,8.0,2.0,17.0,,,16.0,1.0,,2.0,2.0,2.0,25.0,27.0,,22.0,70.0,47.0,28.0,1.0,,13.0,0.7921,,3.0,,,,,,,,2.0,,,,,,
213482,Yan Valery,Defender,Young Boys,1963,Tunisia,2018-19,0.3485,1.0,,,99.0,23.0,20.0,152.0,399.0,,96.0,3.0,,1714.0,114.0,5.0,50.0,72.0,233.0,,1.0,23.463,7.0,57.0,29.0,17.0,,6.0,252.0,,188.0,76.0,23.0,,174.0,24.0,156.0,42.0,0.0,,395.0,323.0,24.0,,,115.0,14.0,931.0,31.0,80.0,,3.0,53.0,41.0,138.0,,,84.0,,17.0,7.0,,1.0,5.0,1.0932,42.0,5.0,,1.0,2.0,48.0,2.0,2.0,,3.0,,,7.0,3.0,3.0,54.0,,29.0,28.0,5.0,1.0,21.0,,1.0,6.0,48.0,,1.0,,10.0,36.0,3.0,,27.0,22.0,79.0,103.0,5.0,,14.0,0.6717,,,,,1.0,,,,,,1.0,,,,,
17339,Steven Davis,Midfielder,Rangers,67,Northern Ireland,2018-19,0.4895,0.0,,,3.0,3.0,1.0,4.0,68.0,,1.0,,,97.0,3.0,,2.0,2.0,60.0,,1.0,4.4054,,5.0,4.0,21.0,,,5.0,,20.0,8.0,3.0,,38.0,4.0,4.0,1.0,0.0,,68.0,5.0,,,,16.0,4.0,82.0,1.0,27.0,,0.0,1.0,,2.0,,,2.0,,,1.0,,,,,2.0,,,1.0,,,,,,2.0,,,1.0,,,,,1.0,,2.0,,2.0,,,,,,,,,2.0,,,2.0,1.0,11.0,,,,2.0,,,1.0,,,,,,,,,,,,,,
96787,Mohamed Elyounoussi,Midfielder,FC København,569,Norway,2018-19,1.0964,0.0,,,51.0,16.0,8.0,59.0,222.0,,24.0,1.0,,790.0,48.0,,28.0,39.0,155.0,,,7.9738,3.0,5.0,10.0,47.0,,13.0,102.0,,64.0,44.0,16.0,,129.0,10.0,78.0,9.0,0.0,,214.0,133.0,10.0,,,55.0,8.0,410.0,5.0,47.0,,0.0,8.0,14.0,54.0,,,39.0,,9.0,4.0,,5.0,6.0,0.8645,16.0,15.0,,,8.0,21.0,,2.0,2.0,8.0,24.0,3.0,13.0,3.0,3.0,15.0,8.0,28.0,,15.0,3.0,10.0,3.0,,5.0,35.0,,3.0,9.0,8.0,11.0,1.0,,10.0,6.0,56.0,2.0,5.0,2.0,6.0,1.9912,,2.0,,,,13.0,2.0,,,,,,,,,
78056,Oriol Romeu,Midfielder,Southampton U21,12945,Spain,2018-19,0.7693,0.0,,,169.0,31.0,25.0,228.0,1103.0,,85.0,4.0,,2139.0,161.0,6.0,49.0,115.0,820.0,,1.0,32.5384,10.0,36.0,37.0,234.0,,17.0,310.0,,417.0,186.0,31.0,,487.0,31.0,225.0,46.0,0.0,,1093.0,273.0,17.0,,,298.0,55.0,1472.0,36.0,389.0,,11.0,59.0,64.0,149.0,,,110.0,,6.0,1.0,,6.0,4.0,0.9432,81.0,4.0,,,7.0,2.0,1.0,,5.0,6.0,,2.0,1.0,1.0,1.0,39.0,,7.0,,8.0,1.0,26.0,2.0,,35.0,2.0,,1.0,,4.0,46.0,17.0,,46.0,52.0,154.0,3.0,10.0,5.0,26.0,0.9586,1.0,1.0,,,1.0,,,,,,,,,,,
101178,James Ward-Prowse,Midfielder,Burnley,90,England,2018-19,3.5383,0.0,,,122.0,26.0,21.0,169.0,720.0,,67.0,3.0,,1942.0,71.0,2.0,37.0,51.0,526.0,,2.0,31.6821,6.0,52.0,41.0,139.0,,10.0,190.0,,230.0,112.0,26.0,,390.0,39.0,123.0,20.0,0.0,,683.0,327.0,5.0,,,193.0,25.0,1179.0,18.0,201.0,,4.0,47.0,35.0,119.0,,,72.0,,6.0,5.0,0.5088,12.0,16.0,5.2502,36.0,19.0,2.0,,13.0,29.0,7.0,3.0,6.0,5.0,92.0,5.0,40.0,4.0,4.0,47.0,28.0,34.0,,47.0,6.0,24.0,5.0,6.0,19.0,105.0,7.0,6.0,3.0,22.0,17.0,6.0,7.0,22.0,27.0,158.0,22.0,2.0,6.0,11.0,3.4394,1.0,,1.0,1.0,1.0,62.0,1.0,2.0,,1.0,,2.0,1.0,1.0,,
91047,Stuart Armstrong,Midfielder,Sheffield Wednesday,19,Scotland,2018-19,1.0224,0.0,,,121.0,29.0,16.0,133.0,615.0,,39.0,,,1431.0,85.0,5.0,43.0,68.0,461.0,,,24.3187,1.0,11.0,26.0,155.0,,21.0,193.0,,176.0,80.0,29.0,,354.0,21.0,154.0,17.0,0.0,,595.0,237.0,19.0,,,152.0,21.0,904.0,6.0,132.0,,2.0,12.0,31.0,108.0,,,86.0,,8.0,1.0,,12.0,12.0,3.0373,28.0,20.0,,2.0,21.0,12.0,3.0,3.0,6.0,13.0,13.0,6.0,4.0,3.0,3.0,22.0,3.0,41.0,,27.0,6.0,14.0,6.0,3.0,8.0,20.0,,6.0,8.0,10.0,20.0,,,20.0,12.0,132.0,6.0,13.0,6.0,10.0,1.9716,2.0,,1.0,,,8.0,,1.0,,,,4.0,,,,
