season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest
2015-16,6767929,1,6,Tottenham_Hotspur,Away,108579,78830,Harry Kane,harry-kane,F,False,,,,16.0,3.0,19.0,1.0,2.0,2.0,1.0,,2.0,,,,2.0,7.0,7.0,,,1.0,,,,,,1.0,,90.0,,,,,,,,7.3,,,1.0,,,6.0,,,1.0,,26.0,3.0,29.0,3,1.0,45.0,,1.0,3.0
2015-16,6767954,2,6,Tottenham_Hotspur,Home,108579,78830,Harry Kane,harry-kane,F,False,,,,5.0,5.0,10.0,5.0,,2.0,1.0,1.0,,1.0,,,,9.0,3.0,,,1.0,,,,,1.0,2.0,,64.0,1.0,,,,,,,6.7,,,,,,3.0,,,2.0,1.0,9.0,7.0,16.0,1,1.0,26.0,1.0,1.0,1.0
2015-16,6767958,3,6,Tottenham_Hotspur,Away,108579,78830,Harry Kane,harry-kane,F,False,,,,14.0,2.0,16.0,2.0,1.0,2.0,,,1.0,,,,3.0,8.0,6.0,,,1.0,,,,,,4.0,,90.0,1.0,,,,,,,7.3,,,2.0,,1.0,5.0,1.0,,1.0,,19.0,2.0,20.0,4,1.0,48.0,3.0,1.0,3.0
2015-16,6768030,4,6,Tottenham_Hotspur,Home,108579,78830,Harry Kane,harry-kane,F,False,,,,18.0,4.0,22.0,1.0,2.0,3.0,,1.0,2.0,1.0,,,4.0,8.0,8.0,,,1.0,,,,,,3.0,,90.0,1.0,,,,,,,7.3,,,2.0,,3.0,3.0,2.0,,,2.0,26.0,4.0,28.0,5,3.0,54.0,2.0,1.0,2.0
2015-16,6768045,5,6,Tottenham_Hotspur,Away,47992,60252,Andros Townsend,andros-townsend,F,True,,,1.0,7.0,2.0,9.0,,,2.0,2.0,,1.0,1.0,,,,2.0,3.0,,,1.0,,,,,,2.0,,28.0,,,,,,,,7.3,,,,,1.0,2.0,4.0,,1.0,,13.0,2.0,11.0,1,1.0,21.0,,,2.0
2015-16,6768045,5,6,Tottenham_Hotspur,Away,108579,78830,Harry Kane,harry-kane,F,False,,,,19.0,6.0,25.0,7.0,1.0,2.0,,1.0,2.0,,,,7.0,15.0,5.0,,,1.0,,,,,,,,90.0,1.0,,,,,,,6.5,,,1.0,,2.0,3.0,1.0,,1.0,,24.0,6.0,29.0,4,2.0,59.0,8.0,,2.0
2015-16,6768045,5,6,Tottenham_Hotspur,Away,111505,85971,Son Heung-min,son-heung-min,F,False,1.0,,,10.0,6.0,15.0,2.0,,2.0,,,1.0,,,,3.0,6.0,2.0,,,1.0,,,,,1.0,,,62.0,,,,,,,,6.6,,,1.0,,,,5.0,,,,19.0,6.0,20.0,2,1.0,36.0,1.0,1.0,
2015-16,6768065,6,6,Tottenham_Hotspur,Home,47992,60252,Andros Townsend,andros-townsend,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6768065,6,6,Tottenham_Hotspur,Home,108579,78830,Harry Kane,harry-kane,F,False,,,1.0,19.0,5.0,24.0,6.0,3.0,5.0,,,2.0,1.0,,,3.0,13.0,7.0,,,1.0,,,,,,1.0,,90.0,,,,,,,,6.8,,,2.0,,,2.0,1.0,,2.0,2.0,24.0,6.0,29.0,4,1.0,49.0,2.0,4.0,
2015-16,6768065,6,6,Tottenham_Hotspur,Home,111505,85971,Son Heung-min,son-heung-min,F,False,,,,23.0,6.0,29.0,2.0,,6.0,,,3.0,1.0,,,6.0,14.0,7.0,,,1.0,,1.0,,,1.0,2.0,,79.0,2.0,,,,,,,7.3,,,,,,7.0,,,,1.0,28.0,9.0,37.0,5,3.0,67.0,1.0,1.0,3.0
