season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,goalAssist,goals,minutesPlayed,ownGoals,substitute.1,totalShots
2011-12,2155438,1,6,Tottenham_Hotspur,Home,597,1803,Brad Friedel,brad-friedel,G,False,0.0,0.0,90.0,0.0,,0.0
2011-12,2155438,1,6,Tottenham_Hotspur,Home,1188,1708,Carlo Cudicini,carlo-cudicini,G,True,,,,,,
2011-12,1768344,2,6,Tottenham_Hotspur,Away,597,1803,Brad Friedel,brad-friedel,G,False,0.0,0.0,90.0,0.0,,0.0
2011-12,1768344,2,6,Tottenham_Hotspur,Away,2490,18656,Heurelho Gomes,heurelho-gomes,G,True,,,,,,
2011-12,1768356,3,6,Tottenham_Hotspur,Home,597,1803,Brad Friedel,brad-friedel,G,False,0.0,0.0,90.0,0.0,,0.0
2011-12,1768356,3,6,Tottenham_Hotspur,Home,1188,1708,Carlo Cudicini,carlo-cudicini,G,True,,,,,,
2011-12,1768982,4,6,Tottenham_Hotspur,Away,597,1803,Brad Friedel,brad-friedel,G,False,0.0,0.0,90.0,0.0,,0.0
2011-12,1768982,4,6,Tottenham_Hotspur,Away,1188,1708,Carlo Cudicini,carlo-cudicini,G,True,,,,,,
2011-12,1768992,5,6,Tottenham_Hotspur,Home,597,1803,Brad Friedel,brad-friedel,G,False,0.0,0.0,90.0,0.0,,0.0
2011-12,1768992,5,6,Tottenham_Hotspur,Home,1188,1708,Carlo Cudicini,carlo-cudicini,G,True,,,,,,
2011-12,1769003,6,6,Tottenham_Hotspur,Away,597,1803,Brad Friedel,brad-friedel,G,False,0.0,0.0,90.0,0.0,,0.0
2011-12,1769003,6,6,Tottenham_Hotspur,Away,1188,1708,Carlo Cudicini,carlo-cudicini,G,True,,,,,,
2011-12,1769012,7,6,Tottenham_Hotspur,Home,597,1803,Brad Friedel,brad-friedel,G,False,0.0,0.0,90.0,0.0,,0.0
2011-12,1769012,7,6,Tottenham_Hotspur,Home,1188,1708,Carlo Cudicini,carlo-cudicini,G,True,,,,,,
2011-12,1769018,8,6,Tottenham_Hotspur,Away,597,1803,Brad Friedel,brad-friedel,G,False,0.0,0.0,90.0,0.0,,0.0
2011-12,1769018,8,6,Tottenham_Hotspur,Away,1188,1708,Carlo Cudicini,carlo-cudicini,G,True,,,,,,
2011-12,1769026,9,6,Tottenham_Hotspur,Away,597,1803,Brad Friedel,brad-friedel,G,False,0.0,0.0,90.0,0.0,,0.0
2011-12,1769026,9,6,Tottenham_Hotspur,Away,1188,1708,Carlo Cudicini,carlo-cudicini,G,True,,,,,,
2011-12,1769043,10,6,Tottenham_Hotspur,Home,597,1803,Brad Friedel,brad-friedel,G,False,0.0,0.0,90.0,0.0,,0.0
2011-12,1769043,10,6,Tottenham_Hotspur,Home,1188,1708,Carlo Cudicini,carlo-cudicini,G,True,,,,,,
2011-12,1769051,11,6,Tottenham_Hotspur,Away,597,1803,Brad Friedel,brad-friedel,G,False,0.0,0.0,90.0,0.0,,0.0
2011-12,1769051,11,6,Tottenham_Hotspur,Away,1188,1708,Carlo Cudicini,carlo-cudicini,G,True,,,,,,
2011-12,1769064,12,6,Tottenham_Hotspur,Home,597,1803,Brad Friedel,brad-friedel,G,False,0.0,0.0,90.0,0.0,,0.0
2011-12,1769064,12,6,Tottenham_Hotspur,Home,1188,1708,Carlo Cudicini,carlo-cudicini,G,True,,,,,,
2011-12,1769076,13,6,Tottenham_Hotspur,Away,597,1803,Brad Friedel,brad-friedel,G,False,0.0,0.0,90.0,0.0,,0.0
2011-12,1769076,13,6,Tottenham_Hotspur,Away,1188,1708,Carlo Cudicini,carlo-cudicini,G,True,,,,,,
2011-12,1769085,14,6,Tottenham_Hotspur,Home,597,1803,Brad Friedel,brad-friedel,G,False,0.0,0.0,90.0,0.0,,0.0
2011-12,1769085,14,6,Tottenham_Hotspur,Home,1188,1708,Carlo Cudicini,carlo-cudicini,G,True,,,,,,
2011-12,1769095,15,6,Tottenham_Hotspur,Away,597,1803,Brad Friedel,brad-friedel,G,False,0.0,0.0,90.0,0.0,,0.0
2011-12,1769095,15,6,Tottenham_Hotspur,Away,2490,18656,Heurelho Gomes,heurelho-gomes,G,True,,,,,,
