playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,successfulCrossesOpenPlay,expectedAssists,fiftyFifty,blockedShots,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,goalAssists,foulWonPenalty,successfulFiftyFifty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,awayGoals,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,hitWoodwork,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,shotsOnTargetIncGoals,expectedGoalsOnTarget,successfulLayoffs,goals,iboxTarget,shotsOnTargetInBox,unsuccessfulLayoffs,rightFootGoals,substituteOff,throughBalls,shotsOnTargetOutsideBox,oboxTarget,goalsConcededOutsideBox,penaltiesConceded,ownGoalScored,expectedGoalsFreekick,oboxBlocked,freekickTotal,attemptsFromSetPieces,shotsBlockedOutsideBox,handballsConceded,successfulCornersIntoBox,leftFootGoals,clearancesOffTheLine,headedGoals,secondGoalAssists,penaltiesTaken,penaltyGoals,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,redCards2ndYellow
496179,Alfie Devine,Midfielder,Spurs,6,England,2020-21,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115556,Ben Davies,Defender,Spurs,6,Wales,2020-21,0.0,0.0,1.0,65.0,5.0,0.6203,40.0,1.0,27.0,2.0,87.0,20.0,1.0,1.0,18.0,14.0,134.0,26.0,645.0,1.0,0.0,6.0,1.0,49.0,4.0,5.0,1340.0,23.0,69.0,26.0,43.0,489.0,15.0,26.0,4.0,18.787,7.0,6.0,45.0,16.0,1.0,42.0,267.0,13.0,0.0,134.0,5.0,0.0,276.0,52.0,20.0,10.0,4.0,271.0,16.0,28.0,6.0,1.0,85.0,26.0,634.0,2.0,8.0,204.0,17.0,3.0,5.0,17.0,19.0,18.0,1.0,22.0,85.0,976.0,111.0,1.0,22.0,245.0,13.0,0.2009,47.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245824,Carlos Vinícius,Forward,Spurs,6,Brazil,2020-21,0.0,0.0,2.0,35.0,,0.0706,9.0,1.0,3.0,6.0,20.0,9.0,,,5.0,3.0,22.0,2.0,46.0,2.0,1.0,6.0,,30.0,1.0,,305.0,16.0,23.0,2.0,9.0,23.0,15.0,,1.0,3.779,2.0,,5.0,2.0,1.0,19.0,7.0,3.0,1.0,58.0,,0.0,12.0,7.0,9.0,2.0,1.0,15.0,2.0,2.0,8.0,1.0,28.0,14.0,44.0,2.0,2.0,49.0,1.0,3.0,,14.0,11.0,2.0,,1.0,13.0,108.0,,,,9.0,1.0,1.2394,2.0,2.0,4.0,1.6288,4.0,1.0,3.0,3.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490145,Dane Scarlett,Forward,Spurs,6,England,2020-21,0.0,0.0,0.0,,,,,,,,,1.0,,,,,,,,,0.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108823,Dele Alli,Midfielder,Spurs,6,England,2020-21,0.0,0.0,0.0,63.0,2.0,0.9279,35.0,3.0,18.0,9.0,52.0,15.0,1.0,,20.0,7.0,60.0,8.0,330.0,1.0,0.0,8.0,,19.0,,2.0,618.0,11.0,49.0,21.0,41.0,265.0,23.0,,3.0,10.2484,8.0,,3.0,9.0,3.0,52.0,102.0,12.0,0.0,112.0,9.0,0.0,79.0,50.0,15.0,7.0,14.0,137.0,9.0,8.0,30.0,3.0,93.0,8.0,306.0,5.0,4.0,114.0,11.0,11.0,,67.0,10.0,7.0,,5.0,82.0,484.0,3.0,1.0,2.0,135.0,6.0,1.9864,8.0,14.0,4.0,1.0749,8.0,,2.0,2.0,,,6.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173904,Dávinson Sánchez,Defender,Spurs,6,Colombia,2020-21,0.0,0.0,1.0,68.0,,0.0748,41.0,4.0,40.0,1.0,85.0,18.0,,,23.0,17.0,159.0,,1026.0,,0.0,1.0,,82.0,4.0,,1486.0,33.0,98.0,14.0,49.0,830.0,8.0,,7.0,23.7623,1.0,6.0,84.0,22.0,4.0,35.0,274.0,8.0,0.0,166.0,5.0,0.0,336.0,74.0,18.0,20.0,,186.0,21.0,,3.0,4.0,84.0,49.0,1003.0,1.0,1.0,169.0,20.0,1.0,13.0,375.0,22.0,14.0,,37.0,41.0,1231.0,1.0,,36.0,681.0,15.0,0.8264,74.0,78.0,,,1.0,,,,,,1.0,,,,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
93264,Eric Dier,Defender,Spurs,6,England,2020-21,0.0,0.0,3.0,82.0,1.0,0.413,43.0,4.0,23.0,10.0,151.0,28.0,,,25.0,28.0,301.0,4.0,1789.0,,0.0,,,145.0,8.0,1.0,2520.0,59.0,123.0,19.0,37.0,1377.0,21.0,2.0,7.0,35.2667,6.0,12.0,122.0,34.0,1.0,23.0,612.0,12.0,0.0,205.0,6.0,0.0,712.0,139.0,28.0,9.0,1.0,356.0,34.0,4.0,2.0,1.0,60.0,86.0,1752.0,8.0,5.0,323.0,14.0,3.0,31.0,392.0,16.0,23.0,,111.0,73.0,2085.0,4.0,1.0,46.0,1133.0,7.0,1.163,150.0,120.0,2.0,0.2716,1.0,,,,,,,1.0,2.0,2.0,,2.0,,0.4966,3.0,8.0,8.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,
36903,Gareth Bale,Forward,Spurs,6,Wales,2020-21,0.0,0.0,1.0,56.0,4.0,1.1646,22.0,6.0,17.0,32.0,79.0,20.0,2.0,,11.0,10.0,98.0,22.0,366.0,5.0,2.0,10.0,13.0,35.0,,11.0,923.0,12.0,76.0,25.0,53.0,238.0,45.0,3.0,,8.2874,19.0,1.0,14.0,12.0,4.0,44.0,35.0,9.0,5.0,132.0,11.0,9.0,97.0,38.0,20.0,7.0,22.0,191.0,11.0,29.0,29.0,4.0,97.0,23.0,360.0,13.0,7.0,178.0,10.0,27.0,2.0,165.0,9.0,8.0,6.0,30.0,69.0,611.0,6.0,2.0,5.0,88.0,6.0,6.3182,19.0,32.0,19.0,6.8896,12.0,11.0,1.0,1.0,3.0,1.0,10.0,2.0,7.0,7.0,1.0,,,0.3806,2.0,7.0,7.0,2.0,,6.0,8.0,1.0,2.0,,,,,,,,,,,,,,,,
200826,Giovani Lo Celso,Midfielder,Spurs,6,Argentina,2020-21,0.0,0.0,5.0,79.0,,0.9513,42.0,3.0,28.0,12.0,95.0,18.0,1.0,,22.0,11.0,106.0,3.0,570.0,,0.0,7.0,26.0,29.0,,4.0,950.0,15.0,70.0,27.0,56.0,445.0,23.0,,2.0,14.8165,14.0,1.0,5.0,10.0,1.0,64.0,110.0,20.0,0.0,149.0,11.0,1.0,187.0,60.0,18.0,6.0,12.0,287.0,10.0,27.0,26.0,1.0,120.0,14.0,543.0,6.0,11.0,182.0,22.0,8.0,1.0,187.0,19.0,7.0,22.0,19.0,86.0,770.0,1.0,,5.0,181.0,15.0,1.4247,11.0,29.0,6.0,1.2068,12.0,1.0,2.0,2.0,,,11.0,1.0,3.0,3.0,,,,0.0713,2.0,1.0,1.0,2.0,,4.0,1.0,,,,,,,,,,,,,,,,,,
78830,Harry Kane,Forward,Spurs,6,England,2020-21,0.0,0.0,1.0,257.0,7.0,3.6314,98.0,28.0,22.0,109.0,232.0,35.0,14.0,2.0,49.0,35.0,273.0,31.0,908.0,13.0,12.0,,,190.0,11.0,7.0,3085.0,114.0,209.0,48.0,133.0,570.0,172.0,2.0,8.0,42.3202,35.0,,39.0,39.0,10.0,143.0,250.0,60.0,5.0,466.0,17.0,11.0,291.0,89.0,35.0,10.0,48.0,469.0,38.0,31.0,102.0,10.0,276.0,76.0,888.0,56.0,34.0,486.0,12.0,52.0,11.0,193.0,26.0,11.0,,65.0,174.0,1561.0,10.0,9.0,10.0,173.0,8.0,20.3555,41.0,55.0,53.0,19.2374,44.0,23.0,21.0,21.0,6.0,16.0,5.0,6.0,9.0,9.0,1.0,,,0.9686,18.0,14.0,14.0,18.0,2.0,,3.0,1.0,4.0,2.0,4.0,4.0,,,,,,,,,,,,,
157668,Harry Winks,Midfielder,Spurs,6,England,2020-21,0.0,0.0,5.0,35.0,1.0,0.4421,27.0,2.0,16.0,2.0,65.0,15.0,,,10.0,9.0,103.0,1.0,681.0,,0.0,6.0,,12.0,,1.0,861.0,5.0,39.0,19.0,32.0,552.0,,,4.0,13.7236,4.0,,11.0,16.0,,30.0,235.0,12.0,0.0,74.0,12.0,0.0,214.0,60.0,15.0,7.0,1.0,288.0,15.0,1.0,4.0,,62.0,7.0,664.0,1.0,3.0,114.0,9.0,4.0,4.0,166.0,11.0,11.0,,26.0,66.0,779.0,,,15.0,291.0,7.0,0.0684,38.0,33.0,1.0,0.3568,2.0,,,,,,5.0,,1.0,1.0,1.0,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,
37915,Hugo Lloris,Goalkeeper,Spurs,6,France,2020-21,0.0,0.0,0.0,2.0,,0.026,4.0,,,,5.0,38.0,,,3.0,38.0,276.0,,898.0,,0.0,,,6.0,12.0,,3420.0,,10.0,,4.0,439.0,,,10.0,47.1395,,44.0,19.0,45.0,,2.0,186.0,5.0,0.0,12.0,,0.0,527.0,304.0,38.0,,,97.0,44.0,,1.0,,6.0,6.0,447.0,,,280.0,,,,185.0,,,,183.0,,1248.0,,,126.0,525.0,,,271.0,95.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,22.0,38.0,6.0,10.0,9.0,114.0,2.0,1.0,391.0,53.0,24.0,75.0,
