playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,foulWonPenalty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,homeGoals,forwardPasses,recoveries,appearances,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,unsuccessfulLaunches,successfulPassesOwnHalf,handballsConceded,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,penaltiesConceded,leftFootGoals,blocks,clearancesOffTheLine,lastPlayerTackle,punches,catches,savesMade,drops,savesMadeFromOutsideBox,crossesNotClaimed,goalKicks,gkSuccessfulDistribution,savesMadeCaught,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,headedGoals,otherGoals,penaltiesSaved,penaltiesFaced,savesFromPenalty,goalkeeperSmother,penaltiesTaken,penaltyGoals,ownGoalScored
15405,Alan Hutton,Defender,Spurs,6,Scotland,2010-11,74.0,15.0,0.0,5.0,3.0,,48.0,7.0,3.0,118.0,21.0,1.0,,1.0,19.0,171.0,56.0,795.0,2.0,,,2.0,,44.0,2.0,15.0,1704.0,,16.0,119.0,4.0,91.0,580.0,,,19.0,,14.0,8.0,68.0,25.0,58.0,,31.0,,193.0,,,73.0,21.0,,21.0,10.0,344.0,21.0,56.0,,149.0,28.0,0.0,,4.0,11.0,,27.0,12.0,,,17.0,29.0,,44.0,,1281.0,138.0,1.0,,41.0,295.0,,2.0,53.0,40.0,1.0,2.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,
28146,Benoit Assou-Ekotto,Defender,Spurs,6,Cameroon,2010-11,106.0,16.0,0.0,4.0,2.0,,81.0,9.0,3.0,257.0,30.0,,2.0,,30.0,436.0,43.0,1518.0,,,,,,49.0,7.0,16.0,2571.0,,18.0,186.0,7.0,155.0,884.0,,10.0,44.0,3.0,22.0,52.0,114.0,36.0,88.0,525.0,42.0,0.0,292.0,,856.0,191.0,30.0,,23.0,8.0,587.0,29.0,44.0,39.0,243.0,31.0,0.0,1451.0,7.0,12.0,593.0,58.0,32.0,,59.0,34.0,109.0,,198.0,78.0,2386.0,237.0,3.0,,144.0,511.0,3.0,2.0,179.0,87.0,1.0,,8.0,,3.0,,,,,,,,,,,,,,,,,,,,,
61887,Bongani Khumalo,Defender,Spurs,6,South Africa,2010-11,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38290,Danny Rose,Defender,Spurs,6,England,2010-11,14.0,2.0,0.0,2.0,,1.0,13.0,,,32.0,4.0,1.0,1.0,,4.0,44.0,25.0,223.0,,,,,,8.0,,2.0,351.0,,2.0,41.0,1.0,35.0,162.0,,3.0,7.0,1.0,2.0,2.0,15.0,3.0,12.0,105.0,12.0,0.0,55.0,,89.0,26.0,4.0,,3.0,6.0,101.0,2.0,25.0,9.0,47.0,6.0,0.0,219.0,,6.0,93.0,10.0,10.0,,5.0,1.0,10.0,,17.0,24.0,379.0,40.0,2.0,,13.0,80.0,,0.0,12.0,13.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
973,Jonathan Woodgate,Defender,Spurs,6,England,2010-11,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49539,Kyle Naughton,Defender,Spurs,6,England,2010-11,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58621,Kyle Walker,Defender,Spurs,6,England,2010-11,71.0,10.0,0.0,,2.0,10.0,41.0,4.0,1.0,120.0,16.0,3.0,8.0,,15.0,144.0,32.0,625.0,1.0,3.0,0.0,1.0,,47.0,1.0,10.0,1341.0,,19.0,119.0,1.0,91.0,461.0,,8.0,47.0,1.0,12.0,7.0,50.0,20.0,52.0,41.0,25.0,0.0,190.0,1.0,308.0,95.0,16.0,1.0,13.0,21.0,269.0,19.0,32.0,31.0,143.0,28.0,0.0,616.0,2.0,11.0,284.0,28.0,25.0,,204.0,12.0,30.0,,20.0,72.0,1091.0,107.0,1.0,,39.0,222.0,,3.0,24.0,47.0,,,6.0,,1.0,,,,,,,,,,,,,,,,,,,,,
1934,Ledley King,Defender,Spurs,6,England,2010-11,21.0,,0.0,1.0,,,17.0,1.0,,26.0,6.0,,2.0,,6.0,33.0,,232.0,,,,,,36.0,2.0,,494.0,1.0,16.0,41.0,1.0,21.0,187.0,,10.0,,,1.0,4.0,46.0,4.0,5.0,69.0,4.0,0.0,62.0,,85.0,29.0,6.0,,4.0,,53.0,3.0,,1.0,26.0,20.0,0.0,228.0,1.0,,35.0,13.0,,,68.0,2.0,11.0,,12.0,10.0,329.0,,1.0,,9.0,146.0,,0.0,7.0,14.0,,,7.0,,1.0,,,,,,,,,,,,,,,,,,,,,
12679,Michael Dawson,Defender,Spurs,6,England,2010-11,82.0,2.0,0.0,5.0,4.0,,49.0,9.0,,116.0,24.0,,,,24.0,211.0,1.0,1052.0,1.0,,1.0,,,138.0,7.0,2.0,2160.0,1.0,41.0,166.0,8.0,69.0,693.0,,19.0,1.0,3.0,4.0,32.0,266.0,27.0,41.0,214.0,19.0,0.0,248.0,0.0,522.0,105.0,24.0,,6.0,,249.0,19.0,1.0,4.0,110.0,97.0,0.0,1003.0,5.0,2.0,224.0,43.0,1.0,,293.0,20.0,49.0,,148.0,23.0,1507.0,2.0,,1.0,81.0,594.0,1.0,6.0,95.0,51.0,1.0,,26.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,
42744,Sebastien Bassong,Defender,Spurs,6,Cameroon,2010-11,41.0,,0.0,,2.0,,19.0,3.0,,50.0,12.0,,1.0,,7.0,63.0,1.0,275.0,1.0,,1.0,5.0,,56.0,2.0,,823.0,,24.0,57.0,,25.0,207.0,,4.0,1.0,1.0,,11.0,90.0,8.0,17.0,68.0,5.0,0.0,98.0,0.0,145.0,27.0,12.0,,3.0,1.0,64.0,8.0,1.0,7.0,42.0,32.0,0.0,268.0,1.0,1.0,77.0,16.0,1.0,,50.0,10.0,8.0,,5.0,12.0,435.0,5.0,1.0,,22.0,148.0,,0.0,13.0,24.0,1.0,1.0,7.0,,2.0,,,,,,,,,,,,,,,,,,,,,
