playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,successfulCrossesOpenPlay,expectedAssists,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,throwInsToOppositionPlayer,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,iboxBlocked,groundDuels,aerialDuelsWon,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,expectedGoalsFreekick,throughBalls,offsides,unsuccessfulLayoffs,freekickTotal,attemptsFromSetPieces,hitWoodwork,clearancesOffTheLine,foulWonPenalty,ownGoalScored,headedGoals,penaltiesTaken,otherGoals,penaltyGoals,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,penaltiesConceded,punches,savesMade,goalkeeperSmother,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,redCards2ndYellow
115556,Ben Davies,Defender,Spurs,6,Wales,2017-18,0.0,0.0,3.0,118.0,18.0,3.8146,4.0,6.0,2.3531,47.0,14.0,193.0,29.0,6.0,2.0,26.0,259.0,90.0,1304.0,2.0,3.0,3.0,49.0,95.0,12.0,2.0,34.0,2.0,2325.0,2.0,50.0,132.0,2.0,88.0,87.0,998.0,15.0,38.0,51.0,22.0686,41.0,3.0,62.0,20.0,1.0,68.0,544.0,25.0,250.0,19.0,518.0,110.0,29.0,2.0,1.0,14.0,1.0,6.0,711.0,18.0,115.0,1.0,155.0,45.0,1277.0,8.0,23.0,481.0,33.0,15.0,5.0,50.0,24.0,28.0,21.0,47.0,192.0,2048.0,226.0,2.0,3.0,34.0,368.0,19.0,1.0,1.0653,66.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38290,Danny Rose,Defender,Spurs,6,England,2017-18,0.0,0.0,4.0,49.0,8.0,0.8796,3.0,1.0,0.7838,15.0,4.0,50.0,10.0,1.0,4.0,9.0,70.0,39.0,378.0,,,1.0,15.0,13.0,1.0,,11.0,1.0,801.0,1.0,5.0,58.0,2.0,24.0,50.0,288.0,3.0,25.0,17.0,10.9616,9.0,1.0,10.0,14.0,3.0,44.0,135.0,24.0,107.0,6.0,162.0,45.0,10.0,,,4.0,,18.0,217.0,12.0,46.0,3.0,94.0,8.0,360.0,3.0,9.0,180.0,11.0,11.0,6.0,16.0,12.0,9.0,7.0,20.0,65.0,692.0,82.0,3.0,,5.0,102.0,7.0,1.0,0.682,20.0,19.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
173904,Dávinson Sánchez,Defender,Spurs,6,Colombia,2017-18,1.0,1.0,1.0,111.0,1.0,0.2544,3.0,1.0,0.0474,38.0,6.0,100.0,31.0,,,29.0,197.0,2.0,1867.0,,1.0,2.0,,135.0,13.0,,1.0,1.0,2535.0,1.0,62.0,138.0,2.0,22.0,65.0,1549.0,,12.0,,22.9603,4.0,14.0,159.0,21.0,2.0,49.0,417.0,18.0,249.0,16.0,684.0,164.0,31.0,,,14.0,,,562.0,19.0,2.0,2.0,114.0,73.0,1822.0,5.0,2.0,214.0,24.0,9.0,10.0,648.0,25.0,38.0,,121.0,118.0,2211.0,6.0,2.0,1.0,61.0,1109.0,11.0,,0.5197,97.0,67.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
93264,Eric Dier,Defender,Spurs,6,England,2017-18,0.0,0.0,4.0,127.0,5.0,2.737,9.0,7.0,1.0465,61.0,23.0,212.0,34.0,2.0,19.0,32.0,309.0,21.0,2248.0,,8.0,2.0,,145.0,13.0,2.0,5.0,5.0,2827.0,5.0,62.0,163.0,4.0,50.0,80.0,1775.0,,37.0,1.0,28.4467,13.0,12.0,82.0,30.0,1.0,65.0,571.0,8.0,290.0,21.0,732.0,170.0,34.0,2.0,,18.0,,2.0,994.0,26.0,21.0,1.0,145.0,83.0,2196.0,16.0,11.0,368.0,43.0,13.0,11.0,720.0,23.0,48.0,,164.0,225.0,2644.0,5.0,5.0,8.0,33.0,950.0,16.0,,1.8744,97.0,83.0,0.0672,2.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
39194,Jan Vertonghen,Defender,Spurs,6,Belgium,2017-18,0.0,0.0,4.0,111.0,2.0,0.884,12.0,4.0,0.8329,64.0,12.0,190.0,36.0,,,36.0,340.0,13.0,2488.0,,8.0,,,184.0,15.0,2.0,2.0,2.0,3205.0,2.0,66.0,235.0,3.0,34.0,117.0,1985.0,,28.0,4.0,32.2391,12.0,30.0,170.0,31.0,4.0,45.0,948.0,25.0,346.0,18.0,978.0,247.0,36.0,2.0,,23.0,,8.0,943.0,28.0,13.0,4.0,162.0,118.0,2423.0,8.0,5.0,394.0,41.0,30.0,11.0,411.0,20.0,60.0,,163.0,151.0,3016.0,31.0,2.0,8.0,89.0,1207.0,13.0,,0.9651,150.0,107.0,,2.0,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,
234908,Juan Foyth,Defender,Spurs,6,Argentina,2017-18,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77794,Kieran Trippier,Defender,Spurs,6,England,2017-18,0.0,0.0,1.0,81.0,12.0,2.8974,1.0,1.0,0.112,52.0,6.0,158.0,24.0,5.0,3.0,21.0,235.0,80.0,1266.0,,1.0,3.0,28.0,65.0,7.0,,23.0,1.0,1913.0,1.0,29.0,120.0,1.0,53.0,84.0,957.0,10.0,25.0,31.0,22.4084,36.0,6.0,45.0,21.0,,52.0,43.0,20.0,201.0,25.0,391.0,147.0,24.0,,,22.0,,5.0,601.0,20.0,99.0,,136.0,36.0,1243.0,5.0,11.0,411.0,30.0,13.0,6.0,532.0,18.0,20.0,16.0,74.0,300.0,1886.0,208.0,3.0,1.0,24.0,453.0,11.0,,0.412,77.0,46.0,0.0498,5.0,3.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
158534,Kyle Walker-Peters,Defender,Spurs,6,England,2017-18,0.0,0.0,0.0,16.0,2.0,0.9662,,,,5.0,,16.0,3.0,2.0,,2.0,17.0,7.0,97.0,,,1.0,,6.0,1.0,,2.0,,188.0,,4.0,15.0,1.0,6.0,13.0,77.0,,4.0,6.0,2.5324,1.0,,6.0,4.0,,12.0,2.0,4.0,31.0,2.0,29.0,9.0,3.0,,,1.0,,4.0,52.0,3.0,7.0,,25.0,2.0,97.0,,3.0,42.0,4.0,4.0,,36.0,1.0,3.0,,3.0,30.0,173.0,19.0,,,,30.0,1.0,,,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80226,Sèrge Aurier,Defender,Spurs,6,Cote d’Ivoire,2017-18,0.0,1.0,1.0,91.0,6.0,1.3448,3.0,6.0,0.8248,48.0,12.0,135.0,17.0,2.0,3.0,16.0,160.0,62.0,776.0,2.0,2.0,1.0,,77.0,6.0,2.0,6.0,2.0,1429.0,2.0,29.0,127.0,2.0,54.0,79.0,590.0,,36.0,30.0,12.1775,13.0,1.0,48.0,12.0,1.0,62.0,31.0,16.0,218.0,19.0,236.0,89.0,17.0,2.0,1.0,21.0,,7.0,363.0,10.0,62.0,1.0,141.0,48.0,769.0,6.0,16.0,308.0,27.0,15.0,1.0,346.0,21.0,31.0,,26.0,163.0,1298.0,157.0,1.0,2.0,9.0,259.0,15.0,2.0,0.8056,25.0,41.0,,1.0,2.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,1.0
55605,Toby Alderweireld,Defender,Spurs,6,Belgium,2017-18,0.0,0.0,3.0,45.0,2.0,0.3974,1.0,1.0,0.015,19.0,9.0,49.0,14.0,,1.0,13.0,130.0,5.0,915.0,,1.0,1.0,,43.0,5.0,1.0,2.0,,1177.0,,29.0,40.0,2.0,10.0,26.0,674.0,,11.0,3.0,10.78,3.0,10.0,50.0,13.0,,16.0,171.0,1.0,85.0,6.0,352.0,57.0,14.0,1.0,,6.0,,1.0,361.0,11.0,5.0,,42.0,14.0,894.0,8.0,2.0,145.0,13.0,6.0,5.0,340.0,8.0,4.0,,111.0,52.0,1059.0,6.0,,1.0,20.0,426.0,6.0,,0.3999,81.0,35.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
