playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,penaltiesSaved,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,successfulShortPasses,savesFromPenalty,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,interceptions,successfulLongPasses,touches,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,substituteOn,penaltiesConceded,groundDuelsWon,keyPassesAttemptAssists,totalFoulsConceded,foulAttemptedTackle,successfulCrossesOpenPlay,blockedShots,totalTackles,totalShots,throughBalls,successfulLayoffs,unsuccessfulCrossesOpenPlay,oboxBlocked,cornersTakenInclShortCorners,successfulCrossesAndCorners,putthroughBlockedDistribution,successfulCornersIntoBox,totalTouchesInOppositionBox,throwInsToOppositionPlayer,putthroughBlockedDistributionWon,tacklesLost,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,successfulDribbles,blocks,backwardPasses,throwInsToOwnPlayer,shotsBlockedOutsideBox,expectedGoals,shotsOnTargetIncGoals,expectedGoalsOnTarget,goalAssists,goals,offsides,iboxTarget,shotsOnTargetInBox,ownGoalScored,shotsBlockedInBox,rightFootGoals,headedGoals,iboxBlocked,clearancesOffTheLine,handballsConceded,secondGoalAssists,leftFootGoals,redCards2ndYellow,shotsOnTargetOutsideBox,oboxTarget,hitWoodwork,unsuccessfulCornersIntoBox,expectedGoalsFreekick,foulWonPenalty,freekickTotal,attemptsFromSetPieces,unsuccessfulLayoffs,penaltiesTaken,penaltyGoals
38290,Danny Rose,Defender,Watford,57,England,2019-20,82.0,,0.4697,0.0,,,120.0,23.0,20.0,173.0,835.0,,38.0,4.0,,1759.0,18.0,113.0,4.0,643.0,,,2.0,17.0452,7.0,41.0,28.0,64.0,297.0,,40.0,195.0,,381.0,95.0,23.0,,362.0,24.0,157.0,20.0,0.0,,810.0,281.0,,,61.0,18.0,19.0,1248.0,6.0,16.0,310.0,,7.0,53.0,54.0,3.0,,93.0,14.0,25.0,17.0,8.0,1.0,39.0,1.0,1.0,1.0,33.0,1.0,1.0,10.0,38.0,1.0,17.0,30.0,15.0,16.0,14.0,35.0,1.0,6.0,23.0,15.0,10.0,96.0,85.0,1.0,0.0842,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55605,Toby Alderweireld,Defender,Antwerp,849,Belgium,2019-20,109.0,,1.3928,0.0,,,146.0,33.0,33.0,362.0,1978.0,,146.0,7.0,,2958.0,73.0,117.0,6.0,1475.0,,,4.0,43.0453,14.0,170.0,39.0,36.0,521.0,,4.0,226.0,,660.0,154.0,33.0,,448.0,33.0,80.0,73.0,0.0,,1906.0,394.0,,,691.0,31.0,141.0,2366.0,1.0,64.0,1172.0,,7.0,216.0,113.0,,,44.0,9.0,18.0,13.0,4.0,3.0,40.0,13.0,12.0,,5.0,1.0,,4.0,26.0,,24.0,,16.0,11.0,1.0,5.0,9.0,2.0,29.0,,32.0,106.0,10.0,1.0,0.7205,4.0,0.4793,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
39194,Jan Vertonghen,Defender,Anderlecht,241,Belgium,2019-20,52.0,,0.2519,0.0,,,110.0,23.0,19.0,189.0,1101.0,,84.0,4.0,,1646.0,25.0,121.0,5.0,872.0,,,3.0,26.858,10.0,66.0,24.0,27.0,459.0,,17.0,173.0,,410.0,108.0,23.0,,297.0,19.0,89.0,59.0,0.0,,1066.0,249.0,,,159.0,33.0,40.0,1424.0,3.0,48.0,616.0,,2.0,79.0,76.0,4.0,1.0,62.0,2.0,7.0,4.0,,1.0,40.0,3.0,,,17.0,,,1.0,29.0,,6.0,20.0,8.0,16.0,3.0,18.0,1.0,4.0,24.0,5.0,10.0,73.0,45.0,,0.4178,2.0,0.2926,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,
173904,Dávinson Sánchez,Defender,Galatasaray,208,Colombia,2019-20,101.0,,0.1377,0.0,,,108.0,29.0,27.0,218.0,1544.0,,99.0,4.0,,2431.0,46.0,117.0,4.0,1262.0,,,4.0,41.1261,13.0,121.0,37.0,55.0,363.0,,12.0,218.0,,537.0,144.0,29.0,,343.0,33.0,119.0,53.0,0.0,,1521.0,244.0,,,547.0,34.0,64.0,1895.0,1.0,66.0,983.0,,6.0,110.0,92.0,2.0,,64.0,1.0,27.0,16.0,,,44.0,7.0,,,2.0,,,,21.0,,15.0,2.0,12.0,17.0,2.0,2.0,4.0,3.0,27.0,8.0,28.0,97.0,14.0,,0.6465,3.0,0.7133,,,1.0,3.0,3.0,,,,,,,1.0,,,,,,,,,,,,,,
158534,Kyle Walker-Peters,Defender,West Ham United,21,England,2019-20,53.0,,0.1297,0.0,,,72.0,13.0,10.0,103.0,532.0,,28.0,2.0,,946.0,19.0,77.0,1.0,415.0,,,,5.4772,2.0,22.0,12.0,34.0,39.0,,26.0,130.0,,168.0,75.0,13.0,,240.0,11.0,102.0,9.0,0.0,,519.0,169.0,,,185.0,17.0,14.0,832.0,2.0,18.0,190.0,,1.0,31.0,38.0,3.0,,68.0,6.0,7.0,3.0,1.0,2.0,21.0,1.0,,,18.0,1.0,,1.0,26.0,,15.0,21.0,9.0,8.0,4.0,18.0,1.0,7.0,13.0,22.0,5.0,140.0,91.0,1.0,0.0292,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
234908,Juan Foyth,Defender,Villarreal,449,Argentina,2019-20,7.0,,0.0222,0.0,,,6.0,4.0,1.0,10.0,56.0,,4.0,,,66.0,1.0,12.0,1.0,44.0,,,,1.4226,,2.0,3.0,6.0,6.0,,1.0,19.0,,21.0,9.0,4.0,,20.0,2.0,15.0,3.0,0.0,,55.0,16.0,,,23.0,1.0,2.0,86.0,1.0,2.0,26.0,,1.0,4.0,4.0,3.0,,9.0,1.0,2.0,2.0,,,7.0,,,,,,,,1.0,,,,1.0,4.0,2.0,,,,3.0,2.0,,6.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80226,Sèrge Aurier,Defender,Nottingham Forest,17,Cote d’Ivoire,2019-20,187.0,,2.7508,1.0,,,215.0,33.0,31.0,268.0,1281.0,,134.0,6.0,,2705.0,64.0,224.0,5.0,980.0,,,5.0,36.4121,9.0,84.0,32.0,123.0,38.0,,22.0,411.0,,446.0,165.0,33.0,,573.0,27.0,277.0,70.0,0.0,,1272.0,527.0,,,518.0,47.0,33.0,2202.0,7.0,32.0,460.0,,2.0,53.0,93.0,2.0,2.0,154.0,28.0,41.0,27.0,20.0,6.0,93.0,7.0,,1.0,117.0,2.0,,20.0,83.0,,54.0,25.0,32.0,24.0,25.0,117.0,3.0,28.0,69.0,39.0,6.0,279.0,230.0,2.0,0.5352,4.0,0.7786,5.0,1.0,6.0,3.0,3.0,1.0,4.0,,,4.0,,1.0,,1.0,1.0,,,,,,,,,,,
199584,Japhet Tanganga,Defender,Sheffield United,49,England,2019-20,32.0,,0.0494,0.0,,,31.0,6.0,6.0,38.0,201.0,,29.0,2.0,,526.0,11.0,45.0,1.0,157.0,,,,12.396,1.0,29.0,7.0,21.0,46.0,,4.0,77.0,,83.0,27.0,6.0,,72.0,6.0,48.0,18.0,0.0,,199.0,65.0,,,49.0,11.0,6.0,344.0,1.0,5.0,91.0,,1.0,7.0,23.0,,,27.0,1.0,8.0,3.0,,1.0,17.0,2.0,,,2.0,1.0,,,5.0,,2.0,6.0,1.0,8.0,1.0,2.0,1.0,1.0,9.0,6.0,6.0,23.0,27.0,1.0,0.071,1.0,0.0513,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,
115556,Ben Davies,Defender,Tottenham Hotspur,6,Wales,2019-20,80.0,,0.6441,0.0,,,131.0,18.0,16.0,186.0,796.0,,66.0,4.0,,1431.0,21.0,90.0,2.0,585.0,,,1.0,20.1249,10.0,41.0,19.0,59.0,337.0,,8.0,170.0,,329.0,61.0,18.0,,308.0,17.0,104.0,45.0,0.0,,784.0,271.0,,,27.0,22.0,25.0,1181.0,3.0,28.0,312.0,,6.0,55.0,60.0,2.0,,45.0,9.0,27.0,21.0,10.0,4.0,28.0,3.0,1.0,,19.0,2.0,,10.0,39.0,,18.0,38.0,16.0,13.0,9.0,19.0,2.0,4.0,15.0,9.0,12.0,103.0,113.0,2.0,0.2026,1.0,0.3141,,,1.0,,,,2.0,,,2.0,,,,,,1.0,1.0,1.0,,,,,,,,
461195,Dennis Cirkin,Defender,Sunderland,56,Latvia,2019-20,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
