playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,throughBalls,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,awayGoals,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,homeGoals,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,tacklesWon,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,interceptions,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,fiftyFifty,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,goalAssists,successfulFiftyFifty,unsuccessfulCrossesOpenPlay,goals,substituteOn,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,totalTouchesInOppositionBox,throwInsToOppositionPlayer,shotsBlockedInBox,putthroughBlockedDistributionWon,rightFootGoals,tacklesLost,unsuccessfulDribbles,headedGoals,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,shotsOffTargetIncWoodwork,cornersWon,successfulDribbles,blocks,totalFoulsConceded,backwardPasses,throwInsToOwnPlayer,substituteOff,foulAttemptedTackle,handballsConceded,expectedGoals,successfulLayoffs,offsides,oboxBlocked,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,unsuccessfulLayoffs,successfulCornersIntoBox,oboxTarget,leftFootGoals,unsuccessfulCornersIntoBox,shotsBlockedOutsideBox,expectedGoalsFreekick,ownGoalScored,freekickTotal,attemptsFromSetPieces,clearancesOffTheLine,hitWoodwork,penaltiesConceded,redCards2ndYellow,secondGoalAssists,setPiecesGoals,foulWonPenalty,penaltiesTaken,penaltyGoals
87835,Matt Doherty,Defender,Wolverhampton Wanderers,39,Ireland,2021-22,34.0,1.4197,0.0,,18.0,,4.0,64.0,15.0,9.0,74.0,452.0,1.0,,24.0,2.0,,874.0,8.0,44.0,3.0,17.0,28.0,364.0,,1.0,9.7636,11.0,1.0,19.0,11.0,26.0,51.0,,4.0,2.0,78.0,1.0,,102.0,48.0,15.0,,,200.0,8.0,54.0,16.0,0.0,,449.0,124.0,12.0,,,189.0,13.0,14.0,666.0,5.0,184.0,,0.0,10.0,25.0,6.0,19.0,5.0,6.0,2.5762,11.0,4.0,15.0,14.0,2.0,6.0,6.0,4.0,4.0,33.0,7.0,5.0,9.0,1.0,6.0,4.0,1.0,14.0,10.0,5.0,5.0,3.0,6.0,2.0,11.0,110.0,53.0,3.0,5.0,1.0,2.483,,,,,,,,,,,,,,,,,,,,,,,,
199249,Sergio Reguilón,Defender,Tottenham Hotspur,6,Spain,2021-22,105.0,3.7697,0.0,,40.0,,1.0,129.0,25.0,22.0,164.0,771.0,0.0,,53.0,6.0,,1922.0,22.0,114.0,2.0,34.0,83.0,585.0,,1.0,22.4213,26.0,5.0,39.0,25.0,83.0,318.0,,24.0,1.0,219.0,2.0,,231.0,99.0,25.0,,,377.0,23.0,166.0,31.0,0.0,,755.0,317.0,24.0,,,33.0,31.0,22.0,1308.0,19.0,255.0,,4.0,35.0,74.0,23.0,46.0,7.0,9.0,3.6819,14.0,3.0,18.0,53.0,2.0,3.0,25.0,5.0,5.0,52.0,17.0,5.0,12.0,,16.0,27.0,,59.0,40.0,5.0,5.0,18.0,19.0,8.0,22.0,189.0,118.0,9.0,12.0,,3.0429,3.0,1.0,2.0,10.0,2.0,1.0,1.0,2.0,2.0,6.0,2.0,,,,,,,,,,,,,
173904,Dávinson Sánchez,Defender,Galatasaray,208,Colombia,2021-22,65.0,1.0416,0.0,,41.0,,1.0,78.0,23.0,17.0,137.0,1126.0,1.0,,84.0,10.0,,1626.0,37.0,101.0,1.0,16.0,54.0,951.0,,,17.8174,5.0,8.0,54.0,16.0,28.0,205.0,,11.0,1.0,166.0,1.0,,385.0,103.0,23.0,,,403.0,15.0,82.0,47.0,0.0,,1106.0,152.0,22.0,,,491.0,30.0,38.0,1347.0,27.0,587.0,,4.0,59.0,60.0,1.0,37.0,2.0,3.0,1.4133,11.0,,22.0,1.0,2.0,6.0,1.0,1.0,1.0,23.0,,1.0,8.0,1.0,19.0,2.0,1.0,1.0,4.0,1.0,8.0,1.0,4.0,16.0,16.0,45.0,4.0,,11.0,,2.071,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,
241157,Emerson Royal,Defender,Milan,120,Brazil,2021-22,136.0,3.0044,0.0,,72.0,,1.0,160.0,31.0,26.0,201.0,1136.0,0.0,,75.0,5.0,,2289.0,42.0,167.0,4.0,70.0,134.0,917.0,,1.0,25.1322,27.0,2.0,78.0,26.0,94.0,50.0,,45.0,0.0,303.0,1.0,,311.0,152.0,31.0,,,488.0,22.0,228.0,33.0,0.0,,1120.0,343.0,47.0,,,485.0,22.0,18.0,1852.0,26.0,465.0,,5.0,41.0,90.0,18.0,63.0,4.0,4.0,1.3322,11.0,1.0,37.0,56.0,1.0,5.0,18.0,2.0,2.0,60.0,21.0,4.0,23.0,1.0,25.0,17.0,,56.0,35.0,4.0,7.0,16.0,17.0,2.0,28.0,290.0,217.0,9.0,18.0,,1.451,3.0,2.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,
93264,Eric Dier,Defender,Monaco,146,England,2021-22,76.0,1.1441,0.0,,15.0,,5.0,138.0,35.0,35.0,276.0,2325.0,0.0,,124.0,16.0,,3072.0,54.0,95.0,6.0,12.0,25.0,1921.0,,1.0,28.5029,7.0,13.0,141.0,30.0,22.0,761.0,,9.0,0.0,171.0,0.0,,812.0,131.0,35.0,,,555.0,24.0,47.0,70.0,0.0,4.0,2269.0,294.0,9.0,,,689.0,27.0,128.0,2630.0,36.0,1495.0,,1.0,138.0,105.0,1.0,40.0,3.0,5.0,0.2177,10.0,,20.0,,,,1.0,4.0,4.0,24.0,,1.0,5.0,,6.0,1.0,,,3.0,1.0,5.0,3.0,1.0,32.0,12.0,63.0,6.0,1.0,4.0,,1.2085,1.0,,2.0,,1.0,,,1.0,,,2.0,0.2322,1.0,4.0,4.0,1.0,2.0,,,,,,,
221632,Cristian Romero,Defender,Tottenham Hotspur,6,Argentina,2021-22,79.0,0.4913,0.0,,62.0,,2.0,104.0,22.0,21.0,175.0,1316.0,1.0,,73.0,5.0,,1846.0,30.0,129.0,5.0,39.0,86.0,1083.0,,1.0,20.3027,6.0,3.0,72.0,25.0,49.0,193.0,,15.0,1.0,208.0,0.0,,483.0,148.0,22.0,,,325.0,20.0,135.0,43.0,0.0,,1281.0,200.0,39.0,,,567.0,33.0,58.0,1623.0,20.0,816.0,,8.0,71.0,76.0,,54.0,2.0,2.0,0.5294,4.0,,29.0,,1.0,1.0,,1.0,1.0,22.0,,1.0,25.0,1.0,23.0,5.0,,,10.0,1.0,2.0,2.0,9.0,21.0,28.0,73.0,8.0,2.0,21.0,1.0,0.4965,1.0,2.0,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,
214225,Joe Rodon,Defender,Leeds United,2,Wales,2021-22,2.0,0.0019,0.0,,,,,5.0,3.0,,6.0,35.0,0.0,,4.0,,,87.0,2.0,3.0,,1.0,1.0,26.0,,1.0,3.1303,,,7.0,3.0,,11.0,,1.0,0.0,5.0,0.0,,14.0,3.0,3.0,,,6.0,3.0,1.0,2.0,0.0,,35.0,6.0,,,,6.0,,3.0,46.0,,23.0,,0.0,1.0,3.0,,2.0,,,,,,,,,3.0,,,,,,,1.0,,,,,,,,,,,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199584,Japhet Tanganga,Defender,Sheffield United,49,England,2021-22,45.0,0.4135,1.0,,14.0,,,40.0,11.0,10.0,55.0,346.0,0.0,,24.0,3.0,,740.0,9.0,42.0,1.0,10.0,27.0,282.0,,,9.481,2.0,2.0,30.0,8.0,36.0,51.0,,8.0,0.0,87.0,0.0,,110.0,24.0,11.0,,,135.0,7.0,63.0,15.0,0.0,,341.0,88.0,8.0,,,117.0,9.0,9.0,516.0,7.0,158.0,,2.0,15.0,25.0,2.0,20.0,3.0,2.0,0.2712,4.0,,7.0,9.0,,1.0,2.0,1.0,1.0,10.0,10.0,2.0,8.0,,6.0,2.0,,9.0,7.0,2.0,2.0,3.0,5.0,5.0,19.0,68.0,40.0,5.0,5.0,,0.4397,,1.0,1.0,,1.0,,,1.0,,,1.0,,,,,,,,1.0,,,,,
115556,Ben Davies,Defender,Tottenham Hotspur,6,Wales,2021-22,109.0,0.9309,0.0,,36.0,,1.0,159.0,29.0,28.0,237.0,1582.0,0.0,,119.0,11.0,,2539.0,52.0,128.0,5.0,41.0,61.0,1300.0,,2.0,28.0947,10.0,5.0,73.0,30.0,57.0,694.0,,18.0,0.0,237.0,1.0,,605.0,106.0,29.0,,,569.0,25.0,118.0,67.0,0.0,,1548.0,293.0,21.0,,,154.0,30.0,45.0,1936.0,33.0,781.0,,6.0,78.0,102.0,5.0,58.0,6.0,7.0,2.3062,12.0,1.0,27.0,14.0,1.0,1.0,5.0,4.0,4.0,31.0,5.0,1.0,13.0,,15.0,4.0,1.0,14.0,14.0,1.0,5.0,10.0,7.0,19.0,31.0,129.0,41.0,2.0,24.0,1.0,2.3171,,5.0,5.0,,2.0,1.0,,2.0,,,5.0,,,,,2.0,,1.0,,,,,,
209418,Tobi Omole,Defender,Wealdstone,3096,England,2021-22,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215610,Marcel Lavinier,Defender,Boston United,444,England,2021-22,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
