playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,expectedAssists,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,timePlayed,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,punches,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,rightsidePasses,savesMade,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,crossesNotClaimed,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,tacklesWon,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,duelsLost,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalShots,throughBalls,successfulLayoffs,unsuccessfulCrossesOpenPlay,substituteOn,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,successfulCrossesAndCorners,aerialDuelsLost,successfulCornersIntoBox,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,ownGoalScored,groundDuelsLost,totalFoulsWon,putthroughBlockedDistributionWon,oboxTarget,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,cornersWon,successfulDribbles,blocks,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,clearancesOffTheLine,backwardPasses,throwInsToOwnPlayer,substituteOff,foulAttemptedTackle,expectedGoals,successfulCrossesOpenPlay,blockedShots,iboxTarget,shotsOnTargetInBox,shotsBlockedInBox,lastPlayerTackle,iboxBlocked,shotsOffTargetIncWoodwork,drops,goalAssists,foulWonPenalty,goals,offsides,awayGoals,unsuccessfulLayoffs,homeGoals,rightFootGoals,leftFootGoals,hitWoodwork,handballsConceded,headedGoals,secondGoalAssists,oboxBlocked,shotsBlockedOutsideBox,redCards2ndYellow,penaltiesTaken,penaltyGoals,penaltiesFaced,setPiecesGoals,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,penaltiesConceded
115556,Ben Davies,Defender,Spurs,6,Wales,2024-25,0.0,0.0,5.0,0.4959,,17.0,,75.0,17.0,14.0,121.0,1011.0,64.0,,98.0,3.0,1330.0,77.0,3.0,17.0,24.0,853.0,,25.2575,2.0,7.0,79.0,26.0,418.0,,0.0,146.0,,392.0,41.0,17.0,,6.0,259.0,23.0,48.0,53.0,61.0,921.0,132.0,11.0,3.0,,166.0,37.0,1197.0,27.0,632.0,,46.0,53.0,69.0,1.0,,0.0925,4.0,1.0,,3.0,3.0,,,1.0,45.0,,13.0,,1.0,,24.0,7.0,9.0,,,3.0,,1.0,1.0,19.0,17.0,12.0,,1.0,35.0,5.0,1.0,11.0,0.2826,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
221632,Cristian Romero,Defender,Spurs,6,Argentina,2024-25,0.0,0.0,3.0,0.8189,,35.0,,76.0,18.0,18.0,125.0,1211.0,14.0,,69.0,2.0,1420.0,89.0,1.0,22.0,47.0,1039.0,,23.0858,7.0,3.0,52.0,22.0,189.0,,0.0,146.0,,500.0,90.0,18.0,,6.0,433.0,21.0,77.0,42.0,13.0,1117.0,147.0,29.0,1.0,,472.0,47.0,1418.0,15.0,654.0,,49.0,55.0,57.0,8.0,1.0,2.3424,14.0,4.0,1.0,2.0,,,,1.0,27.0,,23.0,,,,30.0,12.0,15.0,,2.0,2.0,7.0,,1.0,3.0,14.0,21.0,,,50.0,7.0,5.0,10.0,1.593,1.0,2.0,7.0,7.0,2.0,,2.0,6.0,,,,1.0,2.0,0.0,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,
501620,Dante Cassanova,Defender,Spurs,6,Jamaica,2024-25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487053,Destiny Udogie,Defender,Spurs,6,Italy,2024-25,0.0,0.0,2.0,1.202,,75.0,,103.0,25.0,24.0,112.0,953.0,,,26.0,,1931.0,139.0,4.0,68.0,126.0,829.0,,38.7844,15.0,1.0,28.0,35.0,289.0,,0.0,230.0,,371.0,111.0,25.0,,28.0,474.0,31.0,204.0,13.0,,925.0,216.0,47.0,,,103.0,12.0,1468.0,7.0,371.0,,9.0,46.0,91.0,1.0,1.0,0.4531,2.0,,4.0,15.0,1.0,,,4.0,13.0,,52.0,15.0,3.0,1.0,78.0,38.0,34.0,,16.0,15.0,35.0,9.0,13.0,6.0,29.0,22.0,,1.0,190.0,127.0,10.0,15.0,0.3003,4.0,3.0,1.0,1.0,3.0,,3.0,1.0,,1.0,,,3.0,,1.0,,,,,1.0,,,,,,,,,,,,,
232859,Djed Spence,Defender,Spurs,6,England,2024-25,0.0,1.0,2.0,1.3635,,47.0,,102.0,25.0,19.0,129.0,979.0,,,35.0,2.0,1790.0,129.0,3.0,38.0,108.0,837.0,,35.5518,9.0,1.0,56.0,39.0,267.0,,0.0,233.0,,341.0,109.0,25.0,,13.0,411.0,36.0,198.0,21.0,,949.0,264.0,34.0,,,122.0,13.0,1528.0,14.0,448.0,,27.0,48.0,104.0,3.0,3.0,1.2027,7.0,2.0,9.0,16.0,6.0,,1.0,9.0,14.0,,25.0,20.0,1.0,1.0,90.0,23.0,19.0,1.0,31.0,16.0,64.0,10.0,38.0,9.0,21.0,21.0,,1.0,249.0,133.0,1.0,12.0,0.5592,9.0,3.0,1.0,1.0,,1.0,,4.0,,2.0,,1.0,2.0,1.0,,0.0,1.0,,,2.0,,,3.0,3.0,1.0,,,,,,,,
135720,Kevin Danso,Defender,Spurs,6,Austria,2024-25,0.0,0.0,0.0,0.1295,,7.0,,45.0,10.0,9.0,75.0,554.0,4.0,,33.0,,843.0,43.0,2.0,9.0,22.0,461.0,,19.2089,2.0,3.0,70.0,18.0,159.0,,0.0,73.0,,178.0,27.0,10.0,,2.0,120.0,16.0,40.0,21.0,4.0,533.0,88.0,5.0,,,189.0,18.0,699.0,19.0,360.0,,30.0,39.0,30.0,3.0,1.0,0.1235,7.0,,,,1.0,,,1.0,12.0,,9.0,,1.0,,18.0,13.0,1.0,,1.0,,4.0,2.0,2.0,14.0,9.0,6.0,,1.0,28.0,,1.0,4.0,0.4098,1.0,,3.0,3.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
611920,Malachi Hardy,Defender,Spurs,6,England,2024-25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491279,Micky van de Ven,Defender,Spurs,6,Netherlands,2024-25,0.0,0.0,4.0,0.6969,,10.0,,43.0,13.0,12.0,72.0,797.0,21.0,,39.0,1.0,1018.0,42.0,2.0,9.0,23.0,706.0,,19.1388,,1.0,38.0,17.0,331.0,,0.0,87.0,,260.0,63.0,13.0,,4.0,247.0,15.0,48.0,19.0,21.0,758.0,87.0,6.0,,,157.0,19.0,916.0,19.0,478.0,,29.0,32.0,45.0,2.0,,0.8457,5.0,,,,1.0,,,,20.0,,9.0,,1.0,,25.0,9.0,4.0,,4.0,,9.0,,4.0,8.0,10.0,10.0,,,49.0,4.0,5.0,7.0,0.5661,,1.0,2.0,2.0,1.0,,1.0,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
441164,Pedro Porro,Defender,Spurs,6,Spain,2024-25,0.0,0.0,5.0,4.6365,,66.0,,226.0,33.0,28.0,345.0,1440.0,,,35.0,5.0,2608.0,125.0,5.0,102.0,113.0,1011.0,,51.3047,51.0,11.0,73.0,47.0,101.0,,0.0,248.0,,620.0,152.0,33.0,,17.0,661.0,42.0,213.0,12.0,,1397.0,577.0,49.0,,,475.0,84.0,2333.0,36.0,494.0,,119.0,104.0,123.0,8.0,3.0,1.8439,27.0,4.0,10.0,99.0,5.0,53.0,5.0,60.0,23.0,20.0,33.0,19.0,3.0,,100.0,33.0,27.0,5.0,24.0,136.0,42.0,30.0,14.0,17.0,25.0,36.0,28.0,,244.0,230.0,4.0,16.0,1.5961,34.0,12.0,1.0,1.0,1.0,1.0,1.0,19.0,,6.0,,2.0,1.0,2.0,1.0,0.0,1.0,,3.0,,1.0,,11.0,11.0,,,,,,4.0,4.0,0.2198,
493125,Radu Dragusin,Defender,Spurs,6,Romania,2024-25,0.0,0.0,1.0,0.1558,,10.0,,62.0,16.0,14.0,124.0,836.0,4.0,,57.0,2.0,1251.0,53.0,3.0,11.0,19.0,687.0,,29.2539,4.0,5.0,46.0,29.0,180.0,,0.0,89.0,,342.0,48.0,16.0,,4.0,232.0,26.0,32.0,34.0,4.0,792.0,134.0,6.0,,,271.0,25.0,984.0,25.0,481.0,,62.0,52.0,36.0,1.0,,0.0105,5.0,1.0,1.0,,2.0,,,1.0,23.0,,12.0,,2.0,,13.0,10.0,6.0,,,,2.0,2.0,,16.0,6.0,15.0,,,43.0,3.0,3.0,1.0,0.1241,1.0,,1.0,1.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
