matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attObxdRight,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
360475,1.0,2011-08-14 13:30:00,110,Stoke,Home,41.0,20.0,,1.0,1.0,4.0,,86.0,9.0,2.0,,9.0,3.0,21.0,126.0,,1.0,7.0,13.0,14.0,5.0,1.0,,,,,,,,,,5.0,,,,,,,8.0,11.0,,,,25.0,64.0,,,,2.0,2.0,15.0,,4.0,12.0,1.0,,9.0,3.0,57.0,64.0,2.0,23.0,14.0,,,71.0,13.0,12.0,,,3.0,4.0,,133.0,,,,,,,11.0,,,,1.0,,,,,22.0,,24.0,20.0,3.0,,42.0,83.0,35.0,6.0,,3.0,3.0,1.0,,,,4.0,,,31.0,54.0,28.0,,,,,183.0,166.0,3.0,34.0,16.0,34.4,,,,,0.0,,,,28.0,4.0,3.0,,,,3.0,,3.0,46.0,,6.0,62.0,34.0,40.0,13.0,4.0,21.0,17.0,,96.0,13.0,187.0,1.0,2.0,39.0,5.0,55.0,1.0,228.0,,0.0,6.0,32.0,7.0,23.0,2.0,457.0,,9.0,6.0,4.0,20.0,0.0
360485,2.0,2011-08-21 13:30:00,110,Stoke,Away,105.0,18.0,2.0,5.0,3.0,3.0,1.0,201.0,6.0,,7.0,20.0,17.0,61.0,301.0,,2.0,12.0,13.0,14.0,13.0,,,,,1.0,1.0,,,,,15.0,,1.0,,,,,2.0,8.0,,,,58.0,48.0,1.0,2.0,,2.0,4.0,2.0,,6.0,9.0,10.0,,9.0,2.0,44.0,41.0,2.0,27.0,14.0,,1.0,104.0,12.0,13.0,1.0,,3.0,1.0,1.0,142.0,1.0,,1.0,1.0,,,6.0,,,1.0,3.0,,,,,22.0,,6.0,5.0,1.0,7.0,87.0,80.0,52.0,3.0,,7.0,7.0,5.0,,,,4.0,2.0,,48.0,62.0,44.0,,,,1.0,152.0,135.0,2.0,21.0,12.0,53.1,,,,,0.0,,,,94.0,,2.0,,1.0,,9.0,,2.0,111.0,,14.0,118.0,30.0,44.0,14.0,5.0,25.0,20.0,,167.0,13.0,288.0,3.0,,37.0,19.0,88.0,,381.0,,0.0,18.0,8.0,2.0,19.0,2.0,571.0,,9.0,6.0,6.0,6.0,0.0
360497,3.0,2011-08-28 15:00:00,110,Stoke,Away,111.0,10.0,,3.0,3.0,,1.0,95.0,7.0,,4.0,17.0,5.0,46.0,203.0,,,7.0,11.0,18.0,3.0,,,,,,,,,,,4.0,,,,,,1.0,9.0,7.0,,,,30.0,55.0,,,,1.0,,9.0,,1.0,8.0,4.0,1.0,18.0,2.0,53.0,49.0,1.0,28.0,17.0,,,95.0,11.0,9.0,,,3.0,3.0,,111.0,1.0,,1.0,1.0,,,14.0,,,1.0,1.0,,,,,23.0,,19.0,17.0,,4.0,76.0,85.0,41.0,5.0,,3.0,1.0,1.0,,,,3.0,,,41.0,31.0,23.0,,,,,167.0,150.0,5.0,22.0,20.0,41.1,,,,1.0,0.0,,,,72.0,4.0,,,,,4.0,,3.0,56.0,,4.0,121.0,19.0,45.0,8.0,1.0,16.0,15.0,,117.0,6.0,184.0,1.0,,43.0,5.0,79.0,,289.0,,0.0,5.0,18.0,1.0,16.0,0.0,485.0,,13.0,4.0,1.0,15.0,0.0
360506,4.0,2011-09-10 15:00:00,110,Stoke,Home,59.0,7.0,1.0,2.0,1.0,5.0,,75.0,7.0,1.0,,16.0,4.0,31.0,132.0,,,8.0,9.0,9.0,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,13.0,11.0,,,,28.0,47.0,,,1.0,3.0,1.0,14.0,1.0,2.0,7.0,1.0,,12.0,4.0,53.0,42.0,3.0,42.0,18.0,,1.0,58.0,13.0,13.0,1.0,,4.0,2.0,,117.0,,,,,,,13.0,,,,,,,,,28.0,,15.0,13.0,2.0,,30.0,77.0,39.0,12.0,,1.0,1.0,1.0,178.0,,,9.0,1.0,,16.0,44.0,17.0,,,,1.0,158.0,130.0,,24.0,13.0,27.4,,,,2.0,0.0,,,,34.0,4.0,3.0,6.0,1.0,,1.0,,3.0,35.0,112.0,2.0,72.0,12.0,70.0,6.0,2.0,12.0,10.0,,74.0,12.0,149.0,,1.0,34.0,4.0,61.0,5.0,209.0,,0.0,3.0,19.0,,17.0,0.0,419.0,10.0,11.0,1.0,2.0,18.0,0.0
360515,5.0,2011-09-18 15:00:00,110,Stoke,Away,87.0,13.0,,4.0,4.0,4.0,,155.0,3.0,2.0,7.0,31.0,14.0,49.0,238.0,,,14.0,17.0,22.0,6.0,,1.0,,,1.0,1.0,1.0,,,,4.0,,,,,,,5.0,5.0,,,,53.0,45.0,1.0,1.0,,1.0,5.0,5.0,,5.0,8.0,8.0,,9.0,2.0,52.0,55.0,1.0,20.0,13.0,,1.0,85.0,13.0,15.0,,,4.0,4.0,1.0,147.0,,,,,,,4.0,,,,2.0,,,,1.0,19.0,,7.0,4.0,,7.0,48.0,85.0,59.0,6.0,,1.0,5.0,2.0,,,,2.0,2.0,1.0,20.0,87.0,30.0,,,,,173.0,152.0,1.0,15.0,15.0,43.3,,,,,0.0,,,,70.0,1.0,2.0,,,1.0,3.0,1.0,3.0,81.0,,6.0,98.0,18.0,41.0,13.0,4.0,24.0,20.0,1.0,134.0,16.0,244.0,2.0,2.0,47.0,16.0,70.0,,318.0,,0.0,10.0,14.0,,32.0,2.0,517.0,,13.0,4.0,6.0,12.0,0.0
360526,6.0,2011-09-24 17:30:00,110,Stoke,Home,80.0,10.0,4.0,12.0,8.0,8.0,,151.0,6.0,2.0,,21.0,6.0,36.0,219.0,,,12.0,9.0,17.0,6.0,2.0,,,,1.0,1.0,,,,,8.0,,,,,,,10.0,4.0,,,,43.0,47.0,4.0,4.0,,1.0,3.0,16.0,,8.0,18.0,8.0,,12.0,1.0,54.0,38.0,1.0,24.0,13.0,,1.0,75.0,11.0,5.0,1.0,,3.0,2.0,1.0,132.0,1.0,1.0,1.0,,1.0,,9.0,,,,1.0,,,,,21.0,1.0,12.0,10.0,2.0,1.0,61.0,80.0,47.0,8.0,,5.0,4.0,5.0,,,,4.0,,,32.0,65.0,27.0,,,,,166.0,147.0,6.0,18.0,13.0,41.7,,,,1.0,0.0,,,,65.0,2.0,1.0,,,,5.0,1.0,3.0,78.0,,9.0,86.0,16.0,43.0,7.0,7.0,35.0,28.0,,131.0,22.0,250.0,1.0,2.0,36.0,8.0,54.0,1.0,301.0,,0.0,13.0,15.0,,19.0,1.0,505.0,,12.0,1.0,8.0,12.0,0.0
360536,7.0,2011-10-02 15:00:00,110,Stoke,Away,66.0,13.0,2.0,6.0,4.0,4.0,,135.0,12.0,1.0,1.0,22.0,13.0,34.0,195.0,,,10.0,5.0,18.0,5.0,1.0,,,1.0,,2.0,,,,,,,,,,1.0,1.0,3.0,8.0,,,,47.0,37.0,,,,2.0,3.0,8.0,,5.0,12.0,6.0,,15.0,1.0,49.0,61.0,2.0,26.0,16.0,1.0,,78.0,18.0,14.0,,,,,2.0,113.0,,,,,,,12.0,,,,1.0,,,,,21.0,2.0,10.0,7.0,2.0,2.0,46.0,72.0,50.0,6.0,,4.0,2.0,2.0,,,,4.0,2.0,,27.0,52.0,27.0,1.0,1.0,1.0,,170.0,157.0,2.0,13.0,15.0,40.9,1.0,,,,0.0,,,,74.0,,1.0,,2.0,,6.0,,3.0,72.0,,6.0,73.0,19.0,39.0,11.0,5.0,27.0,22.0,,129.0,14.0,234.0,1.0,1.0,39.0,14.0,46.0,2.0,280.0,,0.0,11.0,21.0,,20.0,5.0,493.0,,18.0,8.0,5.0,12.0,0.0
360546,8.0,2011-10-15 15:00:00,110,Stoke,Home,85.0,7.0,1.0,5.0,4.0,3.0,1.0,142.0,5.0,3.0,2.0,16.0,13.0,31.0,222.0,,,16.0,11.0,8.0,5.0,2.0,,2.0,,,3.0,,,,,10.0,,,,,1.0,3.0,2.0,5.0,,,,50.0,44.0,4.0,3.0,2.0,3.0,6.0,2.0,,5.0,11.0,9.0,,10.0,,41.0,43.0,3.0,25.0,11.0,,,87.0,14.0,18.0,1.0,,6.0,2.0,3.0,124.0,2.0,1.0,1.0,1.0,1.0,,8.0,,,,1.0,,,,,20.0,1.0,18.0,16.0,2.0,2.0,65.0,76.0,37.0,2.0,1.0,4.0,5.0,4.0,,,,3.0,3.0,,33.0,49.0,24.0,,,,,169.0,151.0,1.0,18.0,16.0,48.2,1.0,,,,0.0,,,,72.0,,1.0,,,,7.0,2.0,2.0,78.0,,9.0,97.0,18.0,43.0,9.0,5.0,27.0,22.0,,136.0,8.0,241.0,1.0,3.0,45.0,14.0,65.0,1.0,311.0,,0.0,17.0,12.0,,27.0,4.0,519.0,,8.0,5.0,5.0,9.0,0.0
360549,9.0,2011-10-23 13:30:00,110,Stoke,Away,129.0,10.0,,1.0,1.0,1.0,,99.0,5.0,,4.0,19.0,13.0,34.0,227.0,,,14.0,12.0,13.0,4.0,,,,,,,,1.0,,,3.0,,,,,,2.0,6.0,3.0,,,,53.0,55.0,1.0,1.0,1.0,3.0,2.0,8.0,,1.0,3.0,3.0,,8.0,1.0,44.0,42.0,3.0,22.0,13.0,1.0,1.0,58.0,13.0,9.0,1.0,,3.0,2.0,,117.0,1.0,,,,1.0,,9.0,,,,,,,,1.0,18.0,,12.0,11.0,,4.0,65.0,74.0,41.0,10.0,,3.0,2.0,1.0,,,,,3.0,,29.0,47.0,17.0,,,,,131.0,117.0,3.0,24.0,19.0,33.5,,,,,0.0,,,,68.0,1.0,,,1.0,,4.0,1.0,3.0,33.0,,5.0,145.0,21.0,36.0,5.0,1.0,9.0,8.0,,75.0,8.0,167.0,,,34.0,13.0,57.0,2.0,303.0,,0.0,7.0,19.0,,17.0,2.0,464.0,,9.0,1.0,1.0,13.0,0.0
360563,10.0,2011-10-31 20:00:00,110,Stoke,Home,97.0,12.0,4.0,10.0,6.0,7.0,1.0,162.0,4.0,4.0,2.0,24.0,15.0,33.0,249.0,,,17.0,6.0,24.0,3.0,5.0,,,,,,,,,,4.0,1.0,,,,,,5.0,3.0,,,,56.0,46.0,,,1.0,1.0,3.0,1.0,,8.0,14.0,4.0,,26.0,,48.0,57.0,1.0,33.0,22.0,,,96.0,8.0,13.0,1.0,,3.0,2.0,,161.0,,,,,,,6.0,,,,2.0,,,,,32.0,,13.0,9.0,,2.0,56.0,90.0,55.0,2.0,,6.0,2.0,3.0,,,,,1.0,,44.0,74.0,33.0,1.0,1.0,1.0,1.0,205.0,186.0,1.0,17.0,21.0,56.4,,,,,0.0,,,,70.0,,,,,,6.0,2.0,3.0,76.0,,8.0,109.0,22.0,52.0,13.0,8.0,28.0,20.0,,139.0,20.0,262.0,2.0,4.0,42.0,15.0,57.0,2.0,343.0,,0.0,12.0,13.0,1.0,39.0,0.0,578.0,,14.0,6.0,8.0,10.0,0.0
