season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,goalAssist,goals,minutesPlayed,ownGoals,totalShots
2009-10,1062471,1,110,Stoke_City,Home,540,1945.0,Thomas Sorensen,thomas-sorensen,G,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062471,1,110,Stoke_City,Home,865,1852.0,Andy Griffin,andy-griffin,D,True,,,,,
2009-10,1062471,1,110,Stoke_City,Home,900,1679.0,Rory Delap,rory-delap,M,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062471,1,110,Stoke_City,Home,1166,1938.0,James Beattie,james-beattie,F,False,0.0,0.0,67.0,0.0,0.0
2009-10,1062471,1,110,Stoke_City,Home,9708,10578.0,Liam Lawrence,liam-lawrence,M,False,1.0,0.0,90.0,0.0,0.0
2009-10,1062471,1,110,Stoke_City,Home,9710,5589.0,Dean Whitehead,dean-whitehead,M,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062471,1,110,Stoke_City,Home,9736,2570.0,Matthew Etherington,matthew-etherington,M,False,0.0,0.0,76.0,0.0,0.0
2009-10,1062471,1,110,Stoke_City,Home,10028,3390.0,Leon Cort,leon-cort,D,True,,,,,
2009-10,1062471,1,110,Stoke_City,Home,10198,14489.0,Danny Pugh,danny-pugh,M,True,,,,,
2009-10,1062471,1,110,Stoke_City,Home,10476,10549.0,Dave Kitson,dave-kitson,F,True,0.0,0.0,23.0,0.0,0.0
2009-10,1062471,1,110,Stoke_City,Home,10535,12150.0,Glenn Whelan,glenn-whelan,M,True,0.0,0.0,14.0,0.0,0.0
2009-10,1062471,1,110,Stoke_City,Home,10553,3719.0,Steve Simonsen,steve-simonsen,,True,,,,,
2009-10,1062471,1,110,Stoke_City,Home,10572,19714.0,Andy Wilkinson,andy-wilkinson,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062471,1,110,Stoke_City,Home,18169,11721.0,Ricardo Fuller,ricardo-fuller,F,False,0.0,0.0,87.0,0.0,0.0
2009-10,1062471,1,110,Stoke_City,Home,27314,37869.0,Ryan Shawcross,ryan-shawcross,D,False,0.0,1.0,90.0,0.0,0.0
2009-10,1062471,1,110,Stoke_City,Home,27319,,Richard Cresswell,richard-cresswell,F,True,0.0,0.0,3.0,0.0,0.0
2009-10,1062471,1,110,Stoke_City,Home,30402,14055.0,Abdoulaye Faye,abdoulaye-faye,M,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062471,1,110,Stoke_City,Home,2271824,2399.0,Danny Higginbotham,danny-higginbotham,D,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062482,2,110,Stoke_City,Away,540,1945.0,Thomas Sorensen,thomas-sorensen,G,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062482,2,110,Stoke_City,Away,865,1852.0,Andy Griffin,andy-griffin,D,True,,,,,
2009-10,1062482,2,110,Stoke_City,Away,900,1679.0,Rory Delap,rory-delap,M,False,0.0,0.0,90.0,0.0,0.0
2009-10,1062482,2,110,Stoke_City,Away,1166,1938.0,James Beattie,james-beattie,F,False,0.0,0.0,62.0,0.0,0.0
2009-10,1062482,2,110,Stoke_City,Away,9708,10578.0,Liam Lawrence,liam-lawrence,M,True,0.0,0.0,28.0,0.0,0.0
2009-10,1062482,2,110,Stoke_City,Away,9710,5589.0,Dean Whitehead,dean-whitehead,M,False,0.0,0.0,69.0,0.0,0.0
