matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgLeft,attObxdLeft,attObxdRight,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,ballRecovery,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,savedIbox,savedObox,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,wonContest,wonCorners,wonTackle,yellowCard
284002,1,2009-08-15 15:00:00,56,Sunderland,Away,41.0,10.0,1.0,6.0,5.0,3.0,,115.0,5.0,4.0,1.0,5.0,5.0,16.0,150.0,,4.0,16.0,28.0,29.0,12.0,1.0,,1.0,,1.0,,,3.0,,,,,,,,,,1.0,,3.0,11.0,2.0,,,54.0,,1.0,6.0,3.0,,7.0,7.0,10.0,,16.0,1.0,66.0,70.0,1.0,42.0,30.0,,1.0,77.0,13.0,16.0,1.0,,,,3.0,1.0,,1.0,1.0,,,14.0,,3.0,,56.0,1.0,14.0,14.0,,2.0,80.0,26.0,4.0,,6.0,8.0,6.0,,2.0,,31.0,54.0,29.0,,,,,191.0,149.0,2.0,20.0,19.0,45.7,1.0,3.0,0.0,3.0,,,2.0,1.0,8.0,,2.0,63.0,,14.0,52.0,21.0,84.0,13.0,6.0,26.0,20.0,,117.0,12.0,207.0,3.0,4.0,23.0,5.0,48.0,3.0,233.0,,0.0,20.0,18.0,10.0,27.0,1.0,552.0,,7.0,7.0,17.0,0.0
284015,2,2009-08-18 19:45:00,56,Sunderland,Home,56.0,7.0,,1.0,1.0,3.0,,66.0,8.0,,3.0,7.0,7.0,14.0,121.0,,,15.0,15.0,14.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,13.0,14.0,,,35.0,,3.0,2.0,9.0,1.0,1.0,3.0,2.0,,10.0,1.0,52.0,47.0,3.0,22.0,11.0,,,70.0,15.0,10.0,1.0,,,,1.0,,,,,,,16.0,,1.0,,16.0,,27.0,27.0,5.0,3.0,81.0,23.0,14.0,,1.0,1.0,1.0,,10.0,,36.0,29.0,20.0,1.0,1.0,1.0,,158.0,141.0,1.0,11.0,9.0,26.1,,1.0,0.0,3.0,,,1.0,,1.0,,3.0,38.0,,2.0,76.0,18.0,39.0,3.0,1.0,6.0,5.0,,103.0,14.0,154.0,1.0,,33.0,7.0,49.0,3.0,224.0,,0.0,4.0,23.0,2.0,24.0,2.0,448.0,,,1.0,16.0,0.0
284027,3,2009-08-22 15:00:00,56,Sunderland,Home,70.0,11.0,,3.0,3.0,2.0,,133.0,7.0,1.0,,8.0,11.0,19.0,200.0,,1.0,17.0,15.0,19.0,2.0,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,14.0,11.0,,,28.0,,3.0,2.0,2.0,,,7.0,9.0,,10.0,1.0,45.0,63.0,3.0,33.0,17.0,,2.0,87.0,12.0,17.0,2.0,,,,1.0,2.0,,2.0,2.0,,1.0,16.0,,1.0,,37.0,,9.0,9.0,,,101.0,41.0,10.0,,2.0,3.0,3.0,,8.0,,48.0,47.0,23.0,,,,,173.0,144.0,,9.0,12.0,53.6,,4.0,0.0,1.0,2.0,,3.0,1.0,4.0,,3.0,61.0,,5.0,77.0,21.0,62.0,13.0,,16.0,16.0,,120.0,16.0,231.0,2.0,1.0,36.0,12.0,56.0,1.0,292.0,1.0,0.0,9.0,20.0,1.0,30.0,2.0,537.0,,7.0,,13.0,0.0
284037,4,2009-08-29 15:00:00,56,Sunderland,Away,76.0,14.0,3.0,7.0,4.0,3.0,,142.0,3.0,1.0,6.0,10.0,7.0,43.0,211.0,,,24.0,20.0,17.0,5.0,1.0,,1.0,,,,,,,,,,,,,,,,,,9.0,5.0,,,40.0,,1.0,3.0,3.0,1.0,10.0,10.0,10.0,,6.0,1.0,47.0,48.0,1.0,23.0,13.0,,1.0,87.0,8.0,11.0,,1.0,,,,,,,,,,11.0,,1.0,,24.0,,14.0,14.0,,6.0,97.0,36.0,10.0,,3.0,3.0,3.0,,4.0,,43.0,37.0,36.0,,,,,204.0,184.0,,14.0,9.0,54.7,,1.0,0.0,1.0,3.0,,,1.0,3.0,1.0,3.0,72.0,,6.0,106.0,35.0,43.0,15.0,10.0,30.0,20.0,,138.0,14.0,258.0,1.0,1.0,36.0,8.0,76.0,2.0,334.0,,0.0,9.0,15.0,2.0,35.0,2.0,583.0,,5.0,10.0,13.0,0.0
284047,5,2009-09-12 15:00:00,56,Sunderland,Home,90.0,11.0,3.0,7.0,4.0,2.0,1.0,118.0,4.0,,3.0,7.0,13.0,27.0,201.0,,,15.0,15.0,18.0,4.0,1.0,,1.0,,,,1.0,1.0,,,,,1.0,5.0,1.0,,,,,,6.0,3.0,,,50.0,,4.0,2.0,4.0,,6.0,13.0,8.0,,16.0,1.0,59.0,62.0,4.0,31.0,20.0,,1.0,77.0,20.0,15.0,2.0,,5.0,3.0,1.0,1.0,,,1.0,,1.0,8.0,2.0,2.0,1.0,31.0,,15.0,15.0,1.0,3.0,100.0,39.0,8.0,1.0,3.0,3.0,4.0,,1.0,,45.0,49.0,20.0,,,,1.0,180.0,152.0,4.0,19.0,17.0,51.4,,1.0,0.0,3.0,1.0,,3.0,1.0,4.0,,3.0,53.0,,6.0,102.0,23.0,59.0,13.0,5.0,29.0,24.0,1.0,105.0,7.0,217.0,2.0,,32.0,15.0,68.0,3.0,290.0,,0.0,10.0,21.0,1.0,28.0,2.0,527.0,,8.0,7.0,15.0,0.0
284053,6,2009-09-19 12:45:00,56,Sunderland,Away,103.0,16.0,1.0,4.0,3.0,1.0,,131.0,4.0,,2.0,13.0,12.0,31.0,230.0,1.0,1.0,32.0,17.0,20.0,5.0,1.0,1.0,,,,,,,,,,,,8.0,,,,,,,4.0,5.0,5.0,4.0,61.0,,5.0,1.0,7.0,,4.0,13.0,13.0,,13.0,,60.0,48.0,5.0,20.0,15.0,,1.0,79.0,15.0,4.0,1.0,,,1.0,,1.0,,1.0,1.0,,,10.0,1.0,,,24.0,,29.0,28.0,3.0,2.0,99.0,45.0,4.0,,3.0,4.0,4.0,331.0,1.0,,37.0,49.0,45.0,1.0,1.0,1.0,,194.0,184.0,,26.0,23.0,49.7,,,0.0,,,,2.0,,4.0,,2.0,65.0,224.0,7.0,132.0,34.0,30.0,12.0,4.0,31.0,27.0,,123.0,18.0,244.0,,,37.0,12.0,69.0,5.0,345.0,1.0,0.0,9.0,20.0,6.0,48.0,3.0,570.0,12.0,4.0,4.0,16.0,0.0
284067,7,2009-09-27 16:00:00,56,Sunderland,Home,74.0,5.0,2.0,5.0,3.0,3.0,,99.0,5.0,,3.0,10.0,16.0,21.0,168.0,2.0,3.0,15.0,13.0,23.0,4.0,,,2.0,,,,,,1.0,,,,,9.0,2.0,,,,,,14.0,7.0,,,72.0,,5.0,2.0,8.0,1.0,8.0,12.0,6.0,1.0,20.0,1.0,68.0,54.0,5.0,27.0,24.0,,,80.0,21.0,11.0,3.0,1.0,4.0,,,2.0,1.0,1.0,1.0,1.0,,14.0,1.0,1.0,2.0,35.0,,32.0,32.0,1.0,3.0,98.0,36.0,9.0,,1.0,5.0,8.0,,9.0,1.0,32.0,41.0,17.0,,,,2.0,202.0,181.0,1.0,31.0,29.0,47.3,,,0.0,3.0,1.0,,2.0,2.0,2.0,1.0,3.0,53.0,,6.0,98.0,19.0,48.0,12.0,6.0,24.0,18.0,2.0,114.0,16.0,210.0,1.0,,47.0,19.0,66.0,2.0,284.0,2.0,0.0,12.0,17.0,8.0,20.0,1.0,529.0,,3.0,7.0,12.0,0.0
284077,8,2009-10-03 17:30:00,56,Sunderland,Away,103.0,15.0,,4.0,4.0,2.0,,129.0,2.0,,1.0,9.0,13.0,20.0,228.0,,,11.0,5.0,17.0,2.0,,,,,,,,,1.0,,,,,5.0,,,,,,,10.0,12.0,,,59.0,,4.0,,13.0,,1.0,5.0,3.0,,12.0,4.0,50.0,69.0,4.0,41.0,22.0,,2.0,91.0,17.0,12.0,2.0,,2.0,2.0,,2.0,,2.0,2.0,,,8.0,2.0,,2.0,33.0,,32.0,31.0,2.0,1.0,95.0,35.0,15.0,,1.0,3.0,3.0,,7.0,1.0,24.0,71.0,11.0,,,,,173.0,149.0,,25.0,26.0,36.9,,1.0,0.0,3.0,2.0,1.0,,,2.0,,3.0,58.0,,4.0,122.0,30.0,65.0,14.0,1.0,11.0,10.0,,123.0,11.0,227.0,,,37.0,13.0,57.0,1.0,338.0,1.0,1.0,5.0,31.0,2.0,19.0,2.0,585.0,,9.0,1.0,27.0,0.0
284088,9,2009-10-17 15:00:00,56,Sunderland,Home,59.0,11.0,1.0,5.0,4.0,5.0,,91.0,3.0,,1.0,7.0,10.0,20.0,145.0,,1.0,16.0,11.0,14.0,7.0,1.0,,3.0,,,,,1.0,,1.0,,,,,,,,1.0,,1.0,9.0,10.0,,,66.0,,4.0,5.0,8.0,,1.0,7.0,5.0,,19.0,2.0,67.0,61.0,4.0,39.0,15.0,,,63.0,21.0,17.0,1.0,,,,1.0,1.0,,1.0,1.0,,1.0,11.0,,1.0,1.0,25.0,1.0,28.0,28.0,2.0,1.0,84.0,37.0,7.0,,4.0,5.0,3.0,,4.0,,26.0,27.0,24.0,,,,,171.0,142.0,4.0,27.0,26.0,32.0,1.0,1.0,0.0,4.0,,,2.0,3.0,7.0,,3.0,47.0,,9.0,75.0,22.0,68.0,12.0,1.0,21.0,20.0,,89.0,11.0,170.0,1.0,,34.0,11.0,45.0,4.0,224.0,,0.0,15.0,27.0,3.0,23.0,2.0,548.0,,3.0,1.0,17.0,0.0
284090,10,2009-10-24 15:00:00,56,Sunderland,Away,84.0,17.0,2.0,9.0,7.0,2.0,,169.0,3.0,2.0,3.0,7.0,23.0,30.0,244.0,,2.0,24.0,21.0,30.0,6.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,1.0,11.0,10.0,,,64.0,,2.0,7.0,10.0,,8.0,18.0,12.0,1.0,15.0,3.0,68.0,77.0,2.0,32.0,19.0,,,92.0,15.0,10.0,,,,,1.0,1.0,1.0,1.0,,1.0,,10.0,,1.0,1.0,27.0,,11.0,11.0,1.0,3.0,107.0,42.0,7.0,,3.0,5.0,3.0,,7.0,,65.0,46.0,29.0,,,,,199.0,186.0,3.0,28.0,21.0,55.3,,1.0,0.0,2.0,3.0,,2.0,1.0,7.0,1.0,3.0,75.0,,8.0,104.0,36.0,45.0,15.0,8.0,39.0,31.0,,141.0,9.0,294.0,1.0,3.0,31.0,25.0,68.0,1.0,359.0,1.0,0.0,17.0,30.0,6.0,34.0,1.0,670.0,,7.0,7.0,23.0,0.0
