matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attObxdLeft,attObxdRight,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
360471,1.0,2011-08-13 15:00:00,56,Sunderland,Away,85.0,22.0,2.0,5.0,3.0,,,161.0,4.0,1.0,1.0,3.0,1.0,31.0,241.0,,,11.0,25.0,9.0,9.0,,1.0,,,,,,,,,,,,,,,9.0,5.0,,46.0,44.0,,,,1.0,1.0,4.0,,3.0,10.0,5.0,,9.0,1.0,59.0,47.0,1.0,17.0,1.0,,,81.0,13.0,17.0,,,,,,122.0,1.0,,1.0,1.0,,,11.0,,,,4.0,,,,1.0,10.0,,12.0,10.0,1.0,1.0,74.0,74.0,37.0,6.0,1.0,7.0,3.0,4.0,,,1.0,2.0,,45.0,63.0,18.0,,1.0,1.0,,,149.0,134.0,,17.0,17.0,39.9,,,0.0,,,,74.0,1.0,1.0,,,1.0,9.0,,2.0,72.0,10.0,94.0,41.0,32.0,14.0,3.0,20.0,17.0,,121.0,,242.0,4.0,1.0,16.0,1.0,64.0,2.0,316.0,,0.0,14.0,16.0,,18.0,4.0,496.0,8.0,5.0,3.0,15.0,0.0
360486,2.0,2011-08-20 12:00:00,56,Sunderland,Home,54.0,14.0,2.0,5.0,3.0,2.0,1.0,137.0,5.0,,,8.0,3.0,27.0,186.0,,,18.0,12.0,16.0,10.0,2.0,1.0,,,,,,,1.0,13.0,,,1.0,,,,8.0,5.0,,38.0,30.0,,,,1.0,3.0,4.0,1.0,8.0,14.0,5.0,,12.0,4.0,55.0,55.0,1.0,9.0,6.0,,1.0,85.0,17.0,7.0,,,4.0,4.0,,131.0,,,,,,,7.0,,,,2.0,,,,,16.0,1.0,7.0,7.0,,,46.0,80.0,38.0,6.0,,6.0,6.0,3.0,,,2.0,3.0,,33.0,73.0,19.0,,,,,,174.0,158.0,2.0,10.0,6.0,50.0,1.0,,0.0,,,,54.0,4.0,1.0,1.0,1.0,1.0,9.0,,3.0,89.0,12.0,63.0,34.0,25.0,18.0,8.0,30.0,23.0,1.0,148.0,7.0,236.0,2.0,,24.0,3.0,56.0,,269.0,2.0,1.0,15.0,24.0,,28.0,2.0,481.0,13.0,8.0,7.0,20.0,0.0
360495,3.0,2011-08-27 15:00:00,56,Sunderland,Away,99.0,15.0,1.0,3.0,2.0,1.0,,108.0,7.0,,2.0,4.0,10.0,19.0,204.0,,1.0,16.0,9.0,18.0,10.0,1.0,1.0,,,,,,,,10.0,,,1.0,,,,12.0,6.0,,48.0,63.0,2.0,2.0,,2.0,6.0,6.0,,4.0,13.0,4.0,,10.0,1.0,40.0,57.0,2.0,23.0,9.0,,,74.0,10.0,7.0,,,1.0,2.0,,136.0,,,,,,,12.0,,,,1.0,,,,,17.0,1.0,27.0,19.0,3.0,2.0,53.0,84.0,45.0,7.0,,4.0,7.0,2.0,,,4.0,1.0,,30.0,43.0,21.0,,,,,,173.0,155.0,2.0,24.0,30.0,38.0,1.0,,0.0,,,,58.0,3.0,,,,1.0,4.0,,3.0,56.0,11.0,120.0,28.0,41.0,11.0,4.0,23.0,19.0,1.0,100.0,5.0,198.0,1.0,,24.0,16.0,43.0,,295.0,1.0,0.0,12.0,26.0,3.0,24.0,1.0,528.0,15.0,6.0,4.0,25.0,0.0
360507,4.0,2011-09-10 15:00:00,56,Sunderland,Home,122.0,8.0,1.0,6.0,5.0,3.0,1.0,153.0,4.0,,,12.0,6.0,31.0,269.0,,1.0,14.0,10.0,7.0,6.0,2.0,,,,,,,,,8.0,,,,,,2.0,7.0,12.0,,56.0,64.0,1.0,1.0,,2.0,3.0,3.0,,4.0,8.0,10.0,,17.0,3.0,38.0,41.0,2.0,10.0,5.0,,1.0,80.0,7.0,3.0,1.0,,2.0,2.0,,156.0,1.0,,,1.0,,,15.0,,,1.0,,,,,,15.0,,8.0,6.0,,,77.0,102.0,47.0,7.0,,6.0,3.0,3.0,,,6.0,,,47.0,60.0,28.0,,,,,,175.0,161.0,1.0,21.0,34.0,40.1,,,0.0,,,,73.0,3.0,,,1.0,,7.0,,3.0,74.0,9.0,142.0,17.0,24.0,6.0,4.0,24.0,20.0,,122.0,15.0,244.0,,,31.0,8.0,59.0,3.0,362.0,,0.0,13.0,26.0,2.0,19.0,1.0,567.0,13.0,5.0,4.0,16.0,0.0
360515,5.0,2011-09-18 15:00:00,56,Sunderland,Home,152.0,15.0,1.0,2.0,1.0,,,200.0,2.0,,2.0,21.0,36.0,43.0,350.0,,,17.0,22.0,17.0,5.0,1.0,2.0,1.0,,,,1.0,,,6.0,,,,,,,7.0,3.0,,88.0,53.0,,,,3.0,2.0,4.0,,6.0,8.0,6.0,1.0,8.0,2.0,55.0,52.0,3.0,16.0,10.0,,,83.0,15.0,12.0,,,1.0,,1.0,163.0,1.0,,1.0,1.0,,,5.0,,,1.0,2.0,,,,,21.0,,11.0,5.0,2.0,2.0,83.0,101.0,57.0,6.0,2.0,1.0,6.0,6.0,,,5.0,2.0,,53.0,75.0,21.0,,,,,,166.0,143.0,1.0,21.0,23.0,56.7,,3.0,0.0,,,,102.0,1.0,1.0,,,2.0,1.0,1.0,3.0,72.0,7.0,170.0,26.0,39.0,11.0,6.0,20.0,14.0,2.0,119.0,5.0,286.0,3.0,,42.0,36.0,77.0,1.0,436.0,,0.0,9.0,18.0,,24.0,1.0,621.0,12.0,5.0,6.0,15.0,0.0
360524,6.0,2011-09-26 20:00:00,56,Sunderland,Away,181.0,30.0,1.0,4.0,3.0,4.0,,255.0,1.0,3.0,4.0,10.0,39.0,39.0,432.0,,,23.0,19.0,14.0,10.0,,,,,,,,,,13.0,,,,,,1.0,4.0,8.0,,81.0,75.0,1.0,2.0,,1.0,2.0,3.0,,4.0,8.0,7.0,,12.0,2.0,48.0,34.0,1.0,8.0,2.0,,1.0,99.0,7.0,3.0,,,,,,236.0,1.0,,,1.0,,,6.0,,,1.0,2.0,,,,,12.0,,18.0,13.0,2.0,4.0,132.0,124.0,59.0,7.0,1.0,5.0,6.0,5.0,,,5.0,1.0,,61.0,99.0,22.0,,,,,,213.0,201.0,2.0,37.0,24.0,57.3,,,0.0,,,,121.0,,2.0,,,,7.0,,2.0,109.0,11.0,212.0,52.0,20.0,10.0,4.0,19.0,15.0,,177.0,14.0,377.0,2.0,3.0,34.0,43.0,74.0,1.0,570.0,,0.0,14.0,14.0,3.0,30.0,1.0,777.0,15.0,3.0,4.0,12.0,0.0
360535,7.0,2011-10-01 15:00:00,56,Sunderland,Home,145.0,29.0,1.0,4.0,3.0,8.0,2.0,194.0,6.0,1.0,3.0,6.0,24.0,36.0,335.0,,2.0,16.0,16.0,21.0,8.0,2.0,2.0,,,,,,,,11.0,,,,,,2.0,3.0,6.0,,55.0,72.0,1.0,1.0,,2.0,1.0,4.0,,7.0,12.0,8.0,,13.0,1.0,47.0,61.0,2.0,13.0,9.0,1.0,,84.0,11.0,14.0,1.0,,4.0,2.0,,184.0,2.0,,2.0,2.0,,,6.0,,,2.0,2.0,,,,2.0,16.0,,18.0,15.0,2.0,3.0,94.0,95.0,58.0,4.0,1.0,5.0,7.0,7.0,,,3.0,3.0,,57.0,65.0,29.0,,,,,,177.0,167.0,1.0,36.0,27.0,51.9,,1.0,0.0,,,,103.0,,1.0,,1.0,2.0,6.0,,3.0,95.0,12.0,168.0,53.0,23.0,10.0,7.0,29.0,22.0,2.0,148.0,18.0,297.0,2.0,1.0,23.0,28.0,67.0,3.0,436.0,2.0,0.0,14.0,21.0,5.0,20.0,2.0,639.0,13.0,5.0,7.0,14.0,0.0
360539,8.0,2011-10-16 13:30:00,56,Sunderland,Away,124.0,8.0,1.0,3.0,2.0,5.0,,126.0,5.0,,1.0,5.0,8.0,15.0,247.0,,,14.0,15.0,5.0,4.0,2.0,,1.0,,,,1.0,,,5.0,,,,,,1.0,13.0,8.0,,42.0,57.0,1.0,1.0,,6.0,2.0,13.0,1.0,2.0,6.0,3.0,,9.0,2.0,66.0,42.0,6.0,17.0,10.0,,1.0,62.0,19.0,9.0,,,2.0,1.0,1.0,146.0,,,,,,,13.0,,,,,,,,,18.0,,18.0,11.0,1.0,1.0,70.0,75.0,35.0,9.0,1.0,3.0,3.0,2.0,,,7.0,,,29.0,63.0,13.0,,,,,,155.0,141.0,,32.0,19.0,37.3,,,0.0,,,,73.0,4.0,,,1.0,,4.0,,3.0,44.0,6.0,141.0,21.0,31.0,13.0,2.0,12.0,10.0,,87.0,13.0,202.0,,,33.0,8.0,42.0,5.0,331.0,,0.0,8.0,25.0,,18.0,3.0,525.0,12.0,3.0,2.0,18.0,0.0
360552,9.0,2011-10-22 15:00:00,56,Sunderland,Away,66.0,9.0,3.0,5.0,2.0,4.0,,149.0,3.0,1.0,2.0,11.0,15.0,22.0,210.0,1.0,,24.0,16.0,16.0,9.0,3.0,1.0,,,,,,,,,,,,,,2.0,5.0,9.0,,48.0,54.0,,,,1.0,7.0,3.0,,11.0,8.0,8.0,,20.0,1.0,60.0,54.0,1.0,16.0,7.0,,,86.0,17.0,15.0,1.0,,,,,161.0,1.0,,1.0,1.0,,1.0,13.0,,,,,,,,1.0,14.0,1.0,13.0,11.0,3.0,2.0,53.0,92.0,41.0,2.0,1.0,6.0,7.0,4.0,,,3.0,,,37.0,55.0,22.0,,,,,,203.0,186.0,3.0,13.0,26.0,48.1,,1.0,0.0,,,,49.0,3.0,3.0,,1.0,1.0,8.0,3.0,1.0,81.0,13.0,84.0,19.0,33.0,12.0,11.0,30.0,19.0,,139.0,13.0,257.0,,1.0,29.0,15.0,51.0,4.0,311.0,1.0,0.0,19.0,16.0,1.0,30.0,3.0,545.0,15.0,7.0,11.0,14.0,0.0
360564,10.0,2011-10-29 15:00:00,56,Sunderland,Home,84.0,16.0,4.0,12.0,8.0,5.0,2.0,180.0,2.0,1.0,3.0,5.0,18.0,20.0,252.0,,,24.0,17.0,12.0,8.0,2.0,,,,,2.0,2.0,,,9.0,,,,,,2.0,9.0,5.0,,59.0,55.0,1.0,,1.0,4.0,6.0,10.0,,5.0,13.0,9.0,,14.0,1.0,58.0,52.0,3.0,16.0,7.0,,,85.0,8.0,14.0,1.0,,6.0,4.0,2.0,164.0,2.0,1.0,2.0,1.0,1.0,,11.0,,,1.0,,,,,,12.0,,12.0,8.0,1.0,3.0,55.0,84.0,43.0,6.0,1.0,5.0,7.0,5.0,,,5.0,,,47.0,63.0,22.0,,,,,,179.0,168.0,2.0,24.0,22.0,50.0,,1.0,0.0,,,,79.0,1.0,,,1.0,,5.0,1.0,3.0,88.0,12.0,115.0,27.0,26.0,15.0,5.0,31.0,26.0,,145.0,11.0,273.0,,1.0,30.0,22.0,51.0,,357.0,1.0,0.0,16.0,20.0,3.0,30.0,1.0,570.0,6.0,6.0,5.0,13.0,0.0
