season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,goalAssist,goals,minutesPlayed,ownGoals,penaltyMiss,substitute.1,totalShots
2009-10,1062466,1,56,Sunderland,Away,664,6596,Steed Malbranque,steed-malbranque,M,False,1.0,0.0,46.0,0.0,,,0.0
2009-10,1062466,1,56,Sunderland,Away,764,15073,Kieran Richardson,kieran-richardson,M,False,0.0,0.0,76.0,0.0,,,0.0
2009-10,1062466,1,56,Sunderland,Away,768,17997,Phil Bardsley,phil-bardsley,D,False,0.0,0.0,90.0,0.0,,,0.0
2009-10,1062466,1,56,Sunderland,Away,9370,5207,Craig Gordon,craig-gordon,G,True,,,,,,,
2009-10,1062466,1,56,Sunderland,Away,9663,10738,Darren Bent,darren-bent,F,False,0.0,1.0,90.0,0.0,,,0.0
2009-10,1062466,1,56,Sunderland,Away,9697,3353,Nyron Nosworthy,nyron-nosworthy,D,True,,,,,,,
2009-10,1062466,1,56,Sunderland,Away,9699,5609,George McCartney,george-mccartney,D,False,0.0,0.0,90.0,0.0,,,0.0
2009-10,1062466,1,56,Sunderland,Away,9704,19393,Danny Collins,danny-collins,D,False,0.0,0.0,90.0,0.0,,,0.0
2009-10,1062466,1,56,Sunderland,Away,9727,13898,Anton Ferdinand,anton-ferdinand,D,False,0.0,0.0,90.0,0.0,,,0.0
2009-10,1062466,1,56,Sunderland,Away,10206,5222,David Healy,david-healy,F,True,,,,,,,
2009-10,1062466,1,56,Sunderland,Away,10271,,Carlos Edwards,carlos-edwards,D,True,,,,,,,
2009-10,1062466,1,56,Sunderland,Away,10493,18215,Kenwyne Jones,kenwyne-jones,F,False,0.0,0.0,90.0,0.0,,,0.0
2009-10,1062466,1,56,Sunderland,Away,10833,16106,Lorik Cana,lorik-cana,D,False,0.0,0.0,90.0,0.0,,,0.0
2009-10,1062466,1,56,Sunderland,Away,14139,10460,Grant Leadbitter,grant-leadbitter,M,True,,,,,,,
2009-10,1062466,1,56,Sunderland,Away,14210,28448,Lee Cattermole,lee-cattermole,M,False,0.0,0.0,90.0,0.0,,,0.0
2009-10,1062466,1,56,Sunderland,Away,27771,28541,Fraizer Campbell,fraizer-campbell,F,True,0.0,0.0,14.0,0.0,,,0.0
2009-10,1062466,1,56,Sunderland,Away,34462,18151,Marton Fülop,marton-fulop,G,False,0.0,0.0,90.0,0.0,,,0.0
2009-10,1062466,1,56,Sunderland,Away,42694,56979,Jordan Henderson,jordan-henderson,M,True,0.0,0.0,44.0,0.0,,,0.0
2009-10,1062479,2,56,Sunderland,Home,764,15073,Kieran Richardson,kieran-richardson,M,False,0.0,0.0,84.0,0.0,,,0.0
2009-10,1062479,2,56,Sunderland,Home,768,17997,Phil Bardsley,phil-bardsley,D,False,0.0,0.0,90.0,0.0,,,0.0
2009-10,1062479,2,56,Sunderland,Home,937,8411,Andy Reid,andy-reid,M,True,0.0,0.0,6.0,0.0,,,0.0
2009-10,1062479,2,56,Sunderland,Home,9370,5207,Craig Gordon,craig-gordon,G,True,,,,,,,
2009-10,1062479,2,56,Sunderland,Home,9663,10738,Darren Bent,darren-bent,F,False,0.0,1.0,90.0,0.0,,,0.0
2009-10,1062479,2,56,Sunderland,Home,9697,3353,Nyron Nosworthy,nyron-nosworthy,D,True,,,,,,,
2009-10,1062479,2,56,Sunderland,Home,9699,5609,George McCartney,george-mccartney,D,False,0.0,0.0,90.0,0.0,,,0.0
2009-10,1062479,2,56,Sunderland,Home,9704,19393,Danny Collins,danny-collins,D,False,0.0,0.0,90.0,0.0,,,0.0
2009-10,1062479,2,56,Sunderland,Home,9727,13898,Anton Ferdinand,anton-ferdinand,D,False,0.0,0.0,90.0,0.0,,,0.0
2009-10,1062479,2,56,Sunderland,Home,10206,5222,David Healy,david-healy,F,True,,,,,,,
2009-10,1062479,2,56,Sunderland,Home,10271,,Carlos Edwards,carlos-edwards,D,True,,,,,,,
2009-10,1062479,2,56,Sunderland,Home,10493,18215,Kenwyne Jones,kenwyne-jones,F,False,0.0,0.0,62.0,0.0,,,0.0
2009-10,1062479,2,56,Sunderland,Home,10833,16106,Lorik Cana,lorik-cana,D,False,0.0,0.0,90.0,0.0,,,0.0
2009-10,1062479,2,56,Sunderland,Home,14139,10460,Grant Leadbitter,grant-leadbitter,M,True,0.0,0.0,28.0,0.0,,,0.0
2009-10,1062479,2,56,Sunderland,Home,14210,28448,Lee Cattermole,lee-cattermole,M,False,0.0,0.0,62.0,0.0,,,0.0
2009-10,1062479,2,56,Sunderland,Home,27771,28541,Fraizer Campbell,fraizer-campbell,F,True,0.0,0.0,28.0,0.0,,,0.0
2009-10,1062479,2,56,Sunderland,Home,34462,18151,Marton Fülop,marton-fulop,G,False,0.0,0.0,90.0,0.0,,,0.0
2009-10,1062479,2,56,Sunderland,Home,42694,56979,Jordan Henderson,jordan-henderson,M,False,0.0,0.0,90.0,0.0,,,0.0
2009-10,1062491,3,56,Sunderland,Home,664,6596,Steed Malbranque,steed-malbranque,M,False,1.0,0.0,79.0,0.0,,,0.0
2009-10,1062491,3,56,Sunderland,Home,764,15073,Kieran Richardson,kieran-richardson,M,False,0.0,0.0,90.0,0.0,,,0.0
2009-10,1062491,3,56,Sunderland,Home,768,17997,Phil Bardsley,phil-bardsley,D,False,0.0,0.0,90.0,0.0,,,0.0
2009-10,1062491,3,56,Sunderland,Home,937,8411,Andy Reid,andy-reid,M,True,,,,,,,
2009-10,1062491,3,56,Sunderland,Home,9370,5207,Craig Gordon,craig-gordon,G,True,,,,,,,
2009-10,1062491,3,56,Sunderland,Home,9663,10738,Darren Bent,darren-bent,F,False,0.0,0.0,90.0,0.0,,,0.0
2009-10,1062491,3,56,Sunderland,Home,9697,3353,Nyron Nosworthy,nyron-nosworthy,D,True,0.0,0.0,30.0,0.0,,,0.0
2009-10,1062491,3,56,Sunderland,Home,9699,5609,George McCartney,george-mccartney,D,False,0.0,0.0,60.0,0.0,,,0.0
2009-10,1062491,3,56,Sunderland,Home,9704,19393,Danny Collins,danny-collins,D,False,0.0,0.0,90.0,0.0,,,0.0
2009-10,1062491,3,56,Sunderland,Home,9727,13898,Anton Ferdinand,anton-ferdinand,D,False,0.0,0.0,90.0,0.0,,,0.0
2009-10,1062491,3,56,Sunderland,Home,10206,5222,David Healy,david-healy,F,True,,,,,,,
2009-10,1062491,3,56,Sunderland,Home,10493,18215,Kenwyne Jones,kenwyne-jones,F,False,0.0,2.0,90.0,0.0,,,0.0
2009-10,1062491,3,56,Sunderland,Home,10833,16106,Lorik Cana,lorik-cana,D,False,0.0,0.0,90.0,0.0,,,0.0
2009-10,1062491,3,56,Sunderland,Home,14139,10460,Grant Leadbitter,grant-leadbitter,M,True,,,,,,,
2009-10,1062491,3,56,Sunderland,Home,14210,28448,Lee Cattermole,lee-cattermole,M,False,1.0,0.0,90.0,0.0,,,0.0
2009-10,1062491,3,56,Sunderland,Home,27771,28541,Fraizer Campbell,fraizer-campbell,F,True,0.0,0.0,1.0,0.0,,,0.0
