season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,goalAssist,goals,minutesPlayed,ownGoals,penaltyMiss,totalShots
2011-12,1768170,1,56,Sunderland,Away,524,19057,Sebastian Larsson,sebastian-larsson,M,False,0.0,1.0,80.0,0.0,,0.0
2011-12,1768170,1,56,Sunderland,Away,749,1841,Wes Brown,wes-brown,D,False,0.0,0.0,90.0,0.0,,0.0
2011-12,1768170,1,56,Sunderland,Away,764,15073,Kieran Richardson,kieran-richardson,M,False,0.0,0.0,90.0,0.0,,0.0
2011-12,1768170,1,56,Sunderland,Away,768,17997,Phil Bardsley,phil-bardsley,D,False,0.0,0.0,90.0,0.0,,0.0
2011-12,1768170,1,56,Sunderland,Away,793,1131,Titus Bramble,titus-bramble,D,True,,,,,,
2011-12,1768170,1,56,Sunderland,Away,9727,13898,Anton Ferdinand,anton-ferdinand,D,False,0.0,0.0,90.0,0.0,,0.0
2011-12,1768170,1,56,Sunderland,Away,9968,7631,David Vaughan,david-vaughan,M,True,0.0,0.0,10.0,0.0,,0.0
2011-12,1768170,1,56,Sunderland,Away,10406,66797,Simon Mignolet,simon-mignolet,G,False,0.0,0.0,90.0,0.0,,0.0
2011-12,1768170,1,56,Sunderland,Away,14210,28448,Lee Cattermole,lee-cattermole,M,False,0.0,0.0,90.0,0.0,,0.0
2011-12,1768170,1,56,Sunderland,Away,14235,28468,Craig Gardner,craig-gardner,M,True,,,,,,
2011-12,1768170,1,56,Sunderland,Away,16657,34392,Stéphane Sessègnon,stephane-sessegnon,M,False,0.0,0.0,90.0,0.0,,0.0
2011-12,1768170,1,56,Sunderland,Away,17936,33223,Asamoah Gyan,asamoah-gyan,F,False,0.0,0.0,66.0,0.0,,0.0
2011-12,1768170,1,56,Sunderland,Away,20561,20531,Keiren Westwood,keiren-westwood,G,True,,,,,,
2011-12,1768170,1,56,Sunderland,Away,32787,,Ahmed Elmohamady,ahmed-elmohamady,D,False,1.0,0.0,90.0,0.0,,0.0
2011-12,1768170,1,56,Sunderland,Away,40686,58771,Jack Colback,jack-colback,M,False,0.0,0.0,90.0,0.0,,0.0
2011-12,1768170,1,56,Sunderland,Away,50485,59125,Connor Wickham,connor-wickham,F,True,,,,,,
2011-12,1768170,1,56,Sunderland,Away,98445,97580,Louis Laing,louis-laing,D,True,,,,,,
2011-12,1768170,1,56,Sunderland,Away,823127,98769,Ji Dong-Won,ji-dong-won,F,True,0.0,0.0,24.0,0.0,,0.0
