season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,crossNotClaimed,dispossessed,duelLost,duelWon,fouls,goalAssist,goals,goodHighClaim,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,possessionLostCtrl,rating,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonTackle
2013-14,3964803,1,56,Sunderland,Home,834,19959,Adam Johnson,adam-johnson,F,False,,,,,,,,,,,,,,,,,,0.0,0.0,,,,90.0,,,0.0,,,,,,,,,,,,,0.0,,,,,
2013-14,3964803,1,56,Sunderland,Home,50485,59125,Connor Wickham,connor-wickham,F,True,,,,,,,,,,,,,,,,,,0.0,0.0,,,,4.0,,,0.0,,,,,,,,,,,,,0.0,,,,,
2013-14,3964803,1,56,Sunderland,Home,178903,106300,David Moberg Karlsson,david-moberg-karlsson,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,3964803,1,56,Sunderland,Home,801455,41574,Jozy Altidore,jozy-altidore,F,False,,,,,,,,,,,,,,,,,,0.0,0.0,,,,90.0,,,0.0,,,,,,,,,,,,,0.0,,,,,
2013-14,3964803,1,56,Sunderland,Home,823127,98769,Ji Dong-Won,ji-dong-won,F,True,,,,,,,,,,,,,,,,,,0.0,0.0,,,,18.0,,,0.0,,,,,,,,,,,,,0.0,,,,,
2013-14,3964825,2,56,Sunderland,Away,834,19959,Adam Johnson,adam-johnson,F,False,,,,,,,,,,,,,,,,,,0.0,0.0,,,,90.0,,,0.0,,,,,,,,,,,,,0.0,,,,,
2013-14,3964825,2,56,Sunderland,Away,50485,59125,Connor Wickham,connor-wickham,F,True,,,,,,,,,,,,,,,,,,0.0,0.0,,,,8.0,,,0.0,,,,,,,,,,,,,0.0,,,,,
2013-14,3964825,2,56,Sunderland,Away,178903,106300,David Moberg Karlsson,david-moberg-karlsson,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,3964825,2,56,Sunderland,Away,801455,41574,Jozy Altidore,jozy-altidore,F,False,,,,,,,,,,,,,,,,,,0.0,0.0,,,,90.0,,,0.0,,,,,,,,,,,,,0.0,,,,,
2013-14,3964825,2,56,Sunderland,Away,823127,98769,Ji Dong-Won,ji-dong-won,F,True,,,,,,,,,,,,,,,,,,0.0,0.0,,,,44.0,,,0.0,,,,,,,,,,,,,0.0,,,,,
2013-14,3964837,3,56,Sunderland,Away,834,19959,Adam Johnson,adam-johnson,F,False,,,,,,,,,,,,,,,,,,0.0,0.0,,,,90.0,,,0.0,,,,,,,,,,,,,0.0,,,,,
2013-14,3964837,3,56,Sunderland,Away,9216,18953,Steven Fletcher,steven-fletcher,F,True,,,,,,,,,,,,,,,,,,0.0,1.0,,,,44.0,,,0.0,,,,,,,,,,,,,0.0,,,,,
2013-14,3964837,3,56,Sunderland,Away,50485,59125,Connor Wickham,connor-wickham,F,False,,,,,,,,,,,,,,,,,,0.0,0.0,,,,90.0,,,0.0,,,,,,,,,,,,,0.0,,,,,
2013-14,3964837,3,56,Sunderland,Away,178903,106300,David Moberg Karlsson,david-moberg-karlsson,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
