playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,interceptions,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,unsuccessfulShortPasses,putthroughBlockedDistribution,keyPassesAttemptAssists,totalFoulsWon,putthroughBlockedDistributionWon,drops,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,successfulLayoffs,unsuccessfulCrossesOpenPlay,goals,awayGoals,oboxBlocked,substituteOn,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,unsuccessfulLayoffs,totalTouchesInOppositionBox,throwInsToOppositionPlayer,shotsBlockedInBox,homeGoals,tacklesLost,unsuccessfulDribbles,headedGoals,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,blocks,totalFoulsConceded,backwardPasses,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,foulAttemptedTackle,expectedGoals,expectedGoalsFreekick,throughBalls,offsides,shotsOnTargetOutsideBox,oboxTarget,freekickTotal,attemptsFromSetPieces,handballsConceded,penaltiesConceded,ownGoalScored,clearancesOffTheLine,redCards2ndYellow,hitWoodwork,goalAssists,rightFootGoals,cornersTakenInclShortCorners,successfulCornersIntoBox,unsuccessfulCornersIntoBox,foulWonPenalty,leftFootGoals,secondGoalAssists,penaltiesTaken,penaltyGoals
28448,Lee Cattermole,Midfielder,Sunderland,56,England,2016-17,44.0,0.4009,0.0,,,8.0,8.0,67.0,281.0,,,13.0,,,640.0,6.0,32.0,2.0,25.0,171.0,,,13.1827,4.0,9.0,13.0,38.0,67.0,,0.0,76.0,,113.0,25.0,8.0,,119.0,11.0,63.0,7.0,0.0,,275.0,86.0,3.0,,,61.0,20.0,43.0,377.0,3.0,95.0,,4.0,16.0,11.0,51.0,14.0,2.0,9.0,8.0,,,,1.0,0.0428,13.0,4.0,6.0,1.0,,,,,,,,,1.0,,,,4.0,1.0,,1.0,7.0,,3.0,1.0,9.0,6.0,14.0,40.0,,7.0,,12.0,0.097,,3.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
19057,Sebastian Larsson,Midfielder,Hull City,88,Sweden,2016-17,81.0,2.4064,1.0,,,21.0,17.0,128.0,642.0,,,27.0,2.0,,1471.0,13.0,62.0,1.0,48.0,464.0,,2.0,28.0214,6.0,32.0,33.0,68.0,158.0,,0.0,143.0,,212.0,110.0,21.0,,310.0,32.0,116.0,14.0,1.0,,608.0,212.0,3.0,,,138.0,12.0,50.0,906.0,16.0,226.0,,4.0,47.0,17.0,81.0,23.0,22.0,9.0,13.0,,4.0,6.0,3.0,0.523,37.0,10.0,36.0,9.0,,,6.0,4.0,22.0,1.0,1.0,,12.0,,,,11.0,2.0,,49.0,17.0,,7.0,5.0,26.0,9.0,30.0,134.0,9.0,5.0,6.0,19.0,0.8327,0.4396,2.0,,2.0,2.0,7.0,7.0,,1.0,,1.0,,,1.0,,43.0,15.0,22.0,,,,,
39187,Jeremain Lens,Midfielder,Besiktas,378,Netherlands,2016-17,7.0,0.5448,0.0,,,2.0,,6.0,20.0,,,2.0,,,68.0,,6.0,1.0,4.0,12.0,,,1.0049,1.0,,1.0,7.0,5.0,,0.0,13.0,,8.0,3.0,2.0,,13.0,,11.0,2.0,0.0,,20.0,13.0,,,,5.0,2.0,2.0,45.0,,2.0,,0.0,,1.0,6.0,3.0,2.0,3.0,2.0,,,3.0,,,2.0,,2.0,,,,1.0,2.0,1.0,,,,6.0,,2.0,,,2.0,,1.0,3.0,2.0,,2.0,2.0,1.0,1.0,2.0,,,1.0,1.0,0.1307,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,
49384,Jack Rodwell,Midfielder,Sheffield United,49,England,2016-17,68.0,0.7031,0.0,,,20.0,17.0,125.0,572.0,,,57.0,2.0,,1493.0,24.0,91.0,4.0,58.0,420.0,,1.0,29.2992,3.0,52.0,32.0,44.0,156.0,,0.0,159.0,,197.0,87.0,20.0,,240.0,28.0,102.0,33.0,0.0,,567.0,150.0,9.0,,,153.0,19.0,27.0,780.0,21.0,207.0,,4.0,50.0,31.0,75.0,15.0,7.0,12.0,6.0,,,7.0,5.0,0.6734,38.0,12.0,24.0,8.0,,,5.0,3.0,,3.0,3.0,2.0,15.0,,2.0,,10.0,1.0,,8.0,10.0,2.0,7.0,7.0,28.0,8.0,23.0,66.0,1.0,4.0,5.0,16.0,1.3502,,3.0,1.0,2.0,2.0,,,1.0,,,,,,1.0,,,,,,,,,
144660,Didier Ndong,Midfielder,Watford,57,Gabon,2016-17,163.0,0.9838,0.0,,,31.0,27.0,170.0,1009.0,,,61.0,5.0,,2519.0,39.0,154.0,3.0,132.0,782.0,,3.0,49.3277,2.0,36.0,48.0,124.0,208.0,,0.0,317.0,,246.0,209.0,31.0,,457.0,45.0,256.0,22.0,0.0,,997.0,299.0,22.0,,,386.0,50.0,57.0,1457.0,17.0,389.0,,5.0,42.0,50.0,128.0,48.0,16.0,28.0,30.0,,7.0,3.0,5.0,0.9884,82.0,13.0,45.0,29.0,1.0,1.0,3.0,4.0,7.0,1.0,1.0,7.0,19.0,,,0.0,21.0,10.0,,31.0,46.0,,8.0,8.0,61.0,8.0,37.0,169.0,6.0,3.0,3.0,29.0,0.7731,,5.0,4.0,3.0,3.0,,,,1.0,,,,,,,1.0,,1.0,1.0,1.0,,,
7525,Steven Pienaar,Midfielder,Sunderland,56,South Africa,2016-17,58.0,0.3904,1.0,,,15.0,10.0,79.0,384.0,,,19.0,,,808.0,15.0,55.0,,51.0,290.0,,2.0,13.7206,1.0,9.0,13.0,43.0,113.0,,0.0,113.0,,101.0,55.0,15.0,,200.0,13.0,94.0,4.0,0.0,,378.0,130.0,6.0,,,89.0,16.0,15.0,538.0,3.0,107.0,,5.0,13.0,17.0,66.0,13.0,7.0,26.0,3.0,,2.0,1.0,2.0,0.0455,19.0,3.0,15.0,9.0,,,1.0,5.0,2.0,2.0,2.0,1.0,11.0,,,,5.0,6.0,,10.0,16.0,,1.0,4.0,14.0,5.0,16.0,81.0,3.0,9.0,1.0,14.0,0.7728,,3.0,,,,,,,,,,1.0,,,,2.0,,1.0,,,,,
27707,Darron Gibson,Midfielder,Salford City,3448,Ireland,2016-17,28.0,0.2941,0.0,,,12.0,7.0,77.0,387.0,,,11.0,,,641.0,4.0,24.0,,17.0,275.0,,,11.7715,7.0,18.0,12.0,24.0,91.0,,0.0,52.0,,144.0,58.0,12.0,,159.0,12.0,41.0,7.0,0.0,,366.0,99.0,4.0,,,98.0,14.0,35.0,479.0,10.0,151.0,,4.0,27.0,12.0,50.0,8.0,2.0,,4.0,,,1.0,,,13.0,5.0,10.0,6.0,,,1.0,5.0,,,,,1.0,,,,2.0,2.0,,11.0,5.0,,5.0,1.0,11.0,2.0,12.0,54.0,4.0,6.0,1.0,11.0,0.1564,,1.0,,,,,,1.0,,,,,,,,6.0,,6.0,,,,,
114000,George Honeyman,Midfielder,Blackpool,92,England,2016-17,15.0,0.1765,0.0,,,5.0,2.0,19.0,108.0,,,2.0,,,233.0,1.0,24.0,,23.0,87.0,,,3.8937,1.0,1.0,4.0,14.0,27.0,,0.0,39.0,,29.0,13.0,5.0,,60.0,4.0,37.0,1.0,0.0,,107.0,47.0,6.0,,,26.0,4.0,2.0,176.0,4.0,30.0,,1.0,5.0,5.0,14.0,7.0,2.0,8.0,5.0,,,,1.0,0.1671,9.0,2.0,7.0,5.0,,,,3.0,1.0,1.0,1.0,1.0,6.0,,,,,1.0,,8.0,9.0,,1.0,,9.0,,4.0,26.0,,1.0,,2.0,0.2836,,,2.0,,,,,1.0,,,,,,,,3.0,1.0,2.0,,,1.0,,
149051,Ethan Robson,Midfielder,Gateshead,447,England,2016-17,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204819,Elliot Embleton,Midfielder,Carlisle United,68,England,2016-17,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
