playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,awayGoals,aerialDuels,cleanSheets,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,ownGoalScored,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,headedGoals,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,hitWoodwork,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,successfulLayoffs,offsides,substituteOn,shotsOnTargetOutsideBox,successfulCrossesAndCorners,throwInsToOppositionPlayer,oboxTarget,leftFootGoals,substituteOff,oboxBlocked,unsuccessfulLayoffs,shotsBlockedOutsideBox,goalAssists,otherGoals,setPiecesGoals,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,secondGoalAssists,expectedGoalsFreekick,foulWonPenalty,cornersTakenInclShortCorners,penaltiesTaken,penaltyGoals,clearancesOffTheLine,catches,savesMade,savesMadeFromOutsideBox,crossesNotClaimed,goalKicks,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,penaltiesSaved,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,goalkeeperSmother,drops
149266,Alfie Mawson,Defender,Swansea,80,England,2016-17,82.0,0.2792,0.0,4.0,5.0,1.9744,26.0,19.0,1.0,90.0,27.0,27.0,209.0,1.0,1218.0,4.0,2.0,136.0,7.0,1.0,2430.0,1.0,52.0,145.0,5.0,1.0,15.0,61.0,846.0,31.0,3.0,42.3038,2.0,4.0,23.0,169.0,45.0,4.0,30.0,439.0,18.0,1.0,227.0,2.0,2.0,531.0,137.0,27.0,1.0,4.0,2.0,261.0,40.0,3.0,1.0,6.0,4.0,91.0,84.0,0.0,1178.0,14.0,4.0,235.0,22.0,19.0,27.0,199.0,10.0,30.0,163.0,49.0,1585.0,3.0,2.0,55.0,748.0,3.0,1.0,1.8287,1.0,119.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42996,Angel Rangel,Defender,Swansea,80,Spain,2016-17,37.0,0.8372,0.0,,3.0,0.3295,33.0,5.0,1.0,58.0,18.0,8.0,82.0,7.0,544.0,1.0,1.0,26.0,1.0,1.0,823.0,1.0,13.0,57.0,2.0,1.0,21.0,44.0,424.0,5.0,3.0,17.6223,,7.0,5.0,31.0,24.0,,24.0,24.0,8.0,1.0,94.0,7.0,0.0,237.0,51.0,18.0,,11.0,2.0,259.0,22.0,,7.0,4.0,,68.0,13.0,0.0,537.0,2.0,3.0,119.0,22.0,4.0,3.0,232.0,10.0,25.0,38.0,51.0,796.0,82.0,,11.0,207.0,4.0,,0.259,1.0,24.0,19.0,4.0,2.0,1.0,10.0,1.0,4.0,15.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83091,Borja Bastón,Forward,Swansea,80,Spain,2016-17,60.0,0.2559,0.0,5.0,3.0,1.3403,5.0,10.0,,35.0,18.0,4.0,37.0,5.0,181.0,1.0,1.0,35.0,1.0,2.0,547.0,2.0,28.0,25.0,2.0,,8.0,18.0,143.0,25.0,1.0,11.6215,,5.0,,6.0,11.0,3.0,32.0,43.0,9.0,0.0,85.0,7.0,0.0,27.0,19.0,18.0,1.0,3.0,,81.0,9.0,,5.0,14.0,3.0,50.0,7.0,0.0,169.0,7.0,5.0,71.0,2.0,4.0,1.0,42.0,3.0,3.0,1.0,69.0,276.0,,1.0,,64.0,3.0,,1.7387,0.0,2.0,7.0,1.0,26.0,4.0,14.0,,1.0,,,,1.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192290,Connor Roberts,Midfielder,Swansea,80,Wales,2016-17,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200617,Daniel James,Midfielder,Swansea,80,Wales,2016-17,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57145,Federico Fernández,Defender,Swansea,80,Argentina,2016-17,91.0,1.0864,0.0,3.0,2.0,0.272,44.0,12.0,,92.0,27.0,27.0,206.0,4.0,1133.0,,,105.0,6.0,2.0,2430.0,2.0,36.0,132.0,2.0,1.0,19.0,63.0,828.0,29.0,2.0,43.9915,,1.0,20.0,187.0,41.0,3.0,55.0,211.0,16.0,0.0,223.0,14.0,,575.0,112.0,27.0,,12.0,2.0,301.0,39.0,,4.0,5.0,3.0,118.0,69.0,0.0,1099.0,10.0,3.0,222.0,32.0,3.0,20.0,278.0,26.0,50.0,99.0,69.0,1522.0,4.0,,66.0,627.0,15.0,,1.3719,7.0,114.0,67.0,1.0,1.0,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19760,Fernando Llorente,Forward,Swansea,80,Spain,2016-17,246.0,2.4126,0.0,7.0,26.0,9.7384,18.0,45.0,,292.0,33.0,28.0,303.0,6.0,900.0,15.0,4.0,278.0,1.0,10.0,2453.0,10.0,122.0,212.0,3.0,,48.0,56.0,579.0,164.0,4.0,47.0762,,25.0,1.0,37.0,51.0,7.0,124.0,187.0,31.0,6.0,458.0,16.0,11.0,176.0,73.0,33.0,4.0,4.0,11.0,411.0,48.0,7.0,6.0,65.0,7.0,180.0,156.0,0.0,870.0,19.0,7.0,443.0,14.0,9.0,4.0,244.0,51.0,2.0,18.0,293.0,1253.0,1.0,2.0,,188.0,8.0,2.0,7.0875,2.0,11.0,43.0,2.0,145.0,12.0,5.0,1.0,2.0,,1.0,3.0,14.0,,27.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5288,Gerhard Tremmel,Goalkeeper,Swansea,80,Germany,2016-17,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55422,Gylfi Sigurdsson,Midfielder,Swansea,80,Iceland,2016-17,142.0,6.8515,0.0,30.0,50.0,13.4246,45.0,86.0,6.0,198.0,38.0,37.0,239.0,57.0,1041.0,9.0,5.0,24.0,7.0,10.0,3328.0,10.0,17.0,117.0,5.0,,94.0,110.0,769.0,99.0,6.0,67.0651,,67.0,1.0,23.0,70.0,14.0,125.0,242.0,33.0,3.0,259.0,55.0,4.0,323.0,122.0,38.0,5.0,17.0,36.0,620.0,65.0,,217.0,78.0,14.0,235.0,7.0,0.0,954.0,36.0,52.0,623.0,28.0,32.0,2.0,208.0,18.0,35.0,33.0,268.0,1908.0,9.0,3.0,6.0,268.0,5.0,1.0,8.8873,2.0,41.0,43.0,12.0,96.0,1.0,1.0,31.0,86.0,,31.0,4.0,2.0,16.0,9.0,16.0,13.0,,2.0,59.0,21.0,21.0,110.0,2.0,1.4656,2.0,183.0,3.0,3.0,,,,,,,,,,,,,,,,,
40145,Jack Cork,Defender,Swansea,80,England,2016-17,166.0,0.8302,0.0,3.0,5.0,1.4431,59.0,15.0,1.0,156.0,30.0,25.0,211.0,18.0,1285.0,,,86.0,3.0,3.0,2233.0,3.0,49.0,148.0,3.0,,46.0,111.0,999.0,17.0,4.0,46.6142,2.0,14.0,2.0,49.0,51.0,,117.0,342.0,32.0,0.0,314.0,24.0,,399.0,179.0,30.0,,15.0,7.0,504.0,48.0,,18.0,47.0,,228.0,37.0,0.0,1245.0,10.0,5.0,312.0,44.0,23.0,8.0,352.0,25.0,56.0,75.0,192.0,1701.0,5.0,,29.0,572.0,20.0,,1.4952,7.0,55.0,70.0,2.0,25.0,1.0,5.0,2.0,2.0,,2.0,,6.0,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
